"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of chained (2000) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1990 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 29, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/29/2004 9:54:02 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8","1","    Personal consumption expenditures","A002RX1",4770.3,4778.4,4934.8,5099.8,5290.7,5433.5,5619.4,5831.8,6125.8,6438.6,6739.4,6910.4,7123.4,7355.6
"9","2","Durable goods","B003RX1",453.5,427.9,453,488.4,529.4,552.6,595.9,646.9,720.3,804.6,863.3,900.7,959.6,1030.6
"10","3","  Motor vehicles and parts","A165RX1",256.1,226.6,244.9,259.2,276.2,272.3,285.4,304.7,339,372.4,386.5,405.8,428.7,452.1
"11","4","  Furniture and household equipment","A166RX1",119.9,121.1,127.8,141.1,156.8,173.3,193.4,216.3,244.7,280.7,312.9,331.8,360.7,393.5
"12","5","  Other","A167RX1",92.7,88.8,90.2,97,104.2,111.2,119.6,127.3,137.6,151.7,163.9,163.2,170.9,186.5
"13","6","Nondurable goods","B004RX1",1484,1480.5,1510.1,1550.4,1603.9,1638.6,1680.4,1725.3,1794.4,1876.6,1947.2,1986.7,2037.4,2112.4
"14","7","  Food","A168RX1",784.4,783.3,787.9,802.2,821.8,827.1,834.7,845.2,865.6,893.6,925.2,940.2,958.4,995.1
"15","8","  Clothing and shoes","A169RX1",188.2,188.8,199.2,207.4,218.5,227.4,238.7,246,263.1,282.7,297.7,303.7,316.7,330.2
"16","9","  Gasoline, fuel oil, and other energy goods","A173RX1",158.4,156.7,162.8,166.9,169.7,173,176.2,179.7,186.3,192.7,191.5,193.4,196,197.3
"17","10","    Gasoline and oil","C170RX1",141.8,140.3,146,149.7,151.7,154.5,157.9,162.8,170.3,176.3,175.7,178.3,180.7,182
"18","11","    Fuel oil and coal","A171RX1",16.7,16.6,17,17.4,18.2,18.7,18.4,16.9,16,16.4,15.8,15.2,15.4,15.4
"19","12","  Other","A172RX1",361,359.3,366,379,397.7,414.1,432.9,456.6,481.1,508.6,532.9,549.2,566.3,589.6
"20","13","Services","B005RX1",2851.7,2900,3000.8,3085.7,3176.6,3259.9,3356,3468,3615,3758,3928.8,4023.2,4128.6,4220.3
