"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Current receipts","W021RC1","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,197,034.0","4,074,017.0","3,726,928.0"
"20","2","Current tax receipts","W054RC1","228,430.0","229,213.0","240,305.0","273,830.0","299,293.0","328,111.0","334,276.0","383,623.0","430,954.0","484,755.0","537,911.0","585,567.0","663,469.0","659,496.0","694,058.0","762,526.0","823,923.0","868,790.0","965,732.0","1,018,934.0","1,109,155.0","1,161,334.0","1,179,896.0","1,239,693.0","1,317,773.0","1,425,587.0","1,516,693.0","1,641,509.0","1,780,002.0","1,910,756.0","2,035,792.0","2,202,822.0","2,163,699.0","2,002,113.0","2,047,905.0","2,213,194.0","2,546,796.0","2,807,359.0","2,951,167.0","2,780,324.0","2,409,329.0"
"21","3","  Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,308.0","197,519.0","229,397.0","268,666.0","298,855.0","345,165.0","354,110.0","352,325.0","377,412.0","417,339.0","437,217.0","489,058.0","504,938.0","566,095.0","592,708.0","586,625.0","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0","1,488,657.0","1,438,202.0","1,140,025.0"
"22","4","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,791.0","806,802.0","863,402.0","930,176.0","986,809.0","1,027,188.0","1,045,122.0","1,024,703.0"
"23","5","  Taxes on corporate income","W025RC1","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,160.0","420,624.0","280,155.0","231,437.0"
"24","6","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,981.0","12,129.0","13,987.0","14,698.0","16,845.0","13,164.0"
"25","7","Contributions for government social insurance","W782RC1","44,340.0","46,593.0","51,504.0","59,578.0","76,038.0","85,750.0","89,897.0","101,973.0","113,853.0","132,125.0","153,678.0","167,203.0","196,869.0","210,086.0","227,208.0","258,806.0","282,795.0","304,890.0","324,638.0","363,156.0","386,937.0","412,075.0","432,232.0","457,088.0","479,646.0","510,667.0","535,503.0","557,866.0","590,255.0","627,753.0","664,578.0","709,393.0","736,944.0","755,203.0","782,836.0","831,694.0","877,378.0","926,413.0","964,212.0","992,077.0","975,079.0"
"26","8","Income receipts on assets","W058RC1","7,016.0","8,205.0","8,950.0","9,544.0","11,558.0","14,374.0","16,086.0","16,294.0","18,364.0","23,185.0","30,785.0","39,930.0","50,236.0","58,892.0","65,280.0","74,312.0","83,969.0","89,659.0","85,624.0","89,908.0","93,662.0","98,022.0","97,037.0","89,605.0","86,822.0","86,021.0","91,799.0","99,929.0","103,601.0","102,680.0","106,363.0","118,766.0","114,582.0","99,894.0","96,777.0","100,339.0","111,936.0","129,623.0","144,245.0","146,881.0","162,235.0"
"27","9","  Interest and miscellaneous receipts \1\","W059RC1","7,016.0","8,205.0","8,950.0","9,544.0","11,531.0","14,342.0","16,048.0","16,251.0","18,318.0","23,120.0","30,702.0","39,833.0","50,110.0","58,738.0","65,104.0","74,148.0","83,813.0","89,509.0","85,462.0","89,732.0","93,485.0","97,784.0","96,694.0","89,140.0","86,236.0","85,265.0","90,836.0","98,576.0","102,076.0","101,050.0","104,866.0","117,411.0","113,160.0","98,343.0","95,037.0","98,288.0","109,628.0","127,039.0","141,629.0","143,778.0","140,779.0"
"28","10","  Dividends","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,740.0","2,051.0","2,308.0","2,584.0","2,616.0","3,103.0","21,456.0"
"29","11","Current transfer receipts","W060RC1","2,738.0","2,874.0","3,083.0","3,604.0","3,865.0","4,463.0","5,057.0","5,844.0","6,841.0","8,208.0","9,431.0","11,054.0","12,688.0","15,292.0","16,935.0","19,731.0","23,370.0","25,861.0","27,027.0","27,871.0","32,501.0","36,271.0","44,871.0","50,502.0","55,311.0","60,007.0","58,378.0","66,767.0","69,255.0","75,283.0","81,651.0","92,317.0","98,916.0","104,312.0","108,902.0","119,251.0","126,652.0","135,974.0","149,186.0","171,436.0","193,513.0"
"30","12","  From business (net)","W061RC1","1,610.0","1,593.0","1,628.0","1,818.0","2,030.0","2,395.0","2,564.0","2,826.0","3,375.0","4,352.0","5,103.0","6,102.0","6,737.0","8,226.0","8,805.0","10,563.0","12,945.0","13,902.0","13,833.0","13,025.0","16,008.0","17,919.0","22,300.0","24,507.0","26,742.0","29,115.0","25,730.0","31,836.0","31,056.0","35,420.0","37,589.0","43,567.0","45,995.0","47,932.0","48,751.0","52,534.0","55,241.0","59,592.0","66,816.0","81,728.0","98,548.0"
"31","13","  From persons","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0","82,370.0","89,708.0","94,965.0"
"32","14","Current surplus of government enterprises \2\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-16,701.0","-13,228.0"
"33","15","    Current expenditures","W022RC1","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,549.0","3,916,353.0","4,147,899.0","4,430,032.0","4,737,654.0","4,998,778.0"
"34","16","Consumption expenditures","A955RC1","178,164.0","190,120.0","204,656.0","220,778.0","234,811.0","261,660.0","294,615.0","316,605.0","346,557.0","376,487.0","412,258.0","465,868.0","520,593.0","568,133.0","610,529.0","657,568.0","720,088.0","776,109.0","815,112.0","852,755.0","902,928.0","965,962.0","1,015,791.0","1,050,356.0","1,075,369.0","1,108,875.0","1,141,423.0","1,176,732.0","1,222,071.0","1,263,197.0","1,343,910.0","1,426,625.0","1,524,386.0","1,639,872.0","1,756,763.0","1,860,448.0","1,977,867.0","2,093,341.0","2,217,783.0","2,382,802.0","2,411,527.0"
"35","17","Current transfer payments","A084RC1","64,104.0","77,276.0","92,235.0","102,950.0","115,177.0","135,873.0","171,256.0","184,304.0","195,948.0","210,909.0","235,982.0","281,714.0","318,144.0","354,690.0","382,501.0","395,294.0","420,433.0","446,614.0","464,379.0","493,637.0","538,110.0","592,407.0","628,878.0","756,255.0","804,604.0","839,913.0","882,391.0","929,150.0","954,556.0","978,097.0","1,014,864.0","1,071,496.0","1,168,957.0","1,280,904.0","1,354,768.0","1,440,141.0","1,534,851.0","1,631,005.0","1,743,408.0","1,902,653.0","2,164,939.0"
"36","18","  Government social benefits","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,246.0","1,150,775.0","1,257,606.0","1,326,136.0","1,409,223.0","1,493,964.0","1,596,057.0","1,701,190.0","1,857,816.0","2,112,252.0"
"37","19","    To persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,578.0","1,141,337.0","1,247,949.0","1,316,047.0","1,398,575.0","1,482,742.0","1,583,630.0","1,687,921.0","1,842,578.0","2,096,787.0"
"38","20","    To the rest of the world \3\","W016RC1","585.0","721.0","811.0","965.0","1,158.0","1,322.0","1,987.0","2,490.0","2,579.0","2,742.0","3,049.0","3,543.0","4,288.0","4,103.0","3,625.0","3,673.0","4,028.0","4,398.0","4,280.0","4,580.0","5,132.0","6,164.0","6,272.0","6,225.0","6,199.0","6,826.0","6,793.0","7,574.0","7,850.0","8,208.0","8,528.0","8,668.0","9,438.0","9,657.0","10,089.0","10,648.0","11,222.0","12,427.0","13,269.0","15,238.0","15,465.0"
"39","21","  Other current transfer payments to the rest of the world (net) \3\","W017RC1","4,546.0","4,818.0","6,012.0","7,177.0","5,391.0","5,995.0","6,135.0","4,534.0","4,247.0","4,992.0","5,846.0","7,330.0","6,662.0","8,141.0","8,931.0","11,216.0","13,767.0","14,198.0","12,715.0","13,194.0","13,547.0","13,529.0","-25,625.0","20,551.0","21,692.0","19,947.0","15,379.0","20,378.0","16,956.0","17,967.0","18,724.0","22,250.0","18,182.0","23,298.0","28,632.0","30,918.0","40,887.0","34,948.0","42,218.0","44,837.0","52,687.0"
"40","22","Interest payments \1\","A180RC1","20,207.0","23,060.0","24,471.0","26,273.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","208,771.0","216,343.0","230,772.0","247,730.0","272,524.0","294,213.0","311,744.0","312,300.0","312,748.0","322,734.0","353,870.0","364,572.0","370,618.0","371,615.0","357,879.0","362,009.0","341,542.0","312,556.0","298,015.0","306,574.0","342,722.0","372,201.0","414,266.0","399,416.0","361,968.0"
"41","23","  To persons and business \1\","A204RC1","19,430.0","22,036.0","22,627.0","23,589.0","27,438.0","31,345.0","35,441.0","41,767.0","45,272.0","51,564.0","61,810.0","76,388.0","99,424.0","119,628.0","137,883.0","166,129.0","185,642.0","191,718.0","204,554.0","216,015.0","234,160.0","253,443.0","270,872.0","273,219.0","273,372.0","278,542.0","298,247.0","297,954.0","288,917.0","287,461.0","277,354.0","277,492.0","263,161.0","237,648.0","224,181.0","224,038.0","238,848.0","237,222.0","249,915.0","232,817.0","217,971.0"
"42","24","  To the rest of the world","B093RC1","777.0","1,024.0","1,844.0","2,684.0","3,836.0","4,262.0","4,542.0","4,520.0","5,542.0","8,674.0","11,122.0","12,684.0","17,313.0","19,282.0","18,993.0","21,155.0","23,129.0","24,625.0","26,218.0","31,715.0","38,364.0","40,770.0","40,872.0","39,081.0","39,376.0","44,192.0","55,623.0","66,618.0","81,701.0","84,154.0","80,525.0","84,517.0","78,381.0","74,908.0","73,834.0","82,536.0","103,874.0","134,979.0","164,351.0","166,599.0","143,997.0"
"43","25","Subsidies \2\","A107RC1","4,534.0","4,777.0","4,675.0","6,636.0","5,230.0","3,307.0","4,494.0","5,125.0","7,100.0","8,936.0","8,531.0","9,800.0","11,473.0","15,017.0","21,304.0","21,065.0","21,360.0","24,895.0","30,282.0","29,502.0","27,428.0","26,993.0","27,488.0","30,088.0","36,681.0","32,523.0","34,812.0","35,234.0","33,810.0","36,368.0","45,209.0","45,840.0","58,722.0","41,390.0","49,057.0","46,386.0","60,913.0","51,352.0","54,575.0","52,783.0","60,344.0"
"44","26","Less: Wage accruals less disbursements","A184RC1","0.0","0.0","209.0","333.0","-12.0","-480.0","100.0","100.0","100.0","271.0","-181.0","-40.0","59.0","-4.0","-445.0","220.0","-230.0","0.0","0.0","0.0","0.0","50.0","-50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"45","27","    Net government saving","A922RC1","16,535.0","-8,380.0","-22,226.0","-9,271.0","3,883.0","-5,158.0","-68,173.0","-46,289.0","-32,994.0","-10,227.0","-961.0","-47,833.0","-49,202.0","-137,468.0","-171,354.0","-147,527.0","-156,262.0","-173,882.0","-137,367.0","-121,182.0","-113,806.0","-170,256.0","-224,242.0","-303,879.0","-281,169.0","-212,163.0","-196,993.0","-125,263.0","-23,838.0","80,489.0","140,618.0","226,472.0","24,581.0","-306,855.0","-415,213.0","-387,828.0","-257,082.0","-152,745.0","-232,998.0","-663,637.0","-1,271,850.0"
"46","28","Social insurance funds","A221RC1","5,856.0","1,141.0","-2,778.0","-381.0","6,187.0","3,587.0","-15,814.0","-15,420.0","-13,072.0","-3,209.0","1,729.0","-14,455.0","-12,974.0","-33,150.0","-36,645.0","-7,933.0","2,193.0","7,515.0","16,651.0","41,574.0","44,973.0","44,358.0","27,017.0","8,504.0","7,025.0","19,991.0","19,668.0","15,732.0","30,115.0","59,974.0","94,246.0","116,262.0","90,745.0","51,216.0","40,944.0","57,164.0","56,433.0","17,031.0","-1,116.0","-53,221.0","-249,834.0"
"47","29","Other","A391RC1","10,679.0","-9,522.0","-19,448.0","-8,890.0","-2,304.0","-8,745.0","-52,360.0","-30,870.0","-19,922.0","-7,018.0","-2,690.0","-33,378.0","-36,228.0","-104,318.0","-134,709.0","-139,594.0","-158,455.0","-181,397.0","-154,019.0","-162,756.0","-158,778.0","-214,615.0","-251,259.0","-312,383.0","-288,193.0","-232,154.0","-216,661.0","-140,995.0","-53,953.0","20,515.0","46,372.0","110,210.0","-66,163.0","-358,071.0","-456,157.0","-444,992.0","-313,516.0","-169,776.0","-231,882.0","-610,415.0","-1,022,016.0"
"48",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","30","  Total receipts","W066RC1","288,169.0","291,617.0","309,399.0","353,837.0","396,988.0","438,067.0","448,523.0","513,168.0","576,601.0","653,261.0","736,464.0","807,439.0","926,948.0","949,389.0","1,008,591.0","1,121,824.0","1,223,554.0","1,300,098.0","1,413,754.0","1,513,556.0","1,639,619.0","1,725,024.0","1,775,306.0","1,860,915.0","1,965,870.0","2,112,110.0","2,235,542.0","2,403,535.0","2,584,191.0","2,762,159.0","2,939,185.0","3,168,082.0","3,155,610.0","3,000,515.0","3,071,358.0","3,295,975.0","3,691,606.0","4,028,263.0","4,228,755.0","4,107,928.0","3,752,228.0"
"50","31","    Current receipts","W021RC1","283,544.0","286,853.0","303,602.0","347,033.0","390,387.0","431,769.0","442,075.0","505,932.0","567,325.0","646,072.0","728,923.0","798,661.0","917,686.0","939,286.0","1,000,301.0","1,113,464.0","1,214,620.0","1,290,079.0","1,403,178.0","1,502,442.0","1,627,184.0","1,709,269.0","1,759,709.0","1,845,120.0","1,948,233.0","2,091,882.0","2,215,503.0","2,380,425.0","2,557,217.0","2,729,766.0","2,902,480.0","3,132,442.0","3,118,188.0","2,967,867.0","3,043,390.0","3,265,721.0","3,659,271.0","3,995,154.0","4,197,034.0","4,074,017.0","3,726,928.0"
"51","32","    Capital transfer receipts","W067RC1","4,625.0","4,764.0","5,797.0","6,804.0","6,601.0","6,298.0","6,448.0","7,236.0","9,276.0","7,189.0","7,541.0","8,778.0","9,262.0","10,103.0","8,290.0","8,360.0","8,934.0","10,019.0","10,576.0","11,114.0","12,435.0","15,755.0","15,597.0","15,795.0","17,637.0","20,228.0","20,039.0","23,110.0","26,974.0","32,393.0","36,705.0","35,640.0","37,422.0","32,648.0","27,968.0","30,254.0","32,335.0","33,109.0","31,721.0","33,911.0","25,300.0"
"52","33","  Total expenditures","W068RC1","286,747.0","313,165.0","340,693.0","370,680.0","400,749.0","453,810.0","535,247.0","575,621.0","622,573.0","685,159.0","763,138.0","883,092.0","1,000,471.0","1,110,693.0","1,210,383.0","1,312,225.0","1,439,077.0","1,538,579.0","1,622,113.0","1,700,215.0","1,821,349.0","1,976,861.0","2,076,654.0","2,233,995.0","2,304,124.0","2,374,360.0","2,480,079.0","2,583,189.0","2,657,965.0","2,735,185.0","2,874,801.0","3,021,520.0","3,220,751.0","3,422,889.0","3,624,638.0","3,827,033.0","4,109,918.0","4,319,822.0","4,636,850.0","5,020,229.0","5,344,948.0"
"53","34","    Current expenditures","W022RC1","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,549.0","3,916,353.0","4,147,899.0","4,430,032.0","4,737,654.0","4,998,778.0"
"54","35","    Gross government investment","A782RC1","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","456,460.0","495,531.0","503,378.0"
"55","36","    Capital transfer payments","W069RC1","79.0","130.0","155.0","224.0","194.0","259.0","298.0","249.0","225.0","251.0","351.0","404.0","324.0","312.0","139.0","106.0","147.0","111.0","138.0","134.0","348.0","7,373.0","5,299.0","228.0","828.0","1,244.0","641.0","201.0","403.0","245.0","4,479.0","370.0","283.0","4,153.0","17,119.0","21,619.0","42,335.0","18,368.0","29,134.0","104,616.0","161,763.0"
"56","37","    Net purchases of nonproduced assets","AD07RC1","1,092.0","836.0","1,196.0","949.0","-1,472.0","-3,782.0","1,530.0","-618.0","154.0","994.0","-1,133.0","-2,264.0","-3,533.0","-1,583.0","-2,676.0","-1,343.0","1,915.0","693.0","3,759.0","4,208.0","4,190.0","5,000.0","6,031.0","6,114.0","6,096.0","6,369.0","-815.0","2,239.0","-1,761.0","1,790.0","8,253.0","8,350.0","9,454.0","11,489.0","11,248.0","11,386.0","9,780.0","-2,211.0","12,540.0","-5,258.0","6,312.0"
"57","38","    Less: Consumption of fixed capital","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","312,314.0","325,283.0"
"58","39","  Net lending or net borrowing (-)","AD01RC1","1,422.0","-21,548.0","-31,294.0","-16,843.0","-3,761.0","-15,743.0","-86,724.0","-62,453.0","-45,972.0","-31,898.0","-26,674.0","-75,653.0","-73,523.0","-161,304.0","-201,792.0","-190,401.0","-215,523.0","-238,481.0","-208,359.0","-186,659.0","-181,730.0","-251,837.0","-301,348.0","-373,080.0","-338,254.0","-262,250.0","-244,537.0","-179,654.0","-73,774.0","26,974.0","64,384.0","146,562.0","-65,141.0","-422,374.0","-553,280.0","-531,058.0","-418,312.0","-291,559.0","-408,095.0","-912,301.0","-1,592,720.0"
