"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 16, 2009 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2010 2:01:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"19","1","Personal income","A065RC1","5,347,262.0","5,568,148.0","5,874,816.0","6,200,911.0","6,591,578.0","7,000,742.0","7,525,376.0","7,910,833.0","8,559,433.0","8,883,292.0","9,060,097.0","9,378,125.0","9,937,238.0","10,485,882.0","11,268,077.0"
"20","2","  Compensation of employees, received","W209RC1","3,647,184.0","3,790,648.0","3,980,915.0","4,178,809.0","4,387,716.0","4,668,553.0","5,023,947.0","5,348,788.0","5,788,849.0","5,979,318.0","6,110,816.0","6,367,589.0","6,708,407.0","7,060,041.0","7,475,746.0"
"21","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0"
"22","4","  Rental income of persons with capital consumption adjustment","A048RC1","84,619.0","114,089.0","142,914.0","154,567.0","170,440.0","176,548.0","191,468.0","208,156.0","215,275.0","232,371.0","218,738.0","204,163.0","198,383.0","178,210.0","146,520.0"
"23","5","  Personal income receipts on assets","W210RC1","909,722.0","900,453.0","947,667.0","1,005,363.0","1,080,741.0","1,165,451.0","1,269,164.0","1,246,789.0","1,360,679.0","1,345,968.0","1,309,562.0","1,312,896.0","1,408,483.0","1,541,986.0","1,829,676.0"
"24","6","    Personal interest income","A064RC1","722,160.0","698,109.0","712,700.0","751,922.0","784,372.0","835,771.0","919,345.0","910,889.0","984,168.0","976,472.0","911,857.0","889,775.0","860,199.0","986,974.0","1,127,482.0"
"25","7","    Personal dividend income","B703RC1","187,562.0","202,344.0","234,967.0","253,441.0","296,369.0","329,680.0","349,819.0","335,900.0","376,511.0","369,496.0","397,705.0","423,121.0","548,284.0","555,012.0","702,194.0"
"26","8","  Personal current transfer receipts","A577RC1","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,012.0","1,188,105.0","1,282,143.0","1,341,748.0","1,415,517.0","1,508,578.0","1,605,003.0"
"27","9","    Government social benefits to persons","A063RC1","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,578.0","1,141,337.0","1,247,949.0","1,316,047.0","1,398,575.0","1,482,742.0","1,583,630.0"
"28","10","    Other current transfer receipts, from business (net)","B931RC1","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,194.0","25,701.0","16,942.0","25,836.0","21,373.0"
"29","11","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0"
"30","12","Less: Personal current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0"
"31","13","Equals: Disposable personal income","A067RC1","4,736,731.0","4,921,615.0","5,184,312.0","5,457,013.0","5,759,623.0","6,074,591.0","6,498,949.0","6,803,307.0","7,327,174.0","7,648,460.0","8,009,679.0","8,377,778.0","8,889,417.0","9,277,293.0","9,915,675.0"
"32","14","Less: Personal outlays","A068RC1","4,388,664.0","4,636,229.0","4,913,629.0","5,170,756.0","5,478,482.0","5,794,167.0","6,157,471.0","6,595,527.0","7,114,078.0","7,443,544.0","7,727,479.0","8,088,023.0","8,585,686.0","9,149,601.0","9,680,723.0"
"33","15","        Personal consumption expenditures","DPCERC1","4,236,891.0","4,483,594.0","4,750,806.0","4,987,280.0","5,273,608.0","5,570,626.0","5,918,488.0","6,342,784.0","6,830,371.0","7,148,807.0","7,439,191.0","7,804,013.0","8,285,080.0","8,819,002.0","9,322,662.0"
"34","16","        Personal interest payments \1\","B069RC1","111,286.0","106,996.0","113,001.0","130,573.0","147,308.0","159,679.0","169,454.0","176,504.0","200,308.0","203,735.0","191,274.0","182,669.0","190,289.0","210,834.0","230,082.0"
"35","17","        Personal current transfer payments","W211RC1","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","76,239.0","83,399.0","91,002.0","97,014.0","101,341.0","110,317.0","119,765.0","127,979.0"
"36","18","          To government","W062RC1","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,151.0","66,717.0","71,411.0","76,382.0"
"37","19","          To the rest of the world (net)","B070RC1","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,634.0","41,190.0","43,600.0","48,354.0","51,597.0"
