"","Table 2#7A# Wage and Salary Disbursements by Industry, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Wage and salary disbursements","A576RC1","495,596.0","498,217.0","503,387.0","507,273.0","511,310.0","515,566.0","521,930.0","526,925.0","530,430.0","533,952.0","536,432.0","538,970.0","539,966.0","542,295.0","545,536.0","550,527.0","551,972.0","551,094.0","554,308.0","556,324.0","557,638.0","554,412.0","555,194.0","559,456.0","567,499.0","570,072.0","572,844.0","576,378.0","581,140.0","582,708.0","584,326.0","589,887.0","590,154.0","591,739.0","595,289.0","605,559.0","613,510.0","620,603.0","624,075.0","628,029.0","630,603.0","633,990.0","636,202.0","642,892.0","648,764.0","656,287.0","662,043.0","668,361.0","676,253.0","684,352.0","689,354.0","695,453.0","699,975.0","705,636.0","711,544.0","715,257.0","721,826.0","728,620.0","736,770.0","740,773.0","744,185.0","748,439.0","751,924.0","756,744.0","766,118.0","774,712.0","781,055.0","783,460.0","789,194.0","795,267.0","790,742.0","791,308.0","792,476.0","790,180.0","792,803.0","793,626.0","800,769.0","806,404.0","811,088.0","823,244.0","829,248.0","837,934.0","846,287.0","852,793.0","865,084.0","871,881.0","876,393.0","883,469.0","890,905.0","893,472.0","900,786.0","909,534.0","914,736.0","920,254.0","931,101.0","938,131.0","939,469.0","950,655.0","959,701.0","969,950.0","981,669.0","990,809.0","999,627.0","1,005,583.0","1,017,006.0","1,030,650.0","1,038,669.0","1,044,909.0","1,051,730.0","1,062,456.0","1,078,149.0","1,096,229.0","1,103,650.0","1,117,677.0","1,127,569.0","1,135,625.0","1,146,674.0","1,163,859.0","1,173,805.0","1,186,161.0","1,196,500.0","1,206,912.0","1,221,301.0","1,223,081.0","1,233,736.0","1,247,912.0","1,258,776.0","1,266,903.0","1,279,242.0","1,289,758.0","1,302,259.0","1,315,560.0","1,323,253.0","1,334,676.0","1,347,175.0","1,346,077.0","1,349,622.0","1,357,401.0","1,360,264.0","1,377,437.0","1,390,474.0","1,415,428.0","1,433,840.0","1,445,894.0","1,460,223.0","1,467,782.0","1,479,185.0","1,487,836.0","1,494,777.0","1,505,981.0","1,516,314.0","1,531,356.0","1,537,764.0","1,547,842.0","1,554,041.0","1,552,666.0","1,561,347.0","1,569,862.0","1,570,774.0","1,571,519.0","1,584,079.0","1,587,100.0","1,594,596.0","1,597,769.0","1,595,706.0","1,600,295.0","1,603,449.0","1,613,756.0","1,622,420.0","1,618,058.0","1,628,792.0","1,641,053.0","1,659,704.0","1,668,361.0","1,683,673.0","1,689,966.0","1,703,008.0","1,730,768.0","1,737,551.0","1,752,139.0","1,772,977.0","1,784,897.0","1,797,176.0","1,819,174.0","1,823,381.0","1,841,470.0","1,856,278.0","1,863,439.0","1,880,596.0","1,882,645.0","1,898,516.0","1,915,786.0","1,920,688.0","1,929,775.0","1,950,522.0","1,951,870.0","1,961,450.0","1,979,532.0","1,981,154.0","1,995,446.0","2,011,717.0","2,022,892.0","2,032,061.0","2,056,255.0"
"21","2","Private industries","A132RC1","394,736.0","396,925.0","401,687.0","404,817.0","408,206.0","411,790.0","414,818.0","418,589.0","421,386.0","424,524.0","426,620.0","428,690.0","428,870.0","430,467.0","432,880.0","431,067.0","432,116.0","434,466.0","437,044.0","438,256.0","436,870.0","435,120.0","435,470.0","439,312.0","444,391.0","446,100.0","448,296.0","451,218.0","455,524.0","456,660.0","457,594.0","460,623.0","462,966.0","464,503.0","466,529.0","474,339.0","479,002.0","485,579.0","489,363.0","492,645.0","494,715.0","497,742.0","499,078.0","504,400.0","509,192.0","516,187.0","520,551.0","526,257.0","532,049.0","539,284.0","543,722.0","548,729.0","552,687.0","557,724.0","562,864.0","565,557.0","571,478.0","576,100.0","583,290.0","586,597.0","589,301.0","592,811.0","595,516.0","599,580.0","607,922.0","613,864.0","616,763.0","621,724.0","627,002.0","629,895.0","623,774.0","623,092.0","623,528.0","619,816.0","620,891.0","620,346.0","626,337.0","631,036.0","634,496.0","645,716.0","650,256.0","656,722.0","664,019.0","670,009.0","681,352.0","687,177.0","690,789.0","697,097.0","703,609.0","705,612.0","712,086.0","720,150.0","724,668.0","727,426.0","736,893.0","743,215.0","743,665.0","754,023.0","762,193.0","771,482.0","782,085.0","790,169.0","797,523.0","801,943.0","812,058.0","822,018.0","828,249.0","833,433.0","838,861.0","848,472.0","863,422.0","880,385.0","886,606.0","899,277.0","907,649.0","914,625.0","924,570.0","938,159.0","946,725.0","957,869.0","965,948.0","976,312.0","989,441.0","989,285.0","1,000,240.0","1,013,132.0","1,021,884.0","1,028,331.0","1,039,770.0","1,045,530.0","1,056,087.0","1,068,176.0","1,073,489.0","1,083,232.0","1,094,087.0","1,090,841.0","1,091,410.0","1,097,653.0","1,098,716.0","1,114,281.0","1,126,178.0","1,143,339.0","1,159,904.0","1,170,399.0","1,182,837.0","1,189,005.0","1,199,184.0","1,206,850.0","1,212,638.0","1,222,688.0","1,231,759.0","1,245,647.0","1,248,369.0","1,253,470.0","1,258,293.0","1,255,548.0","1,262,018.0","1,269,490.0","1,268,827.0","1,268,289.0","1,279,575.0","1,281,171.0","1,285,267.0","1,289,352.0","1,286,081.0","1,286,190.0","1,287,475.0","1,296,026.0","1,304,044.0","1,298,717.0","1,308,484.0","1,319,392.0","1,332,868.0","1,344,007.0","1,358,437.0","1,360,005.0","1,375,539.0","1,402,347.0","1,407,812.0","1,420,962.0","1,436,509.0","1,445,990.0","1,456,082.0","1,476,284.0","1,478,743.0","1,495,090.0","1,507,310.0","1,511,620.0","1,526,588.0","1,527,533.0","1,541,953.0","1,557,616.0","1,557,386.0","1,564,101.0","1,583,212.0","1,580,120.0","1,591,430.0","1,608,035.0","1,606,982.0","1,618,600.0","1,632,293.0","1,642,569.0","1,648,550.0","1,670,968.0"
"22","3","  Goods-producing industries","A206RC1","192,815.0","193,385.0","196,090.0","197,552.0","198,911.0","200,205.0","201,981.0","203,368.0","204,443.0","205,284.0","204,938.0","205,965.0","204,879.0","205,262.0","206,352.0","204,978.0","203,443.0","204,499.0","205,413.0","205,053.0","202,798.0","199,658.0","199,152.0","203,224.0","205,234.0","204,837.0","205,416.0","206,905.0","208,976.0","209,332.0","209,519.0","209,740.0","210,194.0","211,007.0","211,926.0","215,791.0","218,320.0","221,114.0","223,456.0","224,712.0","225,860.0","226,404.0","226,097.0","229,326.0","231,798.0","234,878.0","237,399.0","239,421.0","243,134.0","246,985.0","248,219.0","250,409.0","252,407.0","254,844.0","257,473.0","257,839.0","260,464.0","263,346.0","266,598.0","268,568.0","268,900.0","270,607.0","271,107.0","272,198.0","275,938.0","278,125.0","278,561.0","281,430.0","282,802.0","284,180.0","277,558.0","276,008.0","274,556.0","269,745.0","269,134.0","268,631.0","270,921.0","272,501.0","273,727.0","278,800.0","282,339.0","285,075.0","287,746.0","292,169.0","298,044.0","300,096.0","302,152.0","304,409.0","306,821.0","307,262.0","310,376.0","313,386.0","314,571.0","315,435.0","320,785.0","323,098.0","322,697.0","328,343.0","333,278.0","338,080.0","342,589.0","347,586.0","349,916.0","351,523.0","355,998.0","359,165.0","361,702.0","361,760.0","361,803.0","366,590.0","374,291.0","384,659.0","387,138.0","392,248.0","396,128.0","398,616.0","403,042.0","408,059.0","414,058.0","418,744.0","421,078.0","425,072.0","431,695.0","430,910.0","437,494.0","441,607.0","444,897.0","445,696.0","450,523.0","452,524.0","454,367.0","460,744.0","461,936.0","465,331.0","467,562.0","464,546.0","461,986.0","461,641.0","459,022.0","468,506.0","474,549.0","481,937.0","489,787.0","496,023.0","499,199.0","497,217.0","503,047.0","505,778.0","508,434.0","514,027.0","518,102.0","522,234.0","521,595.0","523,791.0","522,446.0","519,516.0","519,571.0","521,714.0","520,143.0","516,653.0","518,390.0","516,912.0","514,639.0","512,004.0","508,578.0","505,055.0","503,039.0","504,284.0","508,538.0","506,917.0","508,286.0","512,313.0","516,273.0","521,045.0","526,703.0","530,047.0","538,512.0","544,607.0","549,882.0","554,125.0","560,890.0","567,595.0","570,429.0","576,834.0","579,410.0","585,337.0","588,228.0","592,083.0","593,127.0","594,533.0","598,322.0","602,525.0","605,657.0","604,818.0","617,029.0","610,094.0","612,602.0","615,092.0","615,311.0","618,843.0","620,379.0","626,566.0","625,982.0","630,391.0"
"23","4","    Manufacturing","A552RC1","152,324.0","152,655.0","154,796.0","155,445.0","156,189.0","157,513.0","158,961.0","160,286.0","160,906.0","161,469.0","160,735.0","161,342.0","160,864.0","160,287.0","161,230.0","160,060.0","159,194.0","159,487.0","160,094.0","159,001.0","157,139.0","153,640.0","152,780.0","156,930.0","158,629.0","158,661.0","158,643.0","158,963.0","160,729.0","160,800.0","160,640.0","160,372.0","160,442.0","161,580.0","162,018.0","165,052.0","166,541.0","169,537.0","171,656.0","172,856.0","173,632.0","174,621.0","174,277.0","176,506.0","178,434.0","180,726.0","183,198.0","185,324.0","187,039.0","190,381.0","191,449.0","193,465.0","194,490.0","195,640.0","197,572.0","197,816.0","199,496.0","201,973.0","204,249.0","205,306.0","205,396.0","205,708.0","206,661.0","207,716.0","211,097.0","213,159.0","214,741.0","215,896.0","217,140.0","218,319.0","214,968.0","211,328.0","207,790.0","204,834.0","204,757.0","205,256.0","206,557.0","207,982.0","209,156.0","213,829.0","216,595.0","218,611.0","220,229.0","223,688.0","227,859.0","230,234.0","232,140.0","233,745.0","235,872.0","236,720.0","238,833.0","241,347.0","242,163.0","242,225.0","246,777.0","248,636.0","249,413.0","253,358.0","256,509.0","259,710.0","263,830.0","267,546.0","269,501.0","271,292.0","273,878.0","276,264.0","277,993.0","281,190.0","281,079.0","285,095.0","290,057.0","293,487.0","295,226.0","298,259.0","301,263.0","303,021.0","306,628.0","310,579.0","315,461.0","319,786.0","322,167.0","324,875.0","328,738.0","327,210.0","332,273.0","335,340.0","337,713.0","337,246.0","340,885.0","342,567.0","343,184.0","348,053.0","348,975.0","351,274.0","354,050.0","351,354.0","348,792.0","347,789.0","346,610.0","353,887.0","358,406.0","364,372.0","370,797.0","375,527.0","377,122.0","375,458.0","380,109.0","384,847.0","388,167.0","389,929.0","391,101.0","393,985.0","393,084.0","394,101.0","391,683.0","388,937.0","389,106.0","391,139.0","389,508.0","387,082.0","388,270.0","388,096.0","386,510.0","384,906.0","382,840.0","379,760.0","379,054.0","379,764.0","382,427.0","383,415.0","385,927.0","389,514.0","393,412.0","396,785.0","401,267.0","403,335.0","410,345.0","415,075.0","419,621.0","422,704.0","427,775.0","432,400.0","435,100.0","439,769.0","440,719.0","443,922.0","447,449.0","450,358.0","451,816.0","453,859.0","456,343.0","459,375.0","461,365.0","458,734.0","470,259.0","462,168.0","464,026.0","466,320.0","466,941.0","469,163.0","469,435.0","475,751.0","474,787.0","477,678.0"
"24","5","  Distributive industries","A212RC1","115,952.0","116,996.0","118,325.0","119,339.0","120,381.0","121,451.0","122,073.0","123,397.0","124,108.0","125,143.0","126,326.0","126,988.0","127,581.0","128,333.0","129,202.0","128,391.0","130,309.0","131,021.0","132,166.0","133,007.0","133,127.0","133,702.0","133,985.0","133,781.0","135,584.0","136,748.0","137,230.0","138,324.0","139,684.0","140,196.0","140,045.0","141,943.0","143,144.0","142,772.0","142,908.0","146,244.0","147,144.0","150,031.0","150,071.0","150,604.0","150,903.0","152,615.0","153,001.0","154,202.0","155,004.0","157,204.0","158,474.0","160,689.0","161,812.0","163,878.0","165,724.0","166,907.0","168,337.0","169,888.0","170,840.0","172,368.0","173,920.0","174,970.0","177,233.0","177,481.0","179,252.0","179,769.0","180,864.0","182,985.0","185,280.0","186,800.0","188,582.0","189,181.0","191,490.0","192,472.0","192,420.0","191,970.0","192,715.0","192,195.0","192,441.0","192,360.0","194,464.0","196,174.0","197,518.0","201,173.0","201,740.0","203,794.0","205,858.0","207,043.0","210,477.0","212,280.0","213,291.0","215,351.0","217,328.0","217,971.0","219,889.0","222,204.0","224,462.0","224,730.0","227,088.0","229,147.0","228,594.0","232,441.0","234,268.0","236,839.0","240,143.0","241,890.0","244,568.0","245,069.0","248,071.0","251,336.0","253,494.0","256,131.0","257,617.0","260,645.0","264,600.0","267,693.0","269,760.0","273,165.0","274,470.0","277,046.0","279,486.0","284,377.0","286,266.0","290,593.0","293,159.0","295,639.0","299,371.0","297,199.0","300,934.0","305,809.0","307,254.0","310,485.0","313,828.0","316,023.0","320,810.0","322,614.0","324,180.0","326,527.0","330,156.0","328,734.0","329,501.0","330,258.0","332,609.0","334,999.0","338,200.0","344,226.0","347,497.0","349,116.0","354,141.0","357,652.0","359,482.0","362,607.0","362,950.0","365,247.0","366,812.0","370,635.0","373,411.0","372,126.0","374,236.0","373,276.0","375,948.0","378,634.0","378,237.0","378,720.0","383,190.0","383,946.0","384,920.0","387,328.0","385,944.0","387,150.0","388,168.0","391,531.0","389,930.0","387,339.0","392,189.0","395,562.0","399,257.0","402,441.0","406,266.0","403,606.0","405,590.0","417,393.0","417,826.0","422,648.0","426,432.0","427,141.0","430,024.0","436,472.0","436,316.0","441,903.0","445,763.0","445,429.0","450,438.0","450,365.0","456,079.0","458,817.0","457,914.0","461,321.0","464,488.0","465,081.0","469,585.0","473,862.0","473,130.0","475,751.0","480,177.0","481,246.0","483,919.0","490,191.0"
"25","6","  Service industries","A218RC1","85,968.0","86,545.0","87,271.0","87,926.0","88,915.0","90,134.0","90,765.0","91,825.0","92,837.0","94,098.0","95,357.0","95,736.0","96,410.0","96,872.0","97,326.0","97,698.0","98,364.0","98,946.0","99,465.0","100,196.0","100,945.0","101,760.0","102,333.0","102,307.0","103,573.0","104,515.0","105,650.0","105,989.0","106,864.0","107,132.0","108,030.0","108,940.0","109,628.0","110,724.0","111,695.0","112,304.0","113,538.0","114,434.0","115,836.0","117,329.0","117,952.0","118,723.0","119,980.0","120,872.0","122,390.0","124,105.0","124,678.0","126,147.0","127,103.0","128,421.0","129,779.0","131,413.0","131,943.0","132,992.0","134,551.0","135,350.0","137,094.0","137,784.0","139,459.0","140,548.0","141,149.0","142,435.0","143,545.0","144,397.0","146,704.0","148,939.0","149,620.0","151,113.0","152,710.0","153,243.0","153,796.0","155,114.0","156,257.0","157,876.0","159,316.0","159,355.0","160,952.0","162,361.0","163,251.0","165,743.0","166,177.0","167,853.0","170,415.0","170,797.0","172,831.0","174,801.0","175,346.0","177,337.0","179,460.0","180,379.0","181,821.0","184,560.0","185,635.0","187,261.0","189,020.0","190,970.0","192,374.0","193,239.0","194,647.0","196,563.0","199,353.0","200,693.0","203,039.0","205,351.0","207,989.0","211,517.0","213,053.0","215,542.0","219,441.0","221,237.0","224,532.0","228,032.0","229,708.0","233,864.0","237,052.0","238,963.0","242,041.0","245,722.0","246,400.0","248,532.0","251,711.0","255,601.0","258,376.0","261,175.0","261,812.0","265,716.0","269,734.0","272,151.0","275,419.0","276,983.0","280,910.0","284,818.0","287,373.0","291,374.0","296,369.0","297,561.0","299,924.0","305,754.0","307,085.0","310,776.0","313,429.0","317,176.0","322,620.0","325,259.0","329,497.0","334,136.0","336,655.0","338,465.0","341,254.0","343,414.0","346,845.0","352,778.0","353,362.0","357,553.0","361,611.0","362,755.0","366,499.0","369,142.0","370,447.0","372,917.0","377,994.0","380,313.0","385,709.0","390,020.0","391,559.0","393,985.0","396,268.0","400,212.0","405,575.0","404,461.0","408,010.0","411,517.0","417,338.0","420,521.0","425,468.0","426,352.0","431,437.0","440,347.0","440,104.0","444,189.0","449,187.0","451,254.0","455,629.0","462,978.0","463,018.0","467,851.0","473,318.0","474,108.0","483,023.0","482,635.0","487,552.0","496,274.0","493,814.0","497,962.0","501,694.0","504,946.0","509,243.0","519,081.0","518,541.0","524,006.0","531,737.0","534,756.0","538,650.0","550,386.0"
