"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RX1","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0"
"21","2","Farm \1\","B018RX1","3,929.0","4,424.0","-2,462.0","-5,806.0","3,357.0","1,853.0","-4,418.0","-10,322.0","6,633.0","10,730.0","5,809.0","-6,763.0","76.0","6,782.0","1,918.0","-7,113.0","-10,676.0","11,995.0","3,521.0","2,320.0","-5,192.0","941.0","1,727.0","-14,988.0","16,364.0","5,417.0","-1,048.0","2,265.0","98.0","-1,903.0","5,357.0","-9,838.0","-7,007.0","11,260.0","16,261.0","8,422.0","-3,573.0","185.0","11,115.0","526.0","6,648.0","5,301.0","6,966.0","-1,943.0","-2,595.0","-5,892.0","-14,157.0","-6,027.0","10,341.0","10,910.0","14,472.0","4,477.0","6,669.0","6,408.0","12,010.0","4,930.0","-10,386.0","-12,573.0","-37,699.0","-9,043.0","7,379.0","6,435.0","8,111.0","3,344.0","8,351.0","4,805.0","9,104.0","5,868.0","1,729.0","-5,918.0","-4,299.0","-573.0","-9,718.0","-14,482.0","-5,222.0","-6,992.0","-7,613.0","-15,170.0","-11,407.0","-18,256.0","7,774.0","3,597.0","-5,820.0","-5,607.0","1,702.0","-2,610.0","4,424.0","6,661.0","742.0","-461.0","-13,769.0","6,127.0","10,529.0","10,873.0","4,655.0","2,358.0","-6,185.0","-5,341.0","-14,222.0","-4,138.0","19,415.0","21,047.0","10,621.0","3,737.0","-5,867.0","-13,593.0","-26,443.0","-6,232.0","-2,946.0","7,397.0","27,433.0","1,292.0","-10,773.0","8,235.0","10,061.0","7,194.0"
"22","3","Nonfarm","B015RX1","32,992.0","26,556.0","38,641.0","25,459.0","-3.0","14,869.0","21,909.0","-2,230.0","31,327.0","20,634.0","25,155.0","5,420.0","11,135.0","30,641.0","38,534.0","26,464.0","42,885.0","38,307.0","19,952.0","60,942.0","39,737.0","39,606.0","11,669.0","64,929.0","-38,336.0","-38,560.0","-4,958.0","-3,670.0","33,215.0","51,827.0","38,909.0","26,481.0","33,004.0","27,787.0","53,802.0","28,077.0","48,907.0","44,220.0","32,341.0","54,115.0","32,984.0","40,376.0","8,238.0","13,415.0","17,442.0","19,334.0","-32,564.0","-5,821.0","44,648.0","1,701.0","42,608.0","23,817.0","-34,262.0","-12,181.0","-5,473.0","-57,532.0","-37,279.0","6,539.0","34,254.0","39,427.0","81,917.0","77,183.0","78,913.0","51,033.0","8,754.0","20,257.0","12,016.0","32,654.0","33,291.0","22,341.0","-5,457.0","-8,480.0","44,514.0","33,107.0","4,084.0","82,547.0","25,072.0","38,042.0","32,569.0","45,892.0","46,591.0","37,596.0","16,904.0","22,291.0","13,326.0","39,941.0","20,340.0","-17,687.0","-18,056.0","-20,601.0","13,061.0","27,091.0","-7,536.0","13,246.0","16,612.0","21,577.0","46,526.0","32,296.0","20,582.0","19,875.0","31,112.0","70,037.0","46,081.0","76,294.0","71,204.0","50,149.0","32,837.0","22,863.0","6,199.0","19,770.0","35,025.0","31,736.0","53,323.0","95,686.0","65,495.0","79,750.0"
"23","4","  Manufacturing","A150RX1","15,431.0","8,169.0","13,736.0","12,962.0","-3,763.0","2,036.0","6,445.0","-4,865.0","1,176.0","-3,948.0","-5,181.0","-5,719.0","2,242.0","7,426.0","16,406.0","4,647.0","18,965.0","20,002.0","17,381.0","28,957.0","17,272.0","25,512.0","19,323.0","31,263.0","-1,202.0","-17,397.0","-14,691.0","-167.0","5,441.0","17,968.0","18,685.0","19,816.0","3,506.0","10,395.0","18,121.0","6,035.0","5,829.0","20,580.0","17,007.0","20,750.0","14,398.0","16,188.0","10,883.0","14,695.0","22,492.0","6,488.0","-24,493.0","-2,829.0","15,788.0","-305.0","11,579.0","-6,760.0","-15,317.0","-18,276.0","-9,147.0","-26,167.0","-39,377.0","6,613.0","12,906.0","17,893.0","29,783.0","48,863.0","43,383.0","5,857.0","-10,084.0","-1,217.0","-9,558.0","-7,150.0","-7,893.0","1,397.0","-12,383.0","2,268.0","-67.0","4,768.0","11,473.0","21,018.0","15,100.0","15,692.0","12,121.0","31,653.0","21,190.0","25,016.0","14,752.0","1,557.0","17,933.0","8,473.0","13,017.0","-332.0","-5,522.0","-18,759.0","-5,151.0","-316.0","-10,972.0","-7,418.0","7,959.0","-10,442.0","2,936.0","10,897.0","5,871.0","-3,751.0","11,588.0","13,792.0","11,448.0","16,413.0","23,369.0","16,774.0","13,822.0","7,905.0","18,968.0","-3,739.0","15,475.0","13,874.0","17,606.0","27,432.0","23,789.0","30,590.0"
"24","5","    Durable goods","C624RX1","11,142.0","5,198.0","6,290.0","12,032.0","-4,228.0","-3,050.0","7,182.0","-5,594.0","-799.0","-6,318.0","-4,946.0","-8,424.0","1,557.0","2,693.0","11,533.0","7,122.0","13,803.0","15,849.0","22,517.0","20,769.0","9,524.0","10,118.0","14,483.0","18,891.0","833.0","-7,653.0","-15,258.0","-12,343.0","-747.0","8,031.0","9,683.0","15,873.0","2,489.0","1,503.0","8,364.0","4,988.0","8,192.0","15,819.0","12,927.0","14,878.0","16,087.0","15,596.0","7,753.0","14,485.0","8,387.0","2,594.0","-12,583.0","1,600.0","8,655.0","-3,120.0","9,613.0","-7,619.0","-15,417.0","-4,652.0","-9,541.0","-21,960.0","-28,311.0","3,410.0","1,595.0","14,316.0","17,603.0","29,809.0","30,427.0","12,609.0","-4,839.0","-540.0","-5,429.0","-12,816.0","-5,098.0","-3,007.0","-7,468.0","-5,591.0","-1,997.0","4,350.0","6,521.0","12,410.0","8,347.0","9,421.0","9,426.0","22,274.0","17,936.0","13,129.0","7,264.0","3,227.0","9,284.0","4,887.0","6,570.0","-1,014.0","-9,623.0","-15,085.0","-5,478.0","-7,803.0","-11,240.0","-7,678.0","-2,031.0","-11,230.0","924.0","6,299.0","6,908.0","1,019.0","8,177.0","10,999.0","6,476.0","11,126.0","12,717.0","9,428.0","11,711.0","10,161.0","16,064.0","2,260.0","13,153.0","7,649.0","9,391.0","17,461.0","16,202.0","18,951.0"
"25","6","    Nondurable goods","C625RX1","3,212.0","2,733.0","8,174.0","-1,184.0","1,435.0","7,084.0","-2,388.0","2,082.0","2,699.0","4,321.0","742.0","5,280.0","541.0","5,513.0","3,832.0","-4,595.0","3,803.0","2,237.0","-10,135.0","6,640.0","7,862.0","16,857.0","3,735.0","12,065.0","-2,513.0","-10,500.0","2,627.0","15,959.0","7,485.0","10,713.0","9,365.0","2,398.0","865.0","10,423.0","10,488.0","508.0","-4,101.0","3,295.0","2,893.0","4,730.0","-4,677.0","-1,787.0","2,626.0","-1,854.0","15,578.0","4,196.0","-12,380.0","-5,434.0","7,229.0","3,648.0","1,082.0","2,049.0","2,301.0","-15,658.0","1,883.0","-1,702.0","-8,893.0","3,340.0","13,524.0","2,010.0","11,977.0","18,344.0","10,722.0","-10,587.0","-5,667.0","-764.0","-4,169.0","9,456.0","-2,640.0","6,188.0","-4,856.0","11,220.0","2,851.0","-321.0","4,964.0","8,437.0","6,876.0","6,071.0","1,630.0","7,620.0","877.0","12,383.0","7,981.0","-2,584.0","9,017.0","3,568.0","6,763.0","944.0","6,230.0","-2,178.0","1,157.0","10,116.0","2,058.0","1,470.0","12,196.0","2,531.0","2,255.0","4,574.0","-2,196.0","-5,809.0","2,922.0","1,812.0","5,019.0","4,818.0","10,769.0","7,329.0","1,219.0","-3,491.0","1,909.0","-6,825.0","1,558.0","6,302.0","8,359.0","9,595.0","7,049.0","11,363.0"
"26","7","  Wholesale trade","A658RX1","10,214.0","10,515.0","8,402.0","3,614.0","8,765.0","6,777.0","9,796.0","10,843.0","397.0","9,068.0","6,510.0","11,128.0","-1,310.0","9,162.0","12,668.0","3,808.0","7,823.0","-1,445.0","-1,176.0","10,201.0","17,478.0","16,820.0","-2,360.0","22,060.0","-10,810.0","-14,359.0","2,727.0","-4,920.0","3,396.0","19,783.0","15,701.0","1,476.0","13,131.0","9,842.0","15,568.0","13,931.0","22,589.0","9,716.0","3,392.0","20,481.0","15,768.0","8,260.0","9,103.0","4,316.0","11,711.0","13,241.0","-14.0","-3,774.0","19,068.0","-8,576.0","1,965.0","10,755.0","-4,775.0","5,067.0","-2,710.0","-7,920.0","-11,510.0","-16,388.0","14,574.0","9,765.0","14,774.0","13,956.0","29,700.0","7,635.0","9,891.0","6,858.0","2,639.0","5,841.0","9,624.0","9,899.0","19,788.0","-5,112.0","1,391.0","6,709.0","-3,226.0","26,018.0","19,935.0","12,148.0","9,854.0","-3,909.0","-3,595.0","16,601.0","2,333.0","-1,080.0","8,205.0","15,734.0","9,365.0","1,662.0","8,101.0","-13,416.0","4,724.0","17,470.0","2,456.0","9,948.0","5,591.0","17,197.0","4,665.0","4,620.0","10,240.0","5,565.0","-1,034.0","18,326.0","18,782.0","28,748.0","20,236.0","15,017.0","13,181.0","5,424.0","3,312.0","5,106.0","-7,459.0","9,830.0","24,320.0","37,426.0","19,103.0","33,286.0"
"27","8","    Durable goods","A661RX1","5,824.0","7,617.0","4,850.0","2,302.0","4,560.0","914.0","6,720.0","2,909.0","1,671.0","4,424.0","5,076.0","8,047.0","719.0","7,645.0","4,744.0","8,030.0","4,981.0","6,595.0","3,722.0","4,057.0","7,676.0","5,937.0","7,798.0","12,936.0","382.0","-7,165.0","-5,217.0","730.0","1,903.0","11,818.0","8,130.0","1,286.0","5,539.0","5,513.0","7,680.0","9,311.0","17,371.0","10,227.0","3,565.0","13,050.0","12,346.0","2,790.0","8,032.0","139.0","4,059.0","7,718.0","-2,452.0","7,615.0","6,286.0","6,300.0","106.0","5,914.0","1,519.0","5,011.0","-5,064.0","-14,977.0","-14,495.0","-8,898.0","5,272.0","7,669.0","9,126.0","8,585.0","17,632.0","7,645.0","2,479.0","2,370.0","-1,430.0","-517.0","3,823.0","5,860.0","8,743.0","-4,809.0","1,713.0","6,784.0","-7,818.0","15,884.0","13,336.0","-3,065.0","13,990.0","-2,552.0","-889.0","11,165.0","-697.0","-4,028.0","4,089.0","6,079.0","6,730.0","-3,970.0","3,153.0","-13,434.0","-1,148.0","10,572.0","-4,666.0","8,585.0","4,277.0","3,948.0","1,300.0","194.0","6,179.0","6,373.0","-452.0","16,240.0","11,547.0","15,985.0","15,414.0","10,433.0","7,040.0","12,805.0","4,037.0","2,268.0","6,399.0","174.0","16,392.0","26,801.0","9,125.0","19,060.0"
