"","Table 4#2#3U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"11","3","  Foods, feeds, and beverages","B638RA3",73.844,77.974,82.424,80.473,80.535,81.234,87.197,81.512,85.342,85.948,83.155,84.893,85.127,84.595,82.458,80.197,84.484,82.8,85.56,85.261,79.635,73.175,78.476,86.193,83.627,85.145,81.025,84.868,88.18,90.57,91.521,90.923,92.715,93.385,101.621,104.974,108.713,107.284,104.262,98.859,94.801,99.248,98.568,107.384,110.86,103.5,109.967,117.027,113.049,110.504,107.496,108.881,102.873,111.861,118.257,102.437,107.057,100.616,110.152,126.868,121.932,116.516,115.817,126.582,119.579,124.007
"12","4","  Industrial supplies and materials","B639RA3",70.129,71.767,72.403,76.088,77.643,77.765,80.562,80.115,78.188,75.848,74.744,74.489,74.402,77.323,76.52,76.499,78.247,77.415,77.905,79.763,82.679,83.853,83.075,84.73,85.252,87.848,85.405,84.109,89.97,92.383,91.079,94.539,94.43,95.765,97.416,100.031,105.527,110.901,110.693,102.991,93.427,95.688,104.099,106.786,110.757,115.449,116.277,119.956,121.433,121.835,122.778,126.584,124.314,126.468,125.212,125.851,125.826,127.818,131.296,136.992,128.551,135.34,138.24,137.593,135.254,137.392
"13","5","    Durable goods","B686RA3",74.202,75.97,77.524,82.185,87.48,88.402,89.007,89.726,86.54,81.844,78.375,76.808,72.917,77.046,76.415,76.116,77.045,78.108,76.79,78.348,84.019,84.466,83.261,84.558,85.456,88.758,92.472,94.898,97.799,98.146,97.511,102.763,101.908,102.953,105.457,108.093,111.326,120.194,119.366,111.607,95.598,95.265,101.75,107.386,111.171,118.657,116.42,121.82,120.096,122.484,121.015,121.048,123.156,123.069,120.547,117.936,121.157,119.517,122.644,124.497,123.463,125.213,129.604,130.678,124.964,123.571
"14","6","    Nondurable goods","B687RA3",68.262,69.838,69.984,73.173,72.824,72.55,76.444,75.435,74.133,72.95,73.03,73.447,75.375,77.648,76.746,76.867,79.034,77.26,78.666,80.684,82.209,83.755,83.186,85.013,85.327,87.553,82.082,78.982,86.284,89.731,88.079,90.623,90.912,92.404,93.628,96.226,102.786,106.546,106.596,98.935,92.383,95.897,105.234,106.486,110.55,113.925,116.192,119.083,121.995,121.55,123.519,128.947,124.801,127.908,127.197,129.244,127.823,131.366,134.991,142.299,130.773,139.649,141.916,140.515,139.781,143.65
"15","7","      Petroleum and products","IB0000063",53.834,57.4,49.986,53.215,48.595,47.823,45.583,48.509,42.242,42.221,44.525,49.243,48.647,47.733,50.08,53.048,55.309,54.056,51.745,54.968,55.948,59.494,60.041,63.642,62.508,66.819,55.151,52.617,62.24,63.674,66.494,68.528,67.904,65.267,69.408,77.935,87.671,91.263,93.816,92.018,90.208,95.684,108.5,105.608,103.295,115.351,119.255,122.504,122.962,126.439,136.222,145.151,134.64,140.143,140.518,150.507,138.546,150.323,162.148,180.786,152.904,172.067,181.112,175.249,175.385,185.083
"16","8","      Nondurable goods, excluding petroleum and products","IB0000053",77.303,78.504,80.306,83.719,84.629,84.529,90.645,88.178,88.532,86.87,86.196,85.332,88.161,91.522,89.656,88.959,91.198,89.142,91.759,93.575,95.406,96.398,95.385,96.59,97.319,98.727,95.786,92.404,98.838,103.39,99.421,102.293,103.053,106.6,106.376,105.91,110.717,114.524,112.901,102.019,93.347,96.001,103.763,106.888,113.984,113.19,114.735,117.528,121.789,119.227,116.733,120.204,119.727,121.399,120.007,117.295,122.13,120.851,119.69,120.302,118.538,121.315,119.615,120.667,119.565,120.848
"17","9","  Capital goods, except automotive","B640RA3",74.324,74.36,78.343,80.993,82.117,88.605,92.6,91.05,90.007,82.058,75.088,72.031,71.196,73.578,74.633,72.066,71.465,71.64,74.622,80.648,82.239,83.168,84.084,84.558,86.853,90.954,90.822,95.889,99.554,102.058,101.722,104.683,106.068,107.858,112.315,114.929,116.883,120.357,120.506,109.857,100.782,96.902,98.146,104.171,107.725,112.595,115.753,118.726,119.74,124.311,125.54,128.217,131.803,131.112,132.831,131.579,130.117,134.105,132.97,134.233,133.997,135.626,137.466,138.005,133.115,134.318
"18","10","    Civilian aircraft, engines, and parts","B688RA3",116.334,102.115,107.159,106.444,87.82,101.294,93.698,91.062,105.288,101.121,92.911,87.663,89.302,90.774,95.715,85.138,80.595,75.889,78.606,88.374,79.545,74.83,77.265,76.477,83.655,96.283,85.631,92.327,97.309,98.622,96.606,104.243,102.425,101.98,111.774,113.603,108.437,109.75,110.293,87.049,105.043,100.74,94.852,99.365,93.186,92.835,94.741,94.157,93.551,99.239,102.865,108.353,116.699,108.171,117.04,119.497,116.821,128.615,131.819,126.816,124.742,133.498,133.7,134.125,134.144,136.625
"19","11","    Computers, peripherals, and parts","B850RA3",66.709,70.49,73.88,75.564,81.206,89.294,95.275,92.543,90.159,80.722,75.149,70.778,66.71,69.037,67.984,70.037,69.633,68.713,74.021,77.983,76.571,76.89,79.922,82.483,85.754,91.191,93.021,94.195,98.19,100.305,97.799,102.149,105.163,101.19,103.365,102.8,105.298,114.156,114.912,99.579,97.765,95.176,100.77,106.29,113.908,115.393,120.193,127.523,134.16,137.519,142.814,142.479,144.377,140.385,138.826,138.368,137.443,141.389,141.162,143.06,143.777,143.754,146.368,143.927,139.02,143.452
"20","12","    Other","B689RA3",68.46,70.007,73.908,77.326,80.854,85.762,91.38,90.296,86.768,78.467,71.464,69.097,68.433,70.99,71.699,69.819,69.971,71.349,73.929,79.572,83.951,86.195,86.368,86.724,87.779,89.759,91.62,97.004,100.312,103.159,103.584,105.255,107.144,110.387,113.903,117.182,120.792,123.985,123.942,117.206,100.02,96.102,98.686,105.193,110.818,117.554,120.84,124.236,124.996,129.404,129.462,131.703,134.128,136.089,136.145,133.726,132.552,134.272,131.767,134.786,134.981,134.676,136.906,137.827,131.468,131.907
"21","13","  Automotive vehicles, engines, and parts","B641RA3",98.107,99.956,101.482,102.688,110.962,105.957,104.402,103.485,96.885,100.955,100.541,98.628,98.419,106.275,105.538,103.135,103.785,106.696,101.729,107.047,109.119,113.271,118.645,119.665,121.539,122.034,125.782,132.597,135.147,133.321,133.864,138.142,143.561,152.672,154.278,153.576,152.169,155.924,159.92,130.67,83.521,83.336,108.175,124.968,129.827,135.446,137.042,143.375,154.535,155.027,162.921,164.581,174.453,173.857,169.321,169.972,175.499,180.056,178.595,180.174,176.728,185.642,193.327,187.181,171.747,175.963
"22","14","  Consumer goods, except food and automotive","B642RA3",57.061,57.56,58.704,60.994,63.166,63.943,65.93,64.667,67.053,66.383,61.605,60.638,60.102,61.473,62.167,61.719,62.991,63.618,65.875,67.665,70.265,73.744,74.499,77.395,79.136,80.909,82.258,84.471,87.466,89.094,90.208,94.545,97.664,98.845,101.114,102.394,106.424,110.341,112.036,103.941,97.296,97.236,99.981,105.487,108.279,106.117,108.708,114.01,111.251,114.791,114.632,116.295,114.945,116.501,117.174,117.808,118.17,126.025,122.695,123.925,127.716,131.568,131.322,132.842,135.662,131.277
"23","15","    Durable goods","B690RA3",55.958,58.294,59.899,63.696,66.062,64.938,67.353,65.551,69.502,68.624,63.126,60.643,61.451,62.495,63.402,61.379,61.376,63.103,65.92,69.382,70.387,74.903,77.466,80.201,82.939,84.725,88.028,89.622,93.476,97.137,97.861,103.326,107.364,110.839,113.695,118.942,123.399,127.599,125.563,108.157,96.449,94.767,101.54,107.244,110.248,115.761,119.59,124.387,125.322,129.295,129.305,130.734,130.061,128.105,128.001,128.707,130.834,143.196,135.144,142.648,143.91,148.805,147.051,147.966,146.424,140.506
"24","16","    Nondurable goods","B691RA3",58.365,56.957,57.623,58.353,60.325,63.088,64.63,63.925,64.677,64.224,60.192,60.825,58.862,60.587,61.058,62.276,64.9,64.365,66.036,66.067,70.351,72.757,71.63,74.701,75.408,77.172,76.488,79.355,81.464,80.992,82.509,85.684,87.858,86.702,88.375,85.676,89.278,92.902,98.312,99.669,98.188,99.765,98.382,103.664,106.216,96.575,97.953,103.731,97.413,100.534,100.214,102.098,100.086,105.06,106.489,107.045,105.696,109.189,110.405,105.564,111.813,114.617,115.857,117.97,125.14,122.291
"25","17","  Other","B643RA3",118.12,122.245,112.142,116.482,111.008,108.927,112.972,116.564,107.473,113.592,107.06,104.37,111.049,113.92,120.43,114.463,105.104,103.253,106.088,102.277,104.721,109.824,103.667,102.609,110.554,111.538,119.339,117.514,122.928,113.668,121.451,123.346,121.918,115.667,114.313,120.429,114.478,113.991,95.373,105.211,102.519,97.873,91.741,107.867,100.075,104.639,105.394,92.989,91.458,82.782,84.085,80.747,84.187,83.505,85.42,95.134,89.08,82.728,90.424,98.323,92.928,103.693,103.62,113.71,107.02,124.631
"26","18","    Other durable goods n.e.c.","Y973RA3",119.533,123.335,112.915,117.343,112.069,110.134,114.371,118.108,108.941,115.097,108.297,105.258,111.572,114.236,120.766,114.765,105.598,103.69,106.313,101.834,103.417,108.12,101.645,100.618,109.121,110.617,118.688,116.722,121.899,112.447,120.43,122.288,120.988,114.579,113.06,119.372,113.239,113.262,94.256,104.538,102.44,97.264,91.661,108.634,101.069,106.193,106.337,92.599,91.694,83.132,84.743,81.192,84.527,83.964,85.64,95.695,89.763,83.127,91.07,98.926,93.81,104.807,104.479,115.031,108.19,126.078
"27","19","    Other nondurable goods","Y974RA3",117.156,121.199,111.203,115.412,109.882,107.749,111.658,115.121,106.068,112.131,105.847,103.495,110.536,113.613,120.106,114.173,104.624,102.829,105.869,102.706,105.987,111.479,105.631,104.544,111.946,112.433,119.972,118.284,123.927,114.853,122.442,124.373,122.82,116.723,115.529,121.456,115.681,114.699,96.458,105.864,102.596,98.464,91.817,107.123,99.109,103.129,104.479,93.368,91.228,82.442,83.447,80.314,83.857,83.06,85.206,94.59,88.417,82.341,89.795,97.737,92.071,102.612,102.785,112.426,105.882,123.225
"28","20","      Net exports of goods under merchanting","Y975RA3",50.961,49.222,46.555,41.69,32.328,26.602,21.128,15.698,9.282,11.42,22.325,43.298,75.387,92.762,98.114,94.523,71.88,73.861,91.076,132.61,193.604,225.923,241.377,238.079,208.055,174.391,163.826,171.713,193.231,197.024,191.06,195.234,184.801,189.306,199.709,193.489,201.073,166.051,171.066,147.107,98.726,131.933,97.217,72.125,69.726,32.298,37.744,55.33,49.308,58.126,51.732,64.619,61.072,52.338,70.49,57.04,42.659,55.631,46.44,57.312,32.95,27.984,45.219,23.889,27.422,26.222
"29","21","      Other other nondurable goods n.e.c.","Y976RA3",119.53,123.331,112.912,117.34,112.066,110.13,114.368,118.104,108.938,115.094,108.294,105.255,111.568,114.232,120.763,114.762,105.595,103.687,106.309,101.831,103.414,108.117,101.642,100.619,109.122,110.613,118.684,116.715,121.891,112.44,120.426,122.292,121,114.59,113.057,119.34,113.172,113.191,94.267,104.653,102.71,97.481,91.659,108.151,99.971,105.209,106.438,94.483,92.458,83.155,84.377,80.774,84.525,83.961,85.637,95.692,89.76,83.124,91.067,98.923,93.807,104.804,104.475,115.027,108.187,126.074
"30","22","Exports of services \1\","B646RA3",63.468,63.462,65.855,66.361,66.636,68.415,67.912,68.245,67.055,66.078,63.984,60.483,65.27,65.826,66.403,67.079,65.258,64.977,67.617,70.665,74.64,75.215,74.984,77.801,78.32,77.458,78.043,80.212,81.847,84.264,83.388,89.953,92.075,94.14,97.373,102.262,100.459,103.291,100.141,100.437,97.133,99.24,99.984,103.643,102.212,104.01,108.538,112.322,112.503,115.027,116.782,115.373,116.732,117.934,118.366,120.519,121.178,121.006,121.717,122.505,122.424,123.847,121.585,124.192,126.407,127.129
"31","23","  Transport","Y800RA3",97.376,96.375,97.103,97.878,96.889,98.618,95.827,96.38,95.823,93.29,87.03,78.362,88.627,88.207,87.247,90.148,81.821,80.261,81.87,85.838,87.374,88.519,88.887,85.179,88.236,90.119,90.62,95.152,96.003,96.023,97.287,98.798,102.918,102.222,107.759,110.054,113.722,112.539,110.947,104.891,97.944,99.554,101.091,101.411,103.096,106.072,106.412,108.076,107.127,107.982,110.956,109.399,109.699,111.602,111.098,112.018,114.684,117.426,115.102,117.151,116.979,117.997,117.608,119.286,118.622,120.088
"32","24","    Sea Transport","Y977RA3",103.89,104.524,102.489,108.803,104.941,101.584,101.467,102.982,98.57,97.25,97.686,102.032,101.323,100.975,103.811,104.453,93.689,93.562,92.575,98.184,95.929,95.275,94.135,98.7,94.748,96.022,93.512,102.833,106.296,110.649,116.82,116.121,115.473,123.016,125.967,125.457,131.952,131.753,127.694,110.548,92.455,96.722,101.914,108.909,109.63,111.425,111.469,111.873,111.468,110.904,110.926,112.724,113.319,114.171,112.363,111.09,112.064,113.266,112.611,114.017,114.209,115.607,116.049,117.771,117.199,118.773
"33","25","      Freight","Y978RA3",118.204,124.972,135.012,159.385,149.417,139.858,130.423,149.776,123.337,122.843,121.561,126.053,116.085,111.357,120.077,128.334,116.007,118.082,121.042,128.944,116.783,112.33,103.633,120.978,101.734,103.169,93.53,104.045,94.966,90.678,102.204,105.335,105.483,119.229,127.831,140.165,140.365,135.013,129.77,103.942,87.391,93.549,104.629,114.431,113.986,113.542,115.643,121.476,108.765,104.196,108.259,116.581,110.508,112.981,109.504,112.118,108.777,108.427,105.887,111.739,110.316,107.788,109.47,114.756,109.602,108.865
"34","26","      Port","Y979RA3",99.314,97.166,90.045,89.465,88.003,87.062,90.542,85.609,89.199,87.582,88.645,92.914,95.958,97.345,97.794,95.336,85.14,84.111,81.546,86.309,87.941,88.739,90.458,90.198,91.993,93.19,93.353,102.205,110.29,117.808,121.994,119.897,118.941,124.338,125.336,120.407,129.051,130.618,126.889,112.952,94.152,97.71,101.021,107.117,108.243,110.8,110.122,108.604,112.444,113.282,111.875,111.533,114.312,114.653,113.412,110.882,113.243,114.94,114.88,114.861,115.569,118.271,118.294,118.837,119.786,122.141
"35","27","    Air Transport","Y980RA3",97.035,95.26,96.458,95.82,96.046,99.859,95.223,95.929,96.283,92.206,84.422,70.401,85.469,84.767,81.293,85.14,78.348,74.004,78.202,82.019,83.062,84.545,86.797,80.35,85.063,87.567,88.878,92.696,93.053,90.777,91.132,93.041,99.733,95.541,103.394,105.811,109.154,108.259,106.597,103.403,100.531,100.621,100.4,98.448,101.429,104.419,106.364,107.25,106.998,107.975,111.421,109.027,109.198,110.852,111.251,112.416,116.447,119.463,117.347,119.825,119.61,120.906,120.059,121.59,121.099,122.704
"36","28","      Passenger","Y981RA3",111.229,111.246,115.618,109.436,109.92,116.327,113.354,113.436,108.228,104.966,96.556,72.474,90.472,89.707,85.55,86.218,74.469,66.983,74.004,76.09,76.886,79.41,81.855,75.998,77.247,82.689,86.465,88.457,87.852,87.015,88.705,86.41,89.033,86.588,95.11,102.428,103.789,105.756,103.967,101.864,100.119,102.287,102.089,95.505,97.38,100.073,106.029,105.774,106.843,108.636,111.555,110.534,110.692,114.321,113.071,113.422,117.156,123.896,122.402,123.665,125.514,128.54,127.992,129.789,133.588,133.825
"37","29","      Freight","Y982RA3",52.642,52.455,55.663,60.605,62.937,64.678,67.109,63.483,62.127,61.116,61.62,60.823,63.745,63.785,65.658,70.937,76.699,81.638,81.164,81.866,85.818,86.846,87.898,85.714,92.742,93.759,95.657,99.005,96.39,96.915,97.472,99.937,100.464,103.857,109.249,109.634,110.684,112.04,111.487,102.088,97.121,96.736,99.315,106.827,111.207,113.775,105.375,108.4,105.63,104.537,106.864,104.086,102.759,102.823,107.402,107.703,110.165,109.082,105.608,108.418,103.652,101.684,100.394,101.759,92.564,94.491
"38","30","      Port","Y983RA3",124.345,112.846,98.77,107.508,103.186,101.846,80.749,90.251,110.791,99.572,80.852,78.583,103.339,101.543,91.883,104.568,95.602,88.502,89.475,104.348,101.97,100.399,103.538,89.163,103.223,97.213,88.845,99.83,107.75,96.528,92.014,108.271,139.139,117.302,126.348,113.026,127.738,111.54,108.315,111.056,106.897,100.267,96.128,96.708,102.224,107.344,108.567,110.917,109.036,109.88,117.413,109.649,112.439,108.036,108.798,114.868,122.693,116.399,113.923,120.941,119.661,119.3,118.017,118.712,116.139,122.173
"39","31","    Other modes of transport","Y984RA3",85.028,87.539,93.057,90.285,86.263,84.467,89.852,85.581,89.182,97.221,83.375,82.461,83.514,85.528,96.504,97.706,82.013,103.105,87.445,87.633,107.003,110.718,96.231,93.823,102.681,99.914,101.652,98.186,95.749,106.082,101.01,105.589,97.629,108.036,96.324,106.452,104.277,96.654,104.37,102.764,87.228,97.331,106.052,109.388,99.873,106.989,89.421,104.685,93.391,97.462,104.331,102.021,102.926,111.368,104.042,109.309,100.939,105.451,95.167,94.223,93.342,89.788,92.107,95.349,92.378,91.892
"40","32","  Travel","Y801RA3",109.955,109.011,114.288,112.585,114.538,117.761,115.92,114.092,111.621,104.714,98.869,80.726,93.553,93.94,92.586,92.992,86.774,83.901,91.191,94.141,97.818,98.537,97.61,99.093,96.072,96.026,92.122,91.499,90.982,91.758,93.439,95.657,97.456,98.93,101.434,107.605,110.708,112.143,106.98,104.961,97.946,98.768,101.043,102.243,106.435,108.907,112.799,115.15,113.401,118.288,116.317,116.448,117.561,121.263,123.142,122.456,127.084,126.403,129.061,129.134,129.301,130.015,126.286,128.633,133.592,134.373
"41","33","    Business","Y985RA3",145.911,147.013,152.989,150.814,154.701,157.876,155.886,153.544,149.166,138.165,130.512,101.048,120.258,120.922,117.002,118.109,108.575,100.039,109.999,116.72,116.748,117.205,116.77,119.243,114.267,117.334,111.903,109.153,111.102,110.161,111.732,113.657,113.648,117.305,117.228,121.82,127.346,126.737,114.297,114.12,104.419,97.225,98.821,99.535,101.284,104.199,107.846,106.817,103.769,104.354,101.246,98.193,97.888,97.982,98.989,95.183,97.213,94.479,96.516,98.102,99.927,99.223,96.266,93.956,95.567,96.171
"42","34","      Expenditure of seasonal, border, and other short-term workers","Y986RA3",120.643,121.523,119.569,120.257,115.669,117.093,115.353,116.282,120.464,119.546,123.937,126.055,130.313,132.409,127.49,131.604,129.681,127.125,129.333,130.62,134.346,138.743,135.353,135.054,132.567,134.553,134.378,131.859,131.722,131.936,129.985,133.096,117.207,118.57,115.947,115.714,130.245,118.807,114.63,121.178,111.405,104.766,95.561,88.268,86.432,92.25,92.424,88.471,85.407,84.362,88.572,85.023,86.996,90.944,93.168,89.343,92.088,94.845,95.882,91.562,92.122,93.099,94.543,93.365,97.365,98.94
"43","35","      Other business travel","Y987RA3",151.736,152.889,160.696,157.86,163.702,167.282,165.234,162.139,155.788,142.46,132.029,95.275,117.937,118.271,114.583,114.995,103.705,93.787,105.537,113.512,112.686,112.234,112.481,115.594,110.044,113.36,106.716,103.912,106.343,105.135,107.52,109.17,112.827,117.013,117.524,123.229,126.677,128.568,114.221,112.491,102.806,95.485,99.574,102.135,104.712,106.955,111.404,111.049,108.006,108.967,104.171,101.232,100.401,99.605,100.33,96.529,98.393,94.392,96.66,99.61,101.727,100.635,96.661,94.09,95.149,95.529
"44","36","    Personal","Y988RA3",93.81,91.911,96.889,95.396,96.458,99.721,97.941,96.346,94.753,89.711,84.674,71.663,81.608,81.867,81.671,81.761,77.031,76.701,82.798,84.065,89.363,90.198,89.054,90.099,87.955,86.497,83.28,83.624,81.985,83.541,85.275,87.629,90.244,90.735,94.405,101.29,103.301,105.656,103.759,100.923,95.103,99.443,102.02,103.433,108.693,110.968,114.967,118.795,117.616,124.386,122.912,124.435,126.167,131.445,133.705,134.376,140.135,140.342,143.27,142.69,142.142,143.469,139.402,143.757,150.16,151.018
"45","37","      Education related","Y989RA3",83.762,83.953,85.058,85.382,85.25,86.389,87.942,90.994,90.56,91.72,93.015,97.08,96.551,97.256,98.202,97.146,98.087,97.49,95.933,93.999,93.209,92.57,91.56,90.177,89.637,89.038,89.008,87.954,87.553,87.458,87.392,89.089,88.774,89.125,90.652,93.7,95.189,93.934,93.868,100.612,98.368,100.813,101.659,99.16,100.815,102.562,104.278,105.158,105.967,105.809,107.224,109.17,110.188,111.757,113.215,115.249,116.357,117.902,119.908,122.37,124.654,126.924,131.298,133.432,135.71,137.938
"46","38","      Health-related","Y990RA3",94.07,94.951,95.396,96.482,98.573,99.446,99.999,101.258,92.963,92.381,92.107,91.775,85.839,83.78,83.042,82.557,83.321,84.306,84.139,84.054,85.239,85.29,85.239,85.5,87.704,99.277,99.23,99.99,100.183,100.285,100.049,100.025,100.159,100.144,100.018,99.903,100.141,100.164,99.988,99.861,100.005,100.09,100.008,99.898,99.857,100.041,99.858,99.821,99.673,99.545,99.982,99.788,99.709,99.657,99.797,99.665,99.756,99.503,99.722,99.649,99.698,99.732,99.74,99.686,99.729,99.578
"47","39","      Other personal travel","Y991RA3",95.994,93.468,99.573,97.526,98.849,102.725,100.033,97.178,95.553,88.76,81.87,63.741,77.119,77.293,76.76,77.176,70.587,70.278,78.907,81.2,88.54,89.863,88.621,90.428,87.604,85.396,81.152,81.868,79.821,81.9,84.216,86.847,90.403,90.951,95.392,103.679,105.929,109.428,106.915,101.08,93.856,98.974,102.214,104.956,111.623,114.17,119.1,124.059,122.188,131.509,129.014,130.479,132.526,139.253,141.875,142.139,149.705,149.49,152.857,151.223,149.679,150.743,143.593,148.92,157.077,157.489
"48","40","  Charges for the use of intellectual property n.e.c.","B684RA3",61.085,60.826,62.673,62.474,65.176,65.889,65.848,64.634,61.224,61.482,59.77,62.31,62.324,66.398,68.207,65.47,65.69,66.859,68.713,69.349,75.153,75.069,77.155,82.739,84.26,82.426,82.491,82.695,87.277,90.327,87.193,95.444,96.199,99.814,104.652,108.854,104.69,103.546,104.09,101.961,93.052,97.561,96.653,112.735,106.942,105.477,106.409,111.541,119.673,119.74,122.824,119.355,119.28,118.399,118.441,121.538,121.228,121.056,121.678,120.8,122.551,122.897,120.507,121.105,122.105,122.145
"49","41","  Other business services","Y802RA3",33.517,34.028,35.564,37.36,36.492,37.535,37.745,39.796,40.488,41.637,41.504,43.553,45.88,45.515,46.316,48.489,49.259,49.835,50.235,54.188,57.925,58.896,57.435,62.449,62.043,60.053,63.22,68.482,69.036,71.426,70.486,80.707,82.6,88.32,89.962,91.753,90.635,96.559,93.348,97.882,99.488,99.928,98.285,102.299,98.731,101.442,109.728,115.606,111.432,113.524,116.749,115.869,118.393,118.683,118.374,121.836,121.123,120.8,121.489,124.583,122.98,127.231,124.794,130.223,131.817,132.605
