"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Domestic business","A368RC1","702,098.0","724,666.0","779,859.0","863,898.0","975,225.0","1,044,338.0","1,118,626.0","1,253,224.0","1,407,329.0","1,600,301.0","1,770,405.0","1,896,636.0","2,136,241.0","2,198,596.0","2,368,496.0","2,695,804.0","2,880,729.0","3,010,144.0","3,224,159.0","3,516,451.0","3,718,514.0","3,882,007.0","3,969,398.0","4,198,538.0","4,406,024.0","4,744,625.0","5,015,737.0","5,360,451.0","5,772,349.0","6,166,983.0","6,534,583.0","6,994,524.0","7,108,312.0","7,212,749.0","7,515,342.0","8,075,287.0","8,687,545.0","9,336,793.0","9,511,440.0","9,490,445.0","8,945,498.0","9,512,290.0","9,965,181.0"
"21","3","  Corporate business","A441RC1","531,540.0","547,748.0","591,276.0","657,022.0","735,627.0","791,046.0","850,027.0","958,355.0","1,087,125.0","1,241,859.0","1,373,905.0","1,483,168.0","1,680,811.0","1,735,959.0","1,876,217.0","2,118,384.0","2,254,751.0","2,350,826.0","2,526,142.0","2,736,696.0","2,878,645.0","3,003,936.0","3,075,341.0","3,240,195.0","3,403,150.0","3,665,695.0","3,880,717.0","4,119,004.0","4,438,068.0","4,720,939.0","4,998,697.0","5,331,353.0","5,304,448.0","5,366,786.0","5,585,155.0","5,965,041.0","6,434,995.0","6,897,435.0","6,992,219.0","6,970,528.0","6,629,520.0","7,060,245.0","7,431,524.0"
"22","4","    Compensation of employees","A442RC1","378,601.0","400,222.0","425,268.0","472,543.0","533,867.0","587,442.0","614,869.0","695,201.0","784,767.0","901,849.0","1,021,974.0","1,120,064.0","1,239,986.0","1,293,822.0","1,367,059.0","1,513,876.0","1,622,438.0","1,720,379.0","1,840,029.0","1,980,350.0","2,088,261.0","2,200,573.0","2,249,393.0","2,375,532.0","2,488,194.0","2,634,789.0","2,776,049.0","2,914,924.0","3,123,863.0","3,396,831.0","3,628,646.0","3,950,709.0","3,986,221.0","3,980,681.0","4,105,478.0","4,265,862.0","4,498,459.0","4,743,366.0","4,944,149.0","5,025,879.0","4,709,620.0","4,807,936.0","5,057,787.0"
"23","5","      Wage and salary accruals","A443RC1","338,028.0","355,982.0","376,191.0","414,773.0","464,577.0","508,899.0","528,426.0","591,170.0","662,696.0","756,219.0","855,631.0","935,607.0","1,033,425.0","1,073,098.0","1,132,638.0","1,256,796.0","1,351,389.0","1,432,276.0","1,536,556.0","1,656,670.0","1,745,972.0","1,838,152.0","1,865,287.0","1,958,427.0","2,043,672.0","2,163,560.0","2,300,240.0","2,438,630.0","2,635,326.0","2,868,562.0","3,077,602.0","3,344,418.0","3,350,302.0","3,294,379.0","3,356,949.0","3,507,849.0","3,701,409.0","3,930,894.0","4,130,539.0","4,166,974.0","3,881,721.0","3,968,592.0","4,173,230.0"
"24","6","      Supplements to wages and salaries","A444RC1","40,573.0","44,240.0","49,077.0","57,770.0","69,290.0","78,543.0","86,443.0","104,031.0","122,071.0","145,630.0","166,343.0","184,457.0","206,561.0","220,724.0","234,421.0","257,080.0","271,049.0","288,103.0","303,473.0","323,680.0","342,289.0","362,421.0","384,106.0","417,105.0","444,522.0","471,229.0","475,809.0","476,294.0","488,537.0","528,269.0","551,044.0","606,291.0","635,919.0","686,302.0","748,529.0","758,013.0","797,050.0","812,472.0","813,610.0","858,905.0","827,899.0","839,344.0","884,557.0"
"25","7","    Corporate profits with IVA and CCAdj","A445RC1","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,159,763.0","841,799.0","989,542.0","1,300,881.0","1,388,061.0"
"26","8","    Net interest and miscellaneous payments","A453RC1","7,755.0","11,271.0","11,458.0","11,319.0","13,045.0","20,706.0","23,409.0","18,797.0","23,321.0","27,519.0","34,892.0","55,933.0","77,749.0","90,028.0","86,599.0","98,824.0","96,875.0","106,318.0","107,648.0","107,788.0","129,975.0","125,774.0","102,644.0","80,582.0","73,469.0","75,033.0","64,679.0","69,251.0","94,823.0","142,183.0","138,983.0","166,631.0","154,181.0","116,169.0","99,406.0","48,595.0","61,613.0","120,430.0","164,204.0","338,669.0","189,836.0","182,604.0","183,449.0"
"27","9","    Taxes on production and imports less subsidies plus business current transfer payments","W460RC1","57,308.0","60,849.0","66,331.0","71,268.0","79,108.0","85,240.0","93,070.0","99,301.0","106,308.0","116,933.0","126,297.0","141,219.0","169,487.0","178,976.0","197,787.0","223,643.0","240,998.0","249,477.0","258,635.0","278,924.0","301,976.0","319,228.0","342,498.0","360,945.0","374,714.0","405,614.0","416,750.0","435,298.0","442,106.0","472,266.0","496,311.0","540,415.0","549,582.0","555,630.0","568,239.0","608,681.0","658,279.0","682,168.0","724,103.0","764,181.0","740,522.0","768,824.0","802,227.0"
"28","10","  Noncorporate business","W461RC1","170,555.0","176,916.0","188,580.0","206,871.0","239,594.0","253,292.0","268,597.0","294,862.0","320,188.0","358,424.0","396,472.0","413,444.0","455,403.0","462,608.0","492,264.0","577,427.0","625,979.0","659,318.0","698,015.0","779,755.0","839,872.0","878,069.0","894,056.0","958,356.0","1,002,870.0","1,078,930.0","1,135,011.0","1,241,440.0","1,334,275.0","1,446,037.0","1,535,893.0","1,663,172.0","1,803,951.0","1,846,104.0","1,930,391.0","2,110,246.0","2,252,609.0","2,439,361.0","2,519,218.0","2,519,915.0","2,315,977.0","2,452,047.0","2,533,658.0"
"29","11","    Compensation of employees","W462RC1","62,050.0","65,180.0","67,128.0","70,573.0","78,941.0","85,947.0","92,755.0","100,767.0","108,454.0","119,536.0","133,358.0","145,575.0","157,806.0","165,970.0","175,240.0","191,439.0","206,297.0","216,309.0","226,381.0","251,503.0","268,037.0","287,462.0","294,880.0","310,290.0","325,461.0","343,017.0","359,688.0","378,697.0","400,599.0","430,701.0","464,631.0","501,666.0","577,079.0","612,214.0","652,811.0","717,026.0","774,062.0","849,463.0","922,870.0","943,277.0","905,230.0","920,779.0","957,049.0"
"30","12","      Wage and salary accruals","W463RC1","57,133.0","59,746.0","60,997.0","63,753.0","71,025.0","76,815.0","81,721.0","87,993.0","93,940.0","104,695.0","116,456.0","126,855.0","137,031.0","143,890.0","150,841.0","164,445.0","176,497.0","184,499.0","193,773.0","213,025.0","225,597.0","240,780.0","245,057.0","257,060.0","269,140.0","285,115.0","299,655.0","316,522.0","336,216.0","362,586.0","391,806.0","423,035.0","480,262.0","508,241.0","541,734.0","591,120.0","639,140.0","704,897.0","770,734.0","785,227.0","748,038.0","760,735.0","789,870.0"
"31","13","      Supplements to wages and salaries","W464RC1","4,917.0","5,434.0","6,132.0","6,820.0","7,916.0","9,132.0","11,035.0","12,775.0","14,515.0","14,841.0","16,901.0","18,721.0","20,774.0","22,080.0","24,400.0","26,994.0","29,799.0","31,810.0","32,609.0","38,478.0","42,439.0","46,682.0","49,823.0","53,230.0","56,321.0","57,902.0","60,033.0","62,175.0","64,383.0","68,115.0","72,825.0","78,631.0","96,817.0","103,973.0","111,077.0","125,906.0","134,921.0","144,566.0","152,136.0","158,049.0","157,191.0","160,044.0","167,179.0"
"32","14","    Proprietors' income with IVA and CCAdj","A041RC1","77,508.0","78,477.0","84,683.0","96,036.0","113,627.0","113,483.0","119,608.0","132,240.0","146,029.0","167,504.0","181,110.0","173,467.0","181,616.0","174,833.0","190,650.0","233,069.0","246,103.0","262,563.0","294,247.0","334,839.0","351,576.0","365,144.0","367,281.0","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0","1,090,362.0","1,097,887.0","979,406.0","1,103,365.0","1,157,328.0"
"33","15","    Rental income of persons with CCAdj","W155RC1","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","71,116.0","96,249.0","93,989.0","106,265.0","118,195.0"
"34","16","    Net interest","W468RC1","10,379.0","11,963.0","13,746.0","15,736.0","19,488.0","23,371.0","26,357.0","28,892.0","32,376.0","36,498.0","44,049.0","52,588.0","64,160.0","72,911.0","77,868.0","95,023.0","106,224.0","115,659.0","113,361.0","124,370.0","143,490.0","141,993.0","136,042.0","122,547.0","115,074.0","119,487.0","117,527.0","122,194.0","131,048.0","144,704.0","138,928.0","156,779.0","161,992.0","136,983.0","133,680.0","135,377.0","181,188.0","207,286.0","237,577.0","199,127.0","153,376.0","128,261.0","114,317.0"
"35","17","    Taxes on production and imports less subsidies plus business current transfer payments \1\","W469RC1","13,575.0","15,094.0","16,993.0","16,720.0","19,249.0","22,934.0","24,459.0","26,061.0","26,519.0","26,940.0","29,438.0","32,574.0","37,282.0","29,153.0","25,878.0","31,291.0","34,252.0","34,906.0","36,460.0","40,720.0","46,498.0","52,682.0","55,786.0","60,221.0","56,481.0","69,647.0","72,533.0","84,100.0","98,998.0","109,089.0","110,899.0","117,394.0","125,532.0","141,496.0","151,271.0","167,804.0","174,295.0","194,515.0","209,069.0","199,355.0","199,548.0","212,862.0","213,308.0"
"36","18","    Current surplus of government enterprises \1\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-15,980.0","-15,572.0","-19,485.0","-26,539.0"
"37","19","    Sole proprietorships and partnerships","A1641C1","140,453.0","144,745.0","154,171.0","168,392.0","197,441.0","208,077.0","220,392.0","241,740.0","263,060.0","296,356.0","329,295.0","338,968.0","368,809.0","367,234.0","388,473.0","462,198.0","495,947.0","524,761.0","557,671.0","629,302.0","680,329.0","709,940.0","711,541.0","764,388.0","807,704.0","876,328.0","924,502.0","1,024,532.0","1,108,889.0","1,214,861.0","1,296,872.0","1,416,665.0","1,552,732.0","1,590,777.0","1,675,066.0","1,843,560.0","1,978,684.0","2,148,806.0","2,210,928.0","2,180,958.0","1,983,460.0","2,113,324.0","2,190,172.0"
"38","20","      Compensation of employees","A1642C1","48,051.0","49,150.0","49,637.0","51,612.0","58,056.0","62,271.0","65,813.0","71,595.0","76,823.0","84,960.0","95,055.0","102,181.0","108,949.0","114,512.0","119,993.0","132,094.0","142,146.0","149,581.0","155,859.0","175,632.0","188,188.0","200,860.0","204,379.0","214,758.0","228,229.0","241,611.0","255,600.0","271,228.0","288,736.0","312,818.0","341,341.0","369,624.0","439,906.0","467,968.0","506,617.0","559,602.0","612,000.0","679,814.0","745,769.0","760,210.0","723,314.0","737,894.0","771,357.0"
"39","21","        Wage and salary accruals","B1643C1","44,184.0","45,066.0","45,329.0","46,821.0","52,418.0","56,111.0","58,978.0","63,719.0","68,017.0","76,166.0","85,208.0","91,755.0","97,947.0","102,977.0","107,257.0","117,397.0","126,182.0","132,148.0","138,478.0","154,212.0","163,871.0","174,535.0","176,269.0","184,970.0","196,039.0","209,079.0","221,493.0","235,666.0","252,016.0","273,570.0","298,753.0","322,997.0","377,084.0","399,494.0","429,901.0","472,671.0","517,744.0","577,848.0","637,780.0","647,859.0","612,051.0","624,566.0","652,321.0"
"40","22","        Supplements to wages and salaries","B1644C1","3,867.0","4,084.0","4,308.0","4,791.0","5,638.0","6,160.0","6,835.0","7,876.0","8,806.0","8,794.0","9,848.0","10,426.0","11,002.0","11,536.0","12,736.0","14,697.0","15,964.0","17,433.0","17,382.0","21,420.0","24,317.0","26,325.0","28,111.0","29,788.0","32,190.0","32,533.0","34,107.0","35,563.0","36,720.0","39,248.0","42,588.0","46,627.0","62,822.0","68,474.0","76,717.0","86,931.0","94,256.0","101,966.0","107,989.0","112,351.0","111,263.0","113,328.0","119,036.0"
"41","23","      Proprietors' income with IVA and CCAdj","A1645C1","77,059.0","78,028.0","84,206.0","95,478.0","113,025.0","112,919.0","119,058.0","131,670.0","145,412.0","166,871.0","180,442.0","172,897.0","181,012.0","174,105.0","189,646.0","231,805.0","245,077.0","261,573.0","292,615.0","332,984.0","349,660.0","363,599.0","365,482.0","413,013.0","447,670.0","482,669.0","513,518.0","581,341.0","625,590.0","685,553.0","745,350.0","816,094.0","869,327.0","889,013.0","929,413.0","1,031,444.0","1,067,352.0","1,129,993.0","1,086,850.0","1,093,660.0","974,763.0","1,098,476.0","1,152,450.0"
"42","24","        Farm","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,873.0","44,309.0","54,567.0"
"43","25","        Nonfarm","A1646C1","64,226.0","65,134.0","70,820.0","78,455.0","83,950.0","89,451.0","97,059.0","114,460.0","129,448.0","146,949.0","158,292.0","161,190.0","161,984.0","160,791.0","183,473.0","210,867.0","224,101.0","238,736.0","263,708.0","306,182.0","316,638.0","331,431.0","337,978.0","377,204.0","415,643.0","447,073.0","490,081.0","542,905.0","593,002.0","656,673.0","716,855.0","786,462.0","838,804.0","870,561.0","892,878.0","981,781.0","1,023,476.0","1,100,658.0","1,049,071.0","1,041,908.0","934,890.0","1,054,167.0","1,097,883.0"
"44","26","      Net interest","B1649C1","5,058.0","6,049.0","7,177.0","8,409.0","11,227.0","14,002.0","15,484.0","17,090.0","19,291.0","22,146.0","28,074.0","34,511.0","43,974.0","50,814.0","54,098.0","68,636.0","76,210.0","81,832.0","77,283.0","85,801.0","101,873.0","98,724.0","91,909.0","82,408.0","79,852.0","86,549.0","85,249.0","90,742.0","99,792.0","113,494.0","106,694.0","122,715.0","127,428.0","101,612.0","98,106.0","96,902.0","139,030.0","160,343.0","186,103.0","143,582.0","100,261.0","78,896.0","66,809.0"
"45","27","      Taxes on production and imports less subsidies plus business current transfer payments","W471RC1","10,285.0","11,518.0","13,151.0","12,893.0","15,133.0","18,885.0","20,037.0","21,385.0","21,534.0","22,379.0","25,724.0","29,379.0","34,874.0","27,803.0","24,736.0","29,663.0","32,514.0","31,775.0","31,914.0","34,885.0","40,608.0","46,757.0","49,771.0","54,209.0","51,953.0","65,499.0","70,135.0","81,221.0","94,771.0","102,996.0","103,487.0","108,232.0","116,071.0","132,184.0","140,930.0","155,612.0","160,302.0","178,656.0","192,206.0","183,506.0","185,122.0","198,058.0","199,556.0"
"46","28","    Other private business","A1650C1","18,105.0","19,387.0","20,606.0","22,793.0","25,752.0","26,841.0","29,223.0","30,876.0","33,880.0","35,936.0","38,675.0","43,786.0","51,549.0","57,063.0","60,997.0","67,850.0","76,029.0","78,108.0","81,299.0","83,859.0","87,350.0","93,069.0","99,625.0","103,955.0","103,446.0","106,220.0","108,387.0","110,880.0","116,502.0","119,848.0","123,297.0","129,071.0","135,006.0","132,699.0","131,857.0","140,232.0","149,354.0","161,784.0","182,405.0","213,792.0","208,145.0","218,202.0","228,356.0"
"47","29","      Compensation of employees","A1651C1","3,022.0","3,213.0","3,449.0","3,752.0","4,117.0","4,374.0","4,718.0","5,125.0","5,695.0","6,243.0","6,918.0","7,610.0","8,236.0","8,667.0","9,274.0","10,056.0","10,710.0","11,157.0","11,633.0","11,849.0","12,585.0","13,109.0","13,283.0","13,751.0","14,194.0","14,624.0","15,096.0","15,795.0","17,082.0","19,848.0","21,661.0","23,751.0","25,008.0","27,963.0","29,696.0","32,213.0","33,999.0","36,664.0","39,440.0","41,921.0","41,972.0","42,880.0","44,024.0"
"48","30","        Wage and salary accruals","B1652C1","2,778.0","2,944.0","3,144.0","3,394.0","3,699.0","3,921.0","4,207.0","4,513.0","4,996.0","5,647.0","6,250.0","6,854.0","7,393.0","7,777.0","8,284.0","8,939.0","9,495.0","9,883.0","10,331.0","10,527.0","11,163.0","11,571.0","11,676.0","12,029.0","12,397.0","12,690.0","13,099.0","13,676.0","14,797.0","16,990.0","18,498.0","20,133.0","20,971.0","23,337.0","24,896.0","26,816.0","28,394.0","30,837.0","33,254.0","35,349.0","34,986.0","35,921.0","36,759.0"
"49","31","        Supplements to wages and salaries","B1653C1","244.0","269.0","305.0","358.0","418.0","453.0","511.0","612.0","699.0","596.0","668.0","756.0","842.0","890.0","990.0","1,116.0","1,216.0","1,274.0","1,302.0","1,323.0","1,422.0","1,538.0","1,607.0","1,721.0","1,798.0","1,934.0","1,998.0","2,119.0","2,284.0","2,858.0","3,163.0","3,618.0","4,037.0","4,626.0","4,800.0","5,397.0","5,605.0","5,826.0","6,186.0","6,572.0","6,986.0","6,959.0","7,264.0"
"50","32","      Proprietors' income with IVA and CCAdj","A1654C1","449.0","449.0","477.0","558.0","602.0","564.0","550.0","570.0","617.0","633.0","668.0","570.0","604.0","728.0","1,004.0","1,264.0","1,026.0","990.0","1,632.0","1,855.0","1,916.0","1,545.0","1,799.0","1,908.0","1,946.0","2,436.0","2,507.0","2,342.0","2,643.0","1,978.0","1,452.0","1,364.0","1,398.0","1,279.0","1,233.0","2,312.0","2,430.0","2,968.0","3,512.0","4,227.0","4,643.0","4,889.0","4,878.0"
"51","33","      Rental income of persons with CCAdj","W155RC1","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","71,116.0","96,249.0","93,989.0","106,265.0","118,195.0"
"52","34","      Net interest","B1657C1","5,321.0","5,914.0","6,569.0","7,327.0","8,261.0","9,369.0","10,873.0","11,802.0","13,085.0","14,352.0","15,975.0","18,077.0","20,186.0","22,097.0","23,770.0","26,387.0","30,014.0","33,827.0","36,078.0","38,569.0","41,617.0","43,269.0","44,133.0","40,139.0","35,222.0","32,938.0","32,278.0","31,452.0","31,256.0","31,210.0","32,234.0","34,064.0","34,564.0","35,371.0","35,574.0","38,475.0","42,158.0","46,943.0","51,474.0","55,545.0","53,115.0","49,365.0","47,508.0"
"53","35","      Taxes on production and imports less subsidies plus business current transfer payments","W473RC1","3,290.0","3,577.0","3,841.0","3,827.0","4,116.0","4,048.0","4,423.0","4,675.0","4,986.0","4,561.0","3,715.0","3,196.0","2,408.0","1,350.0","1,141.0","1,627.0","1,739.0","3,132.0","4,547.0","5,836.0","5,890.0","5,925.0","6,016.0","6,012.0","4,527.0","4,148.0","2,398.0","2,879.0","4,228.0","6,094.0","7,413.0","9,161.0","9,460.0","9,312.0","10,341.0","12,192.0","13,994.0","15,858.0","16,863.0","15,850.0","14,426.0","14,803.0","13,751.0"
"54","36","    Government enterprises","W474RC1","11,996.0","12,786.0","13,804.0","15,686.0","16,400.0","18,372.0","18,983.0","22,246.0","23,250.0","26,132.0","28,500.0","30,691.0","35,045.0","38,317.0","42,794.0","47,377.0","54,004.0","56,450.0","59,047.0","66,595.0","72,192.0","75,060.0","82,893.0","90,015.0","91,720.0","96,383.0","102,122.0","106,028.0","108,887.0","111,327.0","115,724.0","117,437.0","116,212.0","122,629.0","123,466.0","126,454.0","124,576.0","128,769.0","125,886.0","125,166.0","124,372.0","120,519.0","115,129.0"
"55","37","      Compensation of employees","A1658C1","10,976.0","12,818.0","14,044.0","15,209.0","16,767.0","19,301.0","22,224.0","24,048.0","25,937.0","28,333.0","31,382.0","35,784.0","40,621.0","42,797.0","45,974.0","49,288.0","53,441.0","55,571.0","58,890.0","64,022.0","67,263.0","73,493.0","77,220.0","81,783.0","83,039.0","86,783.0","88,992.0","91,674.0","94,783.0","98,033.0","101,628.0","108,293.0","112,165.0","116,284.0","116,496.0","125,211.0","128,067.0","132,984.0","137,662.0","141,146.0","139,944.0","140,004.0","141,668.0"
