"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","    Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,757,933.0","13,062,966.0","13,299,103.0"
"20","2","Personal consumption expenditures","DPCERX1","2,676,166.0","2,738,910.0","2,843,285.0","3,018,121.0","3,167,672.0","3,141,372.0","3,212,607.0","3,391,529.0","3,534,272.0","3,690,101.0","3,777,803.0","3,764,450.0","3,821,568.0","3,874,891.0","4,096,404.0","4,313,590.0","4,538,300.0","4,722,365.0","4,868,043.0","5,064,263.0","5,207,492.0","5,313,743.0","5,321,735.0","5,503,213.0","5,698,601.0","5,916,207.0","6,076,241.0","6,288,295.0","6,520,426.0","6,862,347.0","7,237,648.0","7,604,649.0","7,810,331.0","8,018,254.0","8,244,499.0","8,515,775.0","8,803,525.0","9,054,454.0","9,262,896.0","9,211,714.0","9,032,601.0","9,196,162.0","9,428,842.0"
"21","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,895,984.0","1,980,882.0","2,075,335.0","2,215,543.0","2,392,012.0","2,518,195.0","2,597,293.0","2,702,854.0","2,827,208.0","2,953,276.0","3,076,726.0","3,178,921.0","3,273,454.0","3,192,897.0","3,098,183.0","3,209,148.0","3,330,964.0"
"22","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","510,453.0","548,555.0","593,341.0","665,643.0","752,033.0","818,004.0","862,409.0","927,892.0","989,131.0","1,060,938.0","1,123,352.0","1,174,215.0","1,232,443.0","1,171,809.0","1,109,109.0","1,178,250.0","1,262,592.0"
"23","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,437,660.0","1,479,205.0","1,522,722.0","1,580,176.0","1,660,683.0","1,714,532.0","1,745,421.0","1,780,054.0","1,840,711.0","1,892,805.0","1,953,375.0","2,004,995.0","2,042,909.0","2,019,070.0","1,982,816.0","2,029,325.0","2,075,196.0"
"24","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,208,499.0","4,331,735.0","4,465,338.0","4,662,148.0","4,853,132.0","5,093,627.0","5,219,051.0","5,318,489.0","5,418,176.0","5,562,676.0","5,726,799.0","5,875,642.0","5,990,150.0","6,016,986.0","5,930,570.0","5,987,569.0","6,101,475.0"
"25","7","Gross private domestic investment","A006RX1","506,641.0","473,354.0","527,325.0","589,771.0","658,878.0","610,344.0","502,236.0","603,691.0","694,901.0","778,676.0","803,504.0","715,246.0","779,554.0","670,340.0","732,780.0","948,675.0","939,849.0","933,451.0","962,207.0","984,854.0","1,024,365.0","989,877.0","909,350.0","983,053.0","1,070,916.0","1,216,435.0","1,254,334.0","1,365,298.0","1,535,190.0","1,688,886.0","1,837,572.0","1,963,109.0","1,825,223.0","1,800,376.0","1,870,127.0","2,058,214.0","2,172,282.0","2,231,844.0","2,159,499.0","1,939,758.0","1,458,124.0","1,658,037.0","1,743,991.0"
"26","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,231,160.0","1,341,584.0","1,465,355.0","1,624,368.0","1,775,490.0","1,906,769.0","1,870,658.0","1,791,496.0","1,854,712.0","1,992,451.0","2,122,330.0","2,172,730.0","2,130,607.0","1,978,597.0","1,602,236.0","1,598,660.0","1,704,458.0"
"27","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","787,887.0","861,477.0","965,460.0","1,081,411.0","1,194,270.0","1,311,306.0","1,274,763.0","1,173,684.0","1,189,553.0","1,262,985.0","1,347,325.0","1,455,476.0","1,549,952.0","1,537,637.0","1,259,845.0","1,268,478.0","1,378,156.0"
"28","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","342,027.0","361,407.0","387,913.0","407,721.0","408,207.0","440,048.0","433,329.0","356,596.0","343,011.0","346,728.0","351,754.0","384,046.0","438,208.0","466,409.0","368,141.0","310,626.0","319,156.0"
"29","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","489,402.0","541,419.0","615,869.0","705,233.0","804,986.0","889,245.0","860,550.0","824,223.0","849,991.0","917,298.0","995,571.0","1,071,137.0","1,106,761.0","1,059,396.0","885,167.0","963,936.0","1,069,966.0"
"30","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","456,087.0","492,512.0","501,825.0","540,427.0","574,219.0","579,963.0","583,251.0","613,836.0","664,271.0","729,511.0","775,004.0","718,175.0","584,188.0","444,429.0","344,794.0","332,182.0","327,577.0"
"31","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-36,266.0","-139,013.0","50,914.0","31,022.0"
"32","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-98,776.0","-110,689.0","-139,794.0","-252,483.0","-356,417.0","-451,319.0","-471,841.0","-548,484.0","-603,677.0","-687,877.0","-722,733.0","-729,360.0","-648,812.0","-494,760.0","-355,181.0","-419,659.0","-408,007.0"
"33","15","  Exports","A020RX1","158,318.0","175,338.0","178,313.0","191,696.0","227,832.0","245,839.0","244,283.0","254,950.0","261,085.0","288,613.0","317,221.0","351,389.0","355,708.0","328,527.0","320,056.0","346,175.0","356,687.0","384,065.0","425,376.0","493,507.0","550,226.0","599,724.0","639,540.0","683,459.0","705,851.0","767,403.0","845,093.0","915,270.0","1,024,346.0","1,047,719.0","1,093,443.0","1,187,406.0","1,120,789.0","1,098,339.0","1,116,007.0","1,222,538.0","1,305,057.0","1,422,104.0","1,554,433.0","1,649,274.0","1,498,658.0","1,665,553.0","1,776,855.0"
"34","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","574,783.0","625,478.0","715,402.0","731,363.0","759,190.0","843,388.0","791,179.0","762,706.0","776,396.0","842,616.0","906,086.0","991,484.0","1,088,118.0","1,156,989.0","1,018,565.0","1,164,128.0","1,247,632.0"
"35","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","272,560.0","291,652.0","308,946.0","316,397.0","334,564.0","343,522.0","329,288.0","335,595.0","339,553.0","379,968.0","398,971.0","430,629.0","466,339.0","492,310.0","479,578.0","501,926.0","529,806.0"
"36","18","  Imports","A021RX1","226,728.0","236,399.0","249,016.0","277,039.0","289,895.0","283,327.0","251,838.0","301,081.0","333,995.0","362,933.0","368,960.0","344,460.0","353,511.0","349,067.0","393,105.0","488,796.0","520,517.0","564,998.0","598,430.0","621,946.0","649,336.0","672,571.0","671,572.0","718,657.0","780,800.0","873,945.0","943,868.0","1,025,959.0","1,164,139.0","1,300,202.0","1,449,861.0","1,638,724.0","1,592,630.0","1,646,823.0","1,719,684.0","1,910,415.0","2,027,790.0","2,151,464.0","2,203,245.0","2,144,034.0","1,853,839.0","2,085,212.0","2,184,862.0"
"37","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","765,468.0","837,221.0","957,877.0","1,071,366.0","1,204,955.0","1,366,695.0","1,323,078.0","1,372,202.0","1,439,859.0","1,599,307.0","1,707,980.0","1,809,086.0","1,856,127.0","1,784,844.0","1,506,442.0","1,730,330.0","1,820,037.0"
"38","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","180,873.0","190,331.0","206,876.0","229,372.0","244,877.0","271,694.0","269,573.0","274,514.0","279,752.0","311,022.0","319,810.0","342,387.0","347,120.0","359,750.0","347,761.0","356,611.0","366,598.0"
"39","21","Government consumption expenditures and gross investment","A822RX1","1,264,260.0","1,233,733.0","1,206,882.0","1,198,124.0","1,193,927.0","1,223,997.0","1,251,582.0","1,257,203.0","1,270,979.0","1,308,415.0","1,332,841.0","1,358,820.0","1,371,210.0","1,395,284.0","1,446,258.0","1,494,866.0","1,598,978.0","1,696,189.0","1,737,113.0","1,758,917.0","1,806,787.0","1,864,040.0","1,884,398.0","1,893,177.0","1,878,201.0","1,878,024.0","1,888,904.0","1,907,927.0","1,943,773.0","1,984,990.0","2,056,124.0","2,097,794.0","2,178,317.0","2,279,633.0","2,330,451.0","2,362,009.0","2,369,882.0","2,402,085.0","2,434,169.0","2,497,412.0","2,589,370.0","2,605,813.0","2,523,851.0"
"40","22","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","704,137.0","695,980.0","689,135.0","681,396.0","694,644.0","698,070.0","726,459.0","779,491.0","831,073.0","864,998.0","876,300.0","894,939.0","906,088.0","971,105.0","1,030,644.0","1,076,821.0","1,047,003.0"
"41","23","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","476,753.0","470,392.0","457,209.0","447,544.0","455,838.0","453,487.0","470,695.0","505,294.0","549,244.0","580,417.0","589,047.0","598,403.0","611,827.0","657,667.0","696,906.0","717,630.0","699,097.0"
"42","24","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","227,526.0","225,714.0","231,921.0","233,749.0","238,692.0","244,355.0","255,497.0","273,915.0","281,713.0","284,574.0","287,253.0","296,550.0","294,205.0","313,338.0","333,656.0","359,206.0","347,903.0"
"43","25","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,183,618.0","1,211,140.0","1,254,306.0","1,303,762.0","1,361,832.0","1,400,145.0","1,452,302.0","1,500,641.0","1,499,670.0","1,497,074.0","1,493,582.0","1,507,180.0","1,528,100.0","1,528,083.0","1,561,811.0","1,534,070.0","1,481,985.0"
"44","26","Residual","A960RX1","-120,500.0","-118,600.0","-97,300.0","-76,900.0","-45,600.0","-52,500.0","-83,500.0","-69,400.0","-54,200.0","-30,100.0","-12,200.0","-11,400.0","7,500.0","-54,000.0","-71,600.0","-43,100.0","-69,900.0","-90,700.0","-87,300.0","-72,300.0","-60,400.0","-67,600.0","-75,100.0","-64,300.0","-56,600.0","-41,000.0","-179,200.0","-157,100.0","-121,300.0","-90,100.0","-51,200.0","-25,600.0","-31,100.0","-22,200.0","-13,100.0","-3,700.0","-200.0","-1,800.0","-1,300.0","16,300.0","39,900.0","20,200.0","-7,800.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
