"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2001","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2002","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2003","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2004","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2005","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2006","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2007","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2009","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2010","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2011","2012","2012","2012","2012","2012","2012"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6"
"20","1","    Wage and salary disbursements","A576RC1","4,965,381.0","4,994,495.0","5,004,477.0","4,974,174.0","4,957,760.0","4,952,338.0","4,941,886.0","4,931,506.0","4,923,892.0","4,918,070.0","4,925,974.0","4,936,470.0","4,951,966.0","4,960,132.0","4,978,572.0","4,987,805.0","4,999,232.0","5,021,936.0","4,998,336.0","5,007,149.0","5,013,396.0","5,009,758.0","5,016,266.0","5,023,132.0","5,031,470.0","5,047,035.0","5,070,185.0","5,078,443.0","5,116,660.0","5,134,488.0","5,137,466.0","5,160,225.0","5,181,046.0","5,215,909.0","5,253,530.0","5,248,724.0","5,266,055.0","5,273,413.0","5,298,717.0","5,340,283.0","5,398,285.0","5,416,705.0","5,464,872.0","5,498,453.0","5,518,375.0","5,541,302.0","5,537,248.0","5,554,581.0","5,575,472.0","5,586,509.0","5,590,562.0","5,626,361.0","5,648,137.0","5,680,492.0","5,739,756.0","5,756,838.0","5,778,428.0","5,795,755.0","5,806,400.0","5,827,080.0","5,935,154.0","5,989,889.0","6,011,642.0","6,031,179.0","6,002,139.0","6,022,476.0","6,051,647.0","6,067,303.0","6,107,351.0","6,152,313.0","6,195,390.0","6,260,234.0","6,317,117.0","6,359,627.0","6,382,635.0","6,378,084.0","6,374,676.0","6,395,632.0","6,411,857.0","6,411,522.0","6,459,310.0","6,475,038.0","6,523,864.0","6,571,332.0","6,583,997.0","6,601,007.0","6,616,473.0","6,564,972.0","6,551,616.0","6,548,194.0","6,543,739.0","6,556,597.0","6,551,478.0","6,552,755.0","6,511,137.0","6,428,340.0","6,329,148.0","6,270,799.0","6,237,358.0","6,268,828.0","6,286,597.0","6,279,120.0","6,255,950.0","6,253,312.0","6,247,264.0","6,257,946.0","6,279,597.0","6,278,056.0","6,296,736.0","6,283,303.0","6,316,195.0","6,363,842.0","6,412,721.0","6,407,198.0","6,437,412.0","6,456,211.0","6,455,468.0","6,477,538.0","6,465,382.0","6,482,758.0","6,597,008.0","6,621,754.0","6,636,759.0","6,654,000.0","6,647,808.0","6,666,681.0","6,683,901.0","6,671,321.0","6,679,108.0","6,712,747.0","6,676,794.0","6,687,626.0","6,769,759.0","6,820,707.0","6,856,567.0","6,855,262.0","6,864,242.0","6,896,806.0"
"21","2","Private industries","A132RC1","4,165,593.0","4,189,271.0","4,196,277.0","4,162,698.0","4,143,116.0","4,132,186.0","4,117,066.0","4,103,002.0","4,091,920.0","4,082,570.0","4,086,226.0","4,093,890.0","4,093,210.0","4,098,292.0","4,114,440.0","4,121,177.0","4,128,476.0","4,148,204.0","4,122,888.0","4,128,305.0","4,134,252.0","4,129,078.0","4,133,426.0","4,138,576.0","4,132,458.0","4,142,896.0","4,163,074.0","4,169,568.0","4,203,394.0","4,215,171.0","4,220,678.0","4,244,853.0","4,266,346.0","4,297,633.0","4,333,634.0","4,325,576.0","4,330,060.0","4,333,501.0","4,353,341.0","4,386,881.0","4,447,400.0","4,464,332.0","4,511,003.0","4,542,449.0","4,560,727.0","4,581,038.0","4,573,876.0","4,589,985.0","4,594,592.0","4,603,625.0","4,607,006.0","4,640,777.0","4,660,417.0","4,690,960.0","4,746,960.0","4,762,950.0","4,781,744.0","4,797,967.0","4,804,748.0","4,822,176.0","4,919,642.0","4,970,837.0","4,989,158.0","5,005,695.0","4,973,967.0","4,991,184.0","5,015,615.0","5,027,227.0","5,060,519.0","5,102,865.0","5,143,002.0","5,205,194.0","5,245,037.0","5,282,363.0","5,302,851.0","5,297,340.0","5,292,456.0","5,310,640.0","5,324,321.0","5,319,030.0","5,361,598.0","5,374,854.0","5,419,828.0","5,462,040.0","5,462,141.0","5,472,443.0","5,484,141.0","5,430,108.0","5,414,304.0","5,406,778.0","5,397,919.0","5,405,233.0","5,395,650.0","5,393,435.0","5,350,857.0","5,268,036.0","5,162,265.0","5,104,334.0","5,069,813.0","5,095,222.0","5,110,112.0","5,101,017.0","5,078,198.0","5,075,326.0","5,069,714.0","5,078,834.0","5,099,595.0","5,096,823.0","5,110,240.0","5,095,579.0","5,126,300.0","5,172,649.0","5,212,637.0","5,211,127.0","5,243,481.0","5,266,534.0","5,268,669.0","5,286,240.0","5,274,338.0","5,291,539.0","5,403,639.0","5,428,417.0","5,442,080.0","5,457,354.0","5,451,159.0","5,467,924.0","5,486,730.0","5,472,457.0","5,482,060.0","5,519,176.0","5,484,744.0","5,495,857.0","5,572,124.0","5,621,267.0","5,656,353.0","5,655,143.0","5,664,769.0","5,696,705.0"
"22","3","  Goods-producing industries","N231RC1","1,070,414.0","1,073,465.0","1,073,500.0","1,064,092.0","1,053,393.0","1,044,289.0","1,042,511.0","1,028,723.0","1,023,682.0","1,018,454.0","1,016,376.0","1,016,901.0","1,013,102.0","1,015,788.0","1,019,853.0","1,016,393.0","1,017,478.0","1,019,380.0","1,010,944.0","1,007,492.0","1,006,935.0","1,002,422.0","1,002,175.0","1,006,367.0","1,001,922.0","1,001,211.0","1,005,200.0","998,502.0","1,005,139.0","1,006,713.0","997,064.0","1,003,580.0","1,014,297.0","1,027,607.0","1,039,417.0","1,032,093.0","1,022,202.0","1,018,091.0","1,022,740.0","1,033,978.0","1,051,983.0","1,055,957.0","1,067,711.0","1,076,834.0","1,078,927.0","1,075,124.0","1,072,664.0","1,076,609.0","1,080,709.0","1,082,755.0","1,082,289.0","1,088,662.0","1,094,025.0","1,099,316.0","1,113,348.0","1,121,376.0","1,121,088.0","1,123,792.0","1,116,413.0","1,117,114.0","1,156,746.0","1,177,910.0","1,179,947.0","1,175,796.0","1,167,372.0","1,167,086.0","1,167,665.0","1,169,567.0","1,172,106.0","1,183,325.0","1,189,514.0","1,204,516.0","1,209,119.0","1,203,675.0","1,207,245.0","1,214,368.0","1,210,375.0","1,208,209.0","1,210,488.0","1,202,870.0","1,217,378.0","1,212,193.0","1,227,812.0","1,237,359.0","1,231,367.0","1,227,882.0","1,238,403.0","1,221,030.0","1,217,547.0","1,216,896.0","1,207,121.0","1,204,851.0","1,193,876.0","1,193,844.0","1,184,182.0","1,155,726.0","1,122,483.0","1,105,877.0","1,085,131.0","1,074,786.0","1,062,235.0","1,055,052.0","1,047,848.0","1,045,392.0","1,039,353.0","1,039,459.0","1,042,927.0","1,038,774.0","1,039,096.0","1,028,974.0","1,039,060.0","1,051,000.0","1,063,545.0","1,056,124.0","1,064,797.0","1,070,743.0","1,070,034.0","1,068,492.0","1,066,831.0","1,071,011.0","1,102,659.0","1,098,573.0","1,106,512.0","1,107,955.0","1,106,639.0","1,108,984.0","1,117,501.0","1,115,343.0","1,116,351.0","1,113,526.0","1,100,050.0","1,108,719.0","1,130,179.0","1,140,181.0","1,146,492.0","1,142,271.0","1,135,815.0","1,143,464.0"
"23","4","    Manufacturing","N552RC1","739,494.0","738,046.0","735,978.0","732,573.0","721,906.0","713,086.0","711,798.0","698,866.0","695,236.0","691,313.0","689,018.0","686,477.0","680,359.0","680,988.0","685,121.0","684,648.0","687,585.0","688,992.0","680,056.0","676,216.0","675,231.0","672,213.0","671,113.0","673,047.0","669,144.0","669,298.0","672,945.0","665,643.0","670,552.0","670,928.0","662,393.0","666,694.0","674,020.0","684,676.0","693,188.0","685,155.0","676,332.0","671,731.0","672,555.0","680,168.0","692,049.0","692,451.0","700,755.0","707,320.0","709,123.0","706,681.0","703,260.0","704,631.0","706,096.0","703,115.0","700,754.0","704,745.0","708,146.0","709,173.0","715,281.0","718,338.0","716,102.0","719,905.0","712,104.0","710,769.0","731,947.0","742,318.0","742,126.0","739,895.0","733,517.0","732,664.0","733,742.0","733,958.0","734,471.0","741,697.0","743,275.0","754,474.0","755,803.0","751,590.0","752,131.0","755,777.0","751,434.0","747,559.0","749,590.0","743,651.0","751,571.0","746,261.0","757,389.0","763,618.0","756,044.0","753,369.0","757,821.0","747,498.0","746,529.0","748,632.0","743,005.0","739,845.0","732,412.0","732,967.0","725,282.0","707,256.0","687,715.0","680,680.0","670,205.0","668,683.0","659,055.0","654,071.0","649,624.0","648,990.0","648,950.0","653,468.0","659,315.0","657,207.0","657,445.0","650,314.0","658,693.0","668,643.0","679,521.0","672,734.0","679,540.0","682,229.0","684,487.0","683,451.0","683,644.0","688,882.0","709,805.0","703,625.0","711,603.0","708,639.0","706,698.0","705,643.0","712,707.0","709,013.0","708,646.0","704,738.0","695,649.0","702,502.0","714,232.0","719,844.0","724,782.0","722,353.0","718,582.0","724,276.0"
