"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"51","32","    To government","W062RC1","1,069.0","1,075.0","1,081.0","1,099.0","1,106.0","1,113.0","1,136.0","1,144.0","1,152.0","1,177.0","1,187.0","1,197.0","1,211.0","1,222.0","1,233.0","1,246.0","1,259.0","1,272.0","1,285.0","1,299.0","1,313.0","1,329.0","1,344.0","1,359.0","1,355.0","1,371.0","1,387.0","1,402.0","1,422.0","1,442.0","1,457.0","1,479.0","1,501.0","1,521.0","1,547.0","1,576.0","1,647.0","1,675.0","1,697.0","1,749.0","1,766.0","1,780.0","1,821.0","1,832.0","1,840.0","1,875.0","1,876.0","1,874.0","1,834.0","1,829.0","1,830.0","1,814.0","1,820.0","1,826.0","1,817.0","1,828.0","1,839.0","1,842.0","1,859.0","1,882.0","1,915.0","1,940.0","1,965.0","1,989.0","2,015.0","2,041.0","2,077.0","2,107.0","2,140.0","2,176.0","2,209.0","2,242.0","2,269.0","2,303.0","2,340.0","2,383.0","2,424.0","2,465.0","2,514.0","2,556.0","2,598.0","2,644.0","2,688.0","2,732.0","2,785.0","2,828.0","2,871.0","2,919.0","2,959.0","2,999.0","3,043.0","3,082.0","3,121.0","3,167.0","3,203.0","3,239.0","3,273.0","3,307.0","3,341.0","3,388.0","3,421.0","3,454.0","3,485.0","3,516.0","3,547.0","3,590.0","3,620.0","3,650.0","3,675.0","3,705.0","3,735.0","3,770.0","3,801.0","3,835.0","3,873.0","3,908.0","3,943.0","3,970.0","4,008.0","4,049.0","4,097.0","4,140.0","4,180.0","4,219.0","4,259.0","4,299.0","4,344.0","4,386.0","4,428.0","4,489.0","4,529.0","4,566.0","4,598.0","4,640.0","4,688.0","4,768.0","4,829.0","4,893.0","4,974.0","5,046.0","5,121.0","5,198.0","5,286.0","5,383.0","5,517.0","5,615.0","5,704.0","5,780.0","5,857.0","5,931.0","6,008.0","6,076.0","6,141.0","6,209.0","6,264.0","6,310.0","6,645.0","6,690.0","6,738.0","6,869.0","6,923.0","6,980.0","7,129.0","7,187.0","7,245.0","7,400.0","7,461.0","7,525.0","7,653.0","7,720.0","7,787.0","7,917.0","7,987.0","8,060.0","8,201.0","8,276.0","8,354.0","8,452.0","8,534.0","8,619.0","8,692.0","8,779.0","8,866.0","8,970.0","9,055.0","9,140.0","9,220.0","9,306.0","9,392.0","9,451.0","9,534.0","9,611.0","9,777.0","9,860.0","9,952.0","10,114.0","10,220.0","10,326.0","10,493.0","10,606.0","10,722.0","10,878.0","11,006.0","11,146.0"
"52","33","    To the rest of the world (net)","B070RC1","992.0","992.0","992.0","1,180.0","1,180.0","1,180.0","1,120.0","1,120.0","1,120.0","1,168.0","1,168.0","1,168.0","1,260.0","1,260.0","1,260.0","1,340.0","1,340.0","1,340.0","1,284.0","1,284.0","1,284.0","1,260.0","1,260.0","1,260.0","1,268.0","1,268.0","1,268.0","1,296.0","1,296.0","1,296.0","1,408.0","1,408.0","1,408.0","1,432.0","1,432.0","1,432.0","1,352.0","1,352.0","1,352.0","1,388.0","1,388.0","1,388.0","1,360.0","1,360.0","1,360.0","1,420.0","1,420.0","1,420.0","1,184.0","1,184.0","1,184.0","1,248.0","1,248.0","1,248.0","1,272.0","1,272.0","1,272.0","2,512.0","2,512.0","2,512.0","1,372.0","1,372.0","1,372.0","1,368.0","1,368.0","1,368.0","1,364.0","1,364.0","1,364.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,348.0","1,196.0","1,196.0","1,196.0","1,460.0","1,460.0","1,460.0","1,348.0","1,348.0","1,348.0","1,444.0","1,444.0","1,444.0","1,304.0","1,304.0","1,304.0","1,340.0","1,340.0","1,340.0","1,416.0","1,416.0","1,416.0","1,404.0","1,404.0","1,404.0","1,412.0","1,412.0","1,412.0","1,356.0","1,356.0","1,356.0","1,328.0","1,328.0","1,328.0","1,384.0","1,384.0","1,384.0","1,600.0","1,600.0","1,600.0","1,560.0","1,560.0","1,560.0","1,756.0","1,756.0","1,756.0","1,548.0","1,548.0","1,548.0","1,516.0","1,516.0","1,516.0","1,704.0","1,704.0","1,704.0","2,088.0","2,088.0","2,088.0","1,888.0","1,888.0","1,888.0","1,860.0","1,860.0","1,860.0","1,960.0","1,960.0","1,960.0","2,100.0","2,100.0","2,100.0","5,229.0","5,229.0","5,229.0","5,381.0","5,381.0","5,381.0","5,669.0","5,669.0","5,669.0","6,033.0","6,033.0","6,033.0","6,404.0","6,404.0","6,404.0","6,757.0","6,757.0","6,757.0","6,874.0","6,874.0","6,874.0","6,918.0","6,918.0","6,918.0","6,436.0","6,436.0","6,436.0","6,868.0","6,868.0","6,868.0","7,284.0","7,284.0","7,284.0","7,403.0","7,403.0","7,403.0","7,636.0","7,636.0","7,636.0","7,905.0","7,905.0","7,905.0","7,814.0","7,814.0","7,814.0","8,241.0","8,241.0","8,241.0","8,411.0","8,411.0","8,411.0","8,164.0","8,164.0","8,164.0","8,537.0","8,537.0","8,537.0","8,195.0","8,195.0","8,195.0"
"53","34","Equals: Personal saving","A071RC1","46,041.0","42,119.0","45,658.0","42,850.0","46,359.0","53,264.0","59,186.0","58,042.0","58,612.0","57,592.0","59,185.0","60,660.0","58,285.0","57,239.0","62,379.0","76,663.0","68,299.0","63,460.0","74,665.0","75,012.0","73,362.0","73,606.0","76,496.0","73,642.0","76,840.0","76,572.0","78,890.0","77,355.0","80,808.0","92,409.0","83,425.0","83,921.0","78,472.0","79,076.0","77,925.0","79,348.0","76,059.0","79,124.0","69,436.0","67,335.0","69,557.0","68,682.0","70,953.0","75,387.0","77,644.0","85,972.0","93,773.0","95,549.0","84,449.0","88,992.0","92,150.0","97,741.0","98,350.0","103,885.0","99,741.0","109,139.0","102,151.0","117,046.0","118,499.0","123,065.0","120,264.0","118,814.0","111,058.0","108,448.0","106,048.0","109,019.0","114,576.0","103,481.0","112,185.0","118,670.0","122,967.0","124,671.0","115,792.0","107,099.0","109,822.0","130,818.0","179,806.0","136,309.0","115,008.0","121,821.0","124,135.0","130,904.0","123,876.0","115,962.0","115,218.0","125,234.0","125,759.0","120,439.0","130,366.0","119,385.0","124,973.0","126,414.0","123,193.0","120,355.0","126,740.0","115,454.0","115,572.0","96,513.0","116,299.0","118,650.0","116,733.0","123,900.0","123,561.0","131,342.0","136,287.0","139,745.0","142,036.0","142,955.0","151,060.0","140,675.0","141,537.0","140,074.0","134,325.0","130,160.0","146,574.0","139,158.0","144,693.0","147,034.0","146,801.0","146,412.0","159,390.0","158,415.0","163,685.0","160,836.0","152,886.0","146,500.0","161,798.0","147,627.0","144,551.0","157,266.0","162,444.0","174,032.0","170,458.0","175,110.0","175,268.0","191,571.0","194,017.0","188,238.0","192,202.0","195,158.0","209,865.0","213,308.0","226,390.0","224,112.0","209,573.0","207,187.0","208,237.0","207,916.0","211,990.0","211,593.0","251,698.0","247,485.0","260,272.0","277,310.0","282,143.0","265,517.0","271,687.0","259,928.0","265,087.0","284,403.0","271,114.0","268,307.0","280,911.0","277,765.0","257,536.0","247,545.0","240,386.0","242,295.0","244,906.0","246,173.0","234,911.0","226,915.0","223,014.0","200,078.0","217,276.0","210,618.0","219,951.0","222,980.0","239,816.0","236,489.0","241,117.0","291,793.0","289,936.0","293,873.0","283,920.0","287,246.0","306,065.0","318,109.0","317,624.0","317,231.0","296,660.0","311,603.0","290,159.0","253,201.0","227,731.0","281,725.0","321,383.0","267,915.0","249,511.0","219,163.0","192,489.0","252,740.0","251,061.0","235,749.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","7.1","6.5","7.0","6.6","7.0","7.9","8.7","8.5","8.5","8.3","8.5","8.6","8.3","8.1","8.7","10.5","9.4","8.7","10.1","10.0","9.8","9.8","10.2","9.7","9.9","9.9","10.1","9.8","10.2","11.4","10.4","10.4","9.7","9.7","9.5","9.6","9.2","9.4","8.3","8.0","8.2","8.0","8.2","8.6","8.8","9.5","10.2","10.3","9.1","9.5","9.7","10.2","10.2","10.7","10.2","11.0","10.2","11.6","11.6","12.0","11.7","11.5","10.7","10.4","10.0","10.2","10.6","9.5","10.2","10.7","11.1","11.2","10.3","9.5","9.7","11.3","14.6","11.4","9.7","10.2","10.3","10.7","10.1","9.4","9.2","9.9","9.9","9.4","10.1","9.2","9.6","9.6","9.3","9.1","9.4","8.5","8.5","7.1","8.4","8.5","8.3","8.7","8.6","9.0","9.3","9.4","9.4","9.4","9.9","9.2","9.1","8.9","8.5","8.1","9.1","8.5","8.8","8.9","8.8","8.7","9.3","9.2","9.4","9.2","8.7","8.3","9.0","8.1","7.9","8.5","8.7","9.2","8.9","9.1","9.0","9.9","10.0","9.6","9.6","9.7","10.3","10.2","10.7","10.5","9.8","9.6","9.6","9.5","9.7","9.6","11.1","10.8","11.3","12.0","12.2","11.4","11.6","11.1","11.2","11.9","11.3","11.2","11.6","11.4","10.5","10.1","9.7","9.7","9.8","9.8","9.3","8.9","8.7","7.8","8.3","8.0","8.3","8.3","8.9","8.7","8.7","10.4","10.3","10.3","9.9","10.0","10.5","10.8","10.7","10.7","10.0","10.4","9.6","8.4","7.6","9.2","10.3","8.7","8.1","7.1","6.2","8.1","8.0","7.4"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts (millions of chained 2005 dollars) \4\","W875RX1","3,099,272.0","3,111,224.0","3,125,318.0","3,136,534.0","3,148,189.0","3,158,891.0","3,176,736.0","3,197,436.0","3,204,379.0","3,211,097.0","3,212,166.0","3,215,255.0","3,209,555.0","3,211,835.0","3,220,143.0","3,228,081.0","3,230,417.0","3,222,883.0","3,240,797.0","3,249,272.0","3,248,910.0","3,223,065.0","3,219,431.0","3,225,486.0","3,258,358.0","3,261,071.0","3,269,624.0","3,281,690.0","3,293,186.0","3,292,527.0","3,296,535.0","3,315,232.0","3,316,753.0","3,329,754.0","3,345,930.0","3,373,240.0","3,396,725.0","3,413,946.0","3,431,987.0","3,445,868.0","3,459,056.0","3,465,229.0","3,493,347.0","3,529,971.0","3,546,381.0","3,602,078.0","3,630,744.0","3,654,592.0","3,639,912.0","3,662,283.0","3,664,263.0","3,676,735.0","3,690,955.0","3,705,260.0","3,719,781.0","3,707,226.0","3,731,048.0","3,768,330.0","3,778,432.0","3,769,060.0","3,729,791.0","3,704,837.0","3,677,617.0","3,660,224.0","3,663,567.0","3,668,894.0","3,684,168.0","3,666,429.0","3,658,743.0","3,664,392.0","3,632,771.0","3,615,302.0","3,601,744.0","3,580,707.0","3,578,625.0","3,574,916.0","3,592,813.0","3,599,591.0","3,601,487.0","3,635,434.0","3,650,107.0","3,668,236.0","3,679,358.0","3,681,872.0","3,705,890.0","3,733,582.0","3,754,716.0","3,777,235.0","3,792,906.0","3,795,845.0","3,811,284.0","3,826,682.0","3,833,581.0","3,839,285.0","3,873,233.0","3,882,825.0","3,864,390.0","3,876,844.0","3,897,589.0","3,921,675.0","3,945,309.0","3,958,711.0","3,974,080.0","3,987,427.0","4,021,553.0","4,076,406.0","4,096,146.0","4,109,789.0","4,094,408.0","4,115,185.0","4,143,417.0","4,178,956.0","4,180,960.0","4,205,098.0","4,217,213.0","4,231,792.0","4,248,579.0","4,265,882.0","4,278,786.0","4,305,368.0","4,310,782.0","4,332,293.0","4,347,566.0","4,307,696.0","4,302,442.0","4,312,138.0","4,316,793.0","4,322,980.0","4,329,607.0","4,344,583.0","4,366,914.0","4,382,719.0","4,370,976.0","4,352,273.0","4,328,646.0","4,307,562.0","4,287,820.0","4,286,989.0","4,270,098.0","4,287,482.0","4,311,340.0","4,379,784.0","4,408,204.0","4,426,986.0","4,412,335.0","4,395,964.0","4,408,083.0","4,402,306.0","4,417,032.0","4,445,593.0","4,493,459.0","4,516,198.0","4,516,771.0","4,506,588.0","4,506,016.0","4,499,141.0","4,486,787.0","4,502,740.0","4,505,605.0","4,529,268.0","4,534,971.0","4,512,504.0","4,499,617.0","4,499,485.0","4,489,710.0","4,483,825.0","4,488,041.0","4,513,983.0","4,510,543.0","4,509,923.0","4,527,163.0","4,533,480.0","4,561,467.0","4,567,573.0","4,594,262.0","4,596,156.0","4,629,513.0","4,680,733.0","4,709,090.0","4,750,787.0","4,781,414.0","4,817,837.0","4,848,443.0","4,884,801.0","4,899,185.0","4,942,931.0","4,966,613.0","5,003,981.0","5,045,372.0","5,027,882.0","5,062,131.0","5,087,619.0","5,086,562.0","5,092,197.0","5,092,469.0","5,102,957.0","5,108,918.0","5,127,893.0","5,116,391.0","5,123,452.0","5,143,684.0","5,173,421.0","5,181,815.0","5,209,958.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2005) dollars \4\","A067RX1","2,921,237.0","2,920,500.0","2,924,319.0","2,922,916.0","2,955,925.0","2,975,576.0","2,997,174.0","3,016,234.0","3,021,326.0","3,030,573.0","3,033,531.0","3,036,416.0","3,041,759.0","3,048,184.0","3,055,915.0","3,117,848.0","3,100,094.0","3,088,355.0","3,134,004.0","3,146,381.0","3,151,715.0","3,134,346.0","3,127,257.0","3,139,567.0","3,190,159.0","3,193,728.0","3,203,902.0","3,213,571.0","3,224,628.0","3,293,101.0","3,244,292.0","3,261,916.0","3,268,466.0","3,278,255.0","3,288,183.0","3,311,716.0","3,298,104.0","3,316,518.0","3,325,760.0","3,326,743.0","3,350,317.0","3,356,662.0","3,386,730.0","3,419,760.0","3,432,473.0","3,515,152.0","3,556,683.0","3,574,673.0","3,560,902.0","3,596,202.0","3,610,064.0","3,615,993.0","3,623,358.0","3,634,054.0","3,642,591.0","3,633,282.0","3,652,300.0","3,687,194.0","3,694,301.0","3,679,884.0","3,659,011.0","3,630,350.0","3,602,806.0","3,601,546.0","3,598,664.0","3,598,085.0","3,624,622.0","3,607,206.0","3,600,308.0","3,609,889.0","3,588,110.0","3,584,987.0","3,581,024.0","3,579,281.0","3,580,738.0","3,648,894.0","3,864,290.0","3,729,763.0","3,673,885.0","3,701,724.0","3,714,997.0","3,732,848.0","3,732,968.0","3,737,520.0","3,765,656.0","3,792,246.0","3,809,697.0","3,816,647.0","3,820,411.0","3,824,419.0","3,848,945.0","3,857,283.0","3,858,687.0","3,854,179.0","3,891,190.0","3,902,629.0","3,891,264.0","3,854,323.0","3,911,767.0","3,921,950.0","3,925,354.0","3,942,752.0","3,968,697.0","3,987,100.0","4,010,959.0","4,048,710.0","4,075,339.0","4,084,138.0","4,066,718.0","4,090,183.0","4,126,956.0","4,143,265.0","4,140,860.0","4,140,594.0","4,164,308.0","4,177,225.0","4,183,882.0","4,193,837.0","4,204,929.0","4,224,842.0","4,240,105.0","4,254,020.0","4,267,633.0","4,235,390.0","4,222,946.0","4,214,606.0","4,245,390.0","4,250,239.0","4,249,946.0","4,263,648.0","4,284,330.0","4,298,587.0","4,322,449.0","4,297,841.0","4,262,320.0","4,245,327.0","4,228,035.0","4,229,151.0","4,264,315.0","4,270,659.0","4,298,101.0","4,350,027.0","4,363,701.0","4,384,329.0","4,364,009.0","4,346,560.0","4,357,814.0","4,342,811.0","4,351,453.0","4,375,594.0","4,445,530.0","4,458,779.0","4,455,581.0","4,466,371.0","4,465,486.0","4,455,130.0","4,457,792.0","4,469,412.0","4,475,457.0","4,517,823.0","4,503,403.0","4,475,468.0","4,520,653.0","4,518,455.0","4,516,453.0","4,514,597.0","4,533,520.0","4,554,924.0","4,562,157.0","4,563,462.0","4,584,814.0","4,593,746.0","4,609,862.0","4,606,798.0","4,664,907.0","4,662,927.0","4,689,743.0","4,728,998.0","4,768,482.0","4,809,405.0","4,842,746.0","4,872,583.0","4,903,904.0","4,939,926.0","4,947,915.0","4,983,511.0","4,998,922.0","5,036,508.0","5,067,593.0","5,052,558.0","5,080,756.0","5,113,203.0","5,115,815.0","5,070,259.0","5,023,547.0","5,129,064.0","5,247,633.0","5,134,437.0","5,135,892.0","5,130,384.0","5,149,273.0","5,177,986.0","5,186,408.0","5,210,528.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","3,202","3,207","3,224","3,234","3,281","3,316","3,352","3,379","3,396","3,414","3,429","3,445","3,461","3,479","3,494","3,578","3,566","3,557","3,619","3,639","3,657","3,650","3,652","3,679","3,742","3,754","3,775","3,797","3,822","3,917","3,867","3,895","3,904","3,918","3,934","3,974","3,971","4,006","4,020","4,024","4,058","4,069","4,116","4,165","4,195","4,297","4,358","4,390","4,384","4,448","4,493","4,531","4,559","4,596","4,619","4,656","4,695","4,763","4,808","4,825","4,841","4,855","4,871","4,901","4,941","4,978","5,048","5,071","5,109","5,155","5,158","5,191","5,213","5,236","5,252","5,366","5,700","5,530","5,488","5,549","5,591","5,645","5,677","5,712","5,773","5,817","5,849","5,869","5,898","5,926","5,989","6,029","6,060","6,079","6,160","6,207","6,221","6,205","6,324","6,373","6,405","6,464","6,535","6,589","6,647","6,734","6,811","6,854","6,860","6,928","7,030","7,105","7,145","7,185","7,259","7,311","7,356","7,425","7,480","7,545","7,622","7,682","7,760","7,775","7,825","7,866","7,976","8,037","8,099","8,183","8,272","8,361","8,487","8,523","8,548","8,551","8,573","8,621","8,751","8,828","8,958","9,130","9,226","9,323","9,353","9,404","9,487","9,488","9,541","9,624","9,828","9,909","9,951","10,012","10,055","10,055","10,114","10,164","10,196","10,290","10,310","10,311","10,468","10,485","10,500","10,546","10,615","10,674","10,736","10,752","10,809","10,872","10,934","10,958","11,150","11,184","11,278","11,383","11,487","11,584","11,708","11,852","11,959","12,085","12,112","12,212","12,283","12,403","12,486","12,468","12,547","12,654","12,708","12,639","12,560","12,835","13,149","12,881","12,895","12,908","12,968","13,058","13,114","13,211"
"61","39","      Chained (2005) dollars","A229RX0","14,474","14,461","14,470","14,452","14,603","14,688","14,781","14,859","14,869","14,899","14,900","14,902","14,916","14,936","14,962","15,246","15,143","15,069","15,275","15,317","15,325","15,222","15,171","15,215","15,444","15,446","15,481","15,512","15,551","15,866","15,615","15,682","15,696","15,727","15,759","15,859","15,781","15,858","15,890","15,882","15,982","15,999","16,128","16,271","16,316","16,694","16,877","16,949","16,872","17,029","17,082","17,097","17,119","17,156","17,182","17,123","17,197","17,347","17,368","17,288","17,178","17,032","16,892","16,874","16,848","16,832","16,942","16,845","16,796","16,826","16,712","16,685","16,656","16,638","16,633","16,937","17,920","17,278","17,002","17,114","17,160","17,228","17,214","17,223","17,340","17,450","17,519","17,539","17,543","17,547","17,645","17,667","17,657","17,620","17,774","17,813","17,747","17,566","17,814","17,846","17,846","17,910","18,011","18,076","18,166","18,319","18,423","18,448","18,356","18,448","18,599","18,656","18,629","18,611","18,699","18,738","18,748","18,774","18,807","18,879","18,931","18,978","19,024","18,863","18,791","18,736","18,854","18,855","18,833","18,875","18,947","18,992","19,079","18,954","18,780","18,689","18,594","18,580","18,716","18,725","18,826","19,036","19,081","19,157","19,056","18,968","19,004","18,924","18,947","19,036","19,322","19,361","19,328","19,357","19,339","19,280","19,278","19,315","19,328","19,496","19,420","19,283","19,461","19,435","19,408","19,384","19,451","19,529","19,547","19,540","19,619","19,644","19,699","19,669","19,901","19,876","19,973","20,124","20,278","20,439","20,568","20,682","20,801","20,939","20,959","21,094","21,142","21,282","21,394","21,313","21,416","21,539","21,537","21,333","21,124","21,552","22,033","21,540","21,528","21,485","21,545","21,646","21,665","21,751"
"62","40","  Population (midperiod, thousands) \5\","B230RC0","201,821","201,952","202,092","202,246","202,419","202,592","202,777","202,984","203,196","203,401","203,588","203,762","203,929","204,082","204,246","204,504","204,719","204,941","205,174","205,418","205,664","205,906","206,131","206,352","206,567","206,762","206,960","207,163","207,361","207,562","207,771","207,998","208,230","208,450","208,648","208,829","208,989","209,137","209,299","209,466","209,635","209,811","209,986","210,177","210,379","210,568","210,739","210,903","211,053","211,187","211,337","211,499","211,662","211,828","212,001","212,191","212,382","212,555","212,710","212,859","213,003","213,143","213,286","213,437","213,600","213,770","213,948","214,144","214,349","214,538","214,704","214,857","214,998","215,132","215,276","215,438","215,646","215,871","216,084","216,294","216,490","216,679","216,851","217,013","217,172","217,315","217,455","217,607","217,773","217,948","218,134","218,337","218,542","218,739","218,920","219,093","219,262","219,424","219,594","219,772","219,953","220,143","220,349","220,573","220,796","221,007","221,206","221,390","221,553","221,711","221,892","222,084","222,278","222,482","222,697","222,933","223,168","223,383","223,585","223,781","223,973","224,150","224,333","224,529","224,734","224,948","225,174","225,419","225,662","225,893","226,120","226,339","226,554","226,753","226,955","227,156","227,387","227,624","227,840","228,070","228,302","228,515","228,696","228,858","229,004","229,148","229,314","229,489","229,668","229,864","230,077","230,300","230,527","230,732","230,906","231,073","231,235","231,392","231,558","231,727","231,901","232,090","232,290","232,496","232,708","232,905","233,077","233,241","233,398","233,543","233,697","233,852","234,020","234,213","234,404","234,601","234,804","234,993","235,157","235,310","235,456","235,601","235,757","235,916","236,077","236,254","236,449","236,655","236,868","237,068","237,238","237,392","237,535","237,667","237,816","237,987","238,172","238,368","238,573","238,789","239,006","239,210","239,392","239,558"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
