"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RC1","960,878.0","976,099.0","996,303.0","1,004,458.0","1,017,111.0","1,033,062.0","1,050,485.0","1,052,683.0","1,098,057.0","1,118,761.0","1,139,054.0","1,151,391.0","1,190,135.0","1,225,551.0","1,249,270.0","1,286,594.0","1,335,099.0","1,371,457.0","1,390,704.0","1,431,799.0","1,446,510.0","1,484,843.0","1,513,657.0","1,552,770.0","1,569,433.0","1,604,987.0","1,662,447.0","1,713,922.0","1,771,909.0","1,804,236.0","1,837,695.0","1,884,494.0","1,938,497.0","2,005,225.0","2,065,967.0","2,110,825.0","2,149,060.0","2,274,711.0","2,335,227.0","2,416,041.0","2,463,312.0","2,526,442.0","2,599,738.0","2,659,400.0","2,724,074.0","2,728,016.0","2,785,185.0","2,915,301.0","3,051,364.0","3,084,265.0","3,177,026.0","3,194,666.0","3,184,919.0","3,240,946.0","3,274,375.0","3,312,525.0","3,380,965.0","3,482,236.0","3,587,097.0","3,688,132.0","3,807,382.0","3,906,289.0","3,975,958.0","4,033,952.0","4,117,192.0","4,175,669.0","4,258,334.0","4,318,713.0","4,382,424.0","4,423,249.0","4,491,309.0","4,543,278.0","4,611,083.0","4,686,723.0","4,764,507.0","4,883,108.0","4,948,620.0","5,059,259.0","5,142,815.0","5,251,009.0","5,360,331.0","5,453,589.0","5,532,936.0","5,581,742.0","5,708,138.0","5,797,365.0","5,850,627.0","5,845,963.0","5,880,188.0","5,962,021.0","6,033,672.0","6,092,515.0","6,190,737.0","6,295,184.0","6,389,694.0","6,493,603.0","6,544,480.0","6,622,739.0","6,688,323.0","6,813,828.0","6,916,330.0","7,044,270.0","7,131,819.0","7,248,224.0","7,307,695.0","7,355,842.0","7,452,531.0","7,542,544.0","7,638,171.0","7,799,958.0","7,892,709.0","8,022,982.0","8,136,986.0","8,276,811.0","8,409,920.0","8,505,736.0","8,600,586.0","8,698,644.0","8,847,204.0","9,027,529.0","9,148,575.0","9,252,553.0","9,405,096.0","9,607,728.0","9,709,539.0","9,949,120.0","10,017,453.0","10,129,805.0","10,165,076.0","10,301,260.0","10,305,200.0","10,373,132.0","10,498,713.0","10,601,894.0","10,701,703.0","10,766,937.0","10,887,355.0","11,011,582.0","11,255,080.0","11,414,808.0","11,589,905.0","11,762,936.0","11,936,319.0","12,123,869.0","12,361,842.0","12,499,998.0","12,728,602.0","12,901,392.0","13,161,441.0","13,330,443.0","13,432,759.0","13,584,218.0","13,758,543.0","13,976,833.0","14,126,166.0","14,253,160.0","14,273,924.0","14,415,461.0","14,395,053.0","14,081,722.0","13,923,440.0","13,885,406.0","13,952,206.0","14,133,646.0","14,270,255.0","14,413,519.0","14,576,049.0","14,735,868.0","14,814,854.0","15,003,581.0","15,163,220.0","15,321,010.0","15,478,250.0","15,595,884.0"
"21","2","Less: Exports of goods and services","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,670.0","220,907.0","234,279.0","253,666.0","268,508.0","277,389.0","284,672.0","292,517.0","305,461.0","308,448.0","302,331.0","304,687.0","293,195.0","294,722.0","279,628.0","265,268.0","270,695.0","272,509.0","278,174.0","286,583.0","292,965.0","302,192.0","305,736.0","308,598.0","305,405.0","303,128.0","295,561.0","303,986.0","311,977.0","314,196.0","320,156.0","335,003.0","336,662.0","354,989.0","371,580.0","391,825.0","418,351.0","438,935.0","452,661.0","465,588.0","484,008.0","505,849.0","508,158.0","514,547.0","537,603.0","546,395.0","555,710.0","568,781.0","574,725.0","592,344.0","602,162.0","617,108.0","627,321.0","627,895.0","641,402.0","643,218.0","644,987.0","654,278.0","651,382.0","671,690.0","681,166.0","706,286.0","737,075.0","758,264.0","780,693.0","797,741.0","830,469.0","838,615.0","847,622.0","858,990.0","859,710.0","904,340.0","919,129.0","955,000.0","974,668.0","968,879.0","963,755.0","947,833.0","935,999.0","967,857.0","958,672.0","971,224.0","998,819.0","1,028,537.0","1,052,836.0","1,089,225.0","1,119,079.0","1,111,813.0","1,097,072.0","1,056,553.0","997,148.0","960,121.0","973,431.0","1,005,933.0","1,020,562.0","1,012,176.0","1,012,543.0","1,011,569.0","1,041,366.0","1,098,644.0","1,138,785.0","1,170,805.0","1,185,411.0","1,225,898.0","1,262,355.0","1,298,455.0","1,308,157.0","1,351,264.0","1,414,004.0","1,456,011.0","1,475,956.0","1,538,155.0","1,575,529.0","1,619,136.0","1,690,269.0","1,761,848.0","1,819,336.0","1,922,822.0","1,933,795.0","1,711,137.0","1,523,475.0","1,525,265.0","1,594,730.0","1,706,271.0","1,751,854.0","1,814,262.0","1,861,161.0","1,950,355.0","2,030,465.0","2,092,771.0","2,133,307.0","2,120,256.0","2,157,879.0","2,186,994.0"
