"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","A   Durable goods manufacturing industries","KS30D0",249555,250871,250837,252990,254263,254940,256782,258125,258712,260327,259991,261952,264324,267053,269251,271112,272582,274129,274555,276197,277299,279138,279764,279874,277965,279451,282041,281427,282541,282027,283764,283106,284333,284120,286162,288423,286881,287813,287107,288915,288425,290818,291194,292325,291655,293341,295369,295680,298046,297862,294589,294535,292901,290528,288620,286701,283797,282746,280569,277476,276025,274948,272623,271694,270576,269401,268688,268197,267621,267083,266022,267999,267044,266620,264912,264592,263754,261483,260207,258588,257054,257356,255696,256598,256189,256255,256056,256367,256731,257519,258829
"12","4","A     Wood product manufacturing","KS3210",8273,8316,8296,8308,8281,8343,8426,8581,8725,8829,8832,8805,8677,8692,8674,8738,8841,8754,8791,8865,8982,9138,9294,9276,9432,9484,9504,9443,9504,9536,9686,9557,9396,9442,9561,9810,9945,9889,9859,9939,9771,9855,9910,9887,9848,10005,10043,10099,10022,9980,9885,9864,9937,10092,10042,10034,10055,9988,9903,9725,9918,9837,9992,9894,10000,9868,9750,9727,9759,9720,9735,9676,9649,9754,9683,9735,9597,9499,9404,9301,9278,9379,9492,9472,9500,9574,9689,9741,9770,9658,9594
"13","5","A     Nonmetallic mineral product manufacturing","KS3270",9634,9679,9684,9765,9821,9881,9816,9783,9776,9667,9716,9736,9727,9755,9806,9766,9800,9785,9765,9730,9765,9768,9845,9787,9827,9800,9742,9681,9792,9719,9766,9981,9979,10094,10045,10121,10182,10176,10016,10142,10081,10078,10097,10081,10102,10050,10118,10271,10244,10172,10239,10205,10126,10142,10112,9963,10002,9957,9913,9801,9707,9634,9592,9519,9444,9502,9459,9528,9495,9521,9500,9536,9551,9608,9705,9706,9816,9823,9839,9712,9646,9529,9146,9100,9066,9080,9005,8963,8993,8915,8959
"14","6","A     Primary metal manufacturing","KS3310",19068,19243,19527,19418,19475,19498,19580,19762,19712,19828,19927,20205,20401,20360,20412,20632,20779,20944,21216,21469,21646,21621,21711,21812,21886,21931,21746,21777,22029,21915,22012,21990,21836,21922,22111,22273,22503,22448,22392,22610,22673,22606,22759,22502,22305,22168,22019,21863,21894,21816,21576,21554,21259,20896,20733,20520,20464,20345,20210,20047,19836,19686,19411,19341,19165,19203,19148,19267,19241,19287,19417,19455,19564,19635,19515,19386,19208,18460,18189,17939,17401,17040,16978,16804,16764,16668,16677,16708,16728,16894,16904
"15","7","A     Fabricated metal product manufacturing","KS3320",29505,29548,29668,29791,29819,30151,30088,30139,30231,30340,30471,30825,30742,31020,31020,31339,31349,31941,31745,31907,32016,32005,32125,32087,32214,32018,32079,32245,32363,32163,32377,32377,32529,32765,32920,33039,33128,33112,32864,33113,33470,33833,33776,33885,33773,33793,33840,33675,33897,33859,33734,33881,33879,33642,33465,33458,33385,33384,33076,32570,32482,32313,32194,32191,31914,31764,31740,31794,31779,31634,31579,31446,31319,31257,31086,30921,31003,30840,30525,30459,30251,30339,30195,30113,29921,30083,29933,30000,30128,30114,30298
"16","8","A     Machinery manufacturing","KS3330",35898,35609,35618,36238,36349,36531,36557,36478,36359,36631,36523,36794,36908,37600,37751,37584,37570,37640,37920,38187,38406,38174,38324,37962,38177,37915,38168,38259,38224,37941,37974,37720,37773,38138,38253,38416,38498,38607,38160,39072,38594,39086,39407,39799,39766,40338,40342,41063,41292,41090,41150,40852,40266,39919,39268,38856,38421,37958,37321,36873,36506,36369,36341,35895,35656,35213,35118,34900,34692,34461,34301,34640,34146,33908,33446,33575,33423,32992,32881,32491,32391,32465,32163,32500,32748,32936,33091,32988,33290,33507,33666
"17","9","A     Computer and electronic product manufacturing","KS3340",44487,44869,45170,45906,46648,47066,48561,49074,49423,49870,50278,50593,50999,51512,52111,52331,52369,52137,51784,51752,51794,52065,51807,51323,50873,51756,53143,53423,53683,54039,54093,54688,55126,54650,54908,56091,55529,56099,56550,57696,59011,60383,61453,62605,62263,64080,66061,67266,69077,69837,67976,67424,67099,66728,66284,65426,62824,62129,62217,60066,60225,59777,59415,59303,58878,57902,58183,57927,57976,57932,57999,57395,56814,56466,55774,55299,54787,54651,54574,54214,54389,54735,54629,55311,54437,54343,54533,54961,55016,55691,56243
"18","10","A     Electrical equipment, appliance, and component manufacturing","KS3350",12593,12700,12722,12974,13138,13235,13397,13375,13374,13348,13366,13305,13412,13454,13530,13415,13343,13340,13423,13524,13529,13660,13750,13806,13702,13659,13695,13818,13865,13866,13830,13754,13912,13938,13938,13796,13887,13863,13680,13779,13891,13951,14043,14282,14256,14378,14324,14604,14601,14688,14665,14628,14478,14295,13963,14007,13881,13921,13783,13661,13505,13410,13286,13289,13208,13115,13036,12909,12788,12642,12604,12380,12437,12337,12295,12275,12256,12137,12024,11986,11903,11901,11964,11937,11961,11656,11652,11573,11637,11690,11714
"19","11","A     Transportation equipment manufacturing","KS3360",69395,70171,69327,69854,69869,69109,69327,69647,69791,70332,69172,69798,71570,72662,73739,74953,76147,77314,77421,78397,78756,80414,80514,81590,79536,80371,81266,79870,80073,79867,81063,80086,80637,79984,81151,81363,79502,79859,79729,78544,76789,76762,75427,74627,74594,73766,73821,72238,72247,71505,70600,71465,71279,70288,70269,70063,70291,70667,69811,70419,69674,69687,68192,67965,67850,68090,67411,67288,66987,67128,66137,68424,68409,68599,68173,68514,68495,67937,67468,67176,66844,67077,66389,66661,66904,67015,66741,66934,66483,66336,66841
"20","12","D       Motor vehicle and parts manufacturing","KS3MV0",22466,22824,22857,23210,23588,22916,23082,23063,23447,23058,22795,22823,23024,23191,23643,23262,23226,23464,22912,22720,23037,23137,23810,23981,23811,23780,24737,24185,24319,24637,24736,24814,24606,24903,25522,25635,25676,25889,25497,25666,25814,25792,25788,25884,25880,25928,25814,25455,25324,25096,24656,25025,24720,24534,24256,24076,23808,23654,23196,22983,22724,22587,22766,23102,23226,23379,23593,23440,23757,23726,23588,23656,23858,23985,23417,23445,23303,23101,23034,23131,22712,22695,22622,22707,23257,23285,23325,23299,23199,23401,23149
"21","13","D       Other transportation equipment manufacturing","KS3OT0",46897,47311,46424,46593,46219,46143,46192,46534,46284,47231,46330,46934,48515,49441,50059,51678,52919,53852,54530,55708,55739,57302,56716,57619,55730,56598,56535,55690,55760,55234,56333,55274,56036,55085,55631,55731,53826,53968,54232,52877,50973,50968,49639,48745,48717,47842,48011,46786,46926,46411,45944,46440,46558,45753,46011,45984,46479,47006,46606,47421,46933,47077,45420,44866,44630,44717,43835,43860,43251,43420,42571,44776,44564,44630,44761,45072,45190,44834,44435,44053,44131,44379,43768,43955,43659,43739,43427,43646,43296,42949,43704
"22","14","A     Furniture and related product manufacturing","KS3370",7119,7121,7101,7084,7256,7245,7291,7191,7192,7162,7174,7227,7218,7274,7297,7371,7425,7346,7360,7349,7356,7389,7397,7384,7442,7478,7500,7470,7489,7533,7574,7591,7523,7647,7629,7729,7792,7841,7864,7876,7937,8002,7981,8087,8085,8043,8101,7963,8065,8088,8093,8073,8023,7975,7914,7813,7846,7767,7758,7557,7545,7475,7382,7344,7375,7404,7416,7395,7378,7307,7394,7384,7414,7328,7373,7391,7365,7370,7365,7255,7106,7046,6983,6872,6938,6898,6855,6988,7029,7108,7117
"23","15","A     Miscellaneous durable goods manufacturing","KS3390",14242,14234,14237,14120,13970,14179,13822,14115,14114,14273,14390,14519,14552,14625,14808,14886,14892,14913,15154,15072,15112,14979,15100,14995,15034,15157,15243,15477,15562,15466,15412,15366,15627,15558,15667,15773,15892,15889,15952,16085,16151,16198,16280,16508,16603,16671,16668,16626,16713,16846,16666,16571,16538,16522,16536,16523,16575,16571,16529,16672,16564,16684,16767,16913,17045,17263,17381,17414,17496,17424,17373,17575,17623,17585,17680,17564,17531,17526,17705,17826,17681,17735,17701,17856,17892,17949,17864,17532,17668,17687,17630
"24","16","A   Nondurable goods manufacturing industries","KS30N0",162298,162227,163113,163824,164416,164779,164365,165430,166370,167598,168413,169003,168940,169620,169986,169757,169831,169843,170406,169781,169398,169647,170752,169352,170031,169934,170611,171503,172679,172725,173066,173620,174407,175423,176756,177841,178265,178573,178485,178921,179036,179770,180385,179690,179813,179726,179444,178466,178553,177709,177444,177138,176632,175546,175391,175022,175076,174987,174867,175332,175029,174676,176456,176693,176271,176715,177493,178037,178846,178777,178274,177327,177207,177998,177321,176906,176308,176922,176317,176605,176199,175379,175102,173463,173706,174470,174701,174595,174883,175522,175927
"25","17","A     Food manufacturing","KS3110",30597,30775,30950,30971,31000,31313,31290,31429,31492,31674,31788,31937,32151,32348,32140,32105,32039,32040,31997,31802,31899,31896,31902,32049,32366,32392,32517,32696,32731,32717,32836,32729,33182,33388,33641,33679,34000,34242,34550,34285,34260,34207,34210,34179,34119,33846,33974,34159,34053,33935,33871,33890,33902,33847,33892,33691,33517,33272,33615,33848,34100,34149,34030,34464,34553,34758,34765,34815,34776,34751,34754,34325,34251,34297,34447,33968,34057,33870,33633,33618,33635,33503,33376,32744,32617,32666,32779,32545,32443,32544,32544
"26","18","A     Beverage and tobacco product manufacturing","KS3120",11533,11400,11352,11566,11605,11586,11740,11825,11921,12083,12218,12154,12445,12270,12382,12162,12105,12005,12055,11779,11835,12156,12200,12074,11962,12102,11836,11925,12003,11846,11665,11682,11478,11661,11613,11908,12006,12112,12037,12019,11976,12062,12003,11986,12119,12028,12058,11798,11762,11788,11984,12006,12070,11997,12271,12292,12287,12205,12214,12364,12410,12312,12454,12252,12319,12409,12184,12233,12403,12238,12062,12083,12028,12045,11987,12176,12087,12052,12083,12143,12275,12216,12201,11916,11988,12100,12011,12018,11800,12020,11854
"27","19","A     Textile mills","KS3130",6744,6715,6726,6763,6724,6722,6711,6753,6704,6707,6662,6684,6696,6754,6762,6740,6784,6757,6809,6754,6798,6795,6792,6813,6815,6802,6775,6771,6767,6824,6813,6801,6849,6800,6881,7001,6871,6823,6839,6820,6783,6772,6732,6712,6663,6685,6663,6578,6548,6511,6432,6452,6436,6382,6314,6262,6222,6126,6061,5961,5750,5712,5625,5479,5461,5408,5402,5434,5370,5358,5270,5323,5351,5385,5431,5442,5462,5497,5432,5404,5495,5410,5403,5372,5320,5292,5277,5238,5227,5204,5154
"28","20","A     Textile product mills","KS3140",3491,3529,3562,3602,3640,3690,3711,3729,3762,3756,3785,3801,3812,3827,3788,3758,3736,3685,3662,3665,3640,3598,3578,3581,3501,3551,3654,3702,3729,3792,3798,3812,3823,3904,3898,3924,3953,3977,4033,4068,4155,4212,4248,4245,4293,4285,4337,4341,4339,4354,4350,4354,4305,4315,4290,4336,4362,4411,4454,4509,4461,4436,4415,4490,4552,4591,4663,4677,4707,4704,4677,4707,4784,4833,4836,4840,4842,4837,4847,4892,4913,4941,5013,5098,5028,5021,5025,5027,5018,5051,5061
"29","21","A     Apparel manufacturing","KS3150",8107,8093,8082,8188,8281,8384,8459,8539,8522,8585,8511,8506,8450,8441,8491,8452,8356,8347,8338,8338,8397,8436,8443,8446,8285,8352,8439,8459,8582,8666,8760,8894,9000,8935,8892,9086,9084,8965,8925,8838,8795,8744,8791,8730,8687,8710,8819,8804,8855,8737,8569,8475,8404,8320,8102,7938,7738,7558,7401,7183,7016,6875,6733,6664,6571,6594,6620,6627,6694,6713,6703,6753,6836,6879,6938,6984,7012,7100,7209,7123,7068,7022,6992,6958,6875,6707,6734,6729,6721,6768,6778
"30","22","A     Leather and allied product manufacturing","KS3160",1574,1573,1551,1597,1617,1628,1624,1620,1623,1642,1630,1662,1685,1694,1698,1728,1735,1717,1720,1726,1713,1713,1733,1686,1657,1647,1647,1625,1626,1666,1659,1660,1682,1688,1695,1696,1685,1691,1682,1683,1667,1655,1653,1649,1643,1647,1636,1594,1597,1581,1588,1549,1505,1461,1454,1466,1476,1480,1472,1427,1397,1399,1365,1337,1372,1396,1435,1461,1448,1524,1522,1524,1538,1514,1518,1505,1521,1525,1471,1457,1492,1506,1527,1562,1530,1511,1473,1466,1444,1429,1442
"31","23","A     Paper manufacturing","KS3220",15650,15720,15999,15847,15849,15579,15553,15616,15794,15820,15908,16130,16210,16162,16132,16176,16210,16313,16332,16382,16177,16117,16060,15764,15857,15821,15966,15969,16132,16274,16268,16550,16810,16803,16826,16811,17022,17126,17112,17235,17253,17184,17311,17192,16941,16778,16523,16267,16140,16097,15810,15668,15555,15484,15434,15389,15580,15742,15965,16079,16121,16230,16281,16248,16262,16468,16397,16422,16559,16585,16645,16638,16686,16671,16783,16810,16798,16763,16650,16581,16515,16370,16244,16028,15996,15890,15691,15578,15635,15520,15735
"32","24","A     Printing and related support activities","KS3230",6558,6445,6418,6580,6677,6550,6253,6502,6483,6536,6571,6708,6464,6463,6452,6436,6524,6431,6641,6487,6578,6345,6236,6210,6297,6277,6354,6565,6492,6591,6550,6533,6678,6643,6835,6911,6915,7070,7025,6824,6838,6847,6709,6811,6790,6842,6729,6552,6542,6497,6483,6351,6330,6236,6246,6367,6190,6258,6235,6286,6459,6221,6152,6336,6344,6550,6642,6581,6437,6625,6617,6600,6563,6566,6501,6411,6400,6250,6335,6336,6305,6218,6267,6209,6039,6198,6136,6082,6307,6255,6301
"33","25","A     Petroleum and coal product manufacturing","KS3240",16072,15771,16148,16045,16257,16184,15837,16433,16468,16468,16627,16606,15373,15469,15831,15935,15882,15709,15796,15511,15386,15752,16647,15812,15626,14645,15426,15118,14812,14697,14804,15182,15239,15429,15664,15515,15580,15406,15351,15629,15710,15864,15610,15315,15489,15678,15592,15208,15278,15451,15488,15812,16031,15995,15916,16223,16298,15961,15944,16411,15884,16081,16844,17066,16780,16881,17317,17225,17455,17417,16978,17468,17454,17270,16968,17067,16288,16722,16453,16814,16651,16530,15902,15706,16312,16422,16375,16478,16771,16746,17264
"34","26","A     Chemical manufacturing","KS3250",46137,46275,46439,46680,46748,47010,47022,46958,47568,48200,48584,48642,49039,49560,49808,49851,49893,50070,50291,50362,49970,49991,50469,49797,50309,50548,50491,50944,51862,51707,51933,51788,51553,52031,52648,52948,52793,52806,52781,52992,53086,53745,54592,54470,54733,54865,54952,54802,55033,54419,54638,54496,54362,53884,53884,53520,53816,54289,53765,53646,53847,53881,53667,53687,53454,53250,53778,54310,54267,54233,54495,53504,53165,53882,53324,53080,53198,53543,53782,53866,53448,53354,53823,53212,53224,53946,54412,54654,54696,55040,54596
"35","27","A     Plastics and rubber product manufacturing","KS3260",16306,16360,16389,16444,16516,16596,16542,16543,16557,16639,16690,16698,16725,16744,16741,16706,16834,16971,16978,17090,17059,17087,17344,17422,17588,17591,17630,17710,17806,17767,17838,17942,18073,18127,18183,18357,18349,18351,18138,18513,18496,18455,18502,18380,18314,18332,18138,18358,18407,18355,18261,18163,17846,17745,17686,17681,17745,17768,17796,17766,17592,17439,19145,18942,18835,18655,18574,18503,18992,18912,18819,18707,18876,18999,18978,19034,19042,19181,18842,18790,18818,18711,18745,19124,19170,19062,19106,19080,19126,19242,19473
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306825,306853,307179,308323,309925,308021,305903,305827,304936,303170,300554,298639,298107,295531,295555,293813,294370,295827,297811,297903,297612,295344,295556,297884,297189,297309,298467,298246,297534,297522,298018,297651,298621,299160,299023,299705,298909,301186,301549,300544,303056,305466,309121
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193750,193258,192772,192230,191894,188597,187035,185777,184458,184146,180640,178533,177632,175629,175049,174180,173831,174201,175381,176542,176673,175998,176423,176939,176201,177488,178089,177989,177130,176885,176190,175618,175685,176449,176524,178073,178638,179957,180657,180249,182709,184400,186315
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25794,25861,25700,25621,25294,25001,25100,25108,25166,25527,24933,24311,24211,23871,23847,23429,24179,24521,24960,24834,25646,25950,26644,26296,26077,26330,26596,26692,26448,26858,26481,26215,25857,26690,26581,27457,27599,27980,28337,28104,28406,28482,29043
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6049,5974,5993,5901,5849,5704,5658,5574,5644,5597,5587,5477,5431,5431,5299,5324,5303,5309,5383,5403,5423,5389,5391,5464,5455,5525,5608,5669,5690,5683,5599,5658,5638,5683,5741,5853,6021,5938,5973,5949,5911,5927,5958
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6269,6265,6240,6105,6074,5946,6037,6204,6293,6508,6422,6424,6430,6359,6350,6396,6407,6411,6455,6521,6586,6646,6670,6717,6812,6970,6839,6858,6819,6845,6788,6821,6800,6889,7103,7270,7574,7798,7769,7972,8378,8265,8446
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25283,25554,25247,25628,25238,24916,24841,24721,23986,23793,23066,23375,23235,22853,23336,23915,23671,24064,24030,24771,24294,23772,23897,24180,24430,24689,25072,24475,24964,25040,25346,25565,25585,25690,25860,25594,25692,25956,25821,25633,26112,26731,26722
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12855,13006,12898,13085,12829,12293,12440,12229,11885,11951,11630,11574,11459,11571,12005,12503,12276,12543,12406,12879,12634,12160,12052,12223,12526,12812,13019,12766,13056,13131,13256,13238,13141,13400,13525,13795,13630,13682,13913,13845,13906,14708,14605
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12444,12568,12377,12571,12430,12583,12396,12460,12075,11856,11463,11776,11742,11331,11437,11581,11536,11687,11755,12058,11826,11708,11884,12009,12020,12051,12233,11906,12122,12138,12307,12492,12564,12495,12556,12192,12362,12537,12303,12195,12530,12569,12618
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15354,15230,15095,14993,15062,15055,15029,15103,14860,14836,14567,14484,14328,14303,14218,14163,14229,14254,14459,14595,14847,14604,14584,14462,14120,14180,14268,14301,14179,14160,14031,13960,14018,13964,14079,14321,14688,14920,15308,15134,15505,15523,15753
