"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2013 4:42:22 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      Gross government fixed investment \1\","A782RX1","302,714.0","313,296.0","336,535.0","347,475.0","362,524.0","382,454.0","391,639.0","395,121.0","392,015.0","404,825.0","411,557.0","430,514.0","433,211.0","430,806.0","399,548.0"
"20","2","        Federal","A787RX1","75,768.0","79,527.0","84,051.0","81,973.0","84,110.0","93,835.0","99,893.0","105,534.0","110,462.0","118,468.0","123,554.0","141,187.0","149,546.0","159,072.0","150,204.0"
"21","3","          National defense","A788RX1","46,766.0","47,534.0","49,273.0","50,299.0","52,744.0","59,641.0","65,306.0","71,103.0","74,210.0","79,374.0","84,002.0","98,679.0","105,606.0","108,379.0","100,446.0"
"22","4","          Nondefense","A798RX1","28,988.0","31,981.0","34,774.0","31,643.0","31,337.0","34,171.0","34,579.0","34,432.0","36,252.0","39,095.0","39,544.0","42,450.0","43,850.0","50,722.0","49,859.0"
"23","5","        State and local","A799RX1","227,125.0","233,711.0","252,697.0","266,578.0","279,740.0","289,443.0","292,241.0","289,753.0","281,553.0","286,445.0","288,319.0","290,963.0","286,312.0","275,846.0","253,550.0"
"24","6","Structures \2\","A760RX1","219,252.0","219,124.0","232,047.0","239,444.0","251,131.0","262,976.0","265,908.0","259,038.0","246,477.0","247,729.0","246,109.0","248,811.0","248,987.0","242,412.0","216,816.0"
"25","7","  Federal","A801RX1","22,476.0","22,601.0","21,151.0","17,239.0","16,364.0","18,747.0","20,361.0","17,715.0","15,719.0","16,294.0","18,554.0","21,062.0","24,503.0","28,249.0","24,433.0"
"26","8","    National defense","A808RX1","8,684.0","8,058.0","7,152.0","6,867.0","6,523.0","6,972.0","8,460.0","7,806.0","7,452.0","7,450.0","8,789.0","11,493.0","14,353.0","14,207.0","11,194.0"
"27","9","      New","A814RX1","8,690.0","8,063.0","7,157.0","6,872.0","6,528.0","6,977.0","8,464.0","7,810.0","7,456.0","7,454.0","8,792.0","11,496.0","14,356.0","14,210.0","11,198.0"
"28","10","        Residential","B816RX1","2,146.0","1,925.0","1,673.0","1,434.0","1,507.0","1,515.0","1,685.0","1,434.0","1,590.0","1,375.0","1,584.0","1,726.0","1,238.0","1,605.0","1,424.0"
