"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","782,796.0","812,272.0","764,972.0","776,621.0","830,329.0","851,951.0","869,764.0","936,724.0","917,485.0","950,059.0","992,683.0","1,050,907.0","1,187,220.0","1,226,862.0","1,292,235.0","1,281,408.0","1,408,162.0","1,428,954.0","1,454,690.0","1,532,537.0","1,590,921.0","1,597,715.0","1,655,051.0","1,589,558.0","1,515,503.0","1,565,334.0","1,500,972.0","1,460,756.0","1,360,009.0","1,333,743.0","1,328,578.0","971,207.0","1,198,425.0","1,243,287.0","1,403,215.0","1,524,456.0","1,648,049.0","1,625,390.0","1,747,527.0","1,788,830.0","1,723,260.0","1,800,944.0","1,830,496.0","1,953,114.0","1,900,116.0","1,921,860.0","1,967,568.0","....."
"21","2","Domestic industries","A445RC1","622,729.0","641,262.0","618,414.0","575,455.0","671,583.0","706,019.0","713,202.0","766,417.0","768,347.0","791,117.0","829,566.0","859,099.0","974,042.0","1,029,610.0","1,076,991.0","1,086,973.0","1,173,986.0","1,195,696.0","1,201,742.0","1,295,151.0","1,343,979.0","1,342,431.0","1,404,053.0","1,315,417.0","1,227,491.0","1,252,831.0","1,127,107.0","1,031,621.0","941,864.0","915,045.0","889,187.0","621,100.0","850,165.0","921,774.0","1,040,109.0","1,146,126.0","1,259,285.0","1,217,120.0","1,343,079.0","1,384,041.0","1,302,652.0","1,364,683.0","1,382,744.0","1,502,164.0","1,497,242.0","1,485,321.0","1,539,250.0","....."
"22","3","  Financial \1\","N587RC1","232,908.0","243,446.0","244,682.0","256,615.0","281,895.0","287,370.0","285,117.0","294,101.0","314,195.0","319,761.0","332,571.0","337,115.0","352,877.0","355,034.0","364,394.0","385,140.0","425,474.0","390,192.0","440,636.0","419,724.0","441,998.0","447,492.0","416,479.0","404,359.0","345,112.0","358,940.0","343,771.0","247,466.0","217,411.0","183,199.0","38,320.0","-91,894.0","217,898.0","325,872.0","395,759.0","376,198.0","370,661.0","327,730.0","385,439.0","451,143.0","391,342.0","338,279.0","353,157.0","441,171.0","428,902.0","389,185.0","457,280.0","....."
"23","4","  Nonfinancial","N463RC1","389,821.0","397,816.0","373,732.0","318,840.0","389,688.0","418,649.0","428,085.0","472,316.0","454,152.0","471,356.0","496,995.0","521,984.0","621,165.0","674,576.0","712,597.0","701,833.0","748,512.0","805,504.0","761,106.0","875,427.0","901,981.0","894,939.0","987,574.0","911,058.0","882,379.0","893,891.0","783,336.0","784,155.0","724,453.0","731,846.0","850,867.0","712,994.0","632,267.0","595,902.0","644,350.0","769,928.0","888,624.0","889,390.0","957,640.0","932,898.0","911,310.0","1,026,404.0","1,029,587.0","1,060,993.0","1,068,340.0","1,096,136.0","1,081,970.0","....."
"24","5","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","288,012.0","312,504.0","373,866.0","429,135.0","418,144.0","418,699.0","439,391.0","350,109.0","348,261.0","321,514.0","363,106.0","378,331.0","388,765.0","408,270.0","404,448.0","404,788.0","420,608.0","436,260.0","447,751.0","450,949.0","402,874.0","436,540.0","428,317.0","....."
"25","6","  Receipts from the rest of the world","B933RC1","191,215.0","186,286.0","176,054.0","176,765.0","191,677.0","202,286.0","217,235.0","206,417.0","229,377.0","236,193.0","250,114.0","280,982.0","314,677.0","323,147.0","332,724.0","342,141.0","373,250.0","374,570.0","384,263.0","404,138.0","410,573.0","436,006.0","441,191.0","450,017.0","465,823.0","498,663.0","528,428.0","549,464.0","599,539.0","618,950.0","600,701.0","508,333.0","458,951.0","461,138.0","499,776.0","554,928.0","558,527.0","572,883.0","593,410.0","612,899.0","626,912.0","658,546.0","650,180.0","645,184.0","631,456.0","641,543.0","645,703.0","....."
"26","7","  Less: Payments to the rest of the world","B934RC1","31,147.0","15,275.0","29,495.0","-24,400.0","32,930.0","56,354.0","60,672.0","36,110.0","80,240.0","77,250.0","86,995.0","89,174.0","101,499.0","125,895.0","117,481.0","147,707.0","139,073.0","141,313.0","131,316.0","166,752.0","163,632.0","180,724.0","190,193.0","175,875.0","177,811.0","186,159.0","154,562.0","120,329.0","181,395.0","200,252.0","161,310.0","158,224.0","110,690.0","139,624.0","136,670.0","176,597.0","169,762.0","164,613.0","188,962.0","208,111.0","206,304.0","222,286.0","202,428.0","194,235.0","228,583.0","205,003.0","217,385.0","....."
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","730,161.0","762,649.0","708,049.0","682,206.0","713,252.0","737,729.0","761,780.0","838,363.0","837,926.0","853,488.0","903,090.0","974,257.0","1,120,488.0","1,171,279.0","1,246,027.0","1,242,799.0","1,542,887.0","1,573,468.0","1,612,960.0","1,708,524.0","1,781,894.0","1,771,368.0","1,822,766.0","1,762,719.0","1,688,302.0","1,748,675.0","1,686,024.0","1,641,484.0","1,412,270.0","1,396,955.0","1,403,102.0","1,049,581.0","1,306,628.0","1,342,901.0","1,499,303.0","1,625,735.0","1,758,040.0","1,740,997.0","1,824,620.0","1,786,954.0","1,679,396.0","1,764,627.0","1,798,750.0","1,923,495.0","2,100,806.0","2,124,265.0","2,167,530.0","....."
"28","9","Domestic industries","A390RC1","570,093.0","591,640.0","561,492.0","481,040.0","554,506.0","591,798.0","605,217.0","668,058.0","688,788.0","694,546.0","739,974.0","782,448.0","907,311.0","974,028.0","1,030,782.0","1,048,362.0","1,308,711.0","1,340,209.0","1,360,014.0","1,471,138.0","1,534,951.0","1,516,084.0","1,571,767.0","1,488,579.0","1,400,291.0","1,436,172.0","1,312,158.0","1,212,350.0","994,125.0","978,256.0","963,711.0","699,474.0","958,369.0","1,021,389.0","1,136,197.0","1,247,405.0","1,369,276.0","1,332,725.0","1,420,172.0","1,382,165.0","1,258,787.0","1,328,367.0","1,350,999.0","1,472,546.0","1,697,932.0","1,687,725.0","1,739,212.0","....."
"29","10","  Financial","N392RC1","219,170.0","228,856.0","228,426.0","235,432.0","258,199.0","264,412.0","263,555.0","274,593.0","298,472.0","303,500.0","318,750.0","326,635.0","346,260.0","351,665.0","363,971.0","387,361.0","447,981.0","414,458.0","466,078.0","445,757.0","466,475.0","467,826.0","434,789.0","422,767.0","364,007.0","379,879.0","366,346.0","271,773.0","240,587.0","217,110.0","79,384.0","-48,317.0","265,026.0","372,121.0","440,547.0","421,517.0","415,960.0","372,944.0","425,791.0","482,414.0","417,572.0","365,570.0","380,760.0","469,126.0","481,154.0","441,878.0","509,591.0","....."
"30","11","    Federal Reserve banks","B397RC1","31,720.0","29,799.0","28,143.0","25,833.0","24,277.0","24,296.0","23,328.0","22,163.0","21,684.0","20,784.0","19,540.0","18,299.0","19,072.0","19,060.0","20,100.0","21,920.0","22,921.0","25,541.0","26,788.0","31,022.0","31,021.0","33,621.0","35,755.0","34,946.0","36,049.0","36,558.0","36,199.0","35,166.0","34,295.0","29,938.0","33,424.0","42,675.0","27,060.0","43,279.0","54,247.0","64,743.0","71,622.0","74,033.0","71,360.0","69,209.0","72,123.0","79,813.0","76,641.0","75,194.0","74,527.0","74,236.0","69,444.0","....."
"31","12","    Other financial \2\","N398RC1","187,450.0","199,057.0","200,283.0","209,599.0","233,922.0","240,116.0","240,227.0","252,430.0","276,788.0","282,716.0","299,210.0","308,336.0","327,188.0","332,605.0","343,871.0","365,441.0","425,060.0","388,917.0","439,290.0","414,735.0","435,454.0","434,205.0","399,034.0","387,821.0","327,958.0","343,321.0","330,147.0","236,607.0","206,292.0","187,172.0","45,960.0","-90,992.0","237,966.0","328,842.0","386,300.0","356,774.0","344,338.0","298,911.0","354,431.0","413,205.0","345,449.0","285,757.0","304,119.0","393,932.0","406,627.0","367,642.0","440,147.0","....."
"32","13","  Nonfinancial","N399RC1","350,923.0","362,784.0","333,066.0","245,608.0","296,307.0","327,386.0","341,662.0","393,465.0","390,316.0","391,046.0","421,224.0","455,813.0","561,051.0","622,363.0","666,811.0","661,001.0","860,730.0","925,751.0","893,936.0","1,025,381.0","1,068,476.0","1,048,258.0","1,136,978.0","1,065,812.0","1,036,284.0","1,056,293.0","945,812.0","940,577.0","753,538.0","761,146.0","884,327.0","747,791.0","693,343.0","649,268.0","695,650.0","825,888.0","953,316.0","959,781.0","994,381.0","899,751.0","841,215.0","962,797.0","970,239.0","1,003,420.0","1,216,778.0","1,245,847.0","1,229,621.0","....."
"33","14","    Utilities","N419RC1","28,048.0","29,660.0","26,376.0","16,899.0","8,561.0","12,075.0","14,216.0","14,161.0","12,864.0","11,210.0","11,754.0","13,752.0","16,124.0","18,660.0","19,256.0","23,650.0","27,997.0","29,365.0","22,623.0","39,140.0","45,208.0","53,120.0","60,836.0","58,441.0","54,695.0","50,603.0","57,334.0","38,619.0","16,521.0","-13,010.0","86,333.0","33,133.0","22,590.0","24,946.0","9,764.0","35,041.0","43,152.0","11,129.0","31,702.0","25,531.0","8,866.0","36,505.0","10,233.0","15,064.0","38,317.0","41,279.0","42,049.0","....."
"34","15","    Manufacturing","N400RC1","81,598.0","81,468.0","48,066.0","-12,248.0","32,708.0","46,367.0","51,915.0","59,699.0","60,336.0","49,107.0","66,857.0","101,441.0","131,666.0","148,130.0","161,335.0","175,284.0","242,751.0","234,800.0","246,491.0","264,869.0","294,363.0","302,267.0","336,410.0","285,046.0","289,484.0","303,213.0","229,758.0","262,650.0","205,607.0","174,380.0","220,561.0","181,321.0","111,587.0","114,533.0","136,399.0","161,510.0","210,481.0","235,215.0","252,058.0","236,198.0","215,485.0","229,173.0","248,888.0","285,914.0","363,544.0","372,797.0","367,582.0","....."
"35","16","      Durable goods","N406RC1","11,641.0","-4,008.0","-39,007.0","-76,323.0","-25,705.0","-8,371.0","1,413.0","1,823.0","-3,393.0","-9,372.0","-11,956.0","7,353.0","31,078.0","40,313.0","43,224.0","48,057.0","86,424.0","93,637.0","96,527.0","105,616.0","125,269.0","94,886.0","134,063.0","121,237.0","108,510.0","95,634.0","79,468.0","100,723.0","84,757.0","46,634.0","71,902.0","24,006.0","-3,155.0","9,359.0","28,079.0","50,245.0","95,600.0","99,767.0","110,165.0","106,732.0","82,108.0","87,102.0","98,615.0","133,242.0","174,911.0","185,734.0","181,013.0","....."
"36","17","        Fabricated metal products","N408RC1","12,247.0","10,978.0","9,118.0","6,786.0","8,441.0","9,090.0","8,831.0","9,926.0","6,537.0","8,139.0","6,465.0","10,919.0","10,917.0","12,835.0","11,116.0","13,738.0","16,986.0","18,003.0","19,840.0","17,471.0","19,567.0","16,674.0","18,065.0","20,403.0","18,691.0","19,801.0","20,615.0","22,776.0","17,531.0","12,307.0","13,683.0","19,595.0","15,508.0","11,921.0","9,883.0","8,079.0","13,405.0","12,579.0","16,484.0","17,650.0","14,919.0","15,299.0","16,098.0","19,383.0","23,605.0","24,379.0","23,907.0","....."
"37","18","        Machinery","N409RC1","9,420.0","4,189.0","-6,977.0","1,201.0","1,898.0","1,651.0","1,428.0","542.0","-16.0","1,778.0","581.0","1,700.0","3,813.0","7,171.0","9,206.0","8,252.0","11,454.0","12,524.0","14,310.0","19,864.0","18,834.0","18,749.0","20,060.0","19,295.0","22,537.0","23,930.0","21,817.0","20,066.0","18,503.0","15,200.0","15,208.0","17,424.0","9,355.0","5,975.0","5,612.0","8,108.0","14,169.0","16,275.0","19,578.0","19,926.0","18,668.0","19,403.0","22,111.0","25,644.0","30,244.0","33,284.0","34,058.0","....."
"38","19","        Computer and electronic products","N501RC1","-22,971.0","-36,249.0","-57,295.0","-77,770.0","-48,220.0","-37,636.0","-27,843.0","-23,702.0","-17,182.0","-15,981.0","-16,804.0","-8,856.0","-6,221.0","-5,825.0","-3,867.0","-1,431.0","6,543.0","8,569.0","9,976.0","11,008.0","10,101.0","19,139.0","22,617.0","17,725.0","16,392.0","8,768.0","11,043.0","7,629.0","16,731.0","8,213.0","12,082.0","11,820.0","10,439.0","20,641.0","21,927.0","23,579.0","37,584.0","31,175.0","34,333.0","37,782.0","22,125.0","25,281.0","26,413.0","36,415.0","42,154.0","46,222.0","43,890.0","....."
"39","20","        Electrical equipment, appliances, and components","N410RC1","3,916.0","1,849.0","1,399.0","591.0","365.0","-1,267.0","229.0","723.0","1,717.0","1,950.0","2,419.0","2,686.0","2,487.0","2,480.0","-133.0","-2,292.0","-4,271.0","-4,074.0","-361.0","2,927.0","12,631.0","8,822.0","12,254.0","12,105.0","2,823.0","-2,937.0","-4,784.0","162.0","1,031.0","4,923.0","8,269.0","4,339.0","8,559.0","8,604.0","8,907.0","10,223.0","7,599.0","8,736.0","8,002.0","6,469.0","6,172.0","4,426.0","4,509.0","5,430.0","10,163.0","7,620.0","9,032.0","....."
"40","21","        Motor vehicles, bodies and trailers, and parts","N411RC1","-7,458.0","-9,409.0","-5,937.0","-12,626.0","-9,684.0","-763.0","-2,329.0","-5,347.0","-5,168.0","-12,864.0","-14,753.0","-13,858.0","-1,557.0","-8,244.0","-9,569.0","-7,779.0","3,912.0","3,895.0","-212.0","-3,012.0","1,166.0","-13,948.0","-5,607.0","-8,842.0","-13,532.0","-9,282.0","-27,859.0","-15,071.0","-18,345.0","-37,504.0","-24,927.0","-51,551.0","-67,477.0","-60,059.0","-39,937.0","-31,360.0","-19,597.0","-9,167.0","-4,266.0","-13,775.0","-15,081.0","-14,526.0","-16,422.0","-4,841.0","3,301.0","5,012.0","3,690.0","....."
"41","22","        Other durable goods \3\","N412RC1","16,488.0","24,633.0","20,685.0","5,496.0","21,495.0","20,553.0","21,097.0","19,681.0","10,718.0","7,605.0","10,136.0","14,763.0","21,639.0","31,896.0","36,471.0","37,569.0","51,799.0","54,719.0","52,973.0","57,357.0","62,971.0","45,450.0","66,674.0","60,550.0","61,599.0","55,353.0","58,635.0","65,163.0","49,306.0","43,496.0","47,588.0","22,379.0","20,460.0","22,277.0","21,686.0","31,618.0","42,440.0","40,169.0","36,035.0","38,681.0","35,305.0","37,218.0","45,907.0","51,210.0","65,444.0","69,217.0","66,436.0","....."
"42","23","      Nondurable goods","N401RC1","69,957.0","85,476.0","87,073.0","64,075.0","58,412.0","54,739.0","50,502.0","57,876.0","63,729.0","58,479.0","78,812.0","94,088.0","100,588.0","107,817.0","118,111.0","127,227.0","156,327.0","141,164.0","149,964.0","159,253.0","169,094.0","207,381.0","202,347.0","163,809.0","180,974.0","207,579.0","150,290.0","161,927.0","120,851.0","127,746.0","148,659.0","157,316.0","114,742.0","105,174.0","108,320.0","111,264.0","114,881.0","135,448.0","141,893.0","129,466.0","133,377.0","142,071.0","150,273.0","152,672.0","188,633.0","187,063.0","186,568.0","....."
"43","24","        Food and beverage and tobacco products","N402RC1","21,880.0","31,311.0","30,151.0","29,525.0","25,913.0","26,448.0","25,616.0","23,047.0","21,931.0","23,639.0","22,611.0","27,674.0","24,567.0","22,345.0","27,455.0","22,945.0","28,195.0","25,513.0","26,906.0","28,473.0","30,302.0","32,726.0","33,685.0","33,118.0","30,145.0","33,673.0","29,571.0","29,550.0","22,282.0","29,026.0","34,977.0","33,117.0","39,502.0","45,455.0","46,650.0","41,670.0","42,010.0","41,857.0","46,307.0","34,670.0","36,039.0","34,755.0","29,422.0","38,347.0","47,538.0","44,777.0","44,959.0","....."
"44","25","        Petroleum and coal products","N404RC1","34,552.0","33,311.0","32,391.0","18,516.0","5,784.0","1,372.0","-770.0","-1,070.0","17,678.0","16,043.0","27,076.0","33,147.0","41,333.0","46,736.0","40,560.0","67,756.0","71,881.0","75,650.0","80,739.0","89,489.0","73,444.0","89,128.0","84,143.0","59,855.0","68,184.0","110,131.0","60,447.0","55,340.0","70,751.0","49,893.0","88,145.0","102,507.0","33,064.0","1,155.0","4,356.0","8,926.0","19,563.0","34,085.0","17,071.0","23,380.0","30,423.0","48,773.0","51,826.0","32,160.0","45,411.0","46,187.0","48,525.0","....."
"45","26","        Chemical products","N403RC1","6,001.0","13,139.0","14,731.0","12,687.0","15,132.0","16,286.0","17,456.0","22,276.0","17,547.0","15,286.0","21,579.0","21,136.0","19,323.0","24,819.0","32,258.0","22,564.0","38,864.0","20,095.0","21,790.0","22,080.0","46,346.0","59,905.0","61,521.0","42,324.0","57,179.0","42,613.0","37,780.0","55,444.0","16,431.0","41,762.0","23,658.0","13,755.0","32,451.0","41,815.0","38,895.0","40,693.0","35,042.0","40,449.0","56,609.0","51,598.0","46,752.0","42,732.0","51,708.0","59,133.0","63,318.0","65,037.0","57,498.0","....."
"46","27","        Other nondurable goods \4\","N405RC1","7,525.0","7,716.0","9,800.0","3,347.0","11,583.0","10,632.0","8,200.0","13,623.0","6,573.0","3,511.0","7,546.0","12,130.0","15,364.0","13,916.0","17,838.0","13,961.0","17,387.0","19,906.0","20,530.0","19,212.0","19,003.0","25,622.0","22,998.0","28,512.0","25,466.0","21,163.0","22,493.0","21,592.0","11,386.0","7,065.0","1,878.0","7,936.0","9,726.0","16,748.0","18,419.0","19,975.0","18,266.0","19,057.0","21,907.0","19,818.0","20,163.0","15,810.0","17,317.0","23,032.0","32,367.0","31,063.0","35,586.0","....."
"47","28","    Wholesale trade","N414RC1","38,941.0","42,140.0","52,893.0","71,215.0","56,906.0","54,619.0","41,025.0","43,998.0","44,020.0","51,044.0","61,639.0","62,618.0","71,334.0","79,989.0","84,299.0","66,864.0","90,479.0","105,657.0","83,525.0","89,194.0","104,421.0","100,697.0","107,392.0","102,166.0","105,138.0","108,924.0","104,652.0","80,896.0","57,918.0","64,150.0","89,156.0","133,782.0","103,694.0","76,425.0","77,816.0","88,312.0","99,547.0","114,288.0","103,873.0","75,147.0","79,076.0","94,742.0","105,324.0","105,984.0","134,581.0","149,600.0","130,240.0","....."
"48","29","    Retail trade","N415RC1","67,285.0","68,830.0","74,399.0","80,064.0","80,861.0","78,634.0","80,085.0","86,656.0","86,388.0","94,765.0","88,883.0","85,645.0","102,290.0","94,981.0","88,605.0","87,616.0","101,009.0","128,126.0","117,934.0","143,291.0","132,290.0","123,281.0","136,411.0","140,692.0","121,047.0","131,141.0","114,127.0","104,982.0","75,281.0","80,875.0","84,950.0","85,134.0","101,724.0","106,586.0","111,375.0","112,494.0","125,744.0","124,222.0","121,049.0","119,492.0","109,059.0","101,871.0","103,831.0","120,918.0","138,641.0","136,424.0","138,305.0","....."
"49","30","    Transportation and warehousing","N417RC1","2,628.0","3,809.0","3,168.0","-4,665.0","-470.0","-2,781.0","-1,084.0","3,828.0","3,957.0","8,449.0","7,942.0","9,353.0","14,222.0","20,504.0","13,087.0","9,776.0","25,724.0","28,547.0","28,196.0","33,681.0","43,358.0","45,313.0","40,250.0","39,573.0","28,052.0","29,721.0","28,881.0","24,065.0","26,931.0","35,333.0","32,197.0","33,202.0","29,514.0","18,265.0","20,277.0","31,319.0","39,627.0","51,298.0","57,502.0","44,152.0","41,103.0","45,780.0","45,633.0","49,539.0","56,670.0","54,968.0","54,585.0","....."
"50","31","    Information","N502RC1","-20,677.0","-20,308.0","-24,281.0","-32,360.0","-13,340.0","-6,453.0","-2,520.0","7,098.0","-2,384.0","3,188.0","12,595.0","6,240.0","14,822.0","47,647.0","66,267.0","53,844.0","76,205.0","85,675.0","78,461.0","84,809.0","84,061.0","92,629.0","100,797.0","92,105.0","95,253.0","87,810.0","89,315.0","101,978.0","91,116.0","107,136.0","79,118.0","23,006.0","54,408.0","64,908.0","74,969.0","96,766.0","87,319.0","84,927.0","91,493.0","80,410.0","78,695.0","90,233.0","87,479.0","85,394.0","109,773.0","118,590.0","118,113.0","....."
"51","32","    Other nonfinancial \5\","N420RC1","153,100.0","157,185.0","152,445.0","126,703.0","131,081.0","144,925.0","158,025.0","178,025.0","185,135.0","173,283.0","171,554.0","176,764.0","210,593.0","212,452.0","233,962.0","243,967.0","296,565.0","313,581.0","316,706.0","370,397.0","364,775.0","330,951.0","354,882.0","347,789.0","342,615.0","344,881.0","321,745.0","327,387.0","280,164.0","312,282.0","292,012.0","258,213.0","269,826.0","243,605.0","265,050.0","300,446.0","347,446.0","338,702.0","336,704.0","318,821.0","308,931.0","364,493.0","368,851.0","340,607.0","375,252.0","372,189.0","378,747.0","....."
"52","33","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","288,012.0","312,504.0","373,866.0","429,135.0","418,144.0","418,699.0","439,391.0","350,109.0","348,261.0","321,514.0","363,106.0","378,331.0","388,765.0","408,270.0","404,448.0","404,788.0","420,608.0","436,260.0","447,751.0","450,949.0","402,874.0","436,540.0","428,317.0","....."
