"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","          Value added","W102RC1","5,191.0","5,390.0","5,464.0","5,168.0","5,497.0","6,513.0","6,916.0","8,351.0","8,054.0","8,832.0","8,854.0","9,117.0","11,222.0","18,405.0","31,562.0","40,829.0","45,097.0","32,821.0","27,835.0","27,224.0","28,315.0","28,643.0","35,781.0","40,427.0","42,153.0","43,451.0","45,761.0","49,128.0","52,441.0","55,783.0","58,288.0","61,984.0","65,986.0","70,699.0","75,484.0","81,082.0","86,638.0","96,756.0","107,003.0","118,836.0","129,962.0"
"22","4","            Compensation of general government employees","A194RC1","4,363.0","4,575.0","4,689.0","4,477.0","4,726.0","5,613.0","5,984.0","7,308.0","6,946.0","7,673.0","7,649.0","7,831.0","9,467.0","15,167.0","25,616.0","32,252.0","35,339.0","22,383.0","17,643.0","18,077.0","20,121.0","21,240.0","27,741.0","31,527.0","32,409.0","33,044.0","34,796.0","37,224.0","39,783.0","42,903.0","44,861.0","48,074.0","51,591.0","55,454.0","59,340.0","64,408.0","69,280.0","78,419.0","87,405.0","97,801.0","107,461.0"
"23","5","            Consumption of general government fixed capital \2\","A265RC1","828.0","815.0","775.0","691.0","771.0","900.0","932.0","1,043.0","1,108.0","1,159.0","1,205.0","1,286.0","1,755.0","3,238.0","5,946.0","8,577.0","9,758.0","10,438.0","10,192.0","9,147.0","8,194.0","7,403.0","8,040.0","8,900.0","9,744.0","10,407.0","10,965.0","11,904.0","12,658.0","12,880.0","13,427.0","13,910.0","14,395.0","15,245.0","16,144.0","16,674.0","17,358.0","18,337.0","19,598.0","21,035.0","22,501.0"
"24","6","          Intermediate goods and services purchased \3\","W104RC1","1,952.0","2,124.0","2,126.0","1,989.0","2,332.0","3,156.0","3,136.0","3,709.0","3,478.0","4,022.0","4,419.0","4,137.0","6,965.0","18,032.0","26,417.0","30,698.0","28,453.0","8,046.0","5,823.0","8,140.0","10,585.0","10,601.0","17,487.0","23,583.0","27,216.0","23,250.0","23,688.0","23,045.0","27,261.0","28,569.0","27,595.0","26,686.0","27,902.0","32,482.0","34,342.0","35,256.0","37,968.0","45,192.0","53,234.0","58,964.0","61,614.0"
"25","7","            Durable goods","W105RC1","99.0","97.0","100.0","89.0","135.0","233.0","265.0","374.0","332.0","416.0","408.0","385.0","1,820.0","7,416.0","13,263.0","13,600.0","13,775.0","700.0","538.0","1,014.0","1,204.0","1,979.0","4,661.0","8,304.0","9,426.0","7,170.0","6,335.0","6,442.0","7,132.0","7,486.0","5,612.0","4,912.0","4,246.0","5,303.0","5,580.0","4,983.0","5,343.0","7,454.0","7,500.0","8,889.0","8,060.0"
"26","8","            Nondurable goods","W106RC1","877.0","1,001.0","1,013.0","957.0","1,114.0","1,490.0","1,451.0","1,704.0","1,602.0","1,830.0","2,094.0","1,977.0","2,431.0","7,458.0","9,811.0","11,786.0","8,738.0","2,448.0","2,245.0","3,208.0","4,848.0","3,697.0","4,560.0","5,372.0","8,709.0","7,608.0","6,644.0","4,929.0","5,539.0","5,886.0","8,694.0","6,891.0","6,859.0","8,750.0","8,387.0","8,902.0","9,726.0","10,909.0","14,733.0","17,286.0","18,434.0"
"27","9","            Services","W107RC1","976.0","1,026.0","1,013.0","943.0","1,082.0","1,432.0","1,420.0","1,631.0","1,544.0","1,777.0","1,917.0","1,775.0","2,714.0","3,158.0","3,343.0","5,313.0","5,940.0","4,898.0","3,039.0","3,918.0","4,532.0","4,926.0","8,266.0","9,907.0","9,082.0","8,472.0","10,708.0","11,675.0","14,590.0","15,197.0","13,289.0","14,883.0","16,797.0","18,429.0","20,374.0","21,371.0","22,898.0","26,829.0","31,001.0","32,789.0","35,120.0"
"28","10","        Less: Own-account investment \4\","W108RC1","130.0","146.0","138.0","98.0","605.0","1,256.0","1,337.0","2,602.0","1,979.0","2,668.0","2,383.0","1,963.0","1,700.0","1,183.0","434.0","180.0","272.0","116.0","168.0","252.0","345.0","388.0","563.0","769.0","789.0","780.0","738.0","821.0","902.0","1,024.0","1,274.0","1,239.0","1,325.0","1,405.0","1,500.0","1,503.0","1,586.0","1,759.0","1,694.0","1,800.0","1,885.0"
"29","11","              Sales to other sectors","W109RC1","489.0","545.0","554.0","507.0","490.0","565.0","602.0","498.0","543.0","563.0","591.0","633.0","757.0","1,078.0","1,794.0","2,662.0","4,403.0","4,654.0","1,749.0","1,627.0","1,616.0","1,942.0","2,275.0","1,966.0","2,057.0","2,302.0","3,245.0","2,892.0","3,518.0","3,853.0","3,917.0","4,149.0","4,393.0","4,977.0","5,615.0","6,248.0","7,129.0","8,346.0","9,012.0","10,326.0","11,528.0"
"30","12","Federal consumption expenditures \1\","A957RC1","1,540.0","1,570.0","1,541.0","1,447.0","1,685.0","2,387.0","2,201.0","4,335.0","3,864.0","4,494.0","4,894.0","4,855.0","9,409.0","27,133.0","48,249.0","61,000.0","60,718.0","26,907.0","20,834.0","21,157.0","23,284.0","22,035.0","34,350.0","44,158.0","48,286.0","43,911.0","43,910.0","45,022.0","49,458.0","50,854.0","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0"
"31","13","      Gross output of general government","W110RC1","1,608.0","1,622.0","1,579.0","1,476.0","2,045.0","2,796.0","2,896.0","4,901.0","4,344.0","4,926.0","5,345.0","5,320.0","9,954.0","28,010.0","49,581.0","63,001.0","64,509.0","30,671.0","21,501.0","21,608.0","23,582.0","22,506.0","35,203.0","44,745.0","48,887.0","44,567.0","45,215.0","45,839.0","50,705.0","52,136.0","51,076.0","50,798.0","52,627.0","58,911.0","61,935.0","63,989.0","66,988.0","77,458.0","88,238.0","96,587.0","99,707.0"
"32","14","        Value added","W111RC1","1,122.0","1,146.0","1,144.0","1,091.0","1,379.0","1,952.0","2,071.0","3,923.0","3,404.0","3,930.0","3,865.0","3,995.0","5,893.0","12,808.0","25,691.0","34,760.0","38,622.0","25,418.0","19,047.0","17,047.0","17,198.0","16,842.0","22,603.0","26,023.0","26,611.0","26,511.0","27,529.0","28,735.0","29,873.0","31,081.0","31,826.0","33,047.0","34,385.0","36,521.0","38,407.0","40,680.0","42,411.0","47,185.0","51,487.0","56,309.0","59,940.0"
"33","15","          Compensation of general government employees","B568RC1","907.0","945.0","952.0","912.0","1,195.0","1,729.0","1,806.0","3,612.0","3,057.0","3,552.0","3,464.0","3,542.0","5,079.0","10,694.0","20,953.0","27,314.0","29,969.0","16,188.0","10,305.0","9,556.0","10,679.0","11,095.0","16,582.0","19,275.0","19,075.0","18,346.0","18,958.0","19,604.0","20,227.0","21,325.0","21,728.0","22,604.0","23,657.0","25,211.0","26,483.0","28,535.0","29,986.0","34,304.0","37,875.0","41,903.0","44,862.0"
"34","16","          Consumption of general government fixed capital \2\","B995RC1","215.0","201.0","192.0","179.0","184.0","223.0","265.0","311.0","347.0","378.0","401.0","453.0","814.0","2,114.0","4,738.0","7,446.0","8,653.0","9,230.0","8,742.0","7,491.0","6,519.0","5,747.0","6,021.0","6,748.0","7,536.0","8,165.0","8,571.0","9,131.0","9,646.0","9,756.0","10,098.0","10,443.0","10,728.0","11,310.0","11,924.0","12,145.0","12,425.0","12,881.0","13,612.0","14,406.0","15,078.0"
"35","17","        Intermediate goods and services purchased \3\","W113RC1","486.0","476.0","435.0","385.0","666.0","844.0","825.0","978.0","940.0","996.0","1,480.0","1,325.0","4,061.0","15,202.0","23,890.0","28,241.0","25,887.0","5,253.0","2,454.0","4,561.0","6,384.0","5,664.0","12,600.0","18,722.0","22,276.0","18,056.0","17,686.0","17,104.0","20,832.0","21,055.0","19,250.0","17,751.0","18,242.0","22,390.0","23,528.0","23,309.0","24,577.0","30,273.0","36,751.0","40,278.0","39,767.0"
"36","18","          Durable goods","W114RC1","17.0","23.0","22.0","20.0","57.0","106.0","156.0","131.0","123.0","127.0","140.0","174.0","1,650.0","7,310.0","13,222.0","13,569.0","13,739.0","639.0","432.0","863.0","1,040.0","1,806.0","4,460.0","8,081.0","9,192.0","6,906.0","6,056.0","6,117.0","6,749.0","7,100.0","5,181.0","4,450.0","3,738.0","4,760.0","4,992.0","4,339.0","4,609.0","6,629.0","6,606.0","7,807.0","6,772.0"
"37","19","          Nondurable goods","W115RC1","138.0","152.0","135.0","110.0","238.0","303.0","271.0","355.0","351.0","349.0","665.0","587.0","977.0","6,022.0","8,523.0","10,535.0","7,476.0","1,144.0","657.0","1,541.0","2,884.0","1,412.0","2,400.0","3,256.0","6,612.0","5,459.0","4,137.0","2,533.0","2,993.0","2,823.0","5,049.0","3,026.0","2,717.0","4,441.0","3,831.0","3,987.0","4,342.0","5,072.0","8,492.0","10,354.0","10,588.0"
"38","20","          Services","W116RC1","331.0","301.0","278.0","255.0","371.0","435.0","398.0","492.0","466.0","520.0","675.0","564.0","1,434.0","1,870.0","2,145.0","4,137.0","4,672.0","3,470.0","1,365.0","2,157.0","2,460.0","2,446.0","5,740.0","7,385.0","6,472.0","5,691.0","7,493.0","8,454.0","11,090.0","11,132.0","9,020.0","10,275.0","11,787.0","13,189.0","14,705.0","14,983.0","15,626.0","18,572.0","21,653.0","22,117.0","22,407.0"
"39","21","      Less: Own-account investment \4\","W117RC1","14.0","14.0","18.0","22.0","353.0","398.0","687.0","560.0","469.0","420.0","435.0","451.0","476.0","567.0","336.0","152.0","238.0","48.0","46.0","78.0","106.0","126.0","250.0","376.0","400.0","350.0","300.0","308.0","356.0","416.0","458.0","457.0","491.0","503.0","470.0","474.0","503.0","572.0","485.0","464.0","461.0"
"40","22","            Sales to other sectors","W118RC1","54.0","38.0","20.0","7.0","7.0","11.0","8.0","6.0","11.0","12.0","16.0","14.0","69.0","310.0","996.0","1,849.0","3,553.0","3,716.0","621.0","373.0","192.0","345.0","603.0","211.0","201.0","306.0","1,005.0","509.0","891.0","866.0","672.0","607.0","526.0","594.0","695.0","718.0","788.0","1,143.0","797.0","830.0","931.0"
"41","23","    Defense consumption expenditures \1\","A997RC1","880.0","889.0","856.0","857.0","786.0","703.0","923.0","990.0","976.0","1,045.0","1,165.0","1,675.0","7,107.0","25,134.0","46,790.0","59,062.0","59,256.0","23,610.0","17,204.0","16,266.0","16,854.0","17,148.0","30,082.0","38,884.0","41,199.0","37,056.0","36,841.0","38,724.0","43,124.0","44,041.0","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0"
"42","24","      Gross output of general government","W085RC1","936.0","929.0","882.0","873.0","802.0","722.0","943.0","1,010.0","1,000.0","1,070.0","1,189.0","1,709.0","7,272.0","25,702.0","47,837.0","60,597.0","62,033.0","26,293.0","17,234.0","16,383.0","16,946.0","17,244.0","30,589.0","39,083.0","41,418.0","37,273.0","37,303.0","39,116.0","43,637.0","44,703.0","40,492.0","41,451.0","43,035.0","47,004.0","48,705.0","49,237.0","51,142.0","60,837.0","70,312.0","77,342.0","78,407.0"
"43","25","        Value added","W086RC1","721.0","712.0","705.0","663.0","587.0","602.0","713.0","766.0","809.0","860.0","915.0","1,350.0","4,081.0","11,865.0","24,663.0","34,013.0","37,584.0","22,820.0","15,957.0","13,828.0","13,731.0","13,138.0","18,891.0","22,222.0","22,924.0","22,970.0","23,710.0","24,625.0","25,494.0","26,094.0","26,714.0","27,421.0","28,314.0","29,955.0","31,123.0","32,700.0","33,833.0","37,797.0","41,354.0","45,052.0","47,876.0"
"44","26","          Compensation of general government employees","B237RC1","555.0","559.0","562.0","530.0","455.0","456.0","563.0","604.0","632.0","673.0","722.0","1,137.0","3,574.0","10,135.0","20,305.0","27,017.0","29,347.0","14,069.0","7,770.0","6,909.0","7,803.0","7,973.0","13,489.0","16,093.0","16,022.0","15,423.0","15,768.0","16,121.0","16,484.0","16,990.0","17,279.0","17,651.0","18,284.0","19,403.0","20,080.0","21,561.0","22,581.0","26,302.0","29,305.0","32,393.0","34,722.0"
"45","27","          Consumption of general government fixed capital \2\","B432RC1","166.0","153.0","143.0","133.0","132.0","146.0","150.0","162.0","177.0","187.0","193.0","213.0","507.0","1,730.0","4,358.0","6,996.0","8,237.0","8,751.0","8,187.0","6,919.0","5,928.0","5,165.0","5,402.0","6,129.0","6,902.0","7,547.0","7,942.0","8,504.0","9,010.0","9,104.0","9,435.0","9,770.0","10,030.0","10,552.0","11,043.0","11,139.0","11,252.0","11,495.0","12,049.0","12,659.0","13,154.0"
"46","28","        Intermediate goods and services purchased \3\","W087RC1","215.0","217.0","177.0","210.0","215.0","120.0","230.0","244.0","191.0","210.0","274.0","359.0","3,191.0","13,837.0","23,174.0","26,584.0","24,449.0","3,473.0","1,277.0","2,555.0","3,215.0","4,106.0","11,698.0","16,861.0","18,494.0","14,303.0","13,593.0","14,491.0","18,143.0","18,609.0","13,778.0","14,030.0","14,721.0","17,049.0","17,582.0","16,537.0","17,309.0","23,040.0","28,958.0","32,290.0","30,531.0"
"47","29","          Durable goods","A998RC1","12.0","17.0","17.0","16.0","18.0","18.0","18.0","33.0","39.0","39.0","52.0","77.0","1,440.0","7,161.0","13,101.0","13,481.0","13,604.0","532.0","311.0","772.0","962.0","1,727.0","4,379.0","8,007.0","9,123.0","6,829.0","5,991.0","6,052.0","6,689.0","7,051.0","5,138.0","4,390.0","3,626.0","4,572.0","4,718.0","3,962.0","4,154.0","6,152.0","6,178.0","7,451.0","6,454.0"
"48","30","          Nondurable goods","A725RC1","70.0","79.0","81.0","92.0","90.0","25.0","100.0","104.0","43.0","57.0","54.0","100.0","643.0","5,227.0","8,711.0","9,692.0","7,280.0","699.0","304.0","731.0","798.0","866.0","2,291.0","2,752.0","4,227.0","3,226.0","1,671.0","1,728.0","2,171.0","2,098.0","1,755.0","1,905.0","2,324.0","2,925.0","2,661.0","2,919.0","3,208.0","4,716.0","7,299.0","8,425.0","7,609.0"
"49","31","          Services","A489RC1","133.0","121.0","79.0","102.0","107.0","77.0","112.0","107.0","109.0","114.0","168.0","182.0","1,108.0","1,449.0","1,362.0","3,411.0","3,565.0","2,242.0","662.0","1,052.0","1,455.0","1,513.0","5,028.0","6,102.0","5,144.0","4,248.0","5,931.0","6,711.0","9,283.0","9,460.0","6,885.0","7,735.0","8,771.0","9,552.0","10,203.0","9,656.0","9,947.0","12,172.0","15,481.0","16,414.0","16,468.0"
"50","32","      Less: Own-account investment \4\","W088RC1","6.0","6.0","8.0","10.0","10.0","10.0","14.0","16.0","16.0","16.0","16.0","30.0","108.0","280.0","168.0","76.0","118.0","26.0","24.0","40.0","54.0","64.0","126.0","188.0","200.0","176.0","150.0","154.0","178.0","208.0","154.0","163.0","168.0","176.0","166.0","168.0","179.0","213.0","84.0","90.0","101.0"
"51","33","            Sales to other sectors","W089RC1","50.0","34.0","18.0","6.0","6.0","9.0","6.0","4.0","8.0","9.0","8.0","4.0","57.0","288.0","879.0","1,459.0","2,659.0","2,657.0","6.0","77.0","38.0","32.0","381.0","11.0","19.0","41.0","312.0","238.0","335.0","454.0","229.0","289.0","214.0","265.0","216.0","294.0","405.0","731.0","295.0","161.0","162.0"
"52","34","    Nondefense consumption expenditures \1\","A542RC1","660.0","681.0","685.0","590.0","899.0","1,684.0","1,278.0","3,345.0","2,888.0","3,449.0","3,729.0","3,180.0","2,302.0","1,999.0","1,459.0","1,938.0","1,462.0","3,297.0","3,630.0","4,891.0","6,430.0","4,887.0","4,268.0","5,274.0","7,087.0","6,855.0","7,069.0","6,298.0","6,334.0","6,813.0","9,837.0","8,735.0","8,957.0","11,251.0","12,447.0","14,022.0","15,139.0","15,850.0","17,023.0","18,202.0","20,171.0"
"53","35","      Gross output of general government","W128RC1","672.0","693.0","697.0","603.0","1,243.0","2,074.0","1,953.0","3,891.0","3,344.0","3,856.0","4,156.0","3,611.0","2,682.0","2,308.0","1,744.0","2,404.0","2,476.0","4,378.0","4,267.0","5,225.0","6,636.0","5,262.0","4,614.0","5,662.0","7,469.0","7,294.0","7,912.0","6,723.0","7,068.0","7,433.0","10,584.0","9,347.0","9,592.0","11,907.0","13,230.0","14,752.0","15,846.0","16,621.0","17,926.0","19,245.0","21,300.0"
"54","36","        Value added","W129RC1","401.0","434.0","439.0","428.0","792.0","1,350.0","1,358.0","3,157.0","2,595.0","3,070.0","2,950.0","2,645.0","1,812.0","943.0","1,028.0","747.0","1,038.0","2,598.0","3,090.0","3,219.0","3,467.0","3,704.0","3,712.0","3,801.0","3,687.0","3,541.0","3,819.0","4,110.0","4,379.0","4,987.0","5,112.0","5,626.0","6,071.0","6,566.0","7,284.0","7,980.0","8,578.0","9,388.0","10,133.0","11,257.0","12,064.0"
"55","37","          Compensation of general government employees","W130RC1","352.0","386.0","390.0","382.0","740.0","1,273.0","1,243.0","3,008.0","2,425.0","2,879.0","2,742.0","2,405.0","1,505.0","559.0","648.0","297.0","622.0","2,119.0","2,535.0","2,647.0","2,876.0","3,122.0","3,093.0","3,182.0","3,053.0","2,923.0","3,190.0","3,483.0","3,743.0","4,335.0","4,449.0","4,953.0","5,373.0","5,808.0","6,403.0","6,974.0","7,405.0","8,002.0","8,570.0","9,510.0","10,140.0"
"56","38","          Consumption of general government fixed capital \2\","B546RC1","49.0","48.0","49.0","46.0","52.0","77.0","115.0","149.0","170.0","191.0","208.0","240.0","307.0","384.0","380.0","450.0","416.0","479.0","555.0","572.0","591.0","582.0","619.0","619.0","634.0","618.0","629.0","627.0","636.0","652.0","663.0","673.0","698.0","758.0","881.0","1,006.0","1,173.0","1,386.0","1,563.0","1,747.0","1,924.0"
"57","39","        Intermediate goods and services purchased \3\","W131RC1","271.0","259.0","258.0","175.0","451.0","724.0","595.0","734.0","749.0","786.0","1,206.0","966.0","870.0","1,365.0","716.0","1,657.0","1,438.0","1,780.0","1,177.0","2,006.0","3,169.0","1,558.0","902.0","1,861.0","3,782.0","3,753.0","4,093.0","2,613.0","2,689.0","2,446.0","5,472.0","3,721.0","3,521.0","5,341.0","5,946.0","6,772.0","7,268.0","7,233.0","7,793.0","7,988.0","9,236.0"
"58","40","          Durable goods","A543RC1","5.0","6.0","5.0","4.0","39.0","88.0","138.0","98.0","84.0","88.0","88.0","97.0","210.0","149.0","121.0","88.0","135.0","107.0","121.0","91.0","78.0","79.0","81.0","74.0","69.0","77.0","65.0","65.0","60.0","49.0","43.0","60.0","112.0","188.0","274.0","377.0","455.0","477.0","428.0","356.0","318.0"
"59","41","          Nondurable goods","A729RC1","68.0","73.0","54.0","18.0","148.0","278.0","171.0","251.0","308.0","292.0","611.0","487.0","334.0","795.0","-188.0","843.0","196.0","445.0","353.0","810.0","2,086.0","546.0","109.0","504.0","2,385.0","2,233.0","2,466.0","805.0","822.0","725.0","3,294.0","1,121.0","393.0","1,516.0","1,170.0","1,068.0","1,134.0","356.0","1,193.0","1,929.0","2,979.0"
"60","42","            Commodity Credit Corporation inventory change","B826RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","326.0","259.0","164.0","584.0","-430.0","549.0","-383.0","-548.0","84.0","298.0","1,500.0","254.0","-389.0","156.0","2,036.0","1,873.0","2,044.0","156.0","-91.0","294.0","2,127.0","160.0","-769.0","326.0","-179.0","-416.0","-421.0","-1,534.0","-913.0","166.0","710.0"
"61","43","            Other nondurable goods","B828RC1","68.0","73.0","54.0","18.0","148.0","278.0","171.0","251.0","308.0","292.0","285.0","228.0","170.0","211.0","242.0","294.0","579.0","993.0","269.0","512.0","586.0","292.0","498.0","348.0","349.0","360.0","422.0","649.0","913.0","431.0","1,167.0","961.0","1,162.0","1,190.0","1,349.0","1,484.0","1,555.0","1,890.0","2,106.0","1,763.0","2,269.0"
"62","44","          Services","A544RC1","198.0","180.0","199.0","153.0","264.0","358.0","286.0","385.0","357.0","406.0","507.0","382.0","326.0","421.0","783.0","726.0","1,107.0","1,228.0","703.0","1,105.0","1,005.0","933.0","712.0","1,283.0","1,328.0","1,443.0","1,562.0","1,743.0","1,807.0","1,672.0","2,135.0","2,540.0","3,016.0","3,637.0","4,502.0","5,327.0","5,679.0","6,400.0","6,172.0","5,703.0","5,939.0"
"63","45","      Less: Own-account investment \4\","W136RC1","8.0","8.0","10.0","12.0","343.0","388.0","673.0","544.0","453.0","404.0","419.0","421.0","368.0","287.0","168.0","76.0","120.0","22.0","22.0","38.0","52.0","62.0","124.0","188.0","200.0","174.0","150.0","154.0","178.0","208.0","304.0","294.0","323.0","327.0","304.0","306.0","324.0","359.0","401.0","374.0","360.0"
"64","46","            Sales to other sectors","W137RC1","4.0","4.0","2.0","1.0","1.0","2.0","2.0","2.0","3.0","3.0","8.0","10.0","12.0","22.0","117.0","390.0","894.0","1,059.0","615.0","296.0","154.0","313.0","222.0","200.0","182.0","265.0","693.0","271.0","556.0","412.0","443.0","318.0","312.0","329.0","479.0","424.0","383.0","412.0","502.0","669.0","769.0"
