"","Table 1#1#6D# Real Gross Domestic Product, Chained (1987) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191DX1","3,401,239.0","3,468,833.0","3,530,870.0","3,530,139.0","3,542,193.0","3,681,541.0","3,717,635.0","3,766,805.0","3,773,104.0","3,776,646.0","3,803,794.0","3,814,259.0","3,826,546.0","3,748,121.0","3,741,155.0","3,810,351.0","3,889,529.0","3,858,493.0","3,905,374.0","3,856,723.0","3,793,430.0","3,813,987.0","3,799,283.0","3,802,281.0","3,849,571.0","3,936,096.0","4,013,714.0","4,096,681.0","4,176,139.0","4,248,241.0","4,289,526.0","4,324,448.0","4,365,256.0","4,402,216.0","4,470,982.0","4,504,915.0","4,548,202.0","4,566,474.0","4,610,500.0","4,632,785.0","4,658,470.0","4,708,009.0","4,748,841.0","4,830,097.0","4,855,081.0","4,917,436.0","4,942,824.0","5,008,824.0","5,055,851.0","5,093,681.0","5,134,079.0","5,145,285.0","5,199,037.0","5,219,700.0","5,219,620.0","5,173,889.0","5,148,826.0","5,183,577.0","5,205,413.0","5,225,818.0","5,283,180.0","5,339,316.0","5,394,408.0","5,451,177.0","5,461,195.0","5,496,135.0","5,525,067.0","5,598,031.0","5,652,529.0","5,729,847.0","5,766,754.0","5,830,799.0","5,845,103.0","5,857,668.0","5,906,899.0","5,948,083.0","5,988,828.0","6,092,362.0","6,145,356.0","6,212,437.0","6,260,218.0","6,353,035.0","6,432,773.0","6,482,124.0"
"21","2","Personal consumption expenditures","DPCEDX1","2,220,090.0","2,232,377.0","2,253,645.0","2,287,648.0","2,301,003.0","2,350,191.0","2,360,075.0","2,379,034.0","2,391,064.0","2,389,664.0","2,413,176.0","2,419,576.0","2,415,385.0","2,360,564.0","2,385,867.0","2,417,684.0","2,430,920.0","2,430,884.0","2,440,748.0","2,422,299.0","2,437,958.0","2,446,714.0","2,465,460.0","2,510,410.0","2,535,029.0","2,585,371.0","2,631,060.0","2,672,775.0","2,695,678.0","2,734,247.0","2,755,343.0","2,791,643.0","2,838,975.0","2,864,843.0","2,919,265.0","2,925,654.0","2,950,077.0","2,981,526.0","3,033,622.0","3,051,908.0","3,047,265.0","3,088,056.0","3,122,514.0","3,130,006.0","3,182,280.0","3,205,422.0","3,230,698.0","3,268,770.0","3,280,729.0","3,295,417.0","3,329,600.0","3,345,899.0","3,372,348.0","3,383,477.0","3,396,323.0","3,369,879.0","3,360,284.0","3,385,904.0","3,398,862.0","3,397,315.0","3,455,741.0","3,476,228.0","3,514,656.0","3,557,551.0","3,571,965.0","3,606,233.0","3,645,382.0","3,677,804.0","3,718,783.0","3,746,354.0","3,776,358.0","3,813,639.0","3,818,083.0","3,849,391.0","3,883,798.0","3,911,105.0","3,946,891.0","3,991,537.0","4,015,433.0","4,048,134.0","4,088,903.0","4,105,478.0","4,175,275.0","4,223,050.0"
"22","3","  Goods","DGDSDX1","913,072.0","919,793.0","927,201.0","946,971.0","941,656.0","968,688.0","969,486.0","980,427.0","979,667.0","971,411.0","987,553.0","983,370.0","978,392.0","938,088.0","947,721.0","958,491.0","972,286.0","964,507.0","974,243.0","956,830.0","966,420.0","966,186.0","971,330.0","990,914.0","996,108.0","1,025,472.0","1,048,223.0","1,072,903.0","1,087,433.0","1,111,677.0","1,112,365.0","1,129,750.0","1,147,187.0","1,157,672.0","1,188,535.0","1,181,443.0","1,199,374.0","1,220,703.0","1,258,520.0","1,257,730.0","1,232,006.0","1,255,606.0","1,274,480.0","1,263,098.0","1,292,903.0","1,299,625.0","1,299,364.0","1,319,976.0","1,321,800.0","1,329,252.0","1,348,392.0","1,343,931.0","1,361,951.0","1,347,347.0","1,344,205.0","1,322,993.0","1,311,650.0","1,318,987.0","1,326,928.0","1,312,236.0","1,341,952.0","1,348,796.0","1,363,543.0","1,381,593.0","1,386,941.0","1,409,173.0","1,423,722.0","1,441,854.0","1,466,286.0","1,479,329.0","1,493,058.0","1,521,617.0","1,514,052.0","1,524,265.0","1,542,729.0","1,557,298.0","1,569,770.0","1,600,379.0","1,611,754.0","1,631,303.0","1,653,305.0","1,652,042.0","1,695,251.0","1,718,402.0"
"23","4","    Durable goods","DDURDX1","274,925.0","281,411.0","285,551.0","291,551.0","283,821.0","304,983.0","300,876.0","303,251.0","299,665.0","292,891.0","301,052.0","293,300.0","288,686.0","257,548.0","268,972.0","277,171.0","285,038.0","273,945.0","282,280.0","262,004.0","270,400.0","271,389.0","273,581.0","286,063.0","288,968.0","310,032.0","321,941.0","337,821.0","350,564.0","358,705.0","358,818.0","370,461.0","383,329.0","387,892.0","412,723.0","398,508.0","406,648.0","421,012.0","456,923.0","449,679.0","423,010.0","440,357.0","458,553.0","446,169.0","467,280.0","467,443.0","461,351.0","473,300.0","471,197.0","477,487.0","488,284.0","473,447.0","493,443.0","477,128.0","472,290.0","459,288.0","446,635.0","448,880.0","455,778.0","448,339.0","465,939.0","469,179.0","479,190.0","488,708.0","493,455.0","509,472.0","515,154.0","527,550.0","540,113.0","545,920.0","551,668.0","571,058.0","559,224.0","564,911.0","580,857.0","590,947.0","597,364.0","616,368.0","620,732.0","632,855.0","650,001.0","647,904.0","676,792.0","694,062.0"
"24","5","    Nondurable goods","DNDGDX1","637,853.0","637,808.0","640,970.0","654,733.0","657,533.0","662,599.0","667,738.0","676,344.0","679,336.0","678,023.0","685,960.0","689,583.0","689,245.0","679,914.0","678,245.0","680,899.0","686,915.0","689,969.0","691,499.0","694,144.0","695,425.0","694,226.0","697,190.0","704,348.0","706,627.0","714,948.0","725,820.0","734,665.0","736,529.0","752,633.0","753,208.0","759,002.0","763,642.0","769,593.0","775,921.0","782,841.0","792,764.0","799,820.0","801,484.0","808,008.0","809,058.0","815,239.0","815,904.0","816,901.0","825,707.0","832,272.0","838,016.0","846,754.0","850,584.0","851,873.0","860,417.0","870,168.0","869,038.0","869,994.0","871,409.0","862,660.0","863,063.0","868,134.0","869,591.0","862,124.0","874,956.0","878,639.0","883,874.0","892,730.0","893,626.0","900,730.0","909,643.0","915,974.0","928,230.0","935,578.0","943,637.0","953,658.0","957,077.0","961,783.0","965,198.0","970,176.0","976,458.0","989,005.0","996,041.0","1,004,108.0","1,010,212.0","1,010,768.0","1,027,039.0","1,034,260.0"
"25","6","  Services","DSERDX1","1,301,146.0","1,306,213.0","1,320,352.0","1,333,054.0","1,354,334.0","1,374,735.0","1,384,589.0","1,391,820.0","1,405,961.0","1,414,728.0","1,420,378.0","1,432,634.0","1,434,230.0","1,424,575.0","1,440,351.0","1,461,884.0","1,459,198.0","1,468,839.0","1,467,610.0","1,468,762.0","1,474,157.0","1,483,834.0","1,497,810.0","1,522,867.0","1,542,856.0","1,562,573.0","1,584,956.0","1,601,130.0","1,609,031.0","1,622,575.0","1,643,729.0","1,662,463.0","1,692,494.0","1,707,855.0","1,730,851.0","1,744,758.0","1,750,809.0","1,760,711.0","1,774,925.0","1,794,036.0","1,815,200.0","1,832,451.0","1,848,072.0","1,866,928.0","1,889,471.0","1,905,825.0","1,931,124.0","1,948,700.0","1,958,747.0","1,966,029.0","1,981,236.0","2,001,668.0","2,010,400.0","2,035,465.0","2,051,110.0","2,045,467.0","2,046,868.0","2,064,963.0","2,070,094.0","2,082,353.0","2,111,503.0","2,125,039.0","2,148,671.0","2,173,592.0","2,182,615.0","2,195,447.0","2,219,944.0","2,234,773.0","2,252,190.0","2,266,956.0","2,283,446.0","2,293,757.0","2,304,675.0","2,325,511.0","2,342,085.0","2,355,321.0","2,378,381.0","2,394,199.0","2,406,997.0","2,421,154.0","2,440,851.0","2,457,414.0","2,486,633.0","2,511,946.0"
"26","7","Gross private domestic investment","A006DX1","525,235.0","565,829.0","596,664.0","579,821.0","591,321.0","631,921.0","651,427.0","666,249.0","666,142.0","664,600.0","651,662.0","639,531.0","634,895.0","577,614.0","533,590.0","587,839.0","646,256.0","615,490.0","653,695.0","628,344.0","562,881.0","562,382.0","555,818.0","506,322.0","524,350.0","574,957.0","613,619.0","678,228.0","749,216.0","774,477.0","792,479.0","779,477.0","753,777.0","766,789.0","758,316.0","787,964.0","786,345.0","768,893.0","744,788.0","745,943.0","768,734.0","769,810.0","770,587.0","830,673.0","783,871.0","802,938.0","808,097.0","818,799.0","850,176.0","840,242.0","830,368.0","821,845.0","829,933.0","830,169.0","810,628.0","759,364.0","728,446.0","724,784.0","742,828.0","771,266.0","754,119.0","803,796.0","812,105.0","837,808.0","857,495.0","864,228.0","863,620.0","909,193.0","948,420.0","1,003,700.0","985,656.0","1,031,607.0","1,042,093.0","1,014,067.0","1,004,306.0","1,032,584.0","1,046,187.0","1,100,375.0","1,155,861.0","1,152,718.0","1,179,631.0","1,254,956.0","1,277,267.0","1,297,666.0"
"27","8","  Fixed investment","A007DX1","508,840.0","537,241.0","544,189.0","554,002.0","558,663.0","599,200.0","616,425.0","629,574.0","634,358.0","629,438.0","640,863.0","634,882.0","625,915.0","571,468.0","577,116.0","600,043.0","604,432.0","608,427.0","608,498.0","606,277.0","587,897.0","567,351.0","551,538.0","550,644.0","562,683.0","584,410.0","619,335.0","655,610.0","676,183.0","703,982.0","719,001.0","731,908.0","737,560.0","746,832.0","740,813.0","754,808.0","755,890.0","754,099.0","749,853.0","754,835.0","739,882.0","753,120.0","769,153.0","769,054.0","768,041.0","783,068.0","786,094.0","793,972.0","801,876.0","802,978.0","816,947.0","803,493.0","813,488.0","794,678.0","786,087.0","763,694.0","737,549.0","736,437.0","738,897.0","740,285.0","747,953.0","777,362.0","789,177.0","813,761.0","818,486.0","836,802.0","851,644.0","889,470.0","901,293.0","922,969.0","932,132.0","957,649.0","979,508.0","975,793.0","988,670.0","1,009,282.0","1,034,785.0","1,068,448.0","1,093,168.0","1,111,423.0","1,133,126.0","1,157,546.0","1,202,128.0","1,212,450.0"
"28","9","    Nonresidential","A008DX1","326,209.0","335,630.0","342,658.0","354,128.0","357,631.0","387,798.0","401,652.0","414,896.0","423,915.0","422,649.0","435,818.0","436,908.0","441,702.0","419,285.0","422,447.0","431,330.0","438,281.0","447,115.0","458,002.0","469,025.0","457,933.0","441,554.0","426,645.0","418,065.0","410,239.0","415,257.0","434,024.0","462,132.0","477,204.0","500,931.0","517,430.0","529,906.0","536,070.0","543,699.0","535,383.0","544,572.0","537,095.0","523,650.0","515,990.0","521,293.0","506,960.0","519,103.0","535,827.0","534,575.0","538,690.0","551,933.0","554,829.0","560,674.0","570,150.0","578,256.0","594,825.0","586,052.0","593,836.0","583,580.0","587,295.0","576,075.0","561,212.0","555,825.0","550,570.0","547,666.0","545,204.0","566,831.0","578,279.0","595,680.0","599,471.0","615,420.0","622,281.0","648,399.0","654,857.0","668,082.0","680,606.0","710,748.0","739,795.0","744,929.0","749,926.0","765,014.0","784,001.0","806,537.0","833,382.0","855,916.0","877,761.0","899,549.0","945,410.0","953,006.0"
"29","10","      Structures","B009DX1","122,959.0","127,558.0","129,489.0","130,422.0","130,171.0","142,900.0","152,324.0","158,697.0","157,812.0","160,097.0","167,562.0","172,692.0","175,358.0","171,509.0","172,363.0","177,433.0","177,327.0","184,009.0","188,649.0","202,528.0","196,088.0","189,696.0","179,239.0","175,170.0","168,024.0","160,048.0","163,792.0","168,352.0","177,922.0","186,854.0","192,751.0","194,747.0","203,002.0","202,890.0","198,688.0","201,163.0","196,131.0","177,648.0","171,313.0","172,359.0","168,329.0","170,308.0","177,402.0","180,770.0","173,945.0","177,556.0","175,157.0","174,718.0","177,534.0","175,529.0","181,682.0","180,567.0","184,539.0","183,635.0","182,962.0","174,712.0","170,951.0","166,292.0","155,502.0","152,345.0","150,427.0","150,438.0","151,739.0","153,598.0","149,686.0","149,450.0","150,170.0","152,970.0","146,721.0","155,104.0","154,925.0","156,505.0","160,437.0","163,646.0","164,837.0","163,448.0","166,364.0","170,008.0","172,103.0","180,860.0","182,453.0","180,834.0","187,657.0","188,946.0"
"30","11","      Equipment and software","B010DX1","202,596.0","207,616.0","212,568.0","222,441.0","225,913.0","243,555.0","248,681.0","255,751.0","265,010.0","261,827.0","267,805.0","264,300.0","266,522.0","248,576.0","250,863.0","254,896.0","261,727.0","264,153.0","270,406.0","267,985.0","263,211.0","253,162.0","248,547.0","244,011.0","243,189.0","255,682.0","270,559.0","293,814.0","299,528.0","314,330.0","324,926.0","335,338.0","333,390.0","341,088.0","336,943.0","343,627.0","341,123.0","346,029.0","344,658.0","348,916.0","338,646.0","348,806.0","358,433.0","353,769.0","364,792.0","374,419.0","379,808.0","386,179.0","392,865.0","403,215.0","413,590.0","405,832.0","409,540.0","400,008.0","404,534.0","401,923.0","390,733.0","390,229.0","396,530.0","396,968.0","396,519.0","418,701.0","429,055.0","444,951.0","453,237.0","470,055.0","476,380.0","500,427.0","514,477.0","518,519.0","531,890.0","561,809.0","587,790.0","589,268.0","593,104.0","611,015.0","627,657.0","647,171.0","673,383.0","686,053.0","707,598.0","733,615.0","774,370.0","780,913.0"
"31","12","    Residential","A011DX1","188,425.0","209,984.0","209,320.0","206,553.0","207,593.0","217,566.0","220,587.0","219,810.0","214,672.0","210,665.0","208,161.0","200,297.0","184,971.0","150,750.0","153,327.0","168,309.0","165,299.0","159,698.0","147,378.0","132,283.0","124,657.0","120,723.0","120,342.0","129,153.0","151,165.0","169,071.0","185,819.0","193,670.0","199,051.0","202,736.0","200,790.0","200,998.0","200,374.0","201,974.0","204,539.0","209,403.0","218,355.0","230,472.0","234,022.0","233,605.0","232,986.0","234,010.0","233,304.0","234,445.0","229,373.0","231,194.0","231,336.0","233,367.0","231,840.0","224,972.0","222,521.0","217,846.0","220,065.0","211,599.0","199,577.0","188,523.0","177,308.0","181,497.0","189,019.0","193,166.0","203,020.0","210,785.0","211,270.0","218,445.0","219,442.0","222,023.0","229,688.0","241,256.0","246,372.0","254,532.0","251,755.0","248,453.0","242,935.0","235,127.0","242,396.0","247,895.0","254,412.0","265,157.0","264,427.0","261,694.0","262,580.0","265,900.0","267,121.0","269,862.0"
"32","13","  Change in private inventories","A014DX1","19,660.0","32,839.0","58,157.0","30,348.0","35,306.0","34,725.0","36,617.0","42,453.0","32,552.0","36,696.0","13,866.0","8,409.0","10,933.0","9,326.0","-39,929.0","-10,844.0","45,276.0","11,710.0","47,315.0","23,147.0","-22,257.0","-4,442.0","5,546.0","-43,219.0","-39,016.0","-5,474.0","-4,613.0","24,076.0","72,541.0","67,953.0","71,061.0","44,472.0","14,076.0","20,517.0","17,000.0","31,561.0","28,887.0","14,107.0","-7,729.0","-7,487.0","29,925.0","16,437.0","-537.0","62,771.0","14,639.0","18,707.0","16,937.0","21,417.0","44,477.0","33,562.0","8,807.0","13,323.0","12,360.0","30,276.0","20,386.0","-8,829.0","-14,092.0","-17,172.0","-414.0","27,006.0","2,230.0","19,550.0","17,272.0","19,499.0","32,939.0","21,944.0","5,146.0","12,757.0","41,320.0","74,002.0","45,832.0","65,502.0","53,865.0","30,850.0","6,715.0","13,489.0","2,586.0","21,897.0","50,719.0","26,807.0","35,322.0","84,964.0","61,688.0","71,132.0"
"33","14","Net exports of goods and services","A019DX1","-63,181.0","-59,865.0","-54,137.0","-65,431.0","-79,405.0","-56,886.0","-58,149.0","-52,409.0","-51,333.0","-52,332.0","-38,080.0","-27,742.0","-19,911.0","8,692.0","29,193.0","12,721.0","6,113.0","7,313.0","4,194.0","-2,927.0","-7,333.0","-743.0","-27,171.0","-27,925.0","-30,354.0","-52,605.0","-73,694.0","-85,241.0","-108,760.0","-118,184.0","-122,354.0","-128,631.0","-118,839.0","-140,802.0","-140,970.0","-149,222.0","-139,026.0","-155,063.0","-160,926.0","-152,417.0","-149,198.0","-147,869.0","-142,328.0","-140,404.0","-116,610.0","-99,345.0","-103,810.0","-106,946.0","-96,581.0","-79,535.0","-73,627.0","-76,089.0","-72,711.0","-64,885.0","-58,824.0","-39,103.0","-29,018.0","-19,990.0","-23,399.0","-23,525.0","-17,704.0","-27,471.0","-24,469.0","-36,161.0","-48,438.0","-54,450.0","-65,053.0","-72,576.0","-82,763.0","-88,520.0","-84,506.0","-90,905.0","-95,329.0","-93,254.0","-65,257.0","-64,868.0","-81,879.0","-87,971.0","-109,578.0","-78,364.0","-101,245.0","-99,570.0","-115,148.0","-138,578.0"
