"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Millions of chained (2000) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 02, 2009    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/27/2009 2:53:34 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","S1 QN04472AMG       Retail and food services","T060010",2323478,2432127,2590392,2681226,2811063,2930219,3112483,3353922,3513873,3614475,3745648,3909359,4106382,4281022,4479731,4632058,4544835
"9","2","S1 QN44ZZZZMG Retail trade","T060020",2068497,2166248,2316129,2402618,2527518,2637169,2809892,3043741,3190304,3287991,3414455,3568100,3754095,3919129,4105857,4255068,4168818
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",506245,548200,602397,617418,657293,685507,730030,810184,841960,864432,884664,923613,963118,965762,972253,1000905,887415
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",433256,468926,516210,527781,562939,586045,623011,695137,720461,744784,761131,792349,822774,820533,826045,852666,741009
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",21036,24120,26562,28374,30047,32903,36773,40399,44415,44640,46394,52563,58942,61927,62971,66108,63952
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",51692,54977,59515,61156,64202,66493,70224,74639,77083,75045,77159,78744,81319,82880,82862,82262,80029
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",73281,80880,91329,101504,112487,125244,143627,167135,188238,201524,226232,252815,291091,327687,371136,402650,413902
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",60358,62809,66828,69244,72760,77417,81879,89319,96572,97114,101303,107462,117546,125433,133590,137354,129309
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",35203,36553,38025,39232,41082,43931,46337,49564,53663,54288,56215,58122,63233,67663,70222,72245,68454
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",25156,26256,28801,30011,31681,33484,35541,39756,42909,42828,45081,49303,54269,57725,63307,65046,60796
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",21540,25553,30867,36910,43136,50296,62708,77991,91667,104842,127045,149774,181720,215901,260051,297461,332006
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",187320,186855,202410,210043,223503,235471,254220,273891,290139,304878,319507,337179,362607,388087,406450,395346,374383
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",160033,159979,174733,181976,193196,202404,220012,239197,254149,268857,284413,301022,325433,350827,369014,355557,331593
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",27413,26997,27722,28089,30336,33119,34236,34702,35990,36050,35208,36304,37382,37549,37813,39915,42281
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",450000,448347,453646,451242,450827,451247,455582,466041,472218,478607,472388,475915,481710,492429,500490,508602,506820
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",409471,408187,412978,410845,409663,409591,412419,422542,426595,431829,426139,428613,432324,441850,447217,453505,452039
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",13924,13964,13780,13768,13817,13910,14188,14185,14938,15638,15545,16368,17284,17597,18059,17955,16427
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",26568,26164,26857,26595,27325,27734,28973,29311,30685,31141,30709,30941,32113,32997,35266,37232,38511
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",113979,118626,124222,129317,136775,140889,152746,166348,177083,178824,187979,200702,214355,229091,243905,255442,253127
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",81738,84634,88061,91188,95766,99502,107879,117093,125102,128154,134856,144848,155966,168424,180466,192775,193316
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",17759,18071,19064,19736,20725,20906,21886,22885,23342,23403,23961,24755,25417,26492,27836,27904,27751
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",14668,16062,17223,18472,20298,20522,23003,26373,28639,27283,29183,31149,33071,34345,35845,35328,32973
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",265139,282788,302739,319831,334837,350119,373312,406040,431086,456175,482903,517739,552747,592183,631632,668132,696654
"31","24","S1 QN4521ZZMG     Department stores","T060240",181068,191329,203254,212291,219775,227600,233769,244308,248328,247109,243764,244809,248497,252252,254921,256803,250691
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",82490,90027,98157,106405,114090,121660,139115,161609,182758,208874,238335,271209,301576,336044,371441,404621,437222
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",493068,518690,555019,584936,620183,654308,703262,754711,789579,803870,844265,867810,903847,946610,1012832,1067132,1081852
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",108571,109795,112436,117379,124098,132510,142275,151722,160641,165113,171202,177184,177998,182869,190864,199383,203994
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",211250,219122,229603,238395,242441,246843,260394,264038,252864,256455,264245,255291,260586,265674,270833,272056,267603
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",48875,51694,56460,59967,62848,64826,69654,76524,81756,84752,87319,90144,94522,97390,103595,109575,112240
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",32702,34429,37464,39345,41378,42445,46078,51261,55881,58350,60999,63611,67210,70302,76972,83102,85395
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",16148,17255,18999,20670,21508,22439,23608,25276,25876,26408,26360,26611,27425,27270,26942,26897,27295
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",60639,67362,75170,80391,87432,95380,103438,110082,114344,111522,114430,116744,121488,126689,139870,147040,148376
"40","33","S3 QN4531ZZMG       Florists","T060330",6730,6870,7014,6881,7573,7972,8219,8671,8833,8357,8094,7478,7094,7314,7450,6680,6211
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",21604,23965,27106,28390,30067,33081,36997,41420,45136,45040,47236,49539,53403,56618,63052,68765,68335
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",5536,6077,6102,6690,7398,8245,9338,9978,10811,10676,10828,11179,11710,12248,14498,15785,17133
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",26596,30367,35003,38634,42734,46402,49063,50059,49564,47478,48384,48854,49942,51399,56172,58015,58904
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",75886,82036,91315,98147,110558,120644,132641,154360,179974,186025,207922,231501,256123,286411,332774,379121,399642
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",27137,31339,36224,41172,49392,59670,71973,89596,112407,120805,140605,164398,192195,230089,289232,339146,375886
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",8683,8325,8326,7912,8484,8635,8890,9399,9946,9254,9254,8850,9072,8870,8882,8726,8670
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",46838,48571,52934,54521,57472,55529,53400,55938,57621,56176,58928,60751,60529,59442,58588,63370,59645
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",258121,269035,276545,280311,284414,293733,302861,310186,323569,326607,331671,342122,353852,364141,376851,381640,379331
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",110567,114698,119839,120090,123138,131219,133500,136356,140995,140963,143936,147493,151615,154754,159671,162233,162582
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",110174,117304,120056,123207,123917,124056,129697,132456,138718,142422,144575,150681,157986,163368,168750,168748,164544
"51","44","S4 QN7223ZZMG   Special food Services","T060440",21269,21478,21865,21752,21970,23090,23959,25419,27285,26967,26647,26892,27399,28807,30229,31228,31685
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",16186,15565,14776,15242,15378,15378,15706,15955,16571,16260,16515,17060,16866,17228,18212,19415,20473
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",1815859,1883645,1988384,2064160,2154016,2244941,2382678,2543688,2671913,2750066,2861111,2985863,3143185,3313306,3503680,3627015,3646173
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",1560381,1617516,1714009,1785329,1870362,1951803,2080022,2233510,2348344,2423585,2530035,2644752,2791077,2952103,3131141,3251376,3273732
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores\1\","T060480",516549,551884,596507,634649,673824,712215,775470,857266,923300,966270,1030707,1108754,1200613,1294245,1399243,1486808,1526589
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
