"","Table 7# Current-Cost Net Stock of Private Nonresidential Fixed ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars; yearend estimates]                                                                                                                                                                                                                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:17 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private nonresidential fixed assets","k1ntotl1es000",7169,7558.3,7954.3,8344.8,8820,9331.1,9887.6,10552.6,11054.3,11386,11776.8
"10","2","        Equipment and software","k1ntotl1eq000",2754.1,2906.1,3086.1,3249.6,3413.6,3611.2,3864.1,4130.3,4251.9,4350.8,4528.3
"11","3","        Structures","k1ntotl1st000",4414.9,4652.2,4868.2,5095.2,5406.5,5720,6023.5,6422.3,6802.4,7035.1,7248.6
"12",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"By selected industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","4","  Farms","k1n110c1es000",278.7,288.3,295.6,303.3,314.9,328,336.2,347.1,357.4,365.9,377.8
"15","5","    Equipment and software","k1n110c1eq000",108.4,111.6,116.2,119.9,125.7,132,132.1,133.4,136.1,140.5,147.4
"16","6","    Structures","k1n110c1st000",170.3,176.7,179.3,183.4,189.1,196.1,204.1,213.8,221.3,225.4,230.3
"17","7","  Manufacturing","k1n31gd1es000",1053.3,1111.8,1182.9,1257.3,1333.5,1412.8,1475.9,1538.1,1581.5,1600,1626.7
"18","8","    Equipment and software","k1n31gd1eq000",675.6,713.2,766.4,815.6,862.1,910.5,946.1,979.2,992.1,996.9,1015.2
"19","9","    Structures","k1n31gd1st000",377.6,398.5,416.5,441.7,471.4,502.3,529.9,558.9,589.4,603.1,611.5
"20","10","  Nonfarm nonmanufacturing","k1nnoma1es000",5837.1,6158.2,6475.9,6784.2,7171.7,7590.3,8075.4,8667.3,9115.3,9420.1,9772.4
"21","11","    Equipment and software","k1nnoma1eq000",1970,2081.3,2203.5,2314.1,2425.7,2568.7,2785.9,3017.8,3123.7,3213.4,3365.6
"22","12","    Structures","k1nnoma1st000",3867,4076.9,4272.4,4470.1,4745.9,5021.6,5289.5,5649.5,5991.6,6206.7,6406.8
"23",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"By legal form of organization:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","13","  Corporate","k1ntotl2es000",5397.9,5701.2,6029.3,6347.6,6717.1,7085.4,7519.5,8051.3,8437.2,8682,8972.4
"26","14","    Equipment and software","k1ntotl2eq000",2351.9,2489.1,2652.9,2801.9,2947.3,3099.6,3327,3567.8,3674.3,3755.7,3902.8
"27","15","    Structures","k1ntotl2st000",3046,3212,3376.4,3545.8,3769.8,3985.8,4192.5,4483.5,4763,4926.3,5069.6
"28",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"    By corporate industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","16","      Farms","k1n110c2es000",24.5,26.1,28,30.1,32.7,35.5,37.2,39.2,41,42.8,45
"31","17","        Equipment and software","k1n110c2eq000",12.9,13.8,15.3,16.9,18.8,20.8,21.6,22.5,23.4,24.6,26.1
"32","18","        Structures","k1n110c2st000",11.7,12.3,12.7,13.2,13.9,14.7,15.6,16.7,17.6,18.2,18.9
"33","19","      Manufacturing","k1n31gd2es000",1027.4,1084.3,1153.4,1225.4,1298.7,1375,1435.7,1495.6,1537.2,1554.4,1579.6
"34","20","        Equipment and software","k1n31gd2eq000",659.7,696.2,747.7,795.2,839.7,886.1,920.1,951.7,963.6,967.5,984.6
"35","21","        Structures","k1n31gd2st000",367.7,388.2,405.7,430.2,459,488.9,515.7,543.9,573.6,586.9,595.1
"36","22","      Nonfarm nonmanufacturing","k1nnoma2es000",4345.9,4590.8,4847.9,5092.1,5385.7,5674.9,6046.6,6516.5,6859,7084.8,7347.8
"37","23","        Equipment and software","k1nnoma2eq000",1679.3,1779.2,1889.9,1989.8,2088.8,2192.7,2385.4,2593.6,2687.3,2763.6,2892.1
"38","24","        Structures","k1nnoma2st000",2666.6,2811.6,2958.1,3102.3,3296.9,3482.2,3661.2,3922.9,4171.8,4321.2,4455.6
"39",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"    By corporate financial and nonfinancial:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","25","      Financial","k1nfito2es000",612.4,650.4,686.3,729.6,781.8,849,926,989.5,1029.8,1059.5,1101.2
"42","26","        Equipment and software","k1nfito2eq000",283.5,297.8,315.4,335.5,354.4,385.3,427.1,454.8,460.1,468.9,493.2
"43","27","        Structures","k1nfito2st000",328.9,352.6,370.9,394.1,427.4,463.7,498.9,534.7,569.7,590.5,608
"44","28","      Nonfinancial","k1nnofi2es000",4785.5,5050.8,5343,5618,5935.3,6236.4,6593.5,7061.7,7407.5,7622.6,7871.2
"45","29","        Equipment and software","k1nnofi2eq000",2068.4,2191.4,2337.5,2466.3,2592.9,2714.2,2899.9,3113,3214.2,3286.8,3409.6
"46","30","        Structures","k1nnofi2st000",2717.1,2859.5,3005.6,3151.6,3342.5,3522.2,3693.6,3948.8,4193.3,4335.8,4461.6
"47",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","31","  Noncorporate","k1ntotl3es000",1771.2,1857.1,1925.1,1997.2,2102.9,2245.7,2368.1,2501.3,2617.1,2703.9,2804.4
"49","32","    Equipment and software","k1ntotl3eq000",402.2,417,433.3,447.8,466.3,511.6,537,562.5,577.6,595.1,625.5
"50","33","    Structures","k1ntotl3st000",1368.9,1440.1,1491.8,1549.4,1636.6,1734.1,1831,1938.8,2039.4,2108.8,2179
"51",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"    By noncorporate industry group:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","34","      Farms","k1n110c3es000",254.2,262.2,267.6,273.2,282.2,292.6,299,308,316.4,323.1,332.7
"54","35","        Equipment and software","k1n110c3eq000",95.6,97.8,101,103,107,111.2,110.5,110.9,112.7,116,121.3
"55","36","        Structures","k1n110c3st000",158.6,164.4,166.7,170.1,175.2,181.4,188.5,197.1,203.7,207.1,211.4
"56","37","      Manufacturing","k1n31gd3es000",25.8,27.5,29.5,31.9,34.8,37.8,40.2,42.6,44.3,45.6,47.1
