"","Table 5# Current-Cost Net Stock of Private Fixed Assets by Indus","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars; yearend estimates]                                                                                                                                                                                                                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed assets","k1ptotl1es000",14173.9,15063.7,15794.2,16615.4,17550.6,18631.2,19874.3,21228.3,22519.1,23581.9,24902.2
"10",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Agriculture, forestry, fishing, and hunting","k1p11001es000",352,363.8,372.6,383.3,401.6,420.1,434.6,452.1,468.2,480.9,498.7
"12","3","  Farms \1\","k1p110c1es000",329.2,339.3,346.9,355.4,372.8,390,403.2,419.4,434.6,446.5,463.4
"13","4","  Forestry, fishing, and related activities","k1n113f1es000",22.8,24.4,25.8,27.8,28.8,30.1,31.4,32.7,33.6,34.4,35.3
"14",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","Mining","k1n21001es000",486.9,506,536.3,558.4,605.6,625,617.9,667.9,730.5,722.2,713.4
"16","6","  Oil and gas extraction","k1n21101es000",378.9,392.1,416.3,434.1,476.1,492.5,483.7,529.5,588,579.7,569.1
"17","7","  Mining, except oil and gas","k1n21201es000",78.7,83.9,88.3,91.8,94.6,96.2,97.3,99.3,100.6,100.5,101.4
"18","8","  Support activites for mining","k1n21301es000",29.3,30,31.7,32.5,34.9,36.3,36.9,39.1,41.9,42,42.9
"19",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","Utilities","k1n22001es000",822.3,852.5,884.7,901.4,928.2,943.9,979.1,1035.3,1086.6,1135.4,1174.3
"21",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","Construction","k1n23001es000",92.5,101,111.1,123.6,134.5,148.7,165.1,175.8,179.9,184.6,191.9
"23",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","11","Manufacturing","k1n31gd1es000",1053.3,1111.8,1182.9,1257.3,1333.5,1412.8,1475.9,1538.1,1581.5,1600,1626.7
"25","12","  Durable goods","k1n33dg1es000",540.9,572.6,615,663.7,717.7,772.7,816.3,862.8,894.3,910.4,930
"26","13","    Wood products","k1n32101es000",20.8,22.2,23.7,25.2,25.8,26.6,27.3,27.9,28.2,28.1,28.3
"27","14","    Nonmetallic mineral products","k1n32701es000",45.5,46.7,47.9,49.1,50.7,52.7,54.4,56.5,57.9,58.6,59.6
"28","15","    Primary metals","k1n33101es000",119.7,122.7,125.1,126,126,126.6,126.1,125.8,124.8,122.9,121.4
"29","16","    Fabricated metal products","k1n33201es000",82.4,86.1,91,94.2,97.2,100.9,103.7,106.8,108.2,108.7,109.3
"30","17","    Machinery","k1n33301es000",39.2,43.1,48.5,56.4,69.3,81.5,92.3,102.4,109.7,114.8,120.2
"31","18","    Computer and electronic products","k1n33401es000",77.2,86.4,100.6,121.7,142.2,161.1,176.5,197.5,213.8,223.8,235.1
"32","19","    Electrical equipment, appliances, and components","k1n33501es000",53,54.4,55.9,56.5,55.1,54,52.8,53.1,53.1,52.6,52.3
"33","20","    Motor vehicles, bodies and trailers, and parts","k1n336m1es000",41.1,45.9,53.3,60.5,69,77.4,83.1,87.4,89.7,90.5,91.5
"34","21","    Other transportation equipment","k1n336o1es000",28.1,29.7,31.5,34.4,40.5,47.1,52.7,55.6,57.5,58.4,59.4
"35","22","    Furniture and related products","k1n33701es000",5.4,6,6.7,7.6,8.7,9.9,11.1,12.1,12.7,13.1,13.6
"36","23","    Miscellaneous manufacturing","k1n338a1es000",28.5,29.5,30.7,32.1,33.3,34.9,36.3,37.7,38.6,39,39.4
"37","24","  Nondurable goods","k1n31nd1es000",512.3,539.1,567.9,593.6,615.8,640.1,659.6,675.4,687.2,689.6,696.7
"38","25","    Food and beverage and tobacco products","k1n311a1es000",145.3,151.8,158.1,162.1,165.6,170,174.3,177.2,179.3,179.2,179.9
"39","26","    Textile mills and textile product mills","k1n313t1es000",36.1,38,39.3,39.9,40.5,41.1,41.1,40.6,39.9,38.9,38.5
"40","27","    Apparel and leather and allied products","k1n315a1es000",7.9,8.6,9.3,9.8,10.4,11,11.6,12.1,12.4,12.5,12.8
"41","28","    Paper products","k1n32201es000",84.4,87.2,90.2,92.5,93.7,95.4,94.8,95,94.4,92.9,92.6
"42","29","    Printing and related support activities","k1n32301es000",27.8,28.7,29.6,30.3,32,33.7,35.6,37,37.8,38.1,39
"43","30","    Petroleum and coal products","k1n32401es000",50.2,53,56.5,59.2,60.1,61.5,62.1,63.4,66,67.3,68.9
"44","31","    Chemical products","k1n32501es000",122.6,130.7,140.1,151.5,161.9,172.3,181.5,189,195.2,197.9,201.5
"45","32","    Plastics and rubber products","k1n32601es000",38,41,44.8,48.3,51.5,55.1,58.5,61.1,62.4,62.7,63.6
"46",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","33","Wholesale trade","k1n42001es000",569.3,598.2,615.1,620.1,617.5,618.3,625.1,636.2,637,638.6,649.3
"48",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","34","Retail trade","k1n44RT1es000",267,291.7,317.1,346.8,378.5,417.3,452.6,495.8,531.7,562.3,590.5
"50",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","35","Transportation and warehousing","k1n48001es000",529.6,550.3,574.3,597.2,619,648.3,675.3,708.9,735.8,756.4,782.7
"52","36","  Air transportation","k1n48101es000",79.8,83.9,92.5,102.3,113.8,129.5,143.4,161.5,179.6,190.9,202.7
"53","37","  Railroad transportation","k1n48201es000",213.7,217.3,222.4,229.4,230.2,235.1,237.6,241.7,247,249.4,254.7
"54","38","  Water transportation","k1n48301es000",51.3,50.3,48.7,48.3,48.4,47.6,47,46.6,45.9,45.9,46.1
"55","39","  Truck transportation","k1n48401es000",45.3,51.4,57.1,58.3,61.6,64,65.6,67,64.8,64.3,65.3
"56","40","  Transit and ground passenger transportation","k1n48501es000",25.6,25.6,25.5,26,25.5,26,27.3,28.5,28.9,29.4,29.9
"57","41","  Pipeline transportation","k1n48601es000",61,65,67.2,69.9,73.6,76.4,81.4,85.7,88.4,92.1,95.5
"58","42","  Other transportation and support activites \2\","k1n487S1es000",45.5,48.4,51.8,53.2,55.1,58.1,60.6,64.4,66.9,69.2,72.6
