"","Table 6# Chain-Type Quantity Indexes for Net Stock of Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Private fixed assets","kcptotl1es000",81.007,82.958,85.131,87.633,90.377,93.432,96.671,100,102.687,104.947,107.351
"10",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Agriculture, forestry, fishing, and hunting","kcp11001es000",94.35,94.194,94.152,94.697,96.989,98.772,99.11,100,100.778,101.524,102.257
"12","3","  Farms \1\","kcp110c1es000",95.034,94.652,94.424,94.618,97.02,98.843,99.115,100,100.821,101.612,102.382
"13","4","  Forestry, fishing, and related activities","kcn113f1es000",85.489,88.274,90.64,95.713,96.602,97.857,99.052,100,100.226,100.392,100.646
"14",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","Mining","kcn21001es000",102.542,102.575,102.496,101.859,101.761,101.409,100.257,100,100.536,98.961,98.485
"16","6","  Oil and gas extraction","kcn21101es000",104.81,104.316,103.547,102.344,101.901,101.47,100.247,100,100.741,99.115,98.579
"17","7","  Mining, except oil and gas","kcn21201es000",96.473,98.969,101.571,103.326,103.766,102.789,100.968,100,98.681,96.795,95.716
"18","8","  Support activites for mining","kcn21301es000",91.291,90.992,92.043,92.071,94.889,97.109,98.572,100,102.357,102.285,104.181
"19",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","9","Utilities","kcn22001es000",92.187,92.473,93.469,94.532,95.165,96.166,97.327,100,103.06,105.656,107.336
"21",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","Construction","kcn23001es000",57.289,60.932,65.825,72.596,78.672,86.202,94.652,100,102.002,103.678,105.651
"23",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","11","Manufacturing","kcn31gd1es000",77.711,79.621,82.65,86.64,90.861,94.685,97.45,100,101.386,101.495,101.851
"25","12","  Durable goods","kcn33dg1es000",70.79,72.79,76.27,81.272,86.991,92.263,96.088,100,102.357,103.182,104.128
"26","13","    Wood products","kcn32101es000",86.28,88.922,92.918,96.889,97.741,98.49,99.512,100,99.143,97.585,96.653
"27","14","    Nonmetallic mineral products","kcn32701es000",93.564,92.895,92.837,93.555,95.06,96.638,98.061,100,100.8,100.663,100.772
"28","15","    Primary metals","kcn33101es000",109.353,108.751,107.798,106.949,105.457,104.079,102.006,100,97.674,95.124,92.766
"29","16","    Fabricated metal products","kcn33201es000",87.327,88.535,90.966,92.89,94.909,97.074,98.539,100,100.313,99.865,99.271
"30","17","    Machinery","kcn33301es000",42.116,45.098,49.713,57.277,69.972,81.613,91.371,100,106.187,110.293,114.277
"31","18","    Computer and electronic products","kcn33401es000",43.358,47.247,53.982,64.676,75.06,83.952,90.624,100,106.999,110.975,115.196
"32","19","    Electrical equipment, appliances, and components","kcn33501es000",112.798,112.766,113.214,113.116,108.962,105.028,101.206,100,98.524,96.443,94.65
"33","20","    Motor vehicles, bodies and trailers, and parts","kcn336m1es000",52.304,56.855,64.301,72.227,81.838,90.789,96.369,100,101.687,101.746,101.73
"34","21","    Other transportation equipment","kcn336o1es000",56.996,58.47,60.627,65.408,76.251,87.442,96.366,100,101.944,102.327,102.96
"35","22","    Furniture and related products","kcn33701es000",50.841,54.342,59.746,66.307,75.029,84.063,93.059,100,103.832,105.821,107.922
"36","23","    Miscellaneous manufacturing","kcn338a1es000",86.299,86.692,88.192,91.044,93.139,95.946,98.095,100,100.902,100.651,100.528
"37","24","  Nondurable goods","kcn31nd1es000",86.595,88.389,90.834,93.52,95.812,97.78,99.19,100,100.149,99.345,98.952
"38","25","    Food and beverage and tobacco products","kcn311a1es000",95.055,96.199,97.729,98.564,99.06,99.522,100.155,100,99.26,97.881,96.832
"39","26","    Textile mills and textile product mills","kcn313t1es000",102.53,104.548,105.202,104.699,104.916,104.196,102.694,100,96.814,93.458,90.848
"40","27","    Apparel and leather and allied products","kcn315a1es000",75.753,79.373,84.103,87.153,91.06,94.25,97.422,100,100.936,100.885,101.38
"41","28","    Paper products","kcn32201es000",100.576,100.925,101.539,102.544,102.842,103.026,101.103,100,98.086,95.745,94.049
"42","29","    Printing and related support activities","kcn32301es000",83.147,83.641,84.072,85.038,89.405,92.746,97.089,100,101.229,101.248,102.103
"43","30","    Petroleum and coal products","kcn32401es000",90.192,92.487,96.055,99.153,99.499,99.885,99.459,100,102.625,103.46,104.452
"44","31","    Chemical products","kcn32501es000",73.462,76.04,79.823,85.302,90.133,94.336,97.749,100,101.388,101.53,102.042
"45","32","    Plastics and rubber products","kcn32601es000",71.047,74.298,78.877,83.5,88.007,92.525,96.89,100,100.943,100.605,100.448
"46",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","33","Wholesale trade","kcn42001es000",98.823,101.215,102.783,102.864,101.625,100.196,99.745,100,99.165,97.957,97.035
"48",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","34","Retail trade","kcn44RT1es000",64.671,68.094,72.613,77.909,82.965,88.733,93.941,100,104.413,107.879,111.101
"50",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","35","Transportation and warehousing","kcn48001es000",83.199,84.618,86.622,88.368,91.12,94.507,97.185,100,102.334,103.59,104.626
"52","36","  Air transportation","kcn48101es000",52.381,54.211,58.818,64.387,71.789,82.244,90.682,100,110.37,116.698,121.652
"53","37","  Railroad transportation","kcn48201es000",103.332,102.775,102.059,101.645,101.279,101.365,100.942,100,99.094,98.382,97.726
"54","38","  Water transportation","kcn48301es000",110.291,108.566,105.408,103.464,103.399,102.778,101.608,100,98.59,97.312,96.684
"55","39","  Truck transportation","kcn48401es000",72.356,79.593,87.266,89.154,94.574,97.124,98.313,100,97.558,94.938,93.077
"56","40","  Transit and ground passenger transportation","kcn48501es000",94.266,93.888,92.811,93.744,91.612,92.701,96.897,100,100.959,101.119,101.533
