"","Table 15# Real Net Stock of Fixed Assets and Consumer Durable Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of chained (2000) dollars; yearend estimates]                                                                                                                                                                                                   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Fixed assets and consumer durable goods","kxwtotl1es000",23944.4,24521,25153.1,25882.3,26677.3,27570.3,28551.8,29561.8,30430.3,31229.1,32005.1
"10","2","  Fixed assets","kxttotl1es000",21919.8,22401,22936,23552.9,24216.4,24945.8,25727.5,26531.4,27207.2,27808.7,28441.9
"11","3","    Private","kxptotl1es000",16941.7,17349.7,17804.2,18327.5,18901.4,19540.3,20217.6,20913.9,21475.8,21948.5,22451.2
"12","4","      Nonresidential","kxntotl1es000",8212.6,8398.6,8638.7,8921.5,9252.4,9622.4,10014.3,10426.1,10706.6,10877.3,11039
"13","5","        Equipment and software","kxntotl1eq000",2733.3,2848.8,2992.6,3162,3366,3600.8,3866.1,4138.5,4300.3,4407.4,4523.3
"14","6","        Structures","kxntotl1st000",5539.1,5597.7,5682,5783.3,5898.9,6026,6148.1,6287.6,6408.6,6475.2,6525.8
"15","7","      Residential","kxrtotl1es000",8737.9,8961,9174.2,9412.8,9652.9,9919.3,10203.4,10487.8,10769.2,11068.6,11404.2
"16","8","    Government","kxgtotl1es000",5005.1,5078,5158.3,5251.8,5341.2,5423,5518.1,5617.5,5724.1,5846.9,5972.1
"17","9","      Nonresidential","kxgtotl1esnr0",4781.2,4850.7,4926.6,5015.4,5101.2,5186.9,5286.5,5390.1,5499.4,5623.6,5749.5
"18","10","        Equipment and software","kxgtotl1eq000",681.9,684.3,685.7,687.8,686.6,690.2,698.6,706.1,714.4,727.1,742
"19","11","        Structures","kxgtotl1stnr0",4088.7,4157.2,4233.6,4322.3,4411.1,4494.3,4586.7,4684,4786.1,4898.7,5011
"20","12","      Residential","kxgtotl1sa000",205.3,208.2,211.7,215.3,217.9,221.3,224.7,227.4,230.7,234.1,237.3
"21","13","  Consumer durable goods","kxctotl1eq000",2064,2151.4,2242,2347.7,2472.5,2629.3,2824.4,3030.4,3227.9,3436.6,3658.4
"22",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","14","  Private and government fixed assets","kxttotl1es000",21919.8,22401,22936,23552.9,24216.4,24945.8,25727.5,26531.4,27207.2,27808.7,28441.9
"25","15","    Nonresidential","kxytotl1es000",12977.7,13234.7,13553.1,13927.3,14347,14805.7,15299.5,15816.2,16207.2,16503.7,16793.2
"26","16","      Equipment and software","kxytotl1eq000",3408.4,3527.4,3673.7,3846.4,4050.8,4290.4,4564.6,4844.6,5014.6,5134.5,5265.3
"27","17","      Structures","kxytotl1st000",9627.7,9754.8,9915.4,10105.5,10309.9,10520.3,10734.8,10971.6,11194.7,11373.5,11535.8
"28","18","    Residential","kxxtotl1es000",8943.5,9169.4,9386,9628.2,9870.8,10140.6,10428.1,10715.2,10999.8,11302.6,11641.4
"29",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19","  Government fixed assets","kxgtotl1es000",5005.1,5078,5158.3,5251.8,5341.2,5423,5518.1,5617.5,5724.1,5846.9,5972.1
"31","20","    Federal","kxgfedr1es000",1433.7,1430.7,1428.6,1435.2,1429.1,1422,1417.8,1410.1,1402.5,1401.1,1403.6
"32","21","    State and local","kxgstlc1es000",3543.4,3620.1,3703.1,3790.3,3886.1,3983.6,4092.2,4207.4,4328.4,4458.1,4585.4
