"","Table 1# Current-Cost Net Stock of Fixed Assets and Consumer Dur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars; yearend estimates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Fixed assets and consumer durable goods","k1wtotl1es000",20387.1,21628.5,22669.5,23765.5,25013.5,26415.3,28108.2,29955.9,31643.2,33098.4,34771.7
"10","2","  Fixed assets","k1ttotl1es000",18238.1,19358.9,20298.8,21297.2,22451.8,23732.3,25273.2,26941,28499,29829.8,31395.4
"11","3","    Private","k1ptotl1es000",14173.9,15063.7,15794.2,16615.4,17550.6,18631.2,19874.3,21228.3,22519.1,23581.9,24902.2
"12","4","      Nonresidential","k1ntotl1es000",7169,7558.3,7954.3,8344.8,8820,9331.1,9887.6,10552.6,11054.3,11386,11776.8
"13","5","        Equipment and software","k1ntotl1eq000",2754.1,2906.1,3086.1,3249.6,3413.6,3611.2,3864.1,4130.3,4251.9,4350.8,4528.3
"14","6","        Structures","k1ntotl1st000",4414.9,4652.2,4868.2,5095.2,5406.5,5720,6023.5,6422.3,6802.4,7035.1,7248.6
"15","7","      Residential","k1rtotl1es000",7004.9,7505.4,7839.8,8270.6,8730.6,9300.1,9986.7,10675.7,11464.8,12195.9,13125.4
"16","8","    Government","k1gtotl1es000",4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9,5712.7,5979.9,6247.9,6493.2
"17","9","      Nonresidential","k1gtotl1esnr0",3894,4113.6,4316.5,4485.4,4704.3,4894.2,5178.9,5481,5733.2,5988.9,6219.5
"18","10","        Equipment and software","k1gtotl1eq000",637,665.8,674.8,674.8,671.4,677.1,698.2,703,711.3,725.2,742.1
"19","11","        Structures","k1gtotl1stnr0",3257,3447.7,3641.7,3810.5,4032.9,4217.1,4480.7,4778,5021.9,5263.8,5477.4
"20","12","      Residential","k1gtotl1sa000",170.3,181.7,188.2,196.5,196.8,206.9,219.9,231.7,246.7,259,273.7
"21","13","  Consumer durable goods","k1ctotl1eq000",2148.9,2269.6,2370.7,2468.3,2561.7,2682.9,2835,3014.9,3144.2,3268.5,3376.3
"22",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","14","  Private and government fixed assets","k1ttotl1es000",18238.1,19358.9,20298.8,21297.2,22451.8,23732.3,25273.2,26941,28499,29829.8,31395.4
"25","15","    Nonresidential","k1ytotl1es000",11063,11671.8,12270.8,12830.2,13524.3,14225.3,15066.5,16033.6,16787.5,17374.9,17996.3
"26","16","      Equipment and software","k1ytotl1eq000",3391.1,3571.9,3760.9,3924.5,4085,4288.3,4562.3,4833.3,4963.2,5076,5270.4
"27","17","      Structures","k1ytotl1st000",7671.9,8099.9,8509.9,8905.7,9439.4,9937.1,10504.2,11200.3,11824.4,12298.9,12726
"28","18","    Residential","k1xtotl1es000",7175.1,7687.1,8028,8467.1,8927.5,9507,10206.7,10907.4,11711.5,12454.9,13399.1
"29",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","19","  Government fixed assets","k1gtotl1es000",4064.3,4295.2,4504.7,4681.8,4901.2,5101.1,5398.9,5712.7,5979.9,6247.9,6493.2
"31","20","    Federal","k1gfedr1es000",1209,1260.7,1291.3,1315.5,1334.7,1355.8,1398.9,1424.6,1446.8,1468.8,1498.4
"32","21","    State and local","k1gstlc1es000",2855.2,3034.5,3213.4,3366.3,3566.5,3745.3,4000,4288.1,4533.1,4779.1,4994.8
