"","Table 4# Chain-Type Quantity Indexes for Net Stock of Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1993 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 23, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/23/2004 8:08:06 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","       Private fixed assets","kcptotl1es000",81.007,82.958,85.131,87.633,90.377,93.432,96.671,100,102.687,104.947,107.351
"10",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Equipment and software","kcptotl1eq000",66.244,69.024,72.481,76.548,81.441,87.076,93.452,100,103.898,106.486,109.297
"12",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","3","  Nonresidential equipment and software","kcntotl1eq000",66.046,68.837,72.311,76.404,81.335,87.008,93.419,100,103.91,106.498,109.298
"14",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","4","    Information processing equipment and software","kcntotl1ep000",42.99,46.591,51.302,57.436,65.52,75.105,86.713,100,108.532,115.24,124.099
"16","5","      Computers and peripheral equipment","kcntotl1ep110",11.314,13.774,18.423,25.658,36.902,53.115,75.981,100,117.076,134.824,164.159
"17","6","      Software \1\","kcntotl1ens00",37.522,41.644,45.828,51.598,61.513,72.498,86.352,100,107.026,110.948,116.687
"18","7","      Communication equipment","kcntotl1ep200",50.332,53.34,57.526,62.742,69.067,76.576,86.055,100,110.052,116.714,123.261
"19","8","      Medical equipment and instruments","kcntotl1ep330",62.89,65.848,68.568,72.696,77.97,84.814,91.924,100,108.394,118.098,130.526
"20","9","      Nonmedical instruments","kcntotl1ep360",79.194,82.945,87.485,91.89,94.151,96.241,97.959,100,102.245,105.636,110.909
"21","10","      Photocopy and related equipment","kcntotl1ep310",73.968,79.023,81.532,84.719,88.171,94.546,97.434,100,94.174,92.22,91.691
"22","11","      Office and accounting equipment","kcntotl1ep120",121.405,120.476,120.167,120.764,120.711,116.926,106.71,100,94.126,97.736,112.579
"23","12","    Industrial equipment","kcntotl1ei000",82.186,84.009,86.561,89.232,91.819,94.482,96.921,100,101.755,102.722,103.337
"24","13","      Fabricated metal products","kcntotl1ei100",95.301,95.523,96.073,97.336,96.945,97.277,98.402,100,101.049,102.13,98.662
"25","14","      Engines and turbines","kcntotl1ei200",94.728,94.987,94.003,94.066,93.545,94.039,95.911,100,109.369,116.797,116.845
"26","15","      Metalworking machinery","kcntotl1ei300",86.05,86.886,89.037,91.13,93.827,96.284,98.108,100,99.774,98.673,96.546
"27","16","      Special industry machinery, n.e.c.","kcntotl1ei400",85.148,86.523,89.139,91.804,94.07,95.864,97.425,100,100.202,99.454,100.061
"28","17","      General industrial, including materials handling, equipment","kcntotl1ei500",69.862,73.78,78.377,82.939,87.434,92.228,95.955,100,102.308,103.708,105.856
"29","18","      Electrical transmission, distribution, and industrial apparatus","kcntotl1ei600",83.336,84.824,86.723,88.736,91.023,93.483,96.339,100,102.749,105.061,107.633
"30","19","    Transportation equipment","kcntotl1et000",67.173,70.692,74.084,77.943,82.3,87.709,94.86,100,102.508,103.068,102.416
"31","20","      Trucks, buses, and truck trailers","kcntotl1et100",46.973,51.864,57.495,64.409,72.336,81.863,92.691,100,103.44,105.653,106.896
"32","21","        Light trucks (including utility vehicles)","kcntotl1et110",43.189,46.484,50.636,58.369,68.466,79.16,91.08,100,106.106,110.344,112.725
"33","22","        Other trucks, buses, and truck trailers","kcntotl1et120",55.593,64.26,73.348,78.29,81.121,87.973,96.324,100,97.529,95.382,94.066
"34","23","      Autos","kcntotl1et200",75.417,83.743,88.07,92.439,95.205,96.254,98.777,100,97.657,93.923,89.193
"35","24","      Aircraft","kcntotl1et300",83.122,82.457,82.836,82.631,83.549,86.99,93.92,100,105.842,106.896,105.612
"36","25","      Ships and boats","kcntotl1et400",108.03,105.396,102.756,101.263,100.578,100.107,99.604,100,99.364,99.739,100.56
"37","26","      Railroad equipment","kcntotl1et500",90.075,90.486,91.34,92.071,93.499,95.582,98.221,100,99.324,98.534,97.097
"38","27","    Other equipment","kcntotl1eo000",79.818,80.973,83.02,85.38,88.83,92.917,96.41,100,102.225,104.033,106.397
"39","28","      Furniture and fixtures","kcntotl1eo100",78.013,78.658,80.737,82.816,86.359,90.738,95.329,100,102.192,103.286,104.557
"40","29","      Agricultural machinery","kcntotl1eo330",99.575,99.382,99.403,99.288,101.328,103.496,101.013,100,99.792,101.2,103.048
"41","30","      Construction machinery","kcntotl1eo430",77.235,77.848,79.715,83.013,86.867,91.861,96.175,100,100.695,101.687,103.619
"42","31","      Mining and oilfield machinery","kcntotl1eo500",78.226,77.047,76.355,76.501,83.133,86.239,93.943,100,107.693,108.454,115.031
"43","32","      Service industry machinery","kcntotl1eo600",71.359,74.726,78.907,83.301,86.708,91.283,95.967,100,102.4,104.167,105.583
"44","33","      Electrical equipment, n.e.c.","kcntotl1eo700",123.786,113.67,106.473,100.237,97.043,97.643,98.102,100,102.907,105.604,108.465
"45","34","      Other nonresidential equipment","kcntotl1eo800",70.334,74.065,77.987,82.048,86.453,91.093,95.499,100,103.791,107.325,111.491
"46",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","35","  Residential equipment","kcrtotl1eq000",87.457,89.071,90.63,91.873,92.788,94.327,96.962,100,102.629,105.288,109.197
"48",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","36","Structures","kcptotl1st000",85.102,86.783,88.557,90.586,92.709,95.055,97.475,100,102.398,104.582,106.895
"50",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","37","  Nonresidential structures","kcntotl1st000",88.096,89.028,90.368,91.98,93.819,95.84,97.782,100,101.925,102.984,103.789
"52",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","38","    Commercial and health care","kcntotl1schc0",83.313,84.683,86.527,88.694,91.277,94.049,96.88,100,102.66,104.46,105.918
"54","39","      Commercial, including office","kcntotl1sc0x0",83.081,84.23,86.056,88.259,90.886,93.752,96.704,100,102.787,104.458,105.707
