"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 29, 2010    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2010 12:20:28 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","S1 PN04472AMG       Retail and food services","T070013",85.694,87.391,88.884,90.191,91.919,92.695,91.841,92.945,95.25,95.715,95.251,95.641,97.673,100,101.622,102.877,105.675,103.405
"9","2","S1 PN44ZZZZMG Retail trade","T070023",87.232,88.974,90.503,91.763,93.467,94.069,92.868,93.856,96.17,96.371,95.584,95.805,97.748,100,101.457,102.442,105.035,102.1
"10","3","S1 PN441ZZZMG   Motor vehicle and parts dealers","T070033",85.407,88.497,92.081,95.456,97.18,97.61,97.189,98.11,99.02,99.961,99.911,98.028,98.056,100,101.204,101.08,101,101.17
"11","4","S4 PN4411ZZMG     Automobile dealers","T070043",84.633,88.262,92.296,96.026,97.928,98.437,97.978,98.969,99.844,100.644,100.452,98.162,98.066,100,100.86,100.422,99.622,99.291
"12","5","S4 PN4412ZZMG     Other motor vehicle dealers","T070053",87.19,88.443,90.971,93.47,94.607,94.45,94.591,96.06,97.576,98.718,98.346,98.012,98.523,100,101.894,101.401,102.919,104.033
"13","6","S2 PN4413ZZMG     Automotive parts, accessories and tire stores","T070063",91.088,90.075,90.001,90.541,90.943,90.952,90.576,90.521,91.384,93.633,95.328,96.58,97.527,100,104.121,107.605,113.041,116.781
"14","7","S1 PN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T070073",148.828,149.322,150.569,149.69,147.64,143.79,138.662,132.132,127.511,121.303,115.121,108.524,104.049,100,95.626,90.693,86.177,80.995
"15","8","S1 PN442ZZZMG     Furniture and home furnishings stores","T070083",100.243,101.425,103.558,104.382,105.32,105.606,105.987,105.513,105.511,104.564,102.938,100.795,100.127,100,99.983,98.7,97.637,96.972
"16","9","S4 PN4421ZZMG       Furniture Stores","T070093",100.961,102.562,105.235,106.348,107.694,107.64,107.482,107.136,106.752,105.11,103.051,101.477,100.96,100,100.473,99.301,98.072,97.691
"17","10","S4 PN4422ZZMG       Home furnishings stores","T070103",99.602,100.157,101.521,101.949,102.342,103.079,104.167,103.53,103.999,103.914,102.815,100.005,99.164,100,99.424,98.014,97.142,96.144
"18","11","S1 PN443ZZZMG     Electronics and appliance stores","T070113",227.528,226.038,224.839,220.435,212.623,201.079,186.067,169.351,157.259,142.946,130.229,117.691,108.501,100,91.167,82.948,75.782,67.727
"19","12","S1 PN444ZZZMG   Building material and garden equipment and supplies dealers","T070123",84.16,91.187,93.58,93.635,94.752,96.962,94.039,94.023,93.51,92.859,92.064,93.003,98.492,100,100.397,101.23,103.353,100.117
"20","13","S2 PN4441ZZMG     Building material and supplies dealers","T070133",83.83,92.013,94.447,94.186,94.47,97.167,94.765,95.213,94.135,93.067,92.355,92.881,98.427,100,100.158,100.063,100.044,97.415
"21","14","S3 PN4442ZZMG     Lawn and garden equipment and supplies stores","T070143",85.088,85.569,87.704,89.606,95.649,95.02,89.216,86.575,89.439,91.422,90.074,93.955,99.016,100,102.402,110.963,129.952,122.795
"22","15","S1 PN445ZZZMG   Food and beverage stores","T070153",75.053,76.287,77.367,78.839,81.512,83.221,84.577,86.713,89.127,91.859,93.378,95.102,98.068,100,101.992,105.549,111.522,113.431
"23","16","S1 PN4451ZZMG     Grocery stores","T070163",74.736,76.004,77.145,78.67,81.379,83.068,84.444,86.568,88.965,91.739,93.246,94.991,98.03,100,102.031,105.678,111.827,113.657
"24","17","S3 PN4452ZZMG     Specialty food stores","T070173",74.891,76.194,77.621,79.198,82.103,83.93,85.25,86.65,88.555,91.428,92.912,94.882,98.211,100,101.729,105.755,112.705,113.585
"25","18","S2 PN4453ZZMG     Beer, wine, liquor stores","T070183",79.959,80.599,80.506,81.055,83.017,84.969,86.038,88.725,91.627,93.711,95.408,96.703,98.496,100,101.624,103.833,107.22,110.54
"26","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",120.167,119.629,118.316,115.982,114.351,113.633,111.34,109.748,108.288,106.75,104.073,101.394,100.987,100,100.025,99.956,100.216,101.071
"27","20","S2 PN4481ZZMG     Clothing stores","T070203",121.128,120.405,118.575,115.71,114.298,114.176,111.973,110.893,109.768,107.726,104.84,102.048,101.456,100,99.468,98.566,97.45,97.951
"28","21","S2 PN4482ZZMG     Shoe stores","T070213",110.253,110.478,109.41,107.872,107.083,106.936,105.83,103.304,101.778,100.953,99.512,97.901,97.634,100,100.588,99.677,101.003,103.006
"29","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",124.599,124.089,125.124,124.503,120.928,116.828,112.879,109.942,107.111,107.17,104.324,101.226,101.566,100,102.303,107.324,114.517,116.337
"30","23","S1 PN452ZZZMG   General merchandise stores","T070233",100.496,100.942,101.339,101.313,102.105,102.477,102.103,102.152,102.385,102.481,101.514,100.162,100.173,100,99.95,99.93,100.977,100.726
"31","24","S1 PN4521ZZMG     Department stores","T070243",108.615,108.869,109.051,108.446,108.669,108.711,107.761,107.131,106.681,105.873,104.035,101.704,100.841,100,99.341,98.265,97.68,96.98
"32","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.002,90.87,91.714,92.797,94.672,95.646,96.213,97.271,98.414,99.566,99.473,98.982,99.686,100,100.357,100.989,102.956,102.95
"33","26","S1 PN44EZZZMG   Other retail stores","T070263",74.955,75.544,76.311,77.236,79.793,80.285,77.638,80.201,87.161,86.901,85.536,89.141,93.842,100,104.165,107.021,113.251,104.18
"34","27","S1 PN446ZZZMG     Health and personal care stores","T070273",72.785,74.695,76.343,77.214,78.901,80.085,81.867,84.901,87.695,90.954,93.797,95.59,97.721,100,103.033,104.454,106.588,109.128
