"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160"
"11","3","  Durable goods manufacturing industries","KP30D0",170856,177147,179583,179209,178007,183771,187414,184483,187322,185265,189576,189847,184592,193927,192497,191253,190728,187249,184371,191378,194625,197333,198897,199136,199060,201973,199584,199701,203778,201310,202151,206209,203154,204805,204558,205119,212050,200747,204451,211123,207540,209253,205771,203790,209437,204310,201071,203827,196915,200424,196757,189606,195868,192082,187835,188238,181872,183082,182942,185081,184588,184655,185869,187321,189699,187612,188404,189637,187691,188323,187675,181181,185653,187199,187040,185485,185903,187716,190042,185288,192875,192676,192581,191494,188350,189929,197308,192856,190033,191894,190297,192923,193755,192941,194579,197537,198600,197160,198015,198589,198917,200311,197643,201841,205233,207128,207952,213650,208819,211400,210512,206309,209733,209345,203727,207466,203831,203607,203327,207034,201332,202116,203235,205482,205443,202691,208121,205353,202582,203224,202444,200903,204526,199739,196580,198496,194496,195110,197785,188549,188505,182797,176558,174967,165967,165185,162540,161864,157836,158957,162693,159691,161989,161686,162731,166306,165725
"12","4","    Wood product manufacturing","KP3210",8204,8027,8103,8150,8063,8262,8553,8320,8475,8241,8403,8341,8551,8628,8463,8428,8317,8542,8473,8339,8224,8505,8686,8821,8659,9090,8840,9039,9088,8818,9029,8807,8727,8870,8939,9067,9405,9131,9467,8971,8928,8655,8411,8507,8572,8458,8177,8288,8043,8164,7888,8276,8336,8370,8435,8287,8242,8202,8141,8200,8372,8499,8415,8385,8505,8546,8684,8477,8244,8420,8633,8458,8486,8110,8262,8330,8168,8448,8475,8640,8643,8825,8897,8440,8486,8162,8616,8981,8954,8652,8822,9252,8794,8581,8799,9162,8938,8994,9077,9111,9138,9039,9229,9328,9430,9803,10047,10075,10237,10268,9951,9427,9352,9485,9055,9198,9008,8778,8811,9686,8629,8281,8524,8603,8861,8792,8688,8749,8619,8507,8413,8402,8324,8301,8267,8288,8100,8255,8232,8063,7916,8031,7779,7579,7638,7764,7503,7863,7897,7764,7829,7846,7906,7988,7809,7700,7930
"13","5","    Nonmetallic mineral product manufacturing","KP3270",8132,8358,8523,8533,8504,8581,8631,8614,8681,8546,8669,8636,8752,8867,8903,8983,9171,9084,9034,8971,8966,8973,9147,9262,9082,9163,9166,8940,9020,9074,9022,9186,9194,9245,9390,9253,9383,8912,9240,9399,9095,9065,9279,9087,9262,9128,8882,8771,8816,8919,8697,8759,9023,8962,8912,8983,8646,8829,8630,8581,8679,8695,8730,8933,8941,8909,8832,8902,8838,8690,8591,8552,8723,8627,8652,8755,8791,8878,9064,9032,9327,9421,8560,8752,8638,8555,9285,9226,8939,9075,9253,9239,9127,9068,9370,9543,9327,9302,9428,9476,9411,9497,9417,9609,9684,9755,9978,10145,10266,10312,10071,9767,9878,9878,9680,9602,9562,9528,9357,9571,9316,9324,9390,9299,9294,9114,9089,8988,8851,8807,8687,8359,8338,8295,8286,8330,8308,8416,8399,8166,8102,7829,7268,7026,6801,6687,6443,6358,6406,6500,6653,6632,6551,6379,6521,6556,6597
"14","6","    Primary metal manufacturing","KP3310",17019,17480,17275,17206,17126,17596,17475,17397,17604,17454,17955,17876,18061,18643,18131,18225,17883,17613,17516,17946,17633,17562,17328,17250,17370,17676,17317,17125,17601,17438,17580,17760,17866,17581,17751,18076,18101,17299,17213,17452,16669,17146,17105,16540,16795,16413,16286,16104,15790,16028,15612,15262,15721,15613,15676,15697,15278,15329,15253,15009,15193,15248,15519,15773,15952,15817,15771,16005,15701,15872,15520,15163,15473,15096,15068,14933,14967,14625,15162,14764,15047,15412,15478,15748,15762,15805,16599,16072,15733,16450,17018,16822,16834,16459,16789,16968,16843,16730,16846,16564,16303,16626,16550,17265,17641,17721,17432,17315,17336,17140,17153,16800,16899,17037,17102,17121,16459,15961,16079,16313,16345,16219,16220,16190,16152,15952,16466,16233,16624,16893,16746,16788,16810,16631,16144,16145,15741,15938,16260,15580,15339,14597,14209,13740,12873,12917,12200,11885,11588,11654,12358,12023,11998,12412,13001,13745,13668
"15","7","    Fabricated metal product manufacturing","KP3320",22546,23143,23500,23606,23288,24002,23766,23918,24206,24116,24262,24121,23924,24789,24506,24369,24601,24564,24618,24539,24554,24423,24633,24783,24633,24783,24254,24529,24750,24584,24615,24658,24614,24843,25223,25246,25864,24832,25722,26147,25522,25843,25630,25301,25428,24983,24937,25221,24656,24640,24220,23840,26415,23456,23479,23932,22925,23126,22750,22658,22765,22826,22916,23133,23298,23314,23238,23469,23340,23504,23108,22766,22411,23465,23103,22886,22823,22626,23338,22391,22765,23116,22828,23038,22319,22008,23568,22859,22651,22494,22999,22729,22969,22712,23381,23381,23498,23469,23714,23656,23875,23987,23661,24075,24592,24829,25039,25429,25644,25915,25777,25495,25588,25697,25116,25268,25119,24876,24831,25239,25194,25071,24964,25371,25236,25048,25601,25343,24764,24840,24686,24125,24269,23917,24079,24193,23814,23889,24036,23296,23135,22886,22430,21659,20974,20914,20660,20243,19854,20079,20484,20404,20553,20689,20809,20631,20503
"16","8","    Machinery manufacturing","KP3330",23330,24458,25156,24612,24326,25721,25340,25178,26336,25679,26165,27176,25814,26327,26675,25782,26078,26945,25741,25037,25788,25291,25134,25723,24476,24725,24721,24182,24973,25717,24781,25210,26080,25760,25672,26876,26599,24953,26383,27036,26180,26564,26591,26484,26966,26136,25915,26557,26025,25740,25138,24057,24514,23980,23365,24026,22678,23029,22072,22195,21483,22300,22486,21888,23176,23221,22496,23073,23553,22863,23230,23042,22048,22350,23146,22550,23218,23360,22528,22470,23147,22299,22650,23201,21901,21574,23740,23255,22529,23800,23642,23279,24345,24184,23705,25233,24808,24756,24623,24516,24872,24931,24822,25194,25658,25690,26327,26887,26105,25843,26357,26370,26527,26755,26183,26741,26394,26442,26197,26640,23970,24982,25382,26374,26604,26081,26480,26190,26629,25826,26220,26945,25956,26926,26687,26360,26236,26675,26051,25764,26663,25106,24846,25053,21789,21517,20723,19954,20241,20414,19586,19298,19593,19098,19599,20689,19462
"17","9","    Computer and electronic product manufacturing","KP3340",23121,24256,24900,24880,25138,26299,26124,27004,27061,26696,26322,27102,25785,27562,27545,27094,26990,27979,27331,27671,28566,28642,29244,29465,29170,29858,29580,30400,31041,31223,32482,31882,31856,32165,31965,31499,32921,32615,33720,34590,35349,35263,35549,35748,36885,36360,35768,37175,35535,35120,34166,31183,30192,30961,29449,28527,28620,28035,27932,28723,27642,27819,27477,27204,27211,26843,26274,26528,26189,25298,25757,24887,26079,26327,26500,26419,26522,27586,27051,27896,28518,29379,28935,29073,29063,28996,29049,29432,29555,29211,29797,30082,29480,30411,30296,30061,30878,30432,30649,30543,30838,30929,30371,31199,31452,31218,31393,32692,32123,34600,33545,32374,33328,33454,33108,33579,32793,32832,33255,31561,33326,33726,32836,34471,34079,33226,33683,34075,33737,34457,34691,34232,37553,34204,33991,35996,34955,33696,35751,33788,33037,33773,32119,32415,30984,30384,30110,31064,30231,30469,32830,31852,31208,33206,32751,32260,35190
"18","10","    Electrical equipment, appliance, and component manufacturing","KP3350",9546,9660,9698,9832,9768,9859,9856,9830,10189,10417,10366,9988,10235,10517,10285,10221,10188,10111,10284,10242,10362,10245,10318,10547,10289,10475,10444,10489,10590,10342,10622,10905,10456,10569,10649,10584,11373,10806,11075,11180,11012,11248,11054,10945,10967,10916,11236,11143,10991,11207,10885,10646,10677,10441,9742,9903,9194,9302,8967,9313,8975,9096,9357,9288,9495,9207,9060,8997,9000,9080,9243,9020,9107,8837,8892,8837,8802,8824,8984,8574,8982,9045,9219,9162,9005,8893,9050,9145,9044,8958,9272,9156,9217,9054,9321,9241,9376,9346,9090,9086,9175,9259,9288,9405,9541,9614,9605,9375,9562,9418,9387,9389,9611,9379,9325,9355,9135,9171,9136,9335,9527,9565,9707,9943,9528,9386,9527,9487,9413,9416,9309,9254,9396,9212,9110,9186,9176,9154,9389,8951,8908,8759,8084,8197,7558,7560,7348,7432,7151,7163,7341,7030,6962,7042,7190,7183,7021
"19","11","    Transportation equipment manufacturing","KP3360",46348,48492,48984,49145,48273,49419,53970,50231,50563,49906,53437,52336,49365,53990,53031,53714,53320,46996,46385,53554,55131,58415,58669,57345,59304,59920,59017,58627,60138,57639,57283,61162,57680,59023,58337,57920,61594,55586,54423,58191,56422,57171,53555,52527,55588,52897,51215,51493,48503,51913,51947,50023,53957,53284,51834,52004,49726,50683,52787,53782,54351,52978,53838,55249,55470,54515,56458,56569,55442,57085,55944,51709,55839,56816,55740,55414,55102,55925,57619,53538,58421,56971,57673,56105,55313,58252,59558,56176,54974,55297,51946,54698,55241,54475,54497,55048,56000,55360,55665,56704,56376,57037,55566,57072,58363,59720,58961,62355,58152,58669,59001,57336,59066,58113,54648,57310,55920,56966,56773,59750,56335,56349,57544,56613,57226,56569,59885,57493,55585,55801,55353,54375,55939,54040,51901,51938,49867,50964,51837,47332,48203,45265,43343,43556,41960,41972,42467,42372,39721,40218,40777,40193,42935,40759,40868,43048,41288
"20","12","      Motor vehicle and parts manufacturing","KP3MV0",33359,34312,34536,33499,33193,33927,37464,35359,35296,35572,37247,36486,33803,37406,36701,37049,37333,31240,30699,36729,37969,39569,40030,40094,40869,42101,41972,40311,42001,41645,40315,42109,41838,41823,41548,41319,43795,40509,40054,41564,39218,40300,38592,36184,39410,37822,35520,35768,33236,35725,36434,35251,37713,36148,35647,35543,33138,35225,36501,36764,37981,36978,37686,39732,40652,39343,41138,41933,39987,42171,40613,36842,41892,41363,40636,41130,40726,40807,42509,39426,43268,42564,42135,41765,41215,42284,44520,42185,39939,40624,37709,40041,40842,39773,40804,41494,41420,41268,40780,40499,40923,41777,40166,41760,43903,43671,42077,43135,42837,42299,43131,42089,43421,42667,39373,41461,39492,40819,40507,43283,39555,40451,41389,40358,40557,40104,42432,39976,38924,38445,38410,37493,37420,36453,34373,33063,31786,32506,32620,29452,30334,28438,28141,26367,24334,24022,23797,24194,22076,21995,23047,22796,23261,22727,23271,24491,24080
"21","13","      Other transportation equipment manufacturing","KP3OT0",12935,14249,14545,15984,15355,15786,16745,14998,15453,14376,16397,16051,15867,16836,16585,16947,16167,16210,16163,17140,17457,19277,19020,17451,18747,17990,17125,18641,18355,15954,17120,19380,15782,17311,16863,16665,17892,15005,14240,16686,17429,17014,14972,16597,16285,15135,15903,15925,15512,16428,15667,14901,16421,17444,16428,16728,16946,15656,16509,17288,16556,16185,16328,15589,14813,15228,15339,14594,15508,14886,15364,14953,13879,15481,15129,14256,14362,15137,15100,14108,15133,14366,15553,14309,14064,15986,14993,13942,15051,14667,14250,14658,14386,14708,13667,13522,14576,14083,14887,16215,15458,15266,15404,15317,14466,16062,16881,19184,15344,16366,15881,15265,15666,15465,15260,15841,16377,16124,16233,16461,16713,15879,16140,16222,16621,16419,17402,17424,16589,17242,16849,16773,18326,17424,17324,18569,17791,18165,18881,17546,17560,16533,14994,16824,17185,17481,18150,17697,17145,17689,17250,16931,19081,17527,17130,18063,16783
"22","14","    Furniture and related product manufacturing","KP3370",5920,6192,6137,6000,5934,5988,6013,5972,6110,6148,6227,6265,6450,6457,6511,6426,6246,6449,6678,6514,6557,6464,6605,6660,6718,6805,6768,6564,6779,6803,6639,6713,6718,6564,6589,6743,6495,6548,6791,6974,6925,6842,6888,6929,6829,6893,6754,6698,6721,6725,6578,6572,6476,6261,6435,6577,6253,6439,6294,6383,6505,6586,6622,6745,6715,6772,6686,6732,6856,6879,6756,6982,6763,6729,6597,6355,6545,6555,6660,6712,6722,6678,6719,6494,6776,6563,6570,6710,6775,6764,6829,6845,6749,6733,6792,6882,6914,6972,7012,7064,7035,7006,6957,6901,7001,6943,7224,7256,7308,7255,7173,7255,7173,7090,6880,6944,6935,6777,6715,6830,6666,6597,6693,6569,6546,6580,6635,6552,6475,6509,6379,6332,6174,6120,6086,6065,6054,6077,5955,5797,5686,5393,5225,5023,4779,4810,4682,4567,4563,4548,4548,4441,4377,4384,4389,4420,4367
"23","15","    Miscellaneous durable goods manufacturing","KP3390",8942,9171,9206,9090,9196,9522,9263,9077,9384,9374,9507,9420,9514,9659,9853,9514,9449,10086,9555,9780,9732,9642,9762,9894,9996,10029,9959,9950,9926,9699,9727,9820,9917,9996,9990,10057,10161,9618,9867,10509,10306,10457,10652,10473,10674,10661,10528,10668,10435,10699,10400,10389,10450,10214,10333,10377,10177,10116,10030,9911,10572,10587,10611,10922,11205,10795,11278,11260,10893,11163,11277,11090,10971,10974,11195,11106,11045,10747,11191,11175,11093,11365,11452,11414,11023,10980,11305,10985,10820,11214,10795,10825,11048,11273,11658,12071,12028,11810,11909,11871,11892,11996,11779,11798,11875,11822,11916,12147,12052,12042,12138,12107,12367,12493,12540,12366,12560,12439,12341,12244,12121,12118,12059,12214,12114,12103,12218,12436,11952,12278,12117,12193,12304,12210,12156,12379,12530,12127,12192,11909,11593,11530,11481,11107,11157,11158,10968,10966,10919,10869,11332,10951,10826,10937,10808,10899,11094
"24","16","  Nondurable goods manufacturing industries","KP30N0",179343,182418,181155,182144,183430,183701,184776,184895,185322,185591,187849,185370,187134,188052,186606,185890,185078,185248,183777,185328,185385,183721,183502,184688,183583,187868,185078,183629,184110,186436,184858,185640,186345,187000,188849,186539,187799,184473,186752,189229,187379,188329,187141,186872,186507,185348,185279,185502,185278,185522,182617,179650,181934,176115,180755,183633,177569,181559,181472,183945,184197,182341,182954,181489,184798,184591,180514,183207,183833,183032,182324,184269,181962,178953,181200,179091,181498,182016,185494,182680,183672,184020,180883,182025,181374,177748,185269,184412,183871,186175,187317,188501,186522,188622,189120,189582,191809,189827,193730,193267,195484,195619,195748,196596,192168,186911,193859,192911,196229,191718,195838,194634,197196,194502,197496,194187,188410,188082,187455,189095,186268,185552,187873,187506,188826,188364,189957,186730,185488,186733,184967,184795,182029,176766,179478,185921,184020,185191,182359,178443,165713,167872,164056,164809,164287,165166,164287,161073,159940,159825,159431,157499,159955,162490,162822,164516,162504
"25","17","    Food manufacturing","KP3110",39212,39288,38959,39472,39741,39618,40105,39764,39514,39541,40354,40532,42020,41490,41740,41370,40751,40833,40607,41190,40978,41179,41087,40885,40973,41714,41408,40900,41641,41635,41293,41121,41754,41445,41723,41391,41429,40608,41574,42068,41360,41884,41937,41918,42189,41756,41758,41759,43615,42168,42216,41504,41531,41437,41328,41706,41264,41407,42391,42543,42757,42918,42634,42643,42522,41737,41728,43871,42226,43636,43600,43769,43079,43040,43485,43620,43507,43753,44506,44307,44302,43156,42343,42819,42720,41314,41608,42576,41564,41955,43235,44230,43997,44676,44863,43436,44464,44561,43500,44081,44629,44776,44524,44326,44804,43850,44741,44539,44512,44975,44941,45166,45054,44579,44523,44600,44203,44673,44431,44251,43937,44012,43628,43559,43786,43587,44335,44415,44313,44098,43956,43876,43503,42604,42580,43477,42710,42680,42512,41745,42026,42227,42316,42523,43146,43591,44267,43597,42674,42818,43100,42577,43023,43582,43518,42938,43442
"26","18","    Beverage and tobacco product manufacturing","KP3120",11205,11098,11754,11008,11584,11357,11470,11704,11594,11892,12270,11528,11276,12027,11899,11431,11649,12021,11520,11715,11570,11549,10956,10638,10540,10747,11107,10437,10523,11086,10540,10721,10128,10649,10694,9962,10559,10045,10879,10222,11069,10642,10442,10827,10250,10590,10809,10460,10401,10585,10572,10200,11221,10595,10664,11501,10051,11026,9759,10030,9783,9113,9697,8929,9383,9146,9079,9151,8882,8864,8764,8905,9079,9048,9816,9549,9683,9867,9900,9752,9683,9740,9459,9566,9306,9078,10172,9649,9731,10219,9834,10022,10069,9948,9890,9919,9655,9601,9773,10190,10629,10668,10670,11003,10386,10495,10510,10420,10353,10029,10136,10038,10571,10435,10090,10618,9935,10323,10366,9882,10064,9952,10413,10347,10779,10687,10621,11020,10377,10961,10708,10343,10359,9946,10479,10615,10673,10616,10733,10650,10557,10572,10284,10496,10308,10151,9593,10003,9718,9927,9609,9679,9705,9693,9459,9703,9443
