"","Table 3#22U# Federal Grants-in-Aid to State and Local Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1988 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2006 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2006 4:18:08 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","Federal grants-in-aid to State & local governments","B089RC0",89540,90044,93072,93804,94944,95636,101396,101380,106536,110276,112640,116340,122836,128080,134876,140596,143248,146232,152396,154624,156252,159328,164984,174128,171176,171616,174888,181188,184976,184880,185128,181588,186080,195044,193200,190316,192412,195500,198412,208204,207888,208056,213032,222032,226960,223732,237560,243240,239024,242764,254980,252628,266508,278324,272776,286604,291400,303056,306612,317240,311912,342188,345864,354172,339488,349812,345664,361228,355860,359804,361900,366844,351268,357028,365600
"10","2","  Central exec, legislative & judicial activities","GRN0020",1012,1024,1472,924,768,748,688,688,708,760,788,844,948,1000,1012,1260,1188,1216,1168,1224,1336,1316,1352,1276,1388,1512,1412,1472,1408,1372,1572,1536,2192,2276,2544,2648,2636,2760,2740,2520,2544,2600,2520,2732,3072,3088,3252,3080,2972,2776,2716,2672,2808,2876,3004,3192,3180,2952,2872,2060,1872,15816,6896,21684,2396,2276,2256,2480,2712,3564,3372,1928,2036,1944,2144
"11","3","  Space","GRN0100",168,192,164,172,188,192,200,184,204,212,228,224,220,240,248,320,340,356,372,360,396,428,464,356,372,408,504,612,548,476,220,656,476,368,356,376,436,500,516,860,808,900,952,784,812,924,888,828,844,828,796,788,832,836,856,924,976,1008,1076,968,1064,1124,1072,600,608,548,532,556,584,520,552,512,520,544,560
"12","4","  National defense","GRN0110",1792,1880,1948,1988,2040,1964,2176,2276,2496,2584,2584,2664,2848,2848,2848,2860,2820,2880,2664,3016,2872,3096,3068,2876,2872,2752,2944,2684,2844,2708,2660,2652,2724,2792,2752,2816,2824,2872,2864,3076,3008,3092,3164,3200,3080,3096,3188,3428,3312,3232,3264,2840,3028,2956,2968,2760,3196,3100,3160,3300,3256,3628,3604,4184,3148,3656,3920,3968,4588,3836,3796,3640,3908,3744,3760
"13","5","  Civilian safety","GRN0160",260,296,268,292,272,296,284,296,276,332,328,308,100,116,156,188,156,180,408,432,612,608,656,648,656,716,704,776,528,584,628,712,764,748,736,712,1816,1960,2116,2192,2400,2732,2820,3136,3576,3604,3868,3860,3576,3204,3040,2780,3116,3456,3716,4056,3376,3280,2996,2780,3060,3016,3192,3820,3868,4288,4228,4512,5416,5200,5908,5740,5680,6404,6000
"14","6","  Education","GRN0200",9872,9636,10280,9796,11088,9816,10904,11340,10884,11972,10348,11960,12880,12328,12432,13052,14532,13308,13804,14728,15288,15104,14296,15368,14952,15940,15728,16244,15172,15912,16128,13904,17232,17656,16808,16788,15520,16832,17576,17616,18792,16336,18788,19312,20112,18096,20792,22872,20056,21152,21828,22208,22868,24792,22668,24516,26976,27348,27268,29392,32356,35528,35496,33084,36976,37140,38124,42904,36800,39600,42036,42408,38548,43128,44588
"15","7","  Health and hospitals","GRN0240",4096,4356,4212,4520,4544,4140,4264,4944,5180,5488,5672,5516,5768,6088,6224,6148,5916,6312,7052,6964,7156,7400,7136,7436,9064,5876,7668,7404,7676,7288,7704,7432,8084,8620,8304,6868,5940,7148,6316,7496,8132,8320,8164,11664,12040,11768,12648,12768,12660,13060,14392,13704,15684,20284,17056,17520,18416,18672,19172,20376,20064,21432,21624,21840,21956,21688,23444,25016,25396,24528,26056,24664,25836,29688,27360
"16","8","  Income support, social security and welfare \1\","GRN0250",60872,61332,62472,64352,64484,66992,71048,69624,75592,77684,79860,83608,88312,94228,99420,105312,107796,110836,114808,115672,117508,119700,125564,133604,128556,130744,132096,136588,141888,141908,140764,139416,139452,147948,146332,144944,147616,147944,149888,154984,153308,154640,155628,160592,164712,162948,171080,174456,173364,176924,186224,184512,196384,200544,199608,209092,212964,221296,224996,229044,224816,234292,249256,240752,246784,251908,245640,253932,255140,254728,254328,261328,248072,243672,255700
"17","9","    Disability","GRN0310",832,808,692,856,852,864,868,868,864,876,884,908,908,920,928,916,916,928,936,928,928,940,952,932,940,952,960,1160,1168,1192,1204,1220,1232,1256,1268,1376,1388,1408,1424,1332,1340,1364,1372,1636,1644,1668,1676,1608,1620,1636,1644,1640,1648,1664,1676,1736,1748,1764,1776,1764,1776,1792,1804,1824,1836,1852,1868,1936,1952,1968,1984,1904,1920,1932,1952
"18","10","    Unemployment insurance","GRN0370",2344,2708,2612,2792,2460,2308,2708,2444,2868,2816,2660,2704,2984,2980,3116,3020,3732,3136,3916,3412,3812,3332,3680,3576,3380,2708,3360,3360,3464,3188,3392,3320,3260,3480,3196,3412,3072,3152,3276,3136,3228,3136,3460,3504,3604,3416,3492,3164,3124,3684,3056,2392,3760,3440,3216,2684,4084,3768,3456,3188,3644,3764,3636,3076,3412,3300,3668,3320,3596,3192,3456,3388,3512,3272,3608
"19","12","    Medical care (Medicaid)","GRN0410",30396,30848,31740,32944,33724,34872,36512,37432,39948,42264,44468,46492,49736,54700,58796,66012,65368,68404,71332,72468,74696,75900,79740,84292,79568,81636,82220,85728,90924,90412,88816,87760,88916,96352,94644,94000,96044,94904,96964,101484,99444,101696,102080,104044,107064,107280,113284,114728,114700,116452,125260,121748,129988,133220,132056,143268,144872,149676,150728,154828,153368,158716,174508,170540,176512,182044,174188,178336,182252,184068,180904,185132,173912,174276,188624
"20","13","    Welfare and social services","GRN0440",26680,26468,27000,27256,26936,28340,30248,27488,30696,30808,30872,32796,34092,35108,36364,35052,37544,37908,37860,38148,36836,37532,39348,43440,40724,42776,42876,44260,44136,45116,45956,45280,43780,44740,44684,43740,45208,45856,46316,46680,46956,45904,46092,47360,49488,47736,49904,51320,50972,52256,53652,55800,57516,58360,58188,56672,58704,61428,64340,65456,61364,65084,61372,61680,62068,61496,61928,63284,63068,62412,62032,63284,62952,64720,63036
"21","14","    Other income support","GRN0450",620,500,428,504,512,608,712,1392,1216,920,976,708,592,520,216,312,236,460,764,716,1236,1996,1844,1364,3944,2672,2680,2080,2196,2000,1396,1836,2264,2120,2540,2416,1904,2624,1908,2352,2340,2540,2624,4048,2912,2848,2724,3636,2948,2896,2612,2932,3472,3860,4472,4732,3556,4660,4696,3808,4664,4936,7936,3632,2956,3216,3988,7056,4272,3088,5952,7620,5776,7024,5592
"22","15","  Veterans benefits and services","GRN0460",172,192,180,196,212,216,164,232,236,192,164,216,200,220,208,228,224,212,232,228,256,232,256,244,280,256,268,296,312,312,308,300,340,344,320,344,332,340,332,288,284,296,280,320,316,332,304,504,532,520,532,504,560,524,552,440,468,452,484,532,580,588,620,648,704,532,652,608,572,572,616,640,624,680,640
"23","16","  Housing and community services","GRN0520",4104,4328,4232,3892,3960,3916,3908,3760,3516,3472,3436,3348,3640,3364,3468,3292,3448,3444,3464,3512,3396,3560,3836,4156,4428,4684,5168,6176,6128,5936,6108,6272,6432,6496,6436,6556,6884,6848,6924,10664,10692,11092,11528,11508,11392,11784,12032,12668,12788,12820,12960,13192,12740,13032,12632,13928,13140,14264,14300,15400,13688,14548,13788,15448,13136,14128,14240,14688,13752,14196,14060,14412,13924,14064,14216
"24","17","  Recreational and cultural activities","GRN0560",100,116,120,96,112,84,88,96,68,108,76,92,88,100,100,84,88,100,92,108,120,88,104,120,136,120,128,100,128,100,116,124,292,280,244,244,248,264,240,152,232,176,176,428,184,212,300,228,256,280,252,252,268,300,280,276,368,352,360,384,324,308,476,420,412,444,532,444,436,460,572,244,284,800,560
"25","18","  Energy","GRN0570",1272,1280,1280,1300,1312,1360,1348,1416,1468,1396,1504,1496,1480,1444,1548,1084,1060,1044,964,1036,1016,1068,1036,1016,1088,1256,1032,1092,1084,1016,1084,1060,1020,1024,1076,1064,1076,1056,1012,1188,1016,1036,1000,1120,1144,1048,1176,1064,1112,1152,1124,1020,1056,1056,1056,1152,1104,1160,1220,1216,1276,1268,1276,1288,1296,1296,1288,1340,1312,1136,1648,1224,1440,1356,1224
"26","19","  Agriculture","GRN0610",936,952,892,1124,1100,1096,1004,1188,1388,1280,1300,1176,1612,1456,1396,1344,1128,1072,1100,1472,1488,1124,1224,1700,1828,1460,1452,1284,1348,1332,1404,2032,1160,1124,1180,984,996,996,924,876,880,916,928,868,868,956,904,772,772,892,760,744,884,896,820,792,868,992,836,780,872,948,852,808,896,948,860,844,800,960,916,796,904,940,900
"27","20","  Natural resources","GRN0660",1176,1228,2184,1888,1124,1304,2244,1764,1052,1452,2840,1356,1224,1256,2504,1648,1144,1320,2252,1884,1404,1664,1960,1356,1544,1268,1488,1828,1592,1468,2256,1304,1548,1368,2012,1804,2012,1700,2444,1816,1692,1536,2688,1968,1268,1660,2640,1936,2052,1716,2820,2064,2476,2304,2840,2112,1136,2748,2380,3620,2108,3592,2500,4300,2580,2712,4008,4528,3448,4392,3896,4124,4560,4844,3804
"28","21","  Transportation","GRN0670",40,48,56,60,48,52,12,40,40,40,40,32,32,32,40,36,32,36,36,40,36,44,40,40,40,44,48,64,64,60,68,36,40,40,40,32,28,28,32,32,28,28,36,20,20,20,20,8,8,8,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","22","  Economic development, regulation, and services","GRN0740",520,468,464,428,424,376,448,368,496,424,424,428,464,512,424,452,300,412,508,428,348,712,664,664,632,616,656,740,680,628,696,700,732,836,792,784,768,756,820,748,596,680,684,672,652,532,572,596,600,588,668,560,492,536,704,580,636,528,724,532,468,464,544,528,404,3856,2172,1448,1152,2300,764,584,380,400,344
"30","23","  Labor training and services","GRN0780",3148,2716,2848,2776,3268,3084,2616,3164,2932,2880,3048,3072,3020,2848,2848,3288,3076,3504,3472,3520,3020,3184,3328,3268,3340,3964,3592,3828,3576,3780,3412,3452,3592,3124,3268,3352,3280,3496,3668,3696,3476,3676,3676,3708,3712,3664,3896,4172,4120,3612,3596,4788,3312,3932,4016,5264,4596,4888,4768,6856,6108,5636,4668,4768,4324,4392,3768,3960,3752,3812,3380,4600,4552,4820,3800
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Beginning with the second quarter of 2006, consists of Federal grants to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","state and local governments less the Medicare prescription drug ""phased-down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","State contribution"" paid by the states to the Federal government (commonly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
