"","Table 5#4#4AU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"1","[Index numbers, 2000=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 26, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2006 4:18:16 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
"8","1","    Private fixed investment in structures","B349RG3",16.015,16.074,16.051,16.126,16.113,16.286,16.762,17.379,17.961,18.891,20.178,21.159,22.586,24.086,26.135,29.262,32.36,34.209,37.483,41.703,46.488,51.202,56.982,60.927,60.604,61.741,63.29,65.274,67.239,69.82,72.303,74.311,75.483,75.985,78.769,81.581,84.815,86.803,89.518
"9","2","Nonresidential","B009RG3",15.923,15.904,15.81,15.941,16.085,16.316,16.791,17.398,17.943,18.835,20.074,21.39,23.04,24.704,26.619,30.295,33.911,35.571,38.651,42.382,47.313,51.74,58.88,63.566,61.939,62.468,63.94,65.168,66.199,69.016,71.707,74.015,75.355,75.33,77.602,80.388,83.879,86.045,89.381
"10","3","  Commercial and health care","W001RG3",15.059,15.023,14.958,15.139,15.427,15.741,16.24,16.825,17.356,18.22,19.591,20.787,22.599,24.399,26.359,29.281,32.15,33.29,35.55,38.924,43.199,48.093,52.429,55.728,57.445,59.649,61.567,63.696,66.037,68.479,70.908,73.146,74.209,74.659,77.169,80.115,83.329,85.211,87.945
"11","4","    Commercial, including office","B308RG3",15.064,15.025,14.958,15.139,15.428,15.741,16.235,16.816,17.347,18.211,19.582,20.769,22.59,24.377,26.334,29.254,32.12,33.261,35.519,38.889,43.161,48.048,52.378,55.671,57.385,59.583,61.497,63.623,65.959,68.399,70.826,73.062,74.124,74.576,77.084,80.03,83.242,85.123,87.853
"12","5","      Office, including medical buildings\1\","B346RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.106,26.043,28.931,31.765,32.887,35.116,38.452,42.68,47.524,51.827,55.102,56.808,59.003,60.91,63.027,65.352,67.764,70.164,72.378,73.422,73.863,76.341,79.242,82.412,84.272,86.979
"13","6","      Commercial\2\","B347RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.643,26.621,29.572,32.469,33.627,35.912,39.318,43.632,48.565,52.919,56.224,57.938,60.133,62.05,64.181,66.526,68.993,71.446,73.702,74.781,75.242,77.778,80.763,84.013,85.913,88.664
"14","7","    Hospitals and special care","C311RG3",15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"15","8","  Manufacturing","B307RG3",15.135,15.117,15.069,15.251,15.534,15.855,16.378,16.992,17.522,18.394,19.777,21.022,22.809,24.677,26.66,29.616,32.518,33.666,35.948,39.363,43.691,48.65,53.055,56.407,58.154,60.401,62.353,64.52,66.901,69.37,71.826,74.092,75.162,75.613,78.15,81.119,84.365,86.269,89.04
"16","9","  Power and communication","W003RG3",20.176,20.291,20.242,20.032,20.105,20.156,20.634,21.141,21.791,22.888,23.963,25.808,27.546,29.012,31.206,36.381,41.08,43.679,47.088,50.002,55.337,60.762,65.014,68.045,68.903,69.309,70.183,70.12,70.813,73.957,78.194,80.541,81.256,82.277,84.476,87.549,91.109,93.489,95.511
"17","10","    Power","W028RG3",17.903,17.901,17.722,17.675,17.602,17.595,17.995,18.268,18.725,19.812,20.751,22.109,24.202,25.616,27.554,32.21,37.372,39.956,43.036,45.656,50.271,54.992,59.942,63.383,65.272,66.932,67.553,67.772,68.791,73.284,76.169,78.573,79.273,80.648,83.127,86.868,89.463,90.887,92.814
"18","11","      Electric","B571RG3",16.822,16.821,16.546,16.617,16.753,17.165,17.783,17.851,18.539,19.843,20.598,21.971,24.1,25.542,27.67,32.545,37.902,40.441,43.508,45.794,50.714,55.632,60.274,63.391,65.402,66.996,67.756,68.52,69.28,73.922,76.627,79.188,79.605,80.99,83.621,86.915,89.824,91.497,93.292
"19","12","      Other power","W029RG3",20.3,20.296,20.294,20.029,19.557,18.755,18.756,19.426,19.426,20.096,21.434,22.775,24.786,26.127,27.465,31.485,36.171,38.849,41.963,46.026,49.416,53.476,59.574,64.317,65.66,67.692,67.699,65.657,67.692,71.755,75.144,77.174,78.526,79.878,82.012,86.779,88.72,89.69,91.879
"20","13","    Communication","B314RG3",26.622,27.282,27.867,26.912,27.645,27.942,28.676,30.147,31.622,32.351,33.822,37.499,37.497,38.974,41.913,48.533,50.737,52.944,57.256,60.968,68.407,75.84,77.328,78.814,76.581,73.612,75.1,74.356,74.354,75.096,81.786,84.017,84.76,84.766,86.166,87.645,93.163,97.241,99.4
"21","14","  Mining exploration, shafts, and wells","B318RG3",15.278,15.101,14.733,15.019,14.495,14.514,14.815,15.749,16.32,17.091,17.904,18.97,19.583,21.054,22.374,27.905,34.079,36.945,43.526,51.343,59.508,60.919,81.264,92.671,75.023,68.823,68.947,66.086,56.281,61.78,64.776,67.385,71.333,65.975,66.909,68.474,74.181,77.86,88.58
"22","15","    Petroleum and natural gas","B319RG3",14.81,14.631,14.256,14.539,13.982,13.98,14.258,15.184,15.741,16.481,17.221,18.24,18.703,20.091,21.297,27.034,33.516,36.571,43.695,51.984,60.474,61.526,83.177,95.22,76.135,69.358,69.357,66.133,55.553,61.195,64.214,66.839,70.971,65.168,65.975,67.418,73.359,77.188,88.514
"23","16","    Mining","B320RG3",15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
