"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 01, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/29/2012 11:34:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","    Nonfarm industries","CNF0",67669,62453,63546,55943,-38321,14524,16283,56103,49836,63558,29829,-42727,-159044,68553,54665
"9","2","Mining, utilities, and construction","CCMU0",1519,5392,-1272,-2197,8194,-3090,5883,1335,3748,16650,-204,-9450,-7553,-4944,4318
"10","3","Manufacturing industries","C300",21068,15423,13887,6881,-23506,-4183,-7422,5731,21046,17661,16735,-14386,-34608,23335,31991
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","C30D0",14146,16018,6318,6219,-19514,-4944,-4796,3983,16585,12134,12007,-4495,-24057,20777,25669
"13","5","      Wood product manufacturing","C3210",363,491,633,169,-497,297,-120,745,782,-39,-712,-1614,-2142,423,339
"14","6","      Nonmetallic mineral product manufacturing","C3270",180,-40,239,137,-509,159,-146,301,109,498,372,-418,-2368,-27,504
"15","7","      Primary metal manufacturing","C3310",456,1387,275,-575,-2102,-93,-1794,2584,1563,1357,142,-1246,-7816,2660,3112
"16","8","      Fabricated metal product manufacturing","C3320",1310,869,718,789,-1199,-297,-651,-50,2288,1680,801,-494,-4973,502,1819
"17","9","      Machinery manufacturing","C3330",1453,1127,86,2556,-4379,-602,-1902,-75,2603,2609,807,466,-5332,2067,4898
"18","10","      Computer and electronic product manufacturing","C3340",8152,489,3963,10663,-7629,-3239,1817,2173,3135,406,1442,1611,-109,2301,1122
"19","11","      Electrical equipment, appliance, and component manufacturing","C3350",488,401,-28,816,-969,-362,-443,-343,18,733,772,-138,-2131,716,-58
"20","12","      Transportation equipment manufacturing","C3360",1360,10767,-549,-9584,-1700,-1157,-2054,-1489,4338,4044,8231,-2665,2123,10759,13519
"21","13","        Motor vehicle and parts manufacturing","C336MV0",556,604,1518,-236,-2539,1082,547,163,762,667,-973,-3837,-2208,2951,2093
"22","14","        Other transportation equipment manufacturing","C336OT0",804,10163,-2067,-9348,839,-2239,-2601,-1652,3576,3377,9204,1173,4331,7808,11426
"23","15","      Furniture and related product manufacturing","C3370",140,103,324,270,-427,393,-376,282,335,30,-138,-741,-912,671,-104
"24","16","      Miscellaneous durable goods manufacturing","C3390",244,424,657,978,-103,-43,875,-145,1414,816,288,742,-396,706,518
"25","17","    Nondurable goods industries","C30N0",6921,-595,7569,662,-3992,761,-2626,1748,4461,5527,4729,-9890,-10551,2558,6322
"26","18","      Food manufacturing","C3110",819,-336,1328,488,-477,721,-851,-964,1382,74,-784,-85,1617,-1165,-2215
"27","19","      Beverage and tobacco product manufacturing","C3120",700,-32,-182,-39,595,50,-226,-98,384,5,-418,-380,642,-728,471
"28","20","      Textile mills","C3130",17,68,178,-459,-424,-281,-145,-68,-53,-155,-161,-372,-741,139,177
"29","21","      Textile product mills","C3140",291,-228,339,422,177,-976,131,-16,190,22,-101,-101,-699,169,117
"30","22","      Apparel manufacturing","C3150",456,-5,614,-312,-1680,-314,-2,-266,-137,-22,-200,-274,-542,371,294
"31","23","      Leather and allied product manufacturing","C3160",45,9,4,-100,-159,-150,-57,-9,55,128,-40,-29,-139,43,15
"32","24","      Paper manufacturing","C3220",558,-510,910,-623,-85,1014,-664,123,-24,-28,58,-690,-1214,-377,-232
"33","25","      Printing and related support activities","C3230",220,-584,625,-331,-300,324,-313,41,-19,109,464,-787,-591,16,-330
"34","26","      Petroleum and coal product manufacturing","C3240",953,-454,108,-65,676,-508,-40,742,989,1180,4339,133,-1809,3137,8487
"35","27","      Chemical manufacturing","C3250",2318,927,2778,1690,-1656,651,-300,1928,1439,3029,1109,-5726,-5195,241,-337
"36","28","      Plastics and rubber product manufacturing","C3260",545,550,867,-9,-658,231,-160,335,255,1186,463,-1578,-1880,713,-125
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","C30M0",9909,3484,7522,5188,-9217,-1742,-4494,4484,6363,6025,1987,-4299,-15258,3758,6435
"39","30","      Durable goods industries","C30DM0",7856,4091,4833,7252,-8117,-2260,-2955,4303,5179,5061,2577,-1297,-12884,3067,5375
"40","31","      Nondurable goods industries","C30NM0",2053,-607,2689,-2065,-1100,517,-1539,181,1184,964,-590,-3002,-2374,691,1060
"41","32","    Work-in-process","C30W0",3221,6729,270,-4617,-8857,-594,-673,-1874,7508,3864,13134,-2128,-3113,12436,14837
"42","33","      Durable goods industries","C30DW0",1221,7342,-1048,-4792,-7820,-888,-688,-2255,6599,2021,9341,-612,-1572,12928,13644
"43","34","      Nondurable goods industries","C30NW0",2000,-613,1319,175,-1037,294,14,381,909,1843,3793,-1517,-1542,-492,1193
"44","35","    Finished goods","C30F0",7937,5210,6095,6311,-5433,-1846,-2254,3122,7175,7772,1614,-7958,-16236,7141,10719
"45","36","      Durable goods industries","C30DF0",5069,4584,2533,3759,-3578,-1796,-1153,1936,4807,5052,89,-2587,-9601,4783,6650
"46","37","      Nondurable goods industries","C30NF0",2868,626,3561,2552,-1855,-50,-1101,1186,2368,2720,1525,-5371,-6635,2358,4069
"47","38","Wholesale trade industries","CWT0",25330,21432,18911,18854,-12336,-107,-589,19767,18129,13690,4795,8842,-62116,31756,31781
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","CWTD0",17252,17021,14072,13524,-16663,389,780,17763,13370,9396,816,9437,-49144,19023,23776
"50","40","    Nondurable goods industries","CWTN0",8078,4411,4838,5330,4327,-496,-1368,2004,4759,4293,3979,-595,-12972,12733,8005
"51",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","41","    Merchant wholesale industries","C42W0",22654,19454,16309,14775,-8044,517,-203,17845,14329,15182,6213,1008,-46649,25913,22652
"53","42","      Durable goods industries","C42WD0",15223,15080,12410,10426,-13312,-212,870,16771,10972,10546,1083,7353,-43855,15338,19203
"54","43","        Motor vehicles, parts, and supplies wholesalers","C42110",1436,786,2807,1298,-1163,2440,892,1189,2834,960,967,3748,-9095,3494,5251
"55","44","        Furniture and home furnishings wholesalers","C42120",127,307,347,554,-424,207,210,130,241,244,-144,-713,-1887,527,-240
"56","45","        Lumber and other construction materials wholesalers","C42130",654,-142,397,456,-57,414,1309,2044,692,341,-893,-1179,-2504,228,73
"57","46","        Professional and commercial equipment wholesalers","C42140",5928,2770,3599,909,-1383,1354,630,2318,1628,3419,1511,1041,-2238,2352,1961
"58","47","          Computers and software wholesalers","C421430",5196,3247,2901,-54,-489,822,1340,1383,1179,1675,868,981,527,1762,796
"59","48","          Other professional and commercial equipment wholesalers","C4214X0",732,-477,698,963,-894,532,-710,935,449,1744,643,60,-2765,590,1165
"60","49","        Metal and mineral (except petroleum) wholesalers","C42150",753,1202,49,167,-976,-255,-377,3134,-317,2671,-2103,2033,-6607,1878,2347
"61","50","        Electrical goods wholesalers","C42160",513,2080,3202,3730,-4334,-1000,-605,2156,1223,2243,1884,962,-5043,4354,3006
"62","51","        Hardware and plumbing and heating equipment wholesalers","C42170",156,791,149,874,-763,-42,-28,792,347,546,331,-1745,-2236,645,1392
"63","52","        Machinery, equipment, and supplies wholesalers","C42180",4433,5503,1838,1029,-2353,-2762,-2073,3802,3389,2007,617,1655,-10320,1351,5953
"64","53","        Miscellaneous durable goods wholesalers","C42190",1223,1783,22,1409,-1859,-568,911,1206,935,-1885,-1087,1551,-3926,509,-540
"65","54","      Nondurable goods industries","C42WN0",7431,4374,3899,4349,5268,728,-1072,1074,3357,4635,5130,-6346,-2794,10575,3449
"66","55","        Paper and paper products wholesalers","C42210",654,23,-174,251,-634,-345,-25,471,310,-345,70,-211,-432,209,-20
"67","56","        Drugs and druggists' sundries wholesalers","C42220",1557,1078,3352,4559,7005,1362,122,-332,-2150,775,-492,-645,-817,837,1135
"68","57","        Apparel, piece goods, and notions wholesalers","C42230",1429,286,-663,117,-29,219,-974,51,619,1365,587,1005,-3016,2726,1688
"69","58","        Grocery and related products wholesalers","C42240",931,-196,1192,-89,-1625,1288,-1206,-250,1576,1801,1163,1010,-1292,1935,2690
"70","59","        Farm product raw material wholesalers","C42250",1368,1241,972,367,124,-1199,1891,-1712,2137,2186,1670,-4825,2991,3970,-6890
"71","60","        Chemical and allied products wholesalers","C42260",285,483,246,-285,323,336,-326,-174,-3,-451,840,-115,-1180,612,540
"72","61","        Petroleum amd petroleum products wholesalers","C42270",51,575,-1011,-377,1517,-518,-556,955,-38,-816,-198,-2992,3267,-1106,599
"73","62","        Beer, wine, and distilled alcoholic beverages wholesalers","C42280",350,171,278,123,-253,430,138,285,396,671,773,535,-754,754,336
"74","63","        Miscellaneous nondurable goods wholesalers","C42290",806,713,-293,-317,-1160,-845,-137,1780,510,-551,717,-108,-1561,638,3371
"75","64","    Nonmerchant wholesale industries","C42N0",2676,1978,2602,4079,-4291,-624,-386,1922,3800,-1492,-1418,7834,-15467,5843,9129
"76","65","      Durable goods industries","C42ND0",2029,1941,1662,3098,-3351,600,-90,992,2398,-1150,-267,2083,-5289,3685,4573
"77","66","      Nondurable goods industries","C42NN0",647,37,939,981,-941,-1224,-296,930,1402,-342,-1151,5751,-10178,2158,4556
"78","67","Retail trade industries","C440",14452,14637,24934,19957,-10317,23044,16900,23189,4618,10814,4078,-29165,-49456,17614,-15712
"79","68","  Motor vehicle and parts dealers","C4410",5143,1832,12440,11880,-9329,17295,12804,7406,-2788,-368,2862,-12358,-32471,9909,-16248
"80","69","  Furniture, furnishings, electronics, and appliance stores","C44230",1190,1640,1852,1931,-175,2053,1986,3384,1258,999,1086,-3714,-1839,1875,-1024
"81","70","  Building material and garden equipment and supplies dealers","C4440",1328,1942,1953,1162,26,1476,1037,2322,2258,-33,-773,-3830,-2550,297,-849
"82","71","  Food and beverage stores","C4450",344,942,1529,-561,408,156,-1192,398,-104,923,1086,-415,-315,-176,879
"83","72","  Clothing and clothing accessories stores","C4480",974,1297,1390,2927,-1130,1757,480,2416,1470,3450,-1263,-2669,-5100,371,-683
"84","73","  General merchandise stores","C4520",142,359,2694,1040,160,1415,981,4476,2210,1664,-204,-3348,-2828,3683,1189
"85","74","    Department stores","C45210",238,-963,634,-630,-1890,-1493,-1632,710,49,-174,-430,-3356,-2831,78,-844
"86","75","    Other general merchandise stores","C45290",-96,1322,2060,1670,2050,2908,2613,3766,2161,1838,226,8,3,3605,2033
"87","76","  Other retail stores","C44X0",5331,6625,3076,1578,-277,-1108,804,2787,314,4179,1284,-2831,-4354,1654,1024
"88","77","Other industries","COTH0",5301,5570,7085,12446,-356,-1140,1511,6082,2295,4743,4425,1431,-5311,793,2287
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
