"","Reconciliation of Percent Change in the CPI with Percent Change ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Quarterly change is seasonally adjusted at annual rates; monthly change is seasonally adjusted at monthly rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2002 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 01, 2012    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/29/2012 11:37:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4
"9","1","PCE Chain-type price index (percent change)","DPCERV1",0.9,3.2,2,1.9,2.9,0.3,2.6,1.9,3.3,3,2.5,3.3,2.4,2.5,4.6,3.5,1.7,3,2.9,-0.1,3.9,3.5,2.2,4.2,3.9,4.5,4.3,-5.6,-1.7,1.9,3,2.8,1.9,0.3,1,1.9,3.9,3.3,2.3,1.2
"10","2","  Less: Formula effect (percentage points)","W902RV2",-0.03,-0.19,-0.17,-0.16,-0.28,-0.08,-0.19,-0.13,-0.08,-0.1,-0.16,-0.22,-0.16,-0.21,-0.45,-0.26,-0.08,-0.14,-0.19,-0.01,-0.3,-0.44,-0.29,-0.4,-0.15,-0.38,-0.41,0.71,-0.02,-0.26,-0.36,-0.31,-0.05,-0.07,-0.08,-0.12,-0.24,-0.22,-0.17,-0.17
"11","3","    Gasoline and other motor fuel","W903RV2",0.02,-0.06,-0.01,-0.03,-0.09,0.07,-0.04,-0.02,0,0,-0.01,-0.03,0,0,-0.18,0.03,0.02,-0.07,-0.07,0.17,-0.08,-0.16,-0.01,-0.16,-0.08,-0.1,-0.17,0.49,0.1,-0.05,-0.16,-0.06,0,0.01,0,-0.04,-0.1,-0.05,-0.02,0.02
