"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"22","2","    Gross domestic income","A261RX1","4,660,964.0","4,693,040.0","4,727,825.0","4,719,410.0","4,686,260.0","4,686,057.0","4,724,567.0","4,680,278.0","4,773,512.0","4,804,940.0","4,846,398.0","4,908,025.0","4,978,280.0","5,042,094.0","5,124,171.0","5,255,694.0","5,349,601.0","5,379,045.0","5,396,855.0","5,453,492.0","5,411,353.0","5,389,639.0","5,361,259.0","5,297,379.0","5,236,907.0","5,281,234.0","5,387,879.0","5,443,181.0","5,556,546.0","5,591,358.0","5,632,698.0","5,649,922.0","5,701,195.0","5,846,808.0","5,959,250.0","5,994,182.0","6,031,290.0","6,209,975.0","6,250,752.0","6,306,537.0","6,365,412.0","6,331,397.0","6,338,339.0","6,364,835.0","6,369,237.0","6,250,542.0","6,296,672.0","6,456,983.0","6,507,501.0","6,507,918.0","6,598,743.0","6,524,138.0","6,471,390.0","6,497,251.0","6,471,980.0","6,445,108.0","6,517,030.0","6,627,866.0","6,718,598.0","6,872,172.0","7,062,835.0","7,177,003.0","7,255,931.0","7,334,705.0","7,399,525.0","7,453,528.0","7,544,795.0","7,587,567.0","7,664,815.0","7,685,045.0","7,736,167.0","7,797,372.0","7,875,860.0","8,000,906.0","8,120,544.0","8,227,128.0","8,326,653.0","8,423,655.0","8,498,507.0","8,615,772.0","8,672,528.0","8,655,469.0","8,688,530.0","8,695,119.0","8,786,010.0","8,835,784.0","8,827,527.0","8,785,426.0","8,773,950.0","8,796,962.0","8,820,334.0","8,853,254.0","9,007,897.0","9,081,532.0","9,110,482.0","9,199,836.0","9,162,208.0","9,275,013.0","9,290,818.0","9,472,193.0","9,523,188.0","9,673,291.0","9,764,382.0","9,876,682.0","9,923,235.0","9,980,656.0","10,102,991.0","10,167,234.0","10,277,869.0","10,432,504.0","10,530,878.0","10,662,283.0","10,784,286.0","10,911,393.0","11,093,787.0","11,238,858.0","11,358,930.0","11,521,660.0","11,685,219.0","11,793,019.0","11,951,119.0","12,025,702.0","12,136,372.0","12,334,723.0","12,587,439.0","12,657,174.0","12,750,987.0","12,727,950.0","12,873,419.0","12,851,589.0","12,805,430.0","12,741,100.0","12,906,590.0","12,984,739.0","13,001,330.0","13,075,557.0","13,096,227.0","13,220,460.0","13,346,096.0","13,474,131.0","13,578,384.0","13,724,568.0","13,877,279.0","13,944,459.0","14,083,340.0","14,188,601.0","14,310,601.0","14,504,713.0","14,782,008.0","14,803,882.0","14,863,377.0","14,919,722.0","14,882,881.0","14,904,656.0","14,823,125.0","14,816,120.0","14,843,538.0","14,833,957.0","14,772,441.0","14,485,570.0","14,260,564.0","14,258,386.0","14,328,191.0","14,535,434.0","14,552,759.0","14,653,356.0","14,840,069.0","14,900,506.0","14,975,368.0","15,061,450.0","15,142,186.0","15,238,778.0","15,441,937.0","15,417,950.0","15,451,888.0","15,635,954.0","15,730,558.0","15,855,383.0","15,926,103.0"
"23","3","    Net domestic product \1\","A362RX1","4,260,387.0","4,268,704.0","4,291,992.0","4,263,876.0","4,249,042.0","4,251,491.0","4,288,590.0","4,232,670.0","4,357,709.0","4,380,990.0","4,414,838.0","4,424,451.0","4,509,108.0","4,622,103.0","4,663,170.0","4,743,275.0","4,867,556.0","4,921,683.0","4,882,858.0","4,926,925.0","4,872,406.0","4,879,997.0","4,818,765.0","4,790,116.0","4,717,252.0","4,753,718.0","4,839,525.0","4,909,760.0","5,032,922.0","5,070,685.0","5,093,818.0","5,130,641.0","5,191,812.0","5,301,628.0","5,401,441.0","5,392,686.0","5,404,933.0","5,639,144.0","5,692,307.0","5,769,557.0","5,771,018.0","5,767,451.0","5,804,308.0","5,810,765.0","5,821,873.0","5,673,393.0","5,653,318.0","5,767,072.0","5,898,365.0","5,838,094.0","5,906,913.0","5,815,191.0","5,689,191.0","5,715,843.0","5,681,930.0","5,679,798.0","5,760,334.0","5,907,557.0","6,034,756.0","6,171,012.0","6,303,847.0","6,421,192.0","6,481,285.0","6,526,612.0","6,586,180.0","6,640,946.0","6,746,732.0","6,791,299.0","6,850,979.0","6,873,566.0","6,940,331.0","6,967,826.0","7,010,272.0","7,088,364.0","7,149,918.0","7,275,018.0","7,309,802.0","7,409,958.0","7,446,761.0","7,549,123.0","7,624,908.0","7,681,801.0","7,735,769.0","7,741,802.0","7,828,252.0","7,851,544.0","7,842,477.0","7,753,474.0","7,701,000.0","7,761,989.0","7,796,702.0","7,827,926.0","7,928,153.0","8,021,761.0","8,103,582.0","8,188,567.0","8,195,778.0","8,241,899.0","8,277,742.0","8,395,766.0","8,480,284.0","8,603,306.0","8,649,226.0","8,749,952.0","8,770,075.0","8,790,842.0","8,863,579.0","8,921,611.0","8,974,270.0","9,141,028.0","9,222,259.0","9,317,664.0","9,381,353.0","9,526,551.0","9,646,472.0","9,710,674.0","9,798,251.0","9,885,309.0","10,013,236.0","10,182,860.0","10,272,240.0","10,345,197.0","10,464,251.0","10,634,202.0","10,673,476.0","10,866,342.0","10,847,178.0","10,888,879.0","10,832,262.0","10,883,924.0","10,829,892.0","10,845,726.0","10,947,742.0","11,001,687.0","11,047,604.0","11,038,652.0","11,090,364.0","11,200,344.0","11,408,082.0","11,543,083.0","11,604,993.0","11,692,477.0","11,794,539.0","11,891,595.0","12,023,823.0","12,081,277.0","12,176,509.0","12,234,741.0","12,388,384.0","12,411,414.0","12,402,698.0","12,496,040.0","12,484,110.0","12,578,131.0","12,659,995.0","12,697,260.0","12,581,126.0","12,639,102.0","12,549,025.0","12,215,094.0","12,005,382.0","11,987,677.0","12,033,321.0","12,171,870.0","12,224,936.0","12,359,032.0","12,453,341.0","12,549,221.0","12,494,479.0","12,603,585.0","12,645,643.0","12,815,432.0","12,943,618.0","12,978,166.0","13,073,575.0","13,067,923.0","13,099,886.0","13,183,007.0","13,329,978.0"
"24","4","    Net domestic income \1\","W256RX1","4,233,296.0","4,259,442.0","4,288,006.0","4,272,662.0","4,231,848.0","4,225,457.0","4,259,253.0","4,208,162.0","4,299,456.0","4,326,788.0","4,364,346.0","4,422,940.0","4,489,791.0","4,549,004.0","4,626,187.0","4,753,812.0","4,841,827.0","4,863,258.0","4,873,478.0","4,923,985.0","4,872,661.0","4,843,013.0","4,806,695.0","4,734,139.0","4,665,471.0","4,705,652.0","4,810,907.0","4,862,608.0","4,974,739.0","5,004,703.0","5,040,746.0","5,051,191.0","5,096,364.0","5,239,424.0","5,347,379.0","5,374,397.0","5,403,504.0","5,579,542.0","5,611,300.0","5,658,216.0","5,707,711.0","5,660,677.0","5,656,427.0","5,672,994.0","5,666,721.0","5,532,226.0","5,570,374.0","5,728,310.0","5,771,789.0","5,762,600.0","5,847,425.0","5,758,892.0","5,692,686.0","5,709,635.0","5,673,641.0","5,637,051.0","5,704,004.0","5,810,688.0","5,895,554.0","6,044,543.0","6,231,067.0","6,336,865.0","6,404,877.0","6,471,277.0","6,522,104.0","6,562,043.0","6,641,210.0","6,670,658.0","6,736,263.0","6,742,993.0","6,781,360.0","6,829,689.0","6,896,032.0","7,010,774.0","7,120,201.0","7,216,495.0","7,305,846.0","7,392,637.0","7,456,313.0","7,563,639.0","7,608,559.0","7,577,593.0","7,598,352.0","7,592,096.0","7,672,542.0","7,711,665.0","7,691,917.0","7,638,245.0","7,616,731.0","7,630,994.0","7,645,839.0","7,670,891.0","7,820,624.0","7,886,864.0","7,906,944.0","7,988,058.0","7,939,056.0","8,043,208.0","8,048,235.0","8,221,613.0","8,261,865.0","8,402,269.0","8,481,725.0","8,582,001.0","8,614,493.0","8,657,923.0","8,767,065.0","8,816,997.0","8,913,767.0","9,054,155.0","9,136,551.0","9,251,572.0","9,356,147.0","9,464,850.0","9,628,167.0","9,751,761.0","9,848,755.0","9,989,594.0","10,131,779.0","10,218,225.0","10,356,513.0","10,403,779.0","10,480,786.0","10,639,223.0","10,898,573.0","10,925,426.0","10,984,533.0","10,935,113.0","11,061,567.0","11,023,883.0","10,962,259.0","10,881,967.0","11,030,267.0","11,092,194.0","11,092,475.0","11,151,754.0","11,158,188.0","11,269,095.0","11,380,071.0","11,491,435.0","11,576,753.0","11,706,375.0","11,840,854.0","11,888,383.0","12,006,782.0","12,092,764.0","12,194,320.0","12,368,097.0","12,625,199.0","12,624,723.0","12,662,939.0","12,698,357.0","12,639,749.0","12,641,501.0","12,541,115.0","12,516,675.0","12,529,228.0","12,503,414.0","12,425,995.0","12,125,701.0","11,893,807.0","11,889,234.0","11,959,037.0","12,166,976.0","12,180,121.0","12,274,563.0","12,454,077.0","12,507,434.0","12,575,608.0","12,653,643.0","12,725,481.0","12,812,180.0","13,003,835.0","12,968,558.0","12,991,738.0","13,163,916.0","13,246,213.0","13,358,544.0","13,416,584.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RX1","4,725,886.0","4,739,760.0","4,767,851.0","4,747,211.0","4,739,833.0","4,749,203.0","4,790,481.0","4,738,903.0","4,870,280.0","4,899,656.0","4,934,202.0","4,950,227.0","5,039,301.0","5,154,632.0","5,204,713.0","5,290,301.0","5,425,405.0","5,489,313.0","5,467,402.0","5,518,285.0","5,482,384.0","5,493,179.0","5,435,088.0","5,405,893.0","5,333,465.0","5,374,554.0","5,466,001.0","5,547,511.0","5,670,078.0","5,714,546.0","5,743,863.0","5,787,870.0","5,862,370.0","5,974,944.0","6,078,954.0","6,072,766.0","6,102,197.0","6,326,598.0","6,392,754.0","6,486,203.0","6,500,570.0","6,516,467.0","6,577,371.0","6,593,513.0","6,616,193.0","6,476,933.0","6,462,391.0","6,565,879.0","6,704,816.0","6,652,355.0","6,731,964.0","6,662,712.0","6,548,422.0","6,592,656.0","6,556,734.0","6,560,464.0","6,644,757.0","6,799,182.0","6,932,299.0","7,076,496.0","7,209,992.0","7,335,790.0","7,406,578.0","7,457,478.0","7,517,398.0","7,588,266.0","7,696,403.0","7,758,751.0","7,824,424.0","7,848,184.0","7,930,557.0","7,960,442.0","8,018,917.0","8,114,451.0","8,186,696.0","8,324,131.0","8,379,245.0","8,485,420.0","8,529,402.0","8,645,427.0","8,731,174.0","8,797,751.0","8,866,788.0","8,894,866.0","8,988,894.0","9,025,815.0","9,020,347.0","8,977,080.0","8,918,059.0","8,970,332.0","9,007,778.0","9,058,328.0","9,164,007.0","9,263,444.0","9,348,960.0","9,443,598.0","9,471,475.0","9,518,190.0","9,571,976.0","9,677,572.0","9,781,459.0","9,908,332.0","9,964,047.0","10,075,147.0","10,121,546.0","10,159,973.0","10,227,914.0","10,315,476.0","10,391,570.0","10,561,206.0","10,654,221.0","10,773,377.0","10,844,234.0","11,016,999.0","11,146,902.0","11,224,433.0","11,346,644.0","11,452,523.0","11,585,302.0","11,778,341.0","11,899,264.0","12,005,631.0","12,154,307.0","12,376,398.0","12,406,924.0","12,644,214.0","12,654,598.0","12,751,646.0","12,698,358.0","12,776,140.0","12,709,984.0","12,816,262.0","12,889,240.0","12,936,973.0","13,015,566.0","13,041,294.0","13,091,405.0","13,230,595.0","13,452,590.0","13,634,316.0","13,735,139.0","13,810,043.0","13,941,713.0","14,028,971.0","14,218,143.0","14,282,060.0","14,408,020.0","14,454,843.0","14,631,127.0","14,670,415.0","14,668,695.0","14,793,459.0","14,803,503.0","14,939,313.0","15,097,541.0","15,198,581.0","15,081,927.0","15,157,294.0","15,098,663.0","14,698,091.0","14,495,316.0","14,476,793.0","14,568,836.0","14,719,542.0","14,782,744.0","14,925,072.0","15,020,536.0","15,137,790.0","15,119,161.0","15,235,554.0","15,306,384.0","15,485,740.0","15,600,235.0","15,656,197.0","15,751,088.0","15,764,782.0","15,789,749.0","15,893,891.0","16,067,378.0"
"27","6","    Gross national income","A023RX1","4,699,641.0","4,730,702.0","4,764,051.0","4,755,687.0","4,723,180.0","4,724,012.0","4,762,050.0","4,715,151.0","4,813,770.0","4,847,085.0","4,885,221.0","4,948,768.0","5,020,539.0","5,083,769.0","5,169,017.0","5,300,619.0","5,400,386.0","5,432,789.0","5,458,309.0","5,515,409.0","5,482,668.0","5,457,464.0","5,423,452.0","5,351,736.0","5,283,421.0","5,328,318.0","5,438,402.0","5,502,039.0","5,613,964.0","5,650,994.0","5,692,894.0","5,711,337.0","5,770,457.0","5,915,115.0","6,027,107.0","6,055,273.0","6,100,799.0","6,269,344.0","6,314,858.0","6,379,305.0","6,439,752.0","6,413,927.0","6,435,453.0","6,461,202.0","6,467,424.0","6,341,615.0","6,382,927.0","6,528,640.0","6,583,444.0","6,579,978.0","6,675,003.0","6,608,789.0","6,551,819.0","6,586,665.0","6,548,841.0","6,519,429.0","6,590,654.0","6,705,949.0","6,798,088.0","6,954,504.0","7,139,860.0","7,254,439.0","7,332,781.0","7,404,042.0","7,455,402.0","7,511,815.0","7,594,112.0","7,641,913.0","7,713,325.0","7,721,678.0","7,776,512.0","7,826,655.0","7,908,222.0","8,039,090.0","8,157,955.0","8,267,364.0","8,375,358.0","8,468,596.0","8,538,738.0","8,659,494.0","8,715,267.0","8,696,349.0","8,733,072.0","8,749,207.0","8,837,232.0","8,889,547.0","8,873,464.0","8,864,590.0","8,835,798.0","8,842,431.0","8,860,379.0","8,904,737.0","9,058,657.0","9,131,172.0","9,156,137.0","9,246,899.0","9,219,611.0","9,323,059.0","9,346,601.0","9,506,604.0","9,566,842.0","9,710,713.0","9,799,510.0","9,910,259.0","9,968,824.0","10,029,366.0","10,133,133.0","10,212,637.0","10,332,042.0","10,475,652.0","10,569,803.0","10,708,243.0","10,819,399.0","10,956,128.0","11,128,839.0","11,265,005.0","11,396,582.0","11,555,527.0","11,702,503.0","11,813,338.0","11,982,618.0","12,063,603.0","12,170,616.0","12,381,413.0","12,629,400.0","12,702,656.0","12,790,840.0","12,797,683.0","12,926,184.0","12,914,985.0","12,841,348.0","12,852,266.0","12,971,308.0","13,027,099.0","13,060,276.0","13,154,057.0","13,159,082.0","13,299,269.0","13,424,613.0","13,582,810.0","13,706,956.0","13,823,803.0","13,987,940.0","14,025,741.0","14,201,200.0","14,293,519.0","14,425,837.0","14,587,537.0","14,866,832.0","14,882,830.0","14,927,797.0","14,994,761.0","14,958,363.0","15,002,431.0","14,979,174.0","15,018,665.0","15,030,156.0","15,022,051.0","14,975,942.0","14,608,966.0","14,383,879.0","14,378,261.0","14,494,479.0","14,714,762.0","14,738,006.0","14,840,564.0","15,021,311.0","15,095,940.0","15,200,495.0","15,285,670.0","15,386,400.0","15,482,366.0","15,660,542.0","15,646,586.0","15,669,054.0","15,861,018.0","15,936,284.0","16,069,381.0","16,154,047.0"
"28","7","    Net national product \1\","A027RX1","4,299,942.0","4,307,053.0","4,328,951.0","4,300,774.0","4,286,718.0","4,290,227.0","4,326,923.0","4,268,209.0","4,398,847.0","4,424,064.0","4,454,458.0","4,465,878.0","4,552,177.0","4,664,784.0","4,708,906.0","4,788,901.0","4,919,335.0","4,976,524.0","4,945,568.0","4,990,110.0","4,945,327.0","4,949,365.0","4,882,356.0","4,845,706.0","4,764,747.0","4,801,569.0","4,890,909.0","4,969,975.0","5,091,705.0","5,131,600.0","5,155,312.0","5,193,527.0","5,262,881.0","5,371,519.0","5,470,812.0","5,454,938.0","5,476,043.0","5,699,653.0","5,757,874.0","5,844,040.0","5,847,172.0","5,852,051.0","5,904,223.0","5,910,002.0","5,922,832.0","5,766,969.0","5,741,803.0","5,840,237.0","5,976,130.0","5,911,642.0","5,984,741.0","5,901,796.0","5,771,333.0","5,807,360.0","5,760,365.0","5,755,521.0","5,835,365.0","5,987,237.0","6,116,001.0","6,255,223.0","6,382,368.0","6,500,226.0","6,559,650.0","6,597,124.0","6,642,687.0","6,700,069.0","6,796,520.0","6,846,216.0","6,899,979.0","6,910,209.0","6,980,825.0","6,996,948.0","7,042,478.0","7,126,627.0","7,187,130.0","7,315,247.0","7,358,803.0","7,454,932.0","7,486,861.0","7,592,915.0","7,667,642.0","7,722,737.0","7,780,474.0","7,796,194.0","7,879,792.0","7,905,508.0","7,888,509.0","7,833,573.0","7,763,325.0","7,807,458.0","7,836,647.0","7,879,539.0","7,979,026.0","8,071,576.0","8,149,265.0","8,235,701.0","8,253,494.0","8,290,172.0","8,333,769.0","8,429,951.0","8,524,005.0","8,640,706.0","8,684,134.0","8,783,201.0","8,815,623.0","8,839,647.0","8,893,422.0","8,966,900.0","9,028,416.0","9,184,116.0","9,260,993.0","9,363,517.0","9,416,118.0","9,571,117.0","9,681,062.0","9,736,413.0","9,835,546.0","9,918,743.0","10,029,866.0","10,202,664.0","10,303,260.0","10,382,675.0","10,498,002.0","10,680,426.0","10,714,843.0","10,911,466.0","10,886,538.0","10,958,334.0","10,884,637.0","10,947,024.0","10,865,300.0","10,956,908.0","11,012,134.0","11,043,604.0","11,106,190.0","11,116,796.0","11,152,888.0","11,278,896.0","11,486,391.0","11,651,523.0","11,733,441.0","11,791,652.0","11,905,039.0","11,972,654.0","12,141,578.0","12,185,981.0","12,291,496.0","12,317,320.0","12,472,841.0","12,489,873.0","12,466,599.0","12,570,693.0","12,559,209.0","12,675,664.0","12,816,014.0","12,899,941.0","12,767,763.0","12,827,282.0","12,752,770.0","12,338,468.0","12,128,597.0","12,107,577.0","12,199,621.0","12,351,170.0","12,409,983.0","12,546,014.0","12,634,487.0","12,744,491.0","12,719,497.0","12,827,701.0","12,889,644.0","13,058,774.0","13,162,089.0","13,206,473.0","13,290,483.0","13,292,873.0","13,305,541.0","13,397,057.0","13,557,808.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","8","    Gross domestic purchases","A712RX1","4,806,171.0","4,815,829.0","4,848,962.0","4,816,398.0","4,805,021.0","4,806,925.0","4,849,946.0","4,801,343.0","4,926,268.0","4,974,132.0","5,007,885.0","5,026,828.0","5,127,339.0","5,243,279.0","5,281,078.0","5,370,108.0","5,494,607.0","5,530,343.0","5,488,751.0","5,523,257.0","5,456,834.0","5,472,021.0","5,435,610.0","5,398,333.0","5,284,881.0","5,307,452.0","5,434,879.0","5,505,485.0","5,659,273.0","5,716,387.0","5,750,934.0","5,805,078.0","5,903,224.0","6,010,480.0","6,104,810.0","6,127,564.0","6,173,281.0","6,363,525.0","6,426,869.0","6,499,611.0","6,510,117.0","6,519,726.0","6,537,102.0","6,532,647.0","6,538,012.0","6,344,954.0","6,289,611.0","6,443,230.0","6,591,787.0","6,541,327.0","6,622,153.0","6,560,158.0","6,459,164.0","6,481,170.0","6,509,930.0","6,517,972.0","6,607,805.0","6,799,007.0","6,969,086.0","7,130,879.0","7,311,424.0","7,452,896.0","7,531,116.0","7,600,021.0","7,656,277.0","7,760,647.0","7,878,924.0","7,949,504.0","8,003,682.0","8,065,409.0","8,153,080.0","8,179,570.0","8,229,825.0","8,316,334.0","8,380,176.0","8,511,229.0","8,517,664.0","8,598,058.0","8,653,443.0","8,770,929.0","8,839,912.0","8,879,368.0","8,935,449.0","8,958,517.0","9,050,035.0","9,072,881.0","9,065,284.0","8,956,450.0","8,899,643.0","8,954,077.0","9,001,786.0","9,041,397.0","9,138,550.0","9,253,697.0","9,339,143.0","9,450,387.0","9,486,590.0","9,551,919.0","9,613,515.0","9,751,496.0","9,860,957.0","10,001,717.0","10,054,672.0","10,176,024.0","10,215,991.0","10,247,817.0","10,292,726.0","10,364,820.0","10,457,933.0","10,648,027.0","10,776,582.0","10,844,579.0","10,958,813.0","11,118,854.0","11,279,715.0","11,397,474.0","11,554,481.0","11,710,403.0","11,885,463.0","12,078,555.0","12,231,423.0","12,366,002.0","12,543,932.0","12,757,202.0","12,840,682.0","13,087,778.0","13,133,554.0","13,216,129.0","13,164,734.0","13,224,521.0","13,209,368.0","13,255,441.0","13,397,587.0","13,490,069.0","13,570,960.0","13,621,626.0","13,676,578.0","13,828,112.0","14,039,396.0","14,204,358.0","14,306,284.0","14,466,204.0","14,603,651.0","14,740,447.0","14,897,212.0","14,965,980.0","15,086,701.0","15,195,098.0","15,362,506.0","15,405,679.0","15,441,999.0","15,489,139.0","15,515,582.0","15,610,046.0","15,653,086.0","15,624,423.0","15,526,058.0","15,522,302.0","15,415,593.0","15,103,901.0","14,820,556.0","14,717,856.0","14,781,804.0","14,920,362.0","15,011,452.0","15,215,362.0","15,348,518.0","15,402,547.0","15,354,037.0","15,451,563.0","15,498,413.0","15,700,490.0","15,822,410.0","15,864,386.0","15,971,419.0","15,950,799.0","16,005,830.0","16,104,058.0","16,258,492.0"
"31","9","    Final sales to domestic purchasers \2\","A713RX1","4,782,056.0","4,800,834.0","4,828,596.0","4,818,877.0","4,827,408.0","4,811,851.0","4,855,210.0","4,847,737.0","4,902,559.0","4,956,310.0","4,993,782.0","5,057,435.0","5,139,087.0","5,220,082.0","5,254,760.0","5,377,766.0","5,483,486.0","5,483,543.0","5,477,203.0","5,466,904.0","5,440,957.0","5,448,433.0","5,448,233.0","5,355,217.0","5,345,572.0","5,382,252.0","5,469,614.0","5,533,989.0","5,640,303.0","5,674,578.0","5,716,024.0","5,807,270.0","5,893,042.0","5,978,462.0","6,029,788.0","6,101,328.0","6,134,405.0","6,325,005.0","6,384,099.0","6,453,916.0","6,473,589.0","6,477,008.0","6,539,524.0","6,546,444.0","6,543,739.0","6,355,908.0","6,392,091.0","6,488,078.0","6,537,579.0","6,550,805.0","6,561,863.0","6,542,573.0","6,528,090.0","6,513,418.0","6,525,151.0","6,621,510.0","6,700,768.0","6,840,462.0","7,004,000.0","7,116,046.0","7,210,106.0","7,357,154.0","7,430,965.0","7,544,410.0","7,653,812.0","7,752,082.0","7,874,720.0","7,919,285.0","7,978,148.0","8,066,553.0","8,187,768.0","8,221,282.0","8,207,710.0","8,315,523.0","8,404,196.0","8,435,456.0","8,517,601.0","8,591,391.0","8,645,454.0","8,757,768.0","8,788,302.0","8,845,133.0","8,941,674.0","8,956,498.0","9,050,888.0","9,043,375.0","9,053,028.0","8,989,395.0","8,940,005.0","8,998,614.0","9,021,387.0","9,018,633.0","9,156,929.0","9,239,983.0","9,330,395.0","9,439,251.0","9,451,417.0","9,534,453.0","9,629,853.0","9,749,409.0","9,817,190.0","9,909,160.0","10,003,631.0","10,094,682.0","10,151,284.0","10,218,951.0","10,298,090.0","10,361,221.0","10,471,223.0","10,631,028.0","10,715,680.0","10,813,504.0","10,920,826.0","11,009,926.0","11,203,499.0","11,307,318.0","11,428,947.0","11,668,553.0","11,825,204.0","12,014,732.0","12,140,976.0","12,326,232.0","12,498,094.0","12,652,534.0","12,822,610.0","12,979,452.0","13,067,126.0","13,153,579.0","13,204,674.0","13,241,172.0","13,248,846.0","13,354,741.0","13,404,615.0","13,468,480.0","13,542,123.0","13,589,789.0","13,641,776.0","13,829,849.0","14,032,825.0","14,159,808.0","14,251,776.0","14,385,028.0","14,533,301.0","14,664,850.0","14,787,618.0","14,932,690.0","15,067,619.0","15,099,037.0","15,286,100.0","15,323,328.0","15,360,540.0","15,446,813.0","15,493,781.0","15,557,788.0","15,601,447.0","15,603,702.0","15,546,711.0","15,552,427.0","15,435,332.0","15,176,925.0","14,972,841.0","14,908,121.0","14,984,356.0","14,965,538.0","14,998,372.0","15,164,021.0","15,227,954.0","15,342,268.0","15,332,070.0","15,402,445.0","15,508,890.0","15,610,218.0","15,720,376.0","15,797,859.0","15,882,820.0","15,939,652.0","15,958,598.0","16,040,966.0","16,130,866.0"
"32",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
