"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","Plus: Income receipts from the rest of the world","B645RC1","11,084.0","11,534.0","12,060.0","12,438.0","12,872.0","13,175.0","13,024.0","12,261.0","13,285.0","14,074.0","13,952.0","14,733.0","15,192.0","15,746.0","16,684.0","17,490.0","20,281.0","22,422.0","25,233.0","26,228.0","29,670.0","30,328.0","30,462.0","28,820.0","26,925.0","26,529.0","28,088.0","30,554.0","31,384.0","32,254.0","32,554.0","33,260.0","35,780.0","36,953.0","38,130.0","37,937.0","42,472.0","42,584.0","46,239.0","53,712.0","57,618.0","64,106.0","73,413.0","78,147.0","83,574.0","79,623.0","74,869.0","78,302.0","85,740.0","89,746.0","95,908.0","96,702.0","98,324.0","107,183.0","101,450.0","97,016.0","93,804.0","98,792.0","105,241.0","109,690.0","114,835.0","123,208.0","127,291.0","122,125.0","112,635.0","114,332.0","110,019.0","113,660.0","116,479.0","112,127.0","109,209.0","107,480.0","112,383.0","121,378.0","125,897.0","133,485.0","145,471.0","146,475.0","153,453.0","163,066.0","171,439.0","179,764.0","178,658.0","180,934.0","183,763.0","184,516.0","184,722.0","202,387.0","186,772.0","167,995.0","161,533.0","157,152.0","154,791.0","157,094.0","148,901.0","147,421.0","151,953.0","154,392.0","157,408.0","158,646.0","165,410.0","176,125.0","190,956.0","205,681.0","221,248.0","231,694.0","229,869.0","236,521.0","240,530.0","239,222.0","245,764.0","260,100.0","270,174.0","283,013.0","286,111.0","280,986.0","289,855.0","293,271.0","282,138.0","281,853.0","295,235.0","310,987.0","330,557.0","348,903.0","363,341.0","386,129.0","379,632.0","401,656.0","361,356.0","337,998.0","310,245.0","291,634.0","299,720.0","313,935.0","330,255.0","319,310.0","334,096.0","345,471.0","357,488.0","387,406.0","421,108.0","437,316.0","459,113.0","488,253.0","538,566.0","554,206.0","585,092.0","625,291.0","661,920.0","719,501.0","744,608.0","770,726.0","802,952.0","869,048.0","911,590.0","918,577.0","905,950.0","899,439.0","876,133.0","745,482.0","628,875.0","616,339.0","640,535.0","689,022.0","696,452.0","711,863.0","720,531.0","751,245.0","772,543.0","804,456.0","822,295.0","811,979.0","818,037.0","814,449.0","812,007.0","829,808.0","813,276.0","816,972.0","822,017.0"
"22","3","Less: Income payments to the rest of the world","A655RC1","4,750.0","5,373.0","6,112.0","6,421.0","6,585.0","6,538.0","6,440.0","6,197.0","5,871.0","6,099.0","6,692.0","7,005.0","7,017.0","7,630.0","7,765.0","8,467.0","9,611.0","10,796.0","11,356.0","11,926.0","12,603.0","13,931.0","15,185.0","15,481.0","15,529.0","14,873.0","15,090.0","14,588.0","15,638.0","15,609.0","15,435.0","15,383.0","15,015.0","16,204.0","17,245.0","19,168.0","20,379.0","23,835.0","25,349.0","29,121.0","31,938.0","34,655.0","37,319.0","41,649.0","45,585.0","43,812.0","40,455.0","49,776.0","54,337.0","59,733.0","63,214.0","59,073.0","62,332.0","66,255.0","66,423.0","62,923.0","59,753.0","62,051.0","67,374.0","70,010.0","77,795.0","85,669.0","89,935.0","88,901.0","86,944.0","86,663.0","87,525.0","88,056.0","94,320.0","96,633.0","91,031.0","95,484.0","98,015.0","103,245.0","108,132.0","113,801.0","120,482.0","123,659.0","133,291.0","140,403.0","149,043.0","158,098.0","154,362.0","150,135.0","154,244.0","152,892.0","157,585.0","151,900.0","147,315.0","139,437.0","136,423.0","123,931.0","122,058.0","125,038.0","119,691.0","117,112.0","113,940.0","122,912.0","120,394.0","137,162.0","137,149.0","152,351.0","168,766.0","184,446.0","190,598.0","198,267.0","210,231.0","205,206.0","202,369.0","209,294.0","219,017.0","227,808.0","246,234.0","251,543.0","262,254.0","263,845.0","263,677.0","269,944.0","271,749.0","268,809.0","273,148.0","283,601.0","306,019.0","314,387.0","332,567.0","352,307.0","350,344.0","347,512.0","320,853.0","288,288.0","283,418.0","201,459.0","248,533.0","281,390.0","283,425.0","255,477.0","283,073.0","280,656.0","292,576.0","295,976.0","311,224.0","352,452.0","363,504.0","418,262.0","434,706.0","461,467.0","481,787.0","551,082.0","585,595.0","648,243.0","686,682.0","702,450.0","733,437.0","777,321.0","762,697.0","722,869.0","724,222.0","714,157.0","673,176.0","623,638.0","506,344.0","496,731.0","474,021.0","508,958.0","493,012.0","506,685.0","520,796.0","535,724.0","524,205.0","554,245.0","550,088.0","539,668.0","570,007.0","555,708.0","564,389.0","572,798.0","575,867.0","570,135.0","559,076.0"
"23","4","Equals: Gross national product","A001RC1","1,001,753.0","1,017,522.0","1,037,964.0","1,046,758.0","1,059,815.0","1,076,747.0","1,095,045.0","1,097,526.0","1,145,226.0","1,167,330.0","1,187,573.0","1,201,313.0","1,241,982.0","1,278,238.0","1,302,756.0","1,341,046.0","1,391,350.0","1,429,221.0","1,450,690.0","1,493,371.0","1,511,721.0","1,550,617.0","1,578,673.0","1,616,343.0","1,630,949.0","1,668,104.0","1,726,810.0","1,781,833.0","1,840,255.0","1,873,589.0","1,907,619.0","1,956,290.0","2,013,299.0","2,080,914.0","2,143,272.0","2,187,485.0","2,230,781.0","2,355,312.0","2,419,756.0","2,506,750.0","2,557,236.0","2,625,361.0","2,706,483.0","2,767,204.0","2,834,512.0","2,835,749.0","2,894,457.0","3,022,051.0","3,163,195.0","3,197,258.0","3,293,891.0","3,321,158.0","3,309,794.0","3,372,203.0","3,402,093.0","3,441,896.0","3,514,366.0","3,620,579.0","3,730,117.0","3,835,796.0","3,949,806.0","4,052,530.0","4,124,725.0","4,180,823.0","4,262,692.0","4,329,957.0","4,417,048.0","4,478,700.0","4,538,493.0","4,570,729.0","4,637,792.0","4,681,382.0","4,750,589.0","4,839,582.0","4,918,262.0","5,042,342.0","5,115,590.0","5,230,509.0","5,319,633.0","5,435,361.0","5,549,731.0","5,650,078.0","5,735,834.0","5,794,224.0","5,920,332.0","6,006,268.0","6,056,620.0","6,073,796.0","6,094,303.0","6,172,146.0","6,243,510.0","6,312,491.0","6,413,506.0","6,524,328.0","6,615,731.0","6,727,834.0","6,786,168.0","6,861,045.0","6,941,207.0","7,054,299.0","7,164,492.0","7,293,592.0","7,374,416.0","7,497,865.0","7,575,915.0","7,638,320.0","7,726,137.0","7,830,774.0","7,931,274.0","8,091,426.0","8,185,754.0","8,319,333.0","8,425,964.0","8,583,374.0","8,715,576.0","8,805,423.0","8,915,875.0","9,018,029.0","9,156,876.0","9,338,657.0","9,472,433.0","9,588,852.0","9,743,253.0","9,966,768.0","10,066,908.0","10,317,524.0","10,393,097.0","10,529,478.0","10,553,004.0","10,691,269.0","10,671,129.0","10,792,832.0","10,888,464.0","10,970,543.0","11,086,646.0","11,169,514.0","11,281,778.0","11,436,188.0","11,693,288.0","11,909,887.0","12,101,315.0","12,268,368.0","12,465,011.0","12,633,805.0","12,920,011.0","13,068,404.0","13,309,849.0","13,457,536.0","13,726,164.0","13,874,161.0","13,968,401.0","14,136,645.0","14,304,466.0","14,516,219.0","14,720,749.0","14,885,662.0","14,854,634.0","15,002,384.0","15,047,269.0","14,668,563.0","14,503,754.0","14,461,675.0","14,550,882.0","14,744,183.0","14,875,928.0","15,084,341.0","15,249,490.0","15,447,203.0","15,491,243.0","15,712,146.0","15,884,046.0","16,091,010.0","16,289,611.0","16,419,182.0","16,603,653.0","16,677,312.0","16,772,730.0","16,907,857.0","17,175,877.0"
"24","5","Less: Consumption of fixed capital","A262RC1","120,457.0","123,462.0","126,288.0","129,245.0","132,182.0","135,213.0","138,293.0","141,443.0","144,569.0","147,528.0","150,313.0","153,052.0","156,127.0","159,022.0","162,388.0","166,049.0","170,242.0","175,077.0","180,430.0","186,569.0","193,626.0","201,606.0","210,347.0","219,090.0","227,680.0","234,963.0","241,095.0","246,409.0","250,771.0","255,805.0","261,719.0","268,544.0","276,176.0","284,101.0","292,186.0","300,871.0","309,925.0","319,686.0","329,983.0","340,659.0","352,194.0","364,476.0","377,338.0","390,519.0","404,216.0","418,468.0","433,185.0","448,164.0","463,319.0","478,260.0","492,396.0","506,207.0","519,551.0","531,067.0","539,993.0","546,652.0","551,308.0","556,606.0","563,380.0","570,889.0","580,015.0","589,250.0","598,973.0","609,098.0","620,076.0","630,888.0","642,135.0","653,514.0","664,953.0","676,598.0","687,818.0","699,283.0","709,816.0","721,229.0","733,697.0","747,066.0","761,583.0","775,627.0","789,362.0","802,976.0","816,406.0","829,732.0","842,790.0","855,513.0","868,244.0","880,751.0","893,272.0","905,048.0","917,236.0","927,766.0","936,599.0","942,900.0","947,429.0","954,581.0","963,015.0","973,874.0","985,783.0","997,741.0","1,009,297.0","1,021,572.0","1,033,169.0","1,046,766.0","1,062,432.0","1,079,923.0","1,099,521.0","1,116,078.0","1,131,259.0","1,144,277.0","1,156,013.0","1,168,345.0","1,182,337.0","1,197,384.0","1,214,240.0","1,231,658.0","1,248,466.0","1,265,454.0","1,281,947.0","1,300,142.0","1,319,343.0","1,339,652.0","1,360,197.0","1,385,083.0","1,412,774.0","1,445,391.0","1,481,171.0","1,508,918.0","1,528,140.0","1,538,730.0","1,570,810.0","1,598,725.0","1,615,953.0","1,630,427.0","1,640,168.0","1,652,512.0","1,669,276.0","1,686,319.0","1,701,964.0","1,716,489.0","1,735,005.0","1,755,423.0","1,783,255.0","1,813,170.0","1,846,081.0","1,884,290.0","1,922,025.0","1,959,330.0","2,000,928.0","2,045,542.0","2,082,213.0","2,119,070.0","2,152,752.0","2,190,041.0","2,227,439.0","2,253,666.0","2,276,470.0","2,299,826.0","2,327,744.0","2,353,002.0","2,379,699.0","2,393,049.0","2,385,637.0","2,366,950.0","2,355,166.0","2,365,772.0","2,369,828.0","2,374,946.0","2,382,463.0","2,399,128.0","2,417,882.0","2,443,394.0","2,465,084.0","2,483,931.0","2,507,611.0","2,533,706.0","2,555,134.0","2,575,007.0","2,603,826.0","2,631,876.0","2,659,623.0"
"25","6","  Private","A024RC1","86,068.0","88,342.0","90,571.0","92,752.0","94,886.0","97,089.0","99,359.0","101,698.0","104,104.0","106,479.0","108,822.0","111,134.0","113,413.0","115,956.0","118,762.0","121,831.0","125,163.0","129,026.0","133,421.0","138,345.0","143,802.0","149,727.0","156,119.0","162,981.0","170,311.0","176,634.0","181,954.0","186,264.0","189,571.0","193,669.0","198,561.0","204,248.0","210,725.0","217,475.0","224,498.0","231,796.0","239,367.0","247,494.0","256,178.0","265,420.0","275,217.0","285,342.0","295,793.0","306,569.0","317,671.0","329,034.0","340,657.0","352,540.0","364,687.0","376,442.0","387,809.0","398,782.0","409,367.0","418,010.0","424,713.0","429,477.0","432,297.0","436,021.0","440,648.0","446,178.0","452,610.0","459,546.0","466,985.0","474,929.0","483,374.0","491,968.0","500,708.0","509,594.0","518,628.0","527,419.0","535,968.0","544,275.0","552,340.0","561,152.0","570,713.0","581,022.0","592,078.0","602,991.0","613,757.0","624,378.0","634,857.0","645,138.0","655,224.0","665,113.0","674,807.0","684,356.0","693,755.0","703,014.0","712,126.0","719,862.0","726,222.0","731,206.0","734,814.0","739,994.0","746,749.0","755,076.0","764,977.0","774,933.0","784,945.0","795,012.0","805,134.0","816,859.0","830,189.0","845,119.0","861,653.0","876,638.0","890,074.0","901,959.0","912,296.0","923,925.0","936,850.0","951,069.0","966,582.0","982,183.0","997,872.0","1,013,648.0","1,029,513.0","1,046,030.0","1,063,199.0","1,081,022.0","1,099,496.0","1,121,452.0","1,146,893.0","1,175,815.0","1,208,221.0","1,232,522.0","1,248,726.0","1,256,827.0","1,287,026.0","1,313,170.0","1,328,947.0","1,341,636.0","1,349,342.0","1,359,619.0","1,374,083.0","1,389,015.0","1,401,610.0","1,413,241.0","1,428,595.0","1,446,031.0","1,470,097.0","1,494,449.0","1,520,659.0","1,551,989.0","1,584,936.0","1,616,004.0","1,650,795.0","1,689,457.0","1,721,352.0","1,751,082.0","1,778,972.0","1,808,631.0","1,837,506.0","1,857,451.0","1,873,967.0","1,890,972.0","1,911,700.0","1,930,318.0","1,949,602.0","1,955,869.0","1,944,437.0","1,924,830.0","1,912,631.0","1,920,712.0","1,919,662.0","1,918,944.0","1,921,933.0","1,933,593.0","1,947,294.0","1,967,148.0","1,984,054.0","1,999,266.0","2,018,684.0","2,040,958.0","2,059,792.0","2,077,568.0","2,103,307.0","2,128,499.0","2,153,477.0"
"26","7","    Domestic business","W276RC1","71,384.0","73,254.0","75,133.0","77,022.0","78,920.0","80,828.0","82,744.0","84,668.0","86,601.0","88,498.0","90,360.0","92,185.0","93,975.0","95,961.0","98,144.0","100,523.0","103,099.0","106,156.0","109,697.0","113,720.0","118,226.0","123,183.0","128,592.0","134,452.0","140,763.0","146,146.0","150,600.0","154,126.0","156,723.0","159,950.0","163,808.0","168,295.0","173,412.0","178,698.0","184,151.0","189,771.0","195,560.0","201,861.0","208,676.0","216,004.0","223,845.0","231,989.0","240,437.0","249,189.0","258,244.0","267,681.0","277,501.0","287,702.0","298,285.0","308,590.0","318,616.0","328,364.0","337,833.0","345,495.0","351,351.0","355,400.0","357,643.0","360,592.0","364,248.0","368,610.0","373,678.0","379,295.0","385,459.0","392,172.0","399,433.0","406,667.0","413,873.0","421,052.0","428,203.0","435,037.0","441,554.0","447,754.0","453,637.0","460,330.0","467,832.0","476,145.0","485,268.0","494,177.0","502,871.0","511,351.0","519,617.0","527,814.0","535,945.0","544,008.0","552,004.0","559,943.0","567,827.0","575,655.0","583,426.0","589,869.0","594,981.0","598,764.0","601,217.0","604,868.0","609,716.0","615,763.0","623,006.0","630,397.0","637,934.0","645,618.0","653,449.0","662,818.0","673,726.0","686,171.0","700,155.0","712,790.0","724,077.0","734,015.0","742,605.0","752,342.0","763,224.0","775,253.0","788,428.0","801,501.0","814,474.0","827,345.0","840,115.0","853,341.0","867,022.0","881,159.0","895,751.0","913,278.0","933,741.0","957,138.0","983,470.0","1,003,219.0","1,016,386.0","1,022,969.0","1,045,827.0","1,065,066.0","1,074,878.0","1,084,293.0","1,089,762.0","1,095,737.0","1,105,837.0","1,114,249.0","1,119,279.0","1,126,208.0","1,135,656.0","1,145,197.0","1,160,612.0","1,176,048.0","1,192,526.0","1,214,509.0","1,238,733.0","1,260,674.0","1,282,706.0","1,310,739.0","1,334,139.0","1,357,125.0","1,379,645.0","1,404,319.0","1,427,684.0","1,444,877.0","1,458,552.0","1,473,819.0","1,494,389.0","1,513,610.0","1,535,597.0","1,545,632.0","1,537,769.0","1,521,810.0","1,512,168.0","1,517,793.0","1,517,386.0","1,519,431.0","1,522,673.0","1,532,702.0","1,545,810.0","1,564,676.0","1,580,858.0","1,594,904.0","1,613,906.0","1,633,724.0","1,648,415.0","1,661,415.0","1,680,591.0","1,698,913.0","1,715,774.0"
"27","8","      Capital consumption allowances","Y0000C1","77,100.0","78,902.0","80,599.0","82,191.0","83,679.0","85,148.0","86,599.0","88,031.0","88,948.0","91,095.0","93,410.0","95,918.0","98,642.0","101,198.0","103,604.0","105,875.0","108,023.0","110,425.0","113,087.0","116,010.0","119,207.0","122,380.0","125,534.0","128,662.0","131,813.0","134,690.0","137,360.0","139,833.0","142,042.0","145,092.0","148,913.0","153,518.0","158,955.0","164,319.0","169,660.0","174,986.0","180,222.0","186,006.0","192,255.0","198,958.0","206,373.0","213,137.0","219,521.0","225,541.0","230,630.0","238,992.0","250,031.0","263,716.0","280,910.0","295,539.0","308,469.0","319,691.0","328,380.0","338,072.0","347,971.0","358,145.0","369,024.0","379,878.0","391,044.0","402,462.0","414,018.0","427,294.0","442,213.0","458,756.0","476,839.0","490,786.0","500,474.0","505,830.0","507,465.0","509,669.0","513,117.0","517,877.0","522,874.0","529,385.0","536,321.0","543,740.0","552,070.0","559,934.0","567,669.0","575,143.0","583,251.0","588,614.0","592,211.0","594,088.0","593,000.0","594,223.0","596,545.0","600,100.0","605,337.0","609,792.0","613,834.0","617,425.0","620,632.0","625,014.0","630,618.0","637,359.0","645,332.0","653,950.0","663,223.0","673,155.0","683,751.0","695,148.0","707,346.0","720,344.0","734,142.0","747,568.0","760,623.0","773,311.0","785,636.0","799,647.0","815,337.0","832,695.0","851,708.0","869,428.0","885,886.0","901,102.0","915,083.0","931,210.0","949,471.0","969,836.0","992,246.0","1,013,825.0","1,034,613.0","1,054,640.0","1,073,930.0","1,090,499.0","1,104,343.0","1,115,452.0","1,140,103.0","1,158,446.0","1,189,121.0","1,232,824.0","1,282,735.0","1,285,583.0","1,286,570.0","1,284,596.0","1,269,148.0","1,306,672.0","1,319,613.0","1,326,318.0","1,322,481.0","1,330,892.0","1,339,530.0","1,348,497.0","1,158,419.0","1,168,114.0","1,179,256.0","1,191,015.0","1,230,139.0","1,243,580.0","1,256,673.0","1,269,736.0","1,304,422.0","1,319,703.0","1,337,400.0","1,358,463.0","1,559,313.0","1,580,156.0","1,595,745.0","1,603,497.0","1,562,028.0","1,558,660.0","1,556,488.0","1,557,036.0","1,533,776.0","1,531,849.0","1,598,855.0","1,735,284.0","1,801,543.0","1,829,262.0","1,851,215.0","1,866,967.0","1,577,318.0","1,588,266.0","1,600,195.0","1,614,082.0","1,650,568.0","1,666,140.0","1,681,406.0"
"28","9","      Less: Capital consumption adjustment","Y0004C1","5,716.0","5,649.0","5,466.0","5,169.0","4,758.0","4,320.0","3,855.0","3,363.0","2,347.0","2,597.0","3,051.0","3,733.0","4,667.0","5,237.0","5,460.0","5,352.0","4,924.0","4,268.0","3,390.0","2,290.0","982.0","-803.0","-3,057.0","-5,789.0","-8,950.0","-11,456.0","-13,241.0","-14,293.0","-14,681.0","-14,859.0","-14,895.0","-14,777.0","-14,458.0","-14,378.0","-14,490.0","-14,786.0","-15,338.0","-15,855.0","-16,421.0","-17,045.0","-17,471.0","-18,852.0","-20,917.0","-23,648.0","-27,615.0","-28,690.0","-27,470.0","-23,986.0","-17,376.0","-13,051.0","-10,148.0","-8,673.0","-9,453.0","-7,423.0","-3,380.0","2,744.0","11,381.0","19,286.0","26,796.0","33,852.0","40,340.0","47,999.0","56,753.0","66,583.0","77,406.0","84,119.0","86,601.0","84,778.0","79,262.0","74,632.0","71,563.0","70,123.0","69,237.0","69,056.0","68,488.0","67,594.0","66,802.0","65,757.0","64,797.0","63,792.0","63,634.0","60,800.0","56,266.0","50,080.0","40,996.0","34,279.0","28,719.0","24,446.0","21,911.0","19,923.0","18,853.0","18,661.0","19,415.0","20,147.0","20,902.0","21,597.0","22,326.0","23,553.0","25,289.0","27,536.0","30,302.0","32,330.0","33,620.0","34,173.0","33,988.0","34,778.0","36,546.0","39,296.0","43,031.0","47,306.0","52,113.0","57,442.0","63,280.0","67,927.0","71,412.0","73,757.0","74,968.0","77,869.0","82,450.0","88,677.0","96,495.0","100,547.0","100,872.0","97,502.0","90,459.0","87,280.0","87,958.0","92,483.0","94,276.0","93,381.0","114,243.0","148,531.0","192,973.0","189,847.0","180,733.0","170,348.0","149,869.0","180,463.0","183,957.0","181,122.0","161,869.0","154,844.0","147,004.0","133,987.0","-80,314.0","-92,560.0","-103,449.0","-119,725.0","-103,999.0","-113,545.0","-122,972.0","-134,584.0","-123,262.0","-125,173.0","-121,152.0","-115,357.0","64,924.0","66,546.0","60,148.0","57,865.0","24,260.0","36,850.0","44,320.0","39,243.0","16,390.0","12,418.0","76,182.0","202,583.0","255,733.0","264,586.0","270,357.0","272,064.0","-36,589.0","-45,458.0","-48,220.0","-47,333.0","-30,023.0","-32,772.0","-34,368.0"
"29","10","    Households and institutions","W279RC1","14,683.0","15,089.0","15,438.0","15,730.0","15,966.0","16,261.0","16,616.0","17,030.0","17,503.0","17,981.0","18,463.0","18,949.0","19,439.0","19,995.0","20,618.0","21,308.0","22,065.0","22,870.0","23,724.0","24,626.0","25,577.0","26,544.0","27,529.0","28,530.0","29,549.0","30,489.0","31,353.0","32,138.0","32,847.0","33,720.0","34,754.0","35,951.0","37,312.0","38,778.0","40,349.0","42,025.0","43,807.0","45,632.0","47,502.0","49,415.0","51,374.0","53,354.0","55,356.0","57,380.0","59,426.0","61,352.0","63,156.0","64,839.0","66,402.0","67,852.0","69,192.0","70,419.0","71,534.0","72,516.0","73,362.0","74,076.0","74,654.0","75,429.0","76,401.0","77,567.0","78,932.0","80,251.0","81,526.0","82,755.0","83,942.0","85,301.0","86,835.0","88,543.0","90,424.0","92,382.0","94,413.0","96,521.0","98,703.0","100,823.0","102,881.0","104,877.0","106,810.0","108,813.0","110,886.0","113,028.0","115,240.0","117,324.0","119,279.0","121,105.0","122,803.0","124,412.0","125,930.0","127,360.0","128,699.0","129,994.0","131,241.0","132,442.0","133,597.0","135,127.0","137,033.0","139,315.0","141,971.0","144,537.0","147,010.0","149,394.0","151,685.0","154,041.0","156,462.0","158,948.0","161,499.0","163,848.0","165,997.0","167,944.0","169,690.0","171,584.0","173,626.0","175,816.0","178,154.0","180,682.0","183,397.0","186,303.0","189,398.0","192,689.0","196,178.0","199,863.0","203,744.0","208,174.0","213,152.0","218,676.0","224,749.0","229,304.0","232,340.0","233,858.0","241,199.0","248,105.0","254,069.0","257,343.0","259,580.0","263,883.0","268,246.0","274,767.0","282,332.0","287,032.0","292,938.0","300,835.0","309,485.0","318,402.0","328,133.0","337,479.0","346,202.0","355,331.0","368,090.0","378,717.0","387,213.0","393,957.0","399,326.0","404,311.0","409,821.0","412,575.0","415,415.0","417,152.0","417,311.0","416,707.0","414,004.0","410,237.0","406,669.0","403,022.0","400,463.0","402,919.0","402,277.0","399,512.0","399,260.0","400,891.0","401,483.0","402,473.0","403,196.0","404,365.0","404,778.0","407,234.0","411,376.0","416,152.0","422,715.0","429,587.0","437,701.0"
"30","11","  Government","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","470,588.0","476,246.0","481,030.0","484,665.0","488,927.0","492,748.0","495,342.0","497,439.0","500,519.0","503,377.0","506,146.0"
"31","12","    General government","A265RC1","32,277.0","32,953.0","33,494.0","34,196.0","34,938.0","35,692.0","36,427.0","37,166.0","37,809.0","38,306.0","38,661.0","38,997.0","39,706.0","39,994.0","40,473.0","40,986.0","41,738.0","42,598.0","43,449.0","44,551.0","45,972.0","47,783.0","49,800.0","51,437.0","52,493.0","53,322.0","54,015.0","54,890.0","55,851.0","56,653.0","57,586.0","58,619.0","59,660.0","60,711.0","61,595.0","62,859.0","64,216.0","65,637.0","67,038.0","68,284.0","69,821.0","71,717.0","73,834.0","75,934.0","78,246.0","80,838.0","83,581.0","86,359.0","89,073.0","91,978.0","94,440.0","97,095.0","99,695.0","102,290.0","104,257.0","106,019.0","107,713.0","109,148.0","111,155.0","113,033.0","115,557.0","117,638.0","119,717.0","121,710.0","124,019.0","126,074.0","128,450.0","130,725.0","132,924.0","135,522.0","137,976.0","140,881.0","143,195.0","145,583.0","148,243.0","151,107.0","154,338.0","157,155.0","159,825.0","162,555.0","165,290.0","168,021.0","170,654.0","173,263.0","176,052.0","178,654.0","181,433.0","183,775.0","186,645.0","189,188.0","191,378.0","192,551.0","193,314.0","194,961.0","196,333.0","198,532.0","200,143.0","201,767.0","203,138.0","205,004.0","206,066.0","207,654.0","209,716.0","212,009.0","214,740.0","215,993.0","217,414.0","218,199.0","219,410.0","219,921.0","220,748.0","221,321.0","222,706.0","224,250.0","225,172.0","226,146.0","226,541.0","227,945.0","229,612.0","231,678.0","233,340.0","235,824.0","237,697.0","240,855.0","243,755.0","246,614.0","249,186.0","251,252.0","252,814.0","254,295.0","255,450.0","256,906.0","258,531.0","260,198.0","262,132.0","263,917.0","266,442.0","268,901.0","271,640.0","274,122.0","277,286.0","281,826.0","287,364.0","293,125.0","297,410.0","302,739.0","308,546.0","313,778.0","317,956.0","323,935.0","328,950.0","335,466.0","343,156.0","348,682.0","354,174.0","359,685.0","366,141.0","372,182.0","378,819.0","385,050.0","388,776.0","389,869.0","390,133.0","392,237.0","396,904.0","402,053.0","405,848.0","410,211.0","414,741.0","419,663.0","423,656.0","426,566.0","430,268.0","433,524.0","435,622.0","437,283.0","439,231.0","441,523.0","443,825.0"
