"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 20, 2013 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/19/2013 11:45:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","    Gross domestic product","A191RX1","4,707,931.0","4,717,667.0","4,873,010.0","5,128,774.0","5,418,206.0","5,390,187.0","5,379,527.0","5,669,275.0","5,930,551.0","6,260,390.0","6,459,211.0","6,443,411.0","6,610,640.0","6,484,313.0","6,784,705.0","7,277,229.0","7,585,699.0","7,852,072.0","8,123,937.0","8,465,447.0","8,776,978.0","8,945,439.0","8,938,883.0","9,256,661.0","9,510,774.0","9,894,702.0","10,163,690.0","10,549,488.0","11,022,879.0","11,513,417.0","12,071,355.0","12,565,164.0","12,684,428.0","12,909,717.0","13,270,043.0","13,773,988.0","14,235,557.0","14,615,196.0","14,876,787.0","14,833,557.0","14,417,943.0","14,779,350.0","15,052,373.0","15,470,712.0"
"20","2","Personal consumption expenditures","DPCERX1","2,836,286.0","2,903,076.0","3,013,869.0","3,198,714.0","3,357,287.0","3,329,593.0","3,405,164.0","3,595,080.0","3,746,552.0","3,911,304.0","4,004,188.0","3,991,552.0","4,050,837.0","4,108,429.0","4,342,644.0","4,571,649.0","4,812,007.0","5,014,097.0","5,183,705.0","5,400,537.0","5,558,152.0","5,672,732.0","5,685,690.0","5,896,624.0","6,101,464.0","6,338,113.0","6,527,681.0","6,755,710.0","7,009,990.0","7,384,842.0","7,788,142.0","8,182,101.0","8,387,516.0","8,600,363.0","8,866,170.0","9,205,644.0","9,527,791.0","9,814,874.0","10,035,540.0","9,999,243.0","9,842,939.0","10,035,856.0","10,291,309.0","10,517,605.0"
"21","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,460,874.0","2,588,250.0","2,666,644.0","2,770,177.0","2,904,451.0","3,051,921.0","3,177,160.0","3,292,529.0","3,381,763.0","3,297,792.0","3,198,444.0","3,308,651.0","3,419,922.0","3,534,113.0"
"22","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","698,312.0","758,332.0","798,016.0","856,587.0","917,639.0","992,924.0","1,046,946.0","1,091,545.0","1,141,662.0","1,083,235.0","1,023,318.0","1,085,658.0","1,157,111.0","1,246,735.0"
"23","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,805,974.0","1,863,598.0","1,896,024.0","1,931,107.0","1,998,542.0","2,063,650.0","2,132,331.0","2,202,167.0","2,239,326.0","2,214,659.0","2,175,126.0","2,223,535.0","2,265,971.0","2,296,795.0"
"24","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,344,758.0","5,611,558.0","5,736,252.0","5,839,992.0","5,965,617.0","6,154,108.0","6,349,438.0","6,519,763.0","6,650,409.0","6,700,632.0","6,644,495.0","6,727,177.0","6,871,126.0","6,982,672.0"
"25","7","Gross private domestic investment","A006RX1","623,085.0","585,202.0","645,508.0","718,221.0","796,808.0","744,038.0","623,509.0","742,501.0","848,436.0","946,582.0","979,759.0","881,172.0","958,731.0","833,687.0","911,494.0","1,160,252.0","1,159,513.0","1,161,347.0","1,194,352.0","1,223,839.0","1,273,397.0","1,240,585.0","1,158,787.0","1,243,658.0","1,343,103.0","1,502,262.0","1,550,819.0","1,686,685.0","1,878,974.0","2,058,332.0","2,231,373.0","2,375,521.0","2,231,448.0","2,218,239.0","2,308,697.0","2,511,347.0","2,672,592.0","2,730,043.0","2,644,139.0","2,395,978.0","1,878,115.0","2,120,413.0","2,224,609.0","2,436,016.0"
"26","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,165,903.0","2,316,219.0","2,280,015.0","2,201,149.0","2,289,484.0","2,443,860.0","2,610,951.0","2,662,480.0","2,609,597.0","2,432,589.0","2,025,684.0","2,056,155.0","2,184,589.0","2,365,302.0"
"27","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,510,100.0","1,647,665.0","1,608,394.0","1,497,996.0","1,526,089.0","1,605,364.0","1,717,445.0","1,839,554.0","1,948,398.0","1,934,445.0","1,633,442.0","1,673,797.0","1,800,456.0","1,931,765.0"
"28","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494,868.0","533,480.0","525,392.0","432,548.0","415,840.0","414,120.0","421,230.0","451,488.0","509,046.0","540,186.0","438,211.0","366,277.0","374,057.0","421,612.0"
