"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","Less: Income payments to the rest of the world","A655RC1","374.0","332.0","252.0","164.0","138.0","159.0","181.0","308.0","359.0","261.0","310.0","330.0","315.0","297.0","368.0","434.0","491.0","440.0","487.0","575.0","664.0","746.0","864.0","872.0","944.0","944.0","1,058.0","1,137.0","1,213.0","1,241.0","1,508.0","1,775.0","1,788.0","1,847.0","2,053.0","2,319.0","2,602.0","3,001.0","3,289.0","4,017.0","5,664.0"
"22","4","Equals: Gross national product","A001RC1","105,326.0","92,876.0","77,921.0","59,896.0","57,465.0","67,091.0","74,600.0","85,116.0","93,398.0","87,766.0","93,846.0","103,226.0","129,772.0","166,408.0","203,453.0","224,874.0","228,438.0","228,464.0","251,055.0","276,263.0","274,107.0","301,638.0","349,186.0","369,713.0","391,638.0","393,241.0","428,624.0","452,926.0","477,906.0","484,673.0","525,212.0","546,396.0","566,822.0","609,208.0","643,059.0","690,706.0","749,006.0","820,108.0","867,125.0","948,565.0","1,025,994.0"
"23","5","Less: Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"24","6","  Private","A024RC1","9,410.0","9,219.0","8,551.0","7,464.0","7,040.0","7,287.0","7,325.0","7,508.0","8,369.0","8,580.0","8,593.0","8,974.0","9,950.0","11,245.0","11,538.0","12,040.0","12,508.0","14,248.0","17,735.0","20,822.0","22,591.0","24,332.0","27,746.0","29,542.0","31,346.0","32,958.0","34,992.0","38,809.0","42,257.0","44,911.0","46,818.0","48,208.0","49,782.0","51,792.0","54,158.0","57,275.0","61,566.0","67,170.0","73,326.0","80,602.0","89,433.0"
"25","7","    Domestic business","W276RC1","8,107.0","7,929.0","7,374.0","6,500.0","6,101.0","6,248.0","6,290.0","6,420.0","7,156.0","7,326.0","7,321.0","7,640.0","8,471.0","9,639.0","9,806.0","10,161.0","10,493.0","11,948.0","14,764.0","17,397.0","18,933.0","20,358.0","23,178.0","24,585.0","26,070.0","27,368.0","28,931.0","32,160.0","35,193.0","37,532.0","39,029.0","40,034.0","41,286.0","42,946.0","44,870.0","47,393.0","50,904.0","55,637.0","60,881.0","66,962.0","74,198.0"
"26","8","      Capital consumption allowances","Y0000C1","6,566.0","6,655.0","6,607.0","6,143.0","5,805.0","5,674.0","5,722.0","5,852.0","6,033.0","6,167.0","6,282.0","6,499.0","7,196.0","8,325.0","8,897.0","9,814.0","10,295.0","8,985.0","11,107.0","13,142.0","15,010.0","16,553.0","18,848.0","20,696.0","23,054.0","25,297.0","28,301.0","30,826.0","33,508.0","35,262.0","37,485.0","39,735.0","41,731.0","46,588.0","49,870.0","53,162.0","56,988.0","61,865.0","66,885.0","72,533.0","79,698.0"
"27","9","      Less: Capital consumption adjustment","Y0004C1","-1,541.0","-1,274.0","-767.0","-357.0","-296.0","-574.0","-568.0","-568.0","-1,123.0","-1,159.0","-1,039.0","-1,141.0","-1,275.0","-1,314.0","-909.0","-347.0","-198.0","-2,963.0","-3,657.0","-4,255.0","-3,923.0","-3,805.0","-4,330.0","-3,889.0","-3,016.0","-2,071.0","-630.0","-1,334.0","-1,685.0","-2,270.0","-1,544.0","-299.0","445.0","3,642.0","5,000.0","5,769.0","6,084.0","6,228.0","6,004.0","5,571.0","5,500.0"
"28","10","    Households and institutions","W279RC1","1,303.0","1,290.0","1,177.0","964.0","939.0","1,039.0","1,035.0","1,088.0","1,213.0","1,254.0","1,272.0","1,334.0","1,479.0","1,606.0","1,732.0","1,879.0","2,015.0","2,300.0","2,971.0","3,425.0","3,658.0","3,974.0","4,568.0","4,957.0","5,276.0","5,590.0","6,061.0","6,649.0","7,064.0","7,379.0","7,789.0","8,174.0","8,496.0","8,846.0","9,288.0","9,882.0","10,662.0","11,533.0","12,445.0","13,640.0","15,235.0"
"29","11","  Government","A264RC1","968.0","967.0","941.0","850.0","951.0","1,119.0","1,137.0","1,275.0","1,379.0","1,450.0","1,498.0","1,593.0","2,104.0","3,648.0","6,475.0","9,340.0","10,686.0","11,523.0","11,465.0","10,571.0","9,746.0","9,098.0","10,012.0","11,076.0","12,134.0","13,023.0","13,893.0","15,316.0","16,656.0","17,514.0","18,620.0","19,685.0","20,825.0","22,309.0","23,845.0","25,104.0","26,414.0","28,123.0","30,193.0","32,722.0","35,430.0"
"30","12","    General government","A265RC1","840.0","834.0","808.0","725.0","815.0","944.0","972.0","1,087.0","1,167.0","1,223.0","1,266.0","1,348.0","1,831.0","3,352.0","6,185.0","9,031.0","10,378.0","11,183.0","11,066.0","10,108.0","9,260.0","8,587.0","9,424.0","10,433.0","11,449.0","12,305.0","13,129.0","14,459.0","15,721.0","16,530.0","17,596.0","18,596.0","19,670.0","21,074.0","22,532.0","23,706.0","24,911.0","26,488.0","28,417.0","30,761.0","33,230.0"
"31","13","    Government enterprises","A266RC1","128.0","133.0","133.0","125.0","136.0","175.0","165.0","188.0","212.0","227.0","232.0","245.0","273.0","296.0","290.0","309.0","308.0","340.0","399.0","463.0","486.0","511.0","588.0","643.0","685.0","718.0","764.0","857.0","935.0","984.0","1,024.0","1,089.0","1,155.0","1,235.0","1,313.0","1,398.0","1,503.0","1,635.0","1,776.0","1,961.0","2,200.0"
"32","14","Equals: Net national product","A027RC1","94,948.0","82,690.0","68,429.0","51,582.0","49,474.0","58,685.0","66,138.0","76,333.0","83,650.0","77,736.0","83,755.0","92,659.0","117,718.0","151,515.0","185,440.0","203,494.0","205,244.0","202,693.0","221,855.0","244,870.0","241,770.0","268,208.0","311,428.0","329,095.0","348,158.0","347,260.0","379,739.0","398,801.0","418,993.0","422,248.0","459,774.0","478,503.0","496,215.0","535,107.0","565,056.0","608,327.0","661,026.0","724,815.0","763,606.0","835,241.0","901,131.0"
"33","15","Less: Statistical discrepancy","A030RC1","733.0","-447.0","735.0","270.0","513.0","372.0","-234.0","1,180.0","-50.0","674.0","1,286.0","1,066.0","315.0","-908.0","-1,840.0","2,523.0","3,826.0","1,223.0","2,852.0","-270.0","1,721.0","1,249.0","3,420.0","2,569.0","3,767.0","2,879.0","2,111.0","-2,068.0","-391.0","614.0","147.0","-1,356.0","-978.0","-82.0","-1,518.0","-13.0","771.0","5,123.0","3,409.0","3,173.0","1,611.0"
"34","16","Equals: National income","A032RC1","94,215.0","83,137.0","67,694.0","51,312.0","48,961.0","58,313.0","66,372.0","75,153.0","83,700.0","77,062.0","82,469.0","91,593.0","117,403.0","152,423.0","187,280.0","200,971.0","201,418.0","201,470.0","219,003.0","245,140.0","240,049.0","266,959.0","308,008.0","326,526.0","344,391.0","344,381.0","377,628.0","400,869.0","419,384.0","421,634.0","459,627.0","479,859.0","497,193.0","535,189.0","566,574.0","608,340.0","660,255.0","719,692.0","760,197.0","832,068.0","899,520.0"
"35",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","10,833.0","7,498.0","2,951.0","-190.0","-175.0","2,517.0","4,018.0","6,230.0","7,052.0","5,008.0","6,592.0","9,872.0","15,693.0","20,789.0","24,900.0","24,972.0","20,452.0","18,243.0","24,164.0","31,393.0","29,058.0","36,059.0","41,198.0","39,665.0","40,294.0","39,460.0","50,168.0","49,646.0","49,140.0","43,857.0","55,514.0","54,680.0","55,945.0","64,043.0","70,508.0","77,708.0","89,289.0","96,122.0","93,866.0","101,747.0","98,416.0"
"37","18","  Taxes on production and imports less subsidies \1\","W254RC1","6,778.0","6,897.0","6,524.0","6,452.0","6,698.0","7,158.0","7,391.0","8,173.0","8,594.0","8,452.0","8,349.0","9,045.0","10,596.0","10,989.0","11,846.0","12,666.0","13,947.0","15,470.0","17,711.0","19,189.0","20,409.0","22,111.0","23,701.0","26,351.0","28,591.0","28,567.0","31,271.0","33,501.0","35,491.0","36,360.0","39,994.0","43,401.0","44,954.0","48,109.0","51,152.0","54,540.0","57,702.0","59,262.0","64,126.0","72,233.0","79,322.0"
"38","19","  Contributions for government social insurance, domestic","A061RC1","74.0","73.0","70.0","71.0","63.0","69.0","72.0","312.0","1,473.0","1,617.0","1,752.0","1,870.0","2,334.0","2,892.0","3,778.0","4,347.0","5,340.0","6,618.0","5,564.0","4,616.0","4,890.0","5,482.0","6,634.0","6,923.0","7,106.0","8,074.0","9,091.0","9,987.0","11,413.0","11,384.0","13,834.0","16,444.0","17,005.0","19,117.0","21,669.0","22,387.0","23,416.0","31,336.0","34,867.0","38,695.0","44,127.0"
"39","20","  Net interest and miscellaneous payments on assets","W255RC1","4,572.0","4,827.0","4,816.0","4,483.0","3,975.0","4,025.0","4,062.0","3,808.0","3,685.0","3,648.0","3,649.0","3,337.0","3,274.0","3,203.0","2,873.0","2,438.0","2,333.0","1,906.0","2,454.0","2,617.0","2,893.0","3,207.0","3,709.0","4,116.0","4,785.0","5,680.0","6,299.0","6,944.0","8,112.0","9,641.0","9,705.0","10,672.0","12,571.0","14,349.0","15,282.0","17,541.0","19,753.0","22,515.0","25,658.0","27,557.0","33,584.0"
"40","21","  Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","692.0","715.0","708.0","689.0","824.0","1,160.0","1,197.0","1,154.0","915.0","1,297.0","1,651.0","1,823.0","1,703.0","1,658.0","1,742.0","1,901.0","2,117.0","2,529.0","3,004.0","3,485.0","3,392.0","3,628.0","4,183.0","4,798.0"
"41","22","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"42","23","Plus: Personal income receipts on assets","W210RC1","12,625.0","11,911.0","10,499.0","8,602.0","7,628.0","8,267.0","8,537.0","10,035.0","10,352.0","8,756.0","9,416.0","9,701.0","10,235.0","10,044.0","10,447.0","10,866.0","11,681.0","13,577.0","15,401.0","16,792.0","17,922.0","20,656.0","21,438.0","22,499.0","24,588.0","26,593.0","29,397.0","32,444.0","35,554.0","37,319.0","40,576.0","44,335.0","47,150.0","51,620.0","55,995.0","62,455.0","68,739.0","74,162.0","79,837.0","87,300.0","98,686.0"
"43","24","Plus: Personal current transfer receipts","A577RC1","1,189.0","1,221.0","2,348.0","1,745.0","1,691.0","1,752.0","1,976.0","3,081.0","1,975.0","2,399.0","2,518.0","2,681.0","2,656.0","2,664.0","2,489.0","3,107.0","5,642.0","10,550.0","10,820.0","10,252.0","11,212.0","13,972.0","11,411.0","11,882.0","12,516.0","14,314.0","15,684.0","16,827.0","19,527.0","23,466.0","24,239.0","25,740.0","29,450.0","30,392.0","32,209.0","33,504.0","36,178.0","39,617.0","48,014.0","56,094.0","62,304.0"
"44","25","Equals: Personal income","A065RC1","85,261.0","76,507.0","65,642.0","50,264.0","47,204.0","54,061.0","60,836.0","69,213.0","74,699.0","69,082.0","73,626.0","79,400.0","97,870.0","126,713.0","156,177.0","169,709.0","175,778.0","182,668.0","194,616.0","213,661.0","211,244.0","233,904.0","264,455.0","282,655.0","299,565.0","302,592.0","324,583.0","348,411.0","368,486.0","379,474.0","403,193.0","422,532.0","441,082.0","469,087.0","492,839.0","528,356.0","570,847.0","620,572.0","665,748.0","730,743.0","800,258.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Gross domestic income","A261RC1","103,827.0","92,614.0","76,671.0","59,262.0","56,652.0","66,440.0","74,493.0","83,674.0","93,079.0","86,713.0","92,187.0","101,880.0","129,041.0","166,905.0","204,962.0","222,027.0","224,347.0","226,589.0","247,093.0","275,077.0","271,106.0","298,949.0","343,874.0","365,159.0","385,972.0","388,267.0","424,064.0","452,198.0","475,242.0","481,431.0","522,304.0","544,639.0","564,281.0","605,197.0","640,100.0","685,799.0","742,956.0","809,915.0","858,323.0","939,307.0","1,018,268.0"
"47","27","  Gross national income","A023RC1","104,593.0","93,323.0","77,186.0","59,626.0","56,952.0","66,719.0","74,834.0","83,936.0","93,448.0","87,092.0","92,560.0","102,160.0","129,457.0","167,316.0","205,293.0","222,351.0","224,612.0","227,241.0","248,203.0","276,533.0","272,386.0","300,389.0","345,766.0","367,144.0","387,871.0","390,362.0","426,513.0","454,994.0","478,297.0","484,059.0","525,065.0","547,752.0","567,800.0","609,290.0","644,577.0","690,719.0","748,235.0","814,985.0","863,716.0","945,392.0","1,024,383.0"
"48","28","  Gross national factor income \2\","X023RC1","97,304.0","85,959.0","70,124.0","52,595.0","49,739.0","59,059.0","66,937.0","75,230.0","84,330.0","78,230.0","83,776.0","92,664.0","118,334.0","155,782.0","192,805.0","208,873.0","209,774.0","211,079.0","229,777.0","256,636.0","251,288.0","277,454.0","320,905.0","339,596.0","358,126.0","360,880.0","393,945.0","419,842.0","440,983.0","445,996.0","482,869.0","502,146.0","520,610.0","558,685.0","590,097.0","632,412.0","686,368.0","752,059.0","795,807.0","868,672.0","940,258.0"
"49","29","  Net domestic product","A362RC1","94,182.0","81,981.0","67,914.0","51,218.0","49,174.0","58,406.0","65,797.0","76,071.0","83,281.0","77,357.0","83,382.0","92,379.0","117,302.0","151,104.0","185,109.0","203,170.0","204,979.0","202,041.0","220,745.0","243,414.0","240,490.0","266,768.0","309,536.0","327,110.0","346,259.0","345,165.0","377,290.0","396,005.0","415,938.0","419,620.0","457,013.0","475,390.0","492,696.0","531,014.0","560,579.0","603,407.0","655,747.0","719,745.0","758,213.0","829,156.0","895,016.0"
"50","30","  Net domestic income","W256RC1","93,449.0","82,428.0","67,179.0","50,948.0","48,661.0","58,034.0","66,031.0","74,891.0","83,331.0","76,683.0","82,096.0","91,313.0","116,987.0","152,012.0","186,949.0","200,647.0","201,153.0","200,818.0","217,893.0","243,684.0","238,769.0","265,519.0","306,116.0","324,541.0","342,492.0","342,286.0","375,179.0","398,073.0","416,329.0","419,006.0","456,866.0","476,746.0","493,674.0","531,096.0","562,097.0","603,420.0","654,976.0","714,622.0","754,804.0","825,983.0","893,405.0"
"51","31","  Net national factor income \3\","X032RC1","86,926.0","75,773.0","60,632.0","44,281.0","41,748.0","50,653.0","58,475.0","66,447.0","74,582.0","68,200.0","73,685.0","82,097.0","106,280.0","140,889.0","174,792.0","187,493.0","186,580.0","185,308.0","200,577.0","225,243.0","218,951.0","244,024.0","283,147.0","298,978.0","314,646.0","314,899.0","345,060.0","365,717.0","382,070.0","383,571.0","417,431.0","434,253.0","450,003.0","484,584.0","512,094.0","550,033.0","598,388.0","656,766.0","692,288.0","755,348.0","815,395.0"
"52","32","  Net domestic purchases","W367RC1","93,799.0","81,658.0","67,913.0","51,175.0","49,116.0","58,084.0","66,010.0","76,218.0","83,203.0","76,391.0","82,549.0","90,908.0","116,269.0","151,356.0","187,355.0","205,194.0","205,745.0","194,859.0","209,938.0","237,927.0","235,255.0","266,030.0","307,023.0","325,946.0","346,960.0","344,761.0","376,812.0","393,644.0","411,863.0","419,082.0","456,617.0","471,186.0","487,782.0","526,914.0","555,639.0","596,493.0","650,130.0","715,882.0","754,658.0","827,805.0","893,584.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","subsidies are included net of the current surplus of government enterprises in line 18.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2. Consists of compensation of employees, proprietors' income with inventory valuation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","3. Consists of gross national factor income less consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
