"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","15,189.0","14,372.0","11,658.0","9,055.0","7,670.0","7,046.0","8,145.0","8,939.0","10,915.0","9,895.0","10,674.0","9,347.0","10,627.0","9,784.0","9,573.0","10,279.0","9,726.0","11,111.0","14,507.0","17,269.0","16,724.0","18,471.0","22,239.0","22,828.0","22,262.0","23,553.0","26,306.0","28,629.0","30,114.0","26,748.0","28,622.0","32,217.0","34,616.0","37,822.0","40,961.0","44,638.0","47,282.0","46,812.0","48,864.0","54,235.0","60,282.0"
"21","3","Less: Income payments to the rest of the world","A655RX1","4,881.0","4,553.0","3,777.0","2,778.0","2,480.0","2,623.0","2,860.0","4,681.0","4,917.0","3,680.0","4,146.0","4,210.0","3,840.0","3,448.0","4,132.0","4,603.0","5,104.0","3,978.0","4,080.0","4,466.0","5,080.0","5,578.0","6,106.0","6,218.0","6,587.0","6,630.0","7,276.0","7,571.0","7,803.0","7,962.0","9,361.0","10,851.0","10,895.0","11,019.0","12,163.0","13,500.0","14,749.0","16,400.0","17,462.0","20,320.0","27,091.0"
"22","4","Equals: Gross national product","A001RX1","1,065,865.0","975,463.0","912,086.0","794,068.0","783,290.0","866,695.0","944,280.0","1,065,047.0","1,120,564.0","1,083,886.0","1,170,183.0","1,271,721.0","1,497,614.0","1,779,438.0","2,081,212.0","2,247,284.0","2,224,732.0","1,969,326.0","1,950,603.0","2,033,240.0","2,021,133.0","2,197,457.0","2,376,426.0","2,473,072.0","2,587,706.0","2,574,196.0","2,758,361.0","2,818,568.0","2,878,539.0","2,854,566.0","3,050,772.0","3,130,350.0","3,211,906.0","3,409,779.0","3,558,962.0","3,764,797.0","4,008,845.0","4,269,419.0","4,386,711.0","4,602,757.0","4,745,177.0"
"23","5","Less: Consumption of fixed capital","A262RX1","102,315.0","104,720.0","104,817.0","102,509.0","100,109.0","98,458.0","98,953.0","100,716.0","103,938.0","105,748.0","107,182.0","109,933.0","116,580.0","130,287.0","151,500.0","176,113.0","191,927.0","194,648.0","192,275.0","192,640.0","194,856.0","198,785.0","206,441.0","216,966.0","229,580.0","241,645.0","252,649.0","263,997.0","275,703.0","288,744.0","298,205.0","307,574.0","319,378.0","333,060.0","348,830.0","365,662.0","385,542.0","408,844.0","432,980.0","456,683.0","480,649.0"
"24","6","  Private","A024RX1","99,019.0","100,998.0","100,408.0","97,390.0","94,360.0","92,147.0","92,071.0","93,107.0","95,730.0","96,779.0","97,422.0","99,381.0","102,796.0","103,721.0","101,289.0","99,925.0","100,746.0","105,984.0","114,928.0","124,119.0","131,607.0","138,686.0","145,623.0","151,260.0","158,192.0","165,379.0","173,216.0","181,618.0","189,776.0","199,042.0","204,305.0","208,963.0","215,899.0","223,947.0","233,957.0","245,292.0","260,132.0","277,795.0","295,067.0","312,102.0","330,672.0"
"25","7","  Government","A264RX1","9,219.0","9,755.0","10,399.0","10,947.0","11,396.0","11,774.0","12,290.0","13,017.0","13,734.0","14,517.0","15,312.0","16,198.0","19,536.0","31,954.0","55,712.0","82,970.0","99,470.0","96,535.0","83,816.0","73,664.0","67,375.0","63,405.0","63,900.0","69,336.0","75,657.0","81,026.0","84,338.0","87,365.0","91,111.0","95,068.0","99,726.0","105,023.0","110,384.0","116,572.0","122,805.0","128,675.0","133,868.0","139,629.0","146,820.0","153,790.0","159,198.0"
"26","8","    General government","A265RX1","7,575.0","7,995.0","8,512.0","8,938.0","9,308.0","9,638.0","10,101.0","10,732.0","11,328.0","11,987.0","12,649.0","13,389.0","16,535.0","28,530.0","51,547.0","78,009.0","94,097.0","91,227.0","78,809.0","68,802.0","62,537.0","58,483.0","58,803.0","63,895.0","69,906.0","74,965.0","78,021.0","80,773.0","84,213.0","87,856.0","92,145.0","97,004.0","101,907.0","107,607.0","113,360.0","118,740.0","123,432.0","128,667.0","135,272.0","141,596.0","146,374.0"
"27","9","    Government enterprises","A266RX1","2,176.0","2,339.0","2,515.0","2,688.0","2,790.0","2,847.0","2,904.0","3,020.0","3,180.0","3,341.0","3,516.0","3,707.0","3,872.0","3,956.0","3,982.0","3,980.0","3,938.0","3,955.0","3,999.0","4,143.0","4,302.0","4,530.0","4,743.0","5,032.0","5,254.0","5,503.0","5,739.0","6,006.0","6,293.0","6,584.0","6,926.0","7,341.0","7,778.0","8,231.0","8,671.0","9,136.0","9,635.0","10,148.0","10,699.0","11,330.0","11,979.0"
"28","10","Equals: Net national product","A027RX1","973,377.0","879,290.0","814,863.0","697,211.0","688,854.0","775,947.0","854,716.0","976,163.0","1,029,367.0","989,507.0","1,076,721.0","1,178,132.0","1,403,283.0","1,677,550.0","1,963,160.0","2,104,038.0","2,061,191.0","1,795,554.0","1,779,102.0","1,864,039.0","1,848,721.0","2,026,616.0","2,202,658.0","2,289,464.0","2,392,254.0","2,362,561.0","2,539,720.0","2,587,484.0","2,634,389.0","2,591,976.0","2,783,933.0","2,854,448.0","2,923,851.0","3,111,758.0","3,246,357.0","3,438,389.0","3,666,131.0","3,906,645.0","3,997,791.0","4,191,712.0","4,309,180.0"
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","1,048,228.0","970,491.0","895,480.0","783,993.0","770,671.0","856,627.0","941,162.0","1,044,880.0","1,114,185.0","1,068,420.0","1,146,604.0","1,251,905.0","1,485,279.0","1,779,940.0","2,090,809.0","2,212,306.0","2,178,761.0","1,948,482.0","1,915,450.0","2,019,952.0","1,994,306.0","2,172,752.0","2,334,515.0","2,436,668.0","2,544,143.0","2,535,538.0","2,722,897.0","2,807,637.0","2,855,850.0","2,828,952.0","3,027,147.0","3,113,468.0","3,190,552.0","3,380,422.0","3,535,487.0","3,730,615.0","3,968,782.0","4,208,225.0","4,333,870.0","4,549,363.0","4,700,494.0"
"31","12","  Gross national income \2\","A023RX1","1,058,419.0","980,181.0","903,500.0","790,481.0","776,336.0","861,891.0","947,266.0","1,050,250.0","1,121,152.0","1,075,608.0","1,154,115.0","1,258,593.0","1,494,022.0","1,789,093.0","2,099,969.0","2,222,177.0","2,187,495.0","1,958,805.0","1,928,389.0","2,035,276.0","2,008,450.0","2,188,308.0","2,353,110.0","2,455,813.0","2,562,742.0","2,555,394.0","2,744,791.0","2,831,502.0","2,880,960.0","2,850,928.0","3,049,866.0","3,138,081.0","3,217,362.0","3,410,332.0","3,567,309.0","3,764,957.0","4,004,683.0","4,242,725.0","4,369,484.0","4,587,277.0","4,737,688.0"
"32","13","  Net domestic product","A362RX1","962,947.0","869,481.0","806,712.0","690,597.0","683,115.0","770,630.0","848,519.0","970,565.0","1,022,225.0","982,190.0","1,068,967.0","1,171,255.0","1,394,346.0","1,668,117.0","1,953,677.0","2,094,026.0","2,052,222.0","1,785,136.0","1,765,852.0","1,848,505.0","1,834,316.0","2,010,712.0","2,183,497.0","2,269,672.0","2,373,050.0","2,342,344.0","2,517,261.0","2,563,128.0","2,608,823.0","2,569,653.0","2,760,832.0","2,829,393.0","2,896,516.0","3,081,220.0","3,213,774.0","3,403,330.0","3,629,382.0","3,871,457.0","3,961,560.0","4,152,916.0","4,271,240.0"
"33","14","  Net domestic income \3\","W256RX1","955,414.0","874,197.0","797,945.0","687,001.0","676,035.0","765,721.0","851,573.0","955,486.0","1,022,843.0","973,629.0","1,052,513.0","1,157,766.0","1,390,550.0","1,678,207.0","1,973,077.0","2,068,099.0","2,013,947.0","1,774,324.0","1,743,005.0","1,850,577.0","1,821,135.0","2,001,349.0","2,159,396.0","2,251,880.0","2,347,283.0","2,322,788.0","2,503,196.0","2,576,524.0","2,611,195.0","2,565,867.0","2,760,019.0","2,837,436.0","2,902,257.0","3,081,676.0","3,222,479.0","3,403,384.0","3,625,061.0","3,843,914.0","3,943,801.0","4,136,948.0","4,263,649.0"
"34","15","  Net domestic purchases","W367RX1","983,728.0","891,056.0","828,767.0","711,141.0","704,359.0","792,050.0","880,121.0","1,003,827.0","1,052,066.0","1,000,392.0","1,088,939.0","1,187,817.0","1,426,586.0","1,728,401.0","2,045,768.0","2,190,878.0","2,131,744.0","1,768,882.0","1,727,221.0","1,856,027.0","1,839,844.0","2,047,581.0","2,205,368.0","2,307,530.0","2,430,773.0","2,388,744.0","2,568,460.0","2,604,839.0","2,644,462.0","2,630,720.0","2,826,625.0","2,874,297.0","2,941,314.0","3,137,802.0","3,265,503.0","3,446,528.0","3,689,755.0","3,949,923.0","4,051,923.0","4,261,935.0","4,385,254.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
