"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","       Final sales of domestic product","A190RC1","983,930.0","1,002,139.0","1,021,822.0","1,034,954.0","1,051,705.0","1,065,029.0","1,083,378.0","1,095,446.0","1,125,558.0","1,148,480.0","1,170,125.0","1,193,880.0","1,230,580.0","1,258,124.0","1,280,122.0","1,324,532.0","1,370,130.0","1,399,389.0","1,427,052.0","1,454,076.0","1,482,135.0","1,516,804.0","1,557,818.0","1,582,558.0","1,629,581.0","1,670,402.0","1,715,200.0","1,765,519.0","1,809,816.0","1,834,496.0","1,869,693.0","1,927,895.0","1,977,712.0","2,040,696.0","2,091,503.0","2,144,595.0","2,183,235.0","2,312,306.0","2,373,900.0","2,453,672.0","2,507,704.0","2,568,509.0","2,658,258.0","2,722,153.0","2,786,624.0","2,792,188.0","2,893,898.0","3,002,643.0","3,093,037.0","3,155,532.0","3,217,237.0","3,258,722.0","3,295,268.0","3,335,441.0","3,361,268.0","3,447,623.0","3,515,375.0","3,591,510.0","3,696,454.0","3,772,184.0","3,839,784.0","3,945,670.0","4,016,031.0","4,099,620.0","4,220,771.0","4,280,642.0","4,378,251.0","4,419,977.0","4,485,937.0","4,539,572.0","4,626,633.0","4,682,145.0","4,708,248.0","4,804,925.0","4,899,480.0","4,959,576.0","5,073,645.0","5,188,045.0","5,281,290.0","5,393,554.0","5,479,198.0","5,592,155.0","5,701,712.0","5,746,872.0","5,876,859.0","5,940,944.0","6,007,617.0","6,034,644.0","6,070,366.0","6,161,621.0","6,217,557.0","6,248,137.0","6,380,527.0","6,469,063.0","6,566,009.0","6,676,181.0","6,712,215.0","6,805,461.0","6,897,595.0","7,016,203.0","7,090,869.0","7,188,407.0","7,299,003.0","7,401,488.0","7,484,086.0","7,571,134.0","7,695,173.0","7,781,028.0","7,886,232.0","8,030,977.0","8,107,937.0","8,252,316.0","8,352,266.0","8,463,516.0","8,623,771.0","8,710,618.0","8,784,597.0","8,957,362.0","9,094,068.0","9,265,596.0","9,366,952.0","9,526,354.0","9,678,198.0","9,848,011.0","10,019,977.0","10,193,259.0","10,306,576.0","10,420,991.0","10,543,132.0","10,653,119.0","10,674,417.0","10,783,486.0","10,837,491.0","10,918,878.0","11,014,523.0","11,075,878.0","11,199,751.0","11,371,761.0","11,620,249.0","11,780,056.0","11,942,561.0","12,107,269.0","12,307,118.0","12,495,765.0","12,716,647.0","12,945,039.0","13,188,604.0","13,293,078.0","13,575,415.0","13,725,618.0","13,833,384.0","14,029,280.0","14,214,790.0","14,377,428.0","14,523,210.0","14,668,019.0","14,693,042.0","14,841,021.0","14,863,091.0","14,611,867.0","14,526,844.0","14,529,988.0","14,590,300.0","14,614,924.0","14,660,428.0","14,829,048.0","14,928,211.0","15,169,284.0","15,221,426.0","15,416,166.0","15,625,299.0","15,726,776.0","15,938,669.0","16,093,593.0","16,274,419.0","16,407,307.0","16,471,903.0","16,583,793.0","16,768,146.0"
"22","3","       Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","21,479.0","45,769.0","-13,460.0","91,923.0","102,912.0","66,848.0","81,616.0","12,995.0","63,418.0","77,227.0","144,790.0"
"23","4","Goods","A353RC1","424,600.0","425,396.0","433,129.0","433,702.0","436,161.0","443,921.0","447,257.0","435,015.0","462,085.0","464,462.0","470,274.0","465,835.0","479,980.0","504,307.0","515,252.0","531,930.0","561,225.0","582,745.0","585,809.0","611,669.0","611,983.0","624,714.0","632,143.0","649,346.0","640,083.0","653,136.0","689,933.0","708,531.0","736,311.0","751,838.0","765,240.0","774,110.0","792,268.0","816,686.0","846,443.0","862,514.0","864,941.0","930,909.0","951,352.0","993,394.0","1,017,155.0","1,036,447.0","1,065,979.0","1,075,443.0","1,104,005.0","1,096,452.0","1,104,409.0","1,156,861.0","1,243,171.0","1,230,975.0","1,297,466.0","1,271,131.0","1,235,380.0","1,267,541.0","1,264,111.0","1,241,083.0","1,255,854.0","1,319,100.0","1,352,483.0","1,433,066.0","1,492,023.0","1,525,162.0","1,545,184.0","1,560,541.0","1,567,466.0","1,582,658.0","1,610,449.0","1,621,139.0","1,632,496.0","1,630,098.0","1,653,208.0","1,660,307.0","1,678,107.0","1,711,436.0","1,739,993.0","1,799,249.0","1,815,270.0","1,861,644.0","1,888,724.0","1,931,964.0","1,987,607.0","2,033,691.0","2,058,901.0","2,051,595.0","2,101,184.0","2,124,916.0","2,133,793.0","2,098,046.0","2,105,773.0","2,131,446.0","2,161,372.0","2,172,298.0","2,176,502.0","2,223,396.0","2,252,318.0","2,284,920.0","2,298,181.0","2,322,525.0","2,315,409.0","2,380,951.0","2,435,064.0","2,486,386.0","2,504,912.0","2,579,175.0","2,587,923.0","2,578,738.0","2,606,806.0","2,653,586.0","2,676,078.0","2,749,769.0","2,793,327.0","2,820,297.0","2,873,730.0","2,942,866.0","3,000,108.0","3,018,523.0","3,057,155.0","3,027,782.0","3,087,771.0","3,179,812.0","3,226,659.0","3,250,273.0","3,294,539.0","3,373,861.0","3,349,983.0","3,475,473.0","3,462,937.0","3,463,607.0","3,388,485.0","3,421,593.0","3,376,734.0","3,392,978.0","3,422,208.0","3,422,787.0","3,453,900.0","3,410,014.0","3,425,861.0","3,443,157.0","3,579,024.0","3,640,020.0","3,651,971.0","3,690,865.0","3,723,768.0","3,777,917.0","3,854,810.0","3,865,368.0","3,910,887.0","3,934,141.0","4,050,492.0","4,085,562.0","4,123,215.0","4,176,735.0","4,200,538.0","4,291,557.0","4,331,074.0","4,354,115.0","4,266,806.0","4,295,655.0","4,263,713.0","4,042,378.0","4,016,649.0","4,015,177.0","4,034,117.0","4,173,669.0","4,262,966.0","4,320,922.0","4,448,907.0","4,546,229.0","4,536,030.0","4,617,781.0","4,651,601.0","4,805,751.0","4,882,261.0","4,912,322.0","5,013,088.0","4,998,827.0","5,072,437.0","5,103,669.0","5,257,307.0"
"24","5","    Final sales","A325RC1","413,111.0","416,174.0","422,935.0","427,915.0","434,338.0","438,840.0","442,174.0","438,999.0","449,831.0","453,587.0","460,086.0","466,130.0","476,753.0","492,309.0","501,537.0","524,439.0","550,675.0","564,539.0","576,048.0","586,676.0","599,464.0","607,298.0","626,565.0","628,900.0","650,111.0","667,090.0","691,321.0","708,183.0","721,618.0","729,390.0","744,433.0","763,592.0","777,446.0","797,217.0","815,559.0","838,393.0","839,488.0","906,652.0","926,386.0","964,907.0","993,303.0","1,009,046.0","1,053,848.0","1,066,890.0","1,094,106.0","1,088,702.0","1,138,264.0","1,165,979.0","1,204,416.0","1,219,262.0","1,253,506.0","1,246,324.0","1,256,846.0","1,271,707.0","1,258,313.0","1,280,903.0","1,290,914.0","1,326,772.0","1,356,687.0","1,409,134.0","1,419,041.0","1,455,841.0","1,473,846.0","1,512,562.0","1,551,236.0","1,561,012.0","1,594,146.0","1,588,020.0","1,602,099.0","1,614,435.0","1,660,227.0","1,673,066.0","1,650,134.0","1,694,912.0","1,738,976.0","1,736,167.0","1,798,314.0","1,841,996.0","1,870,543.0","1,912,820.0","1,939,470.0","1,997,434.0","2,049,075.0","2,035,042.0","2,087,230.0","2,091,216.0","2,111,927.0","2,109,381.0","2,121,293.0","2,149,479.0","2,160,529.0","2,141,165.0","2,176,256.0","2,200,187.0","2,231,806.0","2,263,576.0","2,262,241.0","2,298,421.0","2,308,811.0","2,364,339.0","2,389,702.0","2,404,975.0","2,451,689.0","2,504,033.0","2,526,744.0","2,544,979.0","2,595,480.0","2,635,155.0","2,669,197.0","2,719,248.0","2,742,257.0","2,785,572.0","2,823,972.0","2,854,478.0","2,932,160.0","2,940,859.0","2,952,055.0","2,990,442.0","3,035,352.0","3,119,795.0","3,143,265.0","3,215,161.0","3,254,022.0","3,289,620.0","3,333,826.0","3,385,030.0","3,405,704.0","3,409,264.0","3,419,116.0","3,433,153.0","3,406,849.0","3,473,807.0","3,422,422.0","3,403,667.0","3,428,607.0","3,380,211.0","3,394,857.0","3,443,545.0","3,570,897.0","3,601,619.0","3,603,101.0","3,614,630.0","3,661,484.0","3,709,868.0","3,755,306.0","3,834,742.0","3,892,947.0","3,843,892.0","3,976,068.0","4,008,277.0","4,046,124.0","4,137,646.0","4,180,377.0","4,244,493.0","4,282,428.0","4,332,180.0","4,286,942.0","4,319,574.0","4,282,492.0","4,107,526.0","4,162,270.0","4,203,098.0","4,240,049.0","4,224,474.0","4,250,906.0","4,270,807.0","4,327,363.0","4,483,831.0","4,514,551.0","4,572,012.0","4,665,061.0","4,713,828.0","4,779,349.0","4,845,474.0","4,931,472.0","4,985,832.0","5,009,019.0","5,026,442.0","5,112,517.0"
"25","6","    Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","21,479.0","45,769.0","-13,460.0","91,923.0","102,912.0","66,848.0","81,616.0","12,995.0","63,418.0","77,227.0","144,790.0"
"26","7","  Durable goods","A354RC1","212,650.0","208,988.0","215,793.0","215,703.0","209,602.0","212,985.0","218,572.0","199,669.0","220,861.0","219,776.0","227,149.0","222,577.0","235,735.0","246,261.0","252,572.0","267,985.0","286,711.0","295,775.0","297,663.0","299,329.0","300,457.0","306,094.0","321,230.0","331,178.0","309,261.0","322,395.0","339,275.0","349,364.0","372,906.0","386,647.0","397,903.0","410,434.0","422,506.0","432,276.0","447,842.0","457,530.0","465,925.0","503,745.0","507,302.0","545,428.0","561,517.0","562,420.0","571,974.0","577,296.0","594,826.0","568,887.0","575,662.0","621,417.0","648,722.0","655,710.0","673,303.0","644,485.0","627,480.0","654,460.0","651,516.0","625,486.0","627,286.0","695,906.0","728,699.0","780,208.0","806,875.0","826,781.0","838,968.0","870,735.0","851,645.0","874,986.0","884,176.0","888,732.0","892,192.0","899,179.0","920,501.0","925,062.0","934,550.0","960,503.0","972,779.0","1,010,944.0","1,016,413.0","1,044,873.0","1,066,629.0","1,099,071.0","1,120,260.0","1,128,938.0","1,158,592.0","1,155,291.0","1,184,324.0","1,179,687.0","1,181,577.0","1,143,605.0","1,117,636.0","1,145,081.0","1,183,976.0","1,165,988.0","1,166,032.0","1,209,814.0","1,223,044.0","1,243,524.0","1,267,763.0","1,288,665.0","1,289,272.0","1,334,910.0","1,359,166.0","1,381,500.0","1,401,680.0","1,442,623.0","1,469,744.0","1,462,129.0","1,488,014.0","1,527,247.0","1,530,773.0","1,571,361.0","1,614,460.0","1,617,940.0","1,668,284.0","1,713,732.0","1,757,670.0","1,773,830.0","1,810,517.0","1,791,536.0","1,833,842.0","1,896,157.0","1,916,378.0","1,929,448.0","1,984,100.0","2,025,137.0","2,047,677.0","2,101,517.0","2,089,464.0","2,093,399.0","2,032,491.0","2,022,800.0","1,974,184.0","1,990,760.0","2,015,379.0","2,014,000.0","2,038,902.0","2,004,964.0","1,998,715.0","2,027,889.0","2,088,899.0","2,137,806.0","2,136,141.0","2,157,186.0","2,183,927.0","2,209,666.0","2,277,907.0","2,298,923.0","2,340,213.0","2,351,320.0","2,394,789.0","2,422,887.0","2,450,401.0","2,454,655.0","2,486,214.0","2,521,840.0","2,546,928.0","2,613,260.0","2,530,212.0","2,498,327.0","2,498,761.0","2,340,934.0","2,192,985.0","2,184,399.0","2,212,185.0","2,277,710.0","2,381,893.0","2,422,233.0","2,473,804.0","2,505,331.0","2,550,897.0","2,595,116.0","2,630,021.0","2,678,606.0","2,735,178.0","2,754,927.0","2,783,129.0","2,781,495.0","2,788,850.0","2,818,843.0","2,866,250.0"
"27","8","    Final sales","A326RC1","206,602.0","204,956.0","208,713.0","209,003.0","210,790.0","212,901.0","213,004.0","205,049.0","214,193.0","217,068.0","221,629.0","225,821.0","233,087.0","241,029.0","245,008.0","257,993.0","275,275.0","282,131.0","283,879.0","286,133.0","292,685.0","300,978.0","311,846.0","309,990.0","317,089.0","329,227.0","345,631.0","358,232.0","368,334.0","373,959.0","384,611.0","397,778.0","414,778.0","425,180.0","435,214.0","447,062.0","445,369.0","486,533.0","496,026.0","521,612.0","539,565.0","541,752.0","568,258.0","572,380.0","592,590.0","570,939.0","592,374.0","614,273.0","637,858.0","645,610.0","663,243.0","646,213.0","649,112.0","654,076.0","653,508.0","666,382.0","659,174.0","693,354.0","715,811.0","753,940.0","762,963.0","785,617.0","797,384.0","831,663.0","849,453.0","867,014.0","887,644.0","877,864.0","875,884.0","893,011.0","935,325.0","940,166.0","906,158.0","938,207.0","977,275.0","965,348.0","1,007,873.0","1,029,925.0","1,035,085.0","1,063,130.0","1,081,294.0","1,110,722.0","1,156,786.0","1,134,155.0","1,182,926.0","1,157,236.0","1,164,460.0","1,153,777.0","1,149,086.0","1,171,121.0","1,180,299.0","1,166,604.0","1,183,047.0","1,200,808.0","1,223,987.0","1,246,393.0","1,243,341.0","1,275,192.0","1,277,500.0","1,316,131.0","1,334,018.0","1,339,747.0","1,370,595.0","1,397,788.0","1,421,709.0","1,429,583.0","1,464,742.0","1,496,879.0","1,520,597.0","1,552,541.0","1,575,786.0","1,609,303.0","1,639,777.0","1,660,738.0","1,725,400.0","1,727,628.0","1,740,582.0","1,768,827.0","1,802,062.0","1,863,362.0","1,864,871.0","1,917,912.0","1,957,804.0","1,964,874.0","2,030,490.0","2,043,568.0","2,057,117.0","2,058,572.0","2,077,010.0","2,047,695.0","2,008,009.0","2,065,316.0","2,006,842.0","1,996,704.0","2,023,628.0","1,973,458.0","1,970,404.0","2,024,640.0","2,095,826.0","2,103,766.0","2,101,800.0","2,108,235.0","2,145,907.0","2,177,497.0","2,211,529.0","2,278,366.0","2,320,526.0","2,290,318.0","2,368,787.0","2,378,214.0","2,397,886.0","2,439,380.0","2,469,660.0","2,517,950.0","2,532,835.0","2,585,373.0","2,548,780.0","2,545,387.0","2,507,843.0","2,365,729.0","2,333,034.0","2,328,709.0","2,346,951.0","2,326,585.0","2,358,953.0","2,386,320.0","2,407,149.0","2,474,690.0","2,502,147.0","2,546,073.0","2,590,250.0","2,631,384.0","2,665,026.0","2,683,779.0","2,705,312.0","2,742,179.0","2,766,861.0","2,788,193.0","2,802,557.0"
"28","9","    Change in private inventories \1\","A355RC1","6,048.0","4,032.0","7,080.0","6,700.0","-1,188.0","84.0","5,568.0","-5,380.0","6,668.0","2,708.0","5,520.0","-3,244.0","2,648.0","5,232.0","7,564.0","9,992.0","11,436.0","13,644.0","13,784.0","13,196.0","7,772.0","5,116.0","9,384.0","21,188.0","-7,828.0","-6,832.0","-6,356.0","-8,868.0","4,572.0","12,688.0","13,292.0","12,656.0","7,728.0","7,096.0","12,628.0","10,468.0","20,556.0","17,212.0","11,276.0","23,816.0","21,952.0","20,668.0","3,716.0","4,916.0","2,236.0","-2,052.0","-16,712.0","7,144.0","10,864.0","10,100.0","10,060.0","-1,728.0","-21,632.0","384.0","-1,992.0","-40,896.0","-31,888.0","2,552.0","12,888.0","26,268.0","43,912.0","41,164.0","41,584.0","39,072.0","2,192.0","7,972.0","-3,468.0","10,868.0","16,308.0","6,168.0","-14,824.0","-15,104.0","28,392.0","22,296.0","-4,496.0","45,596.0","8,540.0","14,948.0","31,544.0","35,941.0","38,966.0","18,216.0","1,806.0","21,136.0","1,398.0","22,451.0","17,117.0","-10,172.0","-31,450.0","-26,040.0","3,677.0","-616.0","-17,015.0","9,006.0","-943.0","-2,869.0","24,422.0","13,473.0","11,772.0","18,779.0","25,148.0","41,753.0","31,085.0","44,835.0","48,035.0","32,546.0","23,272.0","30,368.0","10,176.0","18,820.0","38,674.0","8,637.0","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","8,537.0","17,296.0","15,274.0","31,506.0","28,311.0","3,249.0","-6,927.0","34,040.0","34,341.0","48,951.0","38,020.0","32,169.0","66,378.0","20,557.0","19,687.0","61,002.0","26,002.0","44,673.0","52,515.0","15,275.0","16,554.0","3,890.0","14,093.0","27,887.0","-18,568.0","-47,060.0","-9,082.0","-24,795.0","-140,049.0","-144,310.0","-134,766.0","-48,875.0","22,940.0","35,913.0","66,655.0","30,641.0","48,750.0","49,043.0","39,771.0","47,222.0","70,152.0","71,148.0","77,817.0","39,316.0","21,989.0","30,650.0","63,693.0"
"29","10","  Nondurable goods","A356RC1","211,950.0","216,408.0","217,336.0","217,999.0","226,559.0","230,936.0","228,685.0","235,346.0","241,224.0","244,686.0","243,125.0","243,258.0","244,245.0","258,046.0","262,680.0","263,945.0","274,514.0","286,970.0","288,146.0","312,340.0","311,526.0","318,620.0","310,913.0","318,168.0","330,822.0","330,741.0","350,658.0","359,167.0","363,405.0","365,191.0","367,337.0","363,676.0","369,762.0","384,410.0","398,601.0","404,984.0","399,016.0","427,164.0","444,050.0","447,966.0","455,638.0","474,027.0","494,005.0","498,147.0","509,179.0","527,565.0","528,747.0","535,444.0","594,449.0","575,265.0","624,163.0","626,646.0","607,900.0","613,081.0","612,595.0","615,597.0","628,568.0","623,194.0","623,784.0","652,858.0","685,148.0","698,381.0","706,216.0","689,806.0","715,821.0","707,672.0","726,273.0","732,407.0","740,304.0","730,919.0","732,707.0","735,245.0","743,557.0","750,933.0","767,214.0","788,305.0","798,857.0","816,771.0","822,095.0","832,893.0","867,347.0","904,753.0","900,309.0","896,304.0","916,860.0","945,229.0","952,216.0","954,441.0","988,137.0","986,365.0","977,396.0","1,006,310.0","1,010,470.0","1,013,582.0","1,029,274.0","1,041,396.0","1,030,418.0","1,033,860.0","1,026,137.0","1,046,041.0","1,075,898.0","1,104,886.0","1,103,232.0","1,136,552.0","1,118,179.0","1,116,609.0","1,118,792.0","1,126,339.0","1,145,305.0","1,178,408.0","1,178,867.0","1,202,357.0","1,205,446.0","1,229,134.0","1,242,438.0","1,244,693.0","1,246,638.0","1,236,247.0","1,253,929.0","1,283,655.0","1,310,281.0","1,320,825.0","1,310,438.0","1,348,724.0","1,302,306.0","1,373,956.0","1,373,472.0","1,370,208.0","1,355,995.0","1,398,793.0","1,402,549.0","1,402,217.0","1,406,829.0","1,408,787.0","1,414,998.0","1,405,050.0","1,427,146.0","1,415,268.0","1,490,125.0","1,502,214.0","1,515,829.0","1,533,680.0","1,539,841.0","1,568,251.0","1,576,903.0","1,566,444.0","1,570,673.0","1,582,821.0","1,655,703.0","1,662,675.0","1,672,814.0","1,722,081.0","1,714,323.0","1,769,717.0","1,784,146.0","1,740,855.0","1,736,595.0","1,797,328.0","1,764,953.0","1,701,444.0","1,823,664.0","1,830,778.0","1,821,932.0","1,895,960.0","1,881,073.0","1,898,689.0","1,975,103.0","2,040,898.0","1,985,133.0","2,022,666.0","2,021,579.0","2,127,146.0","2,147,083.0","2,157,394.0","2,229,960.0","2,217,332.0","2,283,587.0","2,284,826.0","2,391,057.0"
"30","11","    Final sales","A334RC1","206,509.0","211,218.0","214,222.0","218,912.0","223,548.0","225,939.0","229,170.0","233,950.0","235,638.0","236,519.0","238,457.0","240,309.0","243,666.0","251,280.0","256,529.0","266,446.0","275,400.0","282,408.0","292,169.0","300,543.0","306,779.0","306,320.0","314,719.0","318,910.0","333,022.0","337,863.0","345,690.0","349,951.0","353,284.0","355,431.0","359,822.0","365,814.0","362,668.0","372,037.0","380,345.0","391,331.0","394,119.0","420,119.0","430,360.0","443,295.0","453,738.0","467,294.0","485,590.0","494,510.0","501,516.0","517,763.0","545,890.0","551,706.0","566,558.0","573,652.0","590,263.0","600,111.0","607,734.0","617,631.0","604,805.0","614,521.0","631,740.0","633,418.0","640,876.0","655,194.0","656,078.0","670,224.0","676,462.0","680,899.0","701,783.0","693,998.0","706,502.0","710,156.0","726,215.0","721,424.0","724,902.0","732,900.0","743,976.0","756,705.0","761,701.0","770,819.0","790,441.0","812,071.0","835,458.0","849,690.0","858,176.0","886,712.0","892,289.0","900,887.0","904,304.0","933,980.0","947,467.0","955,604.0","972,207.0","978,358.0","980,230.0","974,561.0","993,209.0","999,379.0","1,007,819.0","1,017,183.0","1,018,900.0","1,023,229.0","1,031,311.0","1,048,208.0","1,055,684.0","1,065,228.0","1,081,094.0","1,106,245.0","1,105,035.0","1,115,396.0","1,130,738.0","1,138,276.0","1,148,600.0","1,166,707.0","1,166,471.0","1,176,269.0","1,184,195.0","1,193,740.0","1,206,760.0","1,213,231.0","1,211,473.0","1,221,615.0","1,233,290.0","1,256,433.0","1,278,394.0","1,297,249.0","1,296,218.0","1,324,746.0","1,303,336.0","1,341,462.0","1,348,587.0","1,350,692.0","1,342,106.0","1,385,458.0","1,398,840.0","1,408,491.0","1,415,580.0","1,406,963.0","1,404,979.0","1,406,753.0","1,424,453.0","1,418,905.0","1,475,071.0","1,497,853.0","1,501,301.0","1,506,395.0","1,515,577.0","1,532,371.0","1,543,777.0","1,556,376.0","1,572,421.0","1,553,574.0","1,607,281.0","1,630,063.0","1,648,238.0","1,698,266.0","1,710,717.0","1,726,543.0","1,749,593.0","1,746,807.0","1,738,162.0","1,774,187.0","1,774,649.0","1,741,797.0","1,829,236.0","1,874,389.0","1,893,098.0","1,897,889.0","1,891,953.0","1,884,487.0","1,920,214.0","2,009,141.0","2,012,404.0","2,025,939.0","2,074,811.0","2,082,444.0","2,114,323.0","2,161,695.0","2,226,160.0","2,243,653.0","2,242,158.0","2,238,249.0","2,309,960.0"
