"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 26, 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/1/2013 8:24:41 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RX1","1,055,640.0","965,815.0","904,053.0","787,518.0","777,602.0","861,442.0","938,181.0","1,059,555.0","1,113,568.0","1,076,707.0","1,162,596.0","1,264,999.0","1,488,930.0","1,770,295.0","2,072,020.0","2,237,532.0","2,215,925.0","1,959,037.0","1,937,567.0","2,018,005.0","2,006,981.0","2,181,876.0","2,357,716.0","2,453,736.0","2,568,912.0","2,554,388.0","2,736,390.0","2,794,747.0","2,853,529.0","2,832,622.0","3,028,077.0","3,105,761.0","3,185,102.0","3,379,878.0","3,527,066.0","3,730,496.0","3,972,893.0","4,234,948.0","4,351,188.0","4,564,724.0","4,707,931.0"
"21","2","    Gross domestic income","A261RX1","1,048,228.0","970,491.0","895,480.0","783,993.0","770,671.0","856,627.0","941,162.0","1,044,880.0","1,114,185.0","1,068,420.0","1,146,604.0","1,251,905.0","1,485,279.0","1,779,940.0","2,090,809.0","2,212,306.0","2,178,761.0","1,948,482.0","1,915,450.0","2,019,952.0","1,994,306.0","2,172,752.0","2,334,515.0","2,436,668.0","2,544,143.0","2,535,538.0","2,722,897.0","2,807,637.0","2,855,850.0","2,828,952.0","3,027,147.0","3,113,468.0","3,190,552.0","3,380,422.0","3,535,487.0","3,730,615.0","3,968,782.0","4,208,225.0","4,333,870.0","4,549,363.0","4,700,494.0"
"22","3","    Net domestic product \1\","A362RX1","962,947.0","869,481.0","806,712.0","690,597.0","683,115.0","770,630.0","848,519.0","970,565.0","1,022,225.0","982,190.0","1,068,967.0","1,171,255.0","1,394,346.0","1,668,117.0","1,953,677.0","2,094,026.0","2,052,222.0","1,785,136.0","1,765,852.0","1,848,505.0","1,834,316.0","2,010,712.0","2,183,497.0","2,269,672.0","2,373,050.0","2,342,344.0","2,517,261.0","2,563,128.0","2,608,823.0","2,569,653.0","2,760,832.0","2,829,393.0","2,896,516.0","3,081,220.0","3,213,774.0","3,403,330.0","3,629,382.0","3,871,457.0","3,961,560.0","4,152,916.0","4,271,240.0"
"23","4","    Net domestic income \1\","W256RX1","955,414.0","874,197.0","797,945.0","687,001.0","676,035.0","765,721.0","851,573.0","955,486.0","1,022,843.0","973,629.0","1,052,513.0","1,157,766.0","1,390,550.0","1,678,207.0","1,973,077.0","2,068,099.0","2,013,947.0","1,774,324.0","1,743,005.0","1,850,577.0","1,821,135.0","2,001,349.0","2,159,396.0","2,251,880.0","2,347,283.0","2,322,788.0","2,503,196.0","2,576,524.0","2,611,195.0","2,565,867.0","2,760,019.0","2,837,436.0","2,902,257.0","3,081,676.0","3,222,479.0","3,403,384.0","3,625,061.0","3,843,914.0","3,943,801.0","4,136,948.0","4,263,649.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RX1","1,065,865.0","975,463.0","912,086.0","794,068.0","783,290.0","866,695.0","944,280.0","1,065,047.0","1,120,564.0","1,083,886.0","1,170,183.0","1,271,721.0","1,497,614.0","1,779,438.0","2,081,212.0","2,247,284.0","2,224,732.0","1,969,326.0","1,950,603.0","2,033,240.0","2,021,133.0","2,197,457.0","2,376,426.0","2,473,072.0","2,587,706.0","2,574,196.0","2,758,361.0","2,818,568.0","2,878,539.0","2,854,566.0","3,050,772.0","3,130,350.0","3,211,906.0","3,409,779.0","3,558,962.0","3,764,797.0","4,008,845.0","4,269,419.0","4,386,711.0","4,602,757.0","4,745,177.0"
"26","6","    Gross national income","A023RX1","1,058,419.0","980,181.0","903,500.0","790,481.0","776,336.0","861,891.0","947,266.0","1,050,250.0","1,121,152.0","1,075,608.0","1,154,115.0","1,258,593.0","1,494,022.0","1,789,093.0","2,099,969.0","2,222,177.0","2,187,495.0","1,958,805.0","1,928,389.0","2,035,276.0","2,008,450.0","2,188,308.0","2,353,110.0","2,455,813.0","2,562,742.0","2,555,394.0","2,744,791.0","2,831,502.0","2,880,960.0","2,850,928.0","3,049,866.0","3,138,081.0","3,217,362.0","3,410,332.0","3,567,309.0","3,764,957.0","4,004,683.0","4,242,725.0","4,369,484.0","4,587,277.0","4,737,688.0"
"27","7","    Net national product \1\","A027RX1","973,377.0","879,290.0","814,863.0","697,211.0","688,854.0","775,947.0","854,716.0","976,163.0","1,029,367.0","989,507.0","1,076,721.0","1,178,132.0","1,403,283.0","1,677,550.0","1,963,160.0","2,104,038.0","2,061,191.0","1,795,554.0","1,779,102.0","1,864,039.0","1,848,721.0","2,026,616.0","2,202,658.0","2,289,464.0","2,392,254.0","2,362,561.0","2,539,720.0","2,587,484.0","2,634,389.0","2,591,976.0","2,783,933.0","2,854,448.0","2,923,851.0","3,111,758.0","3,246,357.0","3,438,389.0","3,666,131.0","3,906,645.0","3,997,791.0","4,191,712.0","4,309,180.0"
"28",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","8","    Gross domestic purchases","A712RX1","1,076,785.0","987,997.0","926,842.0","809,020.0","799,734.0","883,450.0","969,917.0","1,092,632.0","1,143,283.0","1,095,292.0","1,182,725.0","1,281,669.0","1,520,379.0","1,828,533.0","2,160,892.0","2,331,535.0","2,293,937.0","1,944,934.0","1,901,762.0","2,026,571.0","2,013,722.0","2,218,535.0","2,379,855.0","2,491,322.0","2,625,688.0","2,600,641.0","2,787,209.0","2,836,671.0","2,889,869.0","2,893,740.0","3,093,570.0","3,151,365.0","3,230,795.0","3,436,859.0","3,579,539.0","3,774,819.0","4,033,810.0","4,313,410.0","4,441,612.0","4,673,380.0","4,821,840.0"
