"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","      Consumption of fixed capital","A262RC1","27,748.0","28,756.0","29,802.0","30,497.0","30,786.0","31,159.0","31,672.0","31,953.0","32,289.0","32,304.0","32,320.0","32,432.0","32,464.0","32,798.0","33,594.0","34,867.0","36,277.0","37,362.0","38,308.0","39,081.0","39,554.0","40,210.0","41,002.0","41,705.0","42,491.0","43,248.0","43,806.0","44,377.0","44,973.0","45,707.0","46,283.0","46,960.0","47,450.0","48,190.0","49,324.0","50,574.0","52,140.0","53,501.0","54,824.0","56,034.0","57,308.0","58,415.0","59,488.0","60,438.0","61,062.0","61,962.0","62,917.0","63,761.0","64,470.0","65,126.0","65,772.0","66,387.0","66,973.0","67,560.0","68,199.0","68,842.0","69,505.0","70,194.0","70,949.0","71,779.0","72,714.0","73,519.0","74,559.0","75,610.0","76,511.0","77,508.0","78,464.0","79,525.0","80,602.0","81,750.0","82,951.0","84,211.0","85,587.0","87,115.0","88,756.0","90,463.0","92,298.0","94,312.0","96,268.0","98,294.0","100,244.0","102,321.0","104,584.0","106,930.0","109,438.0","111,914.0","114,524.0","117,420.0","120,457.0","123,462.0","126,288.0"
"21","2","Private","A024RC1","16,291.0","17,304.0","18,242.0","19,104.0","19,887.0","20,574.0","21,165.0","21,661.0","22,060.0","22,432.0","22,777.0","23,093.0","23,384.0","23,880.0","24,579.0","25,484.0","26,594.0","27,500.0","28,198.0","28,689.0","28,977.0","29,318.0","29,712.0","30,163.0","30,667.0","31,141.0","31,582.0","31,995.0","32,374.0","32,759.0","33,150.0","33,548.0","33,949.0","34,528.0","35,281.0","36,209.0","37,312.0","38,352.0","39,329.0","40,243.0","41,095.0","41,901.0","42,659.0","43,370.0","44,035.0","44,651.0","45,220.0","45,739.0","46,211.0","46,643.0","47,034.0","47,385.0","47,695.0","48,025.0","48,373.0","48,740.0","49,124.0","49,540.0","49,991.0","50,473.0","50,986.0","51,515.0","52,055.0","52,612.0","53,182.0","53,801.0","54,466.0","55,182.0","55,947.0","56,784.0","57,694.0","58,676.0","59,733.0","60,887.0","62,143.0","63,500.0","64,957.0","66,424.0","67,905.0","69,396.0","70,899.0","72,472.0","74,113.0","75,822.0","77,596.0","79,510.0","81,558.0","83,744.0","86,068.0","88,342.0","90,571.0"
"22","3","  Domestic business","W276RC1","13,578.0","14,400.0","15,175.0","15,902.0","16,582.0","17,180.0","17,696.0","18,130.0","18,483.0","18,804.0","19,094.0","19,352.0","19,580.0","19,982.0","20,559.0","21,311.0","22,239.0","22,985.0","23,551.0","23,937.0","24,142.0","24,401.0","24,715.0","25,083.0","25,506.0","25,900.0","26,267.0","26,607.0","26,918.0","27,222.0","27,520.0","27,811.0","28,096.0","28,544.0","29,155.0","29,930.0","30,868.0","31,760.0","32,606.0","33,406.0","34,160.0","34,875.0","35,550.0","36,187.0","36,784.0","37,322.0","37,801.0","38,220.0","38,581.0","38,904.0","39,191.0","39,441.0","39,654.0","39,891.0","40,153.0","40,438.0","40,748.0","41,087.0","41,456.0","41,854.0","42,283.0","42,719.0","43,164.0","43,618.0","44,080.0","44,581.0","45,120.0","45,699.0","46,317.0","46,995.0","47,732.0","48,528.0","49,384.0","50,334.0","51,379.0","52,519.0","53,753.0","55,000.0","56,261.0","57,534.0","58,820.0","60,159.0","61,550.0","62,994.0","64,490.0","66,078.0","67,756.0","69,524.0","71,384.0","73,254.0","75,133.0"
"23","4","    Corporate business","A438RC1","9,036.0","9,560.0","10,058.0","10,529.0","10,973.0","11,355.0","11,680.0","11,944.0","12,150.0","12,336.0","12,505.0","12,657.0","12,790.0","13,042.0","13,414.0","13,905.0","14,515.0","15,007.0","15,382.0","15,640.0","15,780.0","15,970.0","16,212.0","16,503.0","16,844.0","17,164.0","17,460.0","17,732.0","17,983.0","18,225.0","18,461.0","18,691.0","18,912.0","19,261.0","19,734.0","20,333.0","21,058.0","21,760.0","22,439.0","23,095.0","23,727.0","24,314.0","24,858.0","25,356.0","25,811.0","26,227.0","26,604.0","26,941.0","27,241.0","27,512.0","27,756.0","27,972.0","28,161.0","28,367.0","28,591.0","28,832.0","29,091.0","29,368.0","29,662.0","29,974.0","30,304.0","30,649.0","31,008.0","31,382.0","31,771.0","32,185.0","32,622.0","33,085.0","33,572.0","34,103.0","34,678.0","35,296.0","35,958.0","36,695.0","37,509.0","38,398.0","39,363.0","40,347.0","41,352.0","42,377.0","43,423.0","44,511.0","45,639.0","46,811.0","48,025.0","49,297.0","50,628.0","52,017.0","53,465.0","54,939.0","56,441.0"
"24","5","      Financial","B580RC1","293.0","313.0","330.0","344.0","354.0","363.0","373.0","382.0","392.0","400.0","408.0","416.0","422.0","432.0","445.0","461.0","479.0","495.0","508.0","518.0","525.0","532.0","540.0","548.0","556.0","566.0","577.0","589.0","603.0","613.0","621.0","627.0","629.0","638.0","652.0","673.0","699.0","723.0","744.0","762.0","777.0","795.0","817.0","842.0","871.0","894.0","912.0","923.0","930.0","933.0","934.0","931.0","926.0","925.0","927.0","933.0","943.0","954.0","965.0","977.0","990.0","1,004.0","1,019.0","1,034.0","1,051.0","1,068.0","1,084.0","1,101.0","1,118.0","1,142.0","1,172.0","1,208.0","1,251.0","1,292.0","1,333.0","1,372.0","1,410.0","1,448.0","1,487.0","1,527.0","1,568.0","1,615.0","1,667.0","1,726.0","1,791.0","1,860.0","1,935.0","2,014.0","2,098.0","2,180.0","2,261.0"
"25","6","      Nonfinancial","B456RC1","8,743.0","9,247.0","9,728.0","10,185.0","10,619.0","10,992.0","11,307.0","11,562.0","11,758.0","11,936.0","12,097.0","12,241.0","12,368.0","12,610.0","12,969.0","13,444.0","14,036.0","14,512.0","14,874.0","15,122.0","15,255.0","15,438.0","15,672.0","15,955.0","16,288.0","16,598.0","16,883.0","17,143.0","17,380.0","17,612.0","17,840.0","18,064.0","18,283.0","18,623.0","19,082.0","19,660.0","20,359.0","21,037.0","21,695.0","22,333.0","22,950.0","23,519.0","24,041.0","24,514.0","24,940.0","25,333.0","25,692.0","26,018.0","26,311.0","26,579.0","26,822.0","27,041.0","27,235.0","27,442.0","27,664.0","27,899.0","28,148.0","28,414.0","28,697.0","28,997.0","29,314.0","29,645.0","29,989.0","30,348.0","30,720.0","31,117.0","31,538.0","31,984.0","32,454.0","32,961.0","33,506.0","34,088.0","34,707.0","35,403.0","36,176.0","37,026.0","37,953.0","38,899.0","39,865.0","40,850.0","41,855.0","42,896.0","43,972.0","45,085.0","46,234.0","47,437.0","48,693.0","50,003.0","51,367.0","52,759.0","54,180.0"
"26","7","    Noncorporate business","W277RC1","4,543.0","4,840.0","5,117.0","5,374.0","5,610.0","5,824.0","6,016.0","6,186.0","6,334.0","6,468.0","6,588.0","6,695.0","6,789.0","6,939.0","7,145.0","7,406.0","7,724.0","7,978.0","8,169.0","8,297.0","8,362.0","8,431.0","8,503.0","8,580.0","8,661.0","8,737.0","8,808.0","8,874.0","8,935.0","8,997.0","9,059.0","9,120.0","9,183.0","9,284.0","9,421.0","9,596.0","9,809.0","10,000.0","10,167.0","10,312.0","10,433.0","10,560.0","10,692.0","10,830.0","10,973.0","11,095.0","11,198.0","11,279.0","11,340.0","11,393.0","11,435.0","11,468.0","11,493.0","11,524.0","11,562.0","11,606.0","11,656.0","11,719.0","11,793.0","11,880.0","11,978.0","12,070.0","12,156.0","12,236.0","12,308.0","12,396.0","12,497.0","12,614.0","12,745.0","12,892.0","13,054.0","13,233.0","13,426.0","13,639.0","13,870.0","14,121.0","14,391.0","14,653.0","14,908.0","15,156.0","15,397.0","15,649.0","15,911.0","16,182.0","16,465.0","16,780.0","17,128.0","17,507.0","17,920.0","18,314.0","18,691.0"
"27","8","      Sole proprietorships and partnerships","A1615C1","3,597.0","3,842.0","4,077.0","4,301.0","4,514.0","4,709.0","4,885.0","5,044.0","5,185.0","5,312.0","5,426.0","5,526.0","5,613.0","5,748.0","5,930.0","6,160.0","6,438.0","6,660.0","6,827.0","6,939.0","6,996.0","7,056.0","7,120.0","7,188.0","7,260.0","7,327.0","7,390.0","7,448.0","7,502.0","7,556.0","7,608.0","7,658.0","7,708.0","7,793.0","7,911.0","8,064.0","8,251.0","8,420.0","8,570.0","8,702.0","8,815.0","8,933.0","9,056.0","9,184.0","9,316.0","9,429.0","9,524.0","9,599.0","9,655.0","9,692.0","9,708.0","9,705.0","9,682.0","9,670.0","9,668.0","9,676.0","9,694.0","9,719.0","9,749.0","9,786.0","9,829.0","9,877.0","9,930.0","9,988.0","10,050.0","10,121.0","10,199.0","10,286.0","10,381.0","10,490.0","10,612.0","10,749.0","10,899.0","11,062.0","11,237.0","11,426.0","11,628.0","11,829.0","12,028.0","12,227.0","12,425.0","12,631.0","12,843.0","13,061.0","13,287.0","13,539.0","13,816.0","14,118.0","14,447.0","14,770.0","15,090.0"
"28","9","        Farm","B1616C1","1,086.0","1,154.0","1,228.0","1,308.0","1,394.0","1,475.0","1,552.0","1,623.0","1,690.0","1,751.0","1,805.0","1,854.0","1,897.0","1,951.0","2,017.0","2,094.0","2,183.0","2,258.0","2,321.0","2,371.0","2,408.0","2,441.0","2,469.0","2,494.0","2,515.0","2,535.0","2,553.0","2,570.0","2,585.0","2,597.0","2,604.0","2,606.0","2,605.0","2,614.0","2,634.0","2,664.0","2,704.0","2,738.0","2,765.0","2,785.0","2,798.0","2,818.0","2,845.0","2,878.0","2,918.0","2,953.0","2,982.0","3,006.0","3,025.0","3,033.0","3,032.0","3,022.0","3,002.0","2,987.0","2,978.0","2,974.0","2,976.0","2,980.0","2,986.0","2,995.0","3,006.0","3,019.0","3,036.0","3,055.0","3,077.0","3,100.0","3,123.0","3,148.0","3,173.0","3,205.0","3,244.0","3,290.0","3,342.0","3,397.0","3,456.0","3,517.0","3,581.0","3,648.0","3,717.0","3,790.0","3,865.0","3,936.0","4,005.0","4,070.0","4,132.0","4,195.0","4,261.0","4,328.0","4,397.0","4,464.0","4,530.0"
"29","10","        Nonfarm","B1617C1","2,511.0","2,688.0","2,849.0","2,992.0","3,120.0","3,233.0","3,334.0","3,421.0","3,495.0","3,561.0","3,620.0","3,672.0","3,716.0","3,797.0","3,913.0","4,066.0","4,255.0","4,402.0","4,506.0","4,568.0","4,588.0","4,616.0","4,651.0","4,694.0","4,744.0","4,792.0","4,837.0","4,879.0","4,917.0","4,959.0","5,004.0","5,052.0","5,103.0","5,179.0","5,278.0","5,400.0","5,547.0","5,682.0","5,806.0","5,917.0","6,017.0","6,115.0","6,211.0","6,305.0","6,398.0","6,476.0","6,541.0","6,593.0","6,631.0","6,658.0","6,676.0","6,683.0","6,681.0","6,683.0","6,690.0","6,702.0","6,718.0","6,739.0","6,763.0","6,791.0","6,824.0","6,858.0","6,894.0","6,933.0","6,973.0","7,021.0","7,076.0","7,138.0","7,208.0","7,285.0","7,368.0","7,459.0","7,557.0","7,664.0","7,782.0","7,909.0","8,047.0","8,181.0","8,311.0","8,438.0","8,561.0","8,694.0","8,838.0","8,991.0","9,156.0","9,343.0","9,555.0","9,790.0","10,049.0","10,306.0","10,560.0"
"30","11","      Other private business","A1618C1","946.0","998.0","1,040.0","1,073.0","1,096.0","1,115.0","1,131.0","1,142.0","1,149.0","1,156.0","1,162.0","1,169.0","1,176.0","1,191.0","1,215.0","1,246.0","1,286.0","1,318.0","1,342.0","1,358.0","1,366.0","1,375.0","1,383.0","1,392.0","1,401.0","1,410.0","1,418.0","1,426.0","1,433.0","1,441.0","1,451.0","1,462.0","1,475.0","1,491.0","1,510.0","1,532.0","1,558.0","1,580.0","1,597.0","1,610.0","1,618.0","1,627.0","1,636.0","1,646.0","1,657.0","1,666.0","1,674.0","1,680.0","1,685.0","1,701.0","1,727.0","1,763.0","1,811.0","1,854.0","1,894.0","1,930.0","1,962.0","2,000.0","2,044.0","2,094.0","2,149.0","2,193.0","2,226.0","2,248.0","2,258.0","2,275.0","2,298.0","2,328.0","2,364.0","2,402.0","2,442.0","2,484.0","2,527.0","2,577.0","2,633.0","2,695.0","2,763.0","2,824.0","2,880.0","2,929.0","2,972.0","3,018.0","3,068.0","3,121.0","3,178.0","3,241.0","3,312.0","3,389.0","3,473.0","3,544.0","3,601.0"
"31","12","        Rental income of persons","B1620C1","848.0","892.0","927.0","953.0","970.0","983.0","993.0","998.0","1,000.0","1,002.0","1,005.0","1,009.0","1,014.0","1,026.0","1,044.0","1,068.0","1,100.0","1,125.0","1,144.0","1,156.0","1,163.0","1,169.0","1,175.0","1,181.0","1,187.0","1,193.0","1,198.0","1,202.0","1,206.0","1,212.0","1,220.0","1,230.0","1,242.0","1,256.0","1,271.0","1,287.0","1,305.0","1,320.0","1,331.0","1,340.0","1,346.0","1,351.0","1,356.0","1,360.0","1,364.0","1,369.0","1,374.0","1,380.0","1,386.0","1,403.0","1,432.0","1,471.0","1,521.0","1,566.0","1,605.0","1,640.0","1,670.0","1,706.0","1,748.0","1,796.0","1,850.0","1,892.0","1,923.0","1,943.0","1,951.0","1,965.0","1,986.0","2,014.0","2,049.0","2,085.0","2,123.0","2,163.0","2,205.0","2,252.0","2,306.0","2,365.0","2,431.0","2,490.0","2,541.0","2,586.0","2,624.0","2,665.0","2,710.0","2,757.0","2,807.0","2,864.0","2,929.0","3,001.0","3,080.0","3,145.0","3,197.0"
"32","13","          Nonfarm tenant-occupied housing","B2608C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","          Farm tenant-occupied housing","W278RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","          Farms owned by nonoperator landlords","B2609C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
