"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Change in private inventories","A014RX1","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","115,728.0"
"21","2","Farm","B018RX1","-8,959.0","8,710.0","10,004.0","6,632.0","6,248.0","-2,640.0","2,956.0","876.0","-1,936.0","1,087.0","-12,034.0","-3,911.0","-20,512.0","6,931.0","-2,334.0","7,862.0","6,668.0","-3,301.0","1,748.0","-4,592.0","2,701.0","-10,881.0","-3,725.0","-1,973.0","3,267.0","-970.0","174.0","-1,926.0","5,741.0","15,705.0","8,371.0","6,006.0","-5,031.0","802.0","3,330.0","1,926.0","1,700.0","-7,305.0","-6,267.0","-4,744.0","3,188.0","-3,809.0","-2,038.0","-1,083.0","-4,896.0","2,168.0","4,579.0","2,680.0","-677.0","-1,030.0","-4,161.0","-541.0","-2,989.0","-5,782.0","-9,906.0","-9,466.0","-5,461.0","-6,069.0","-3,889.0","-2,501.0","-785.0","-4,897.0","-13,617.0","-9,567.0","16,019.0","19,450.0","22,770.0"
"22","3","Mining, utilities, and construction","N541RX1","161.0","5,788.0","5,385.0","-974.0","9,939.0","8,993.0","6,642.0","11,165.0","165.0","288.0","-3,514.0","-5,125.0","3,580.0","-3,980.0","-1,004.0","-10,473.0","12,257.0","15,257.0","7,529.0","10,506.0","174.0","-4,470.0","-7,185.0","-4,824.0","8,782.0","3,571.0","7,780.0","10,498.0","-3,047.0","958.0","6,159.0","1,204.0","3,703.0","9,713.0","-2,394.0","1,911.0","14,111.0","21,553.0","15,409.0","13,136.0","1,231.0","1,733.0","-1,445.0","-13,905.0","-11,347.0","-11,096.0","6,224.0","-10,404.0","12,427.0","9,629.0","-9,231.0","-23,161.0","-13,702.0","9,105.0","3,528.0","6,733.0","-8,384.0","-6,893.0","-4,014.0","4,765.0","26,503.0","7,327.0","-3,368.0","-2,477.0","-9,821.0","452.0","8,838.0"
"23","4","Manufacturing","N150RX1","19,245.0","28,552.0","25,141.0","32,776.0","40,568.0","19,990.0","8,921.0","9,753.0","15,841.0","6,097.0","20,012.0","29,976.0","-4,232.0","18,098.0","7,437.0","13,996.0","-24,688.0","-23,744.0","-30,020.0","-38,854.0","-21,030.0","-1,913.0","14,184.0","4,416.0","31.0","-11,483.0","-21,184.0","-3,060.0","-2,677.0","8,484.0","4,254.0","15,810.0","45,901.0","5,051.0","10,964.0","29,436.0","23,209.0","20,465.0","20,914.0","11,509.0","9,135.0","20,977.0","15,716.0","24,325.0","19,542.0","-24,215.0","-28,867.0","-37,982.0","-23,663.0","-42,060.0","-39,386.0","62.0","9,880.0","5,055.0","35,402.0","38,043.0","20,056.0","30,897.0","733.0","32,150.0","19,327.0","2,896.0","34,312.0","-17,506.0","6,119.0","10,892.0","18,010.0"
"24","5","  Durable goods industries","N624RX1","10,157.0","18,062.0","16,495.0","20,233.0","34,763.0","19,417.0","11,061.0","10,323.0","6,964.0","-4,331.0","12,623.0","14,990.0","-2,125.0","11,376.0","5,160.0","15,231.0","-16,888.0","-14,917.0","-26,456.0","-33,471.0","-12,566.0","-6,184.0","57.0","3,103.0","1,888.0","-11,913.0","-16,975.0","4,193.0","-3,945.0","7,146.0","4,163.0","9,680.0","29,562.0","9,061.0","14,577.0","18,030.0","10,684.0","11,753.0","18,412.0","9,906.0","13,460.0","4,286.0","8,039.0","24,790.0","-3,272.0","-27,674.0","-5,344.0","15,572.0","-20,345.0","-36,680.0","-32,542.0","-6,669.0","9,022.0","17,053.0","21,859.0","19,384.0","24,685.0","21,036.0","12,375.0","21,820.0","16,548.0","9,786.0","22,713.0","3,051.0","5,423.0","7,994.0","17,338.0"
"25","6","  Nondurable goods industries","N625RX1","9,286.0","10,017.0","8,099.0","12,155.0","3,048.0","-1,302.0","-3,507.0","-1,638.0","9,306.0","12,177.0","7,074.0","15,360.0","-2,184.0","6,485.0","2,086.0","-2,416.0","-7,334.0","-8,572.0","-2,090.0","-3,330.0","-8,359.0","5,161.0","15,404.0","1,201.0","-2,108.0","1,018.0","-3,659.0","-7,846.0","1,488.0","1,125.0","-58.0","6,071.0","16,090.0","-4,317.0","-3,852.0","11,380.0","12,591.0","8,727.0","2,312.0","1,497.0","-4,692.0","16,743.0","7,583.0","67.0","21,604.0","1,951.0","-22,079.0","-51,338.0","-3,200.0","-5,305.0","-6,915.0","6,608.0","1,081.0","-11,308.0","13,684.0","18,567.0","-3,319.0","10,186.0","-10,151.0","10,666.0","3,540.0","-5,850.0","11,947.0","-18,895.0","946.0","3,127.0","1,604.0"
"26","7","Wholesale trade","N658RX1","23,851.0","40,004.0","19,840.0","36,263.0","37,339.0","16,398.0","33,891.0","18,381.0","27,199.0","9,789.0","26,236.0","31,123.0","20,020.0","29,820.0","16,789.0","25,888.0","-7,143.0","-7,674.0","-28,248.0","-17,905.0","-8,521.0","6,905.0","5,487.0","-2,416.0","-6,681.0","-5,123.0","275.0","19,096.0","15,904.0","20,183.0","34,503.0","26,363.0","47,811.0","25,991.0","13,674.0","36,112.0","23,480.0","31,062.0","31,387.0","9,385.0","12,951.0","15,868.0","22,563.0","12,110.0","15,044.0","31,368.0","16,092.0","10,520.0","-70,768.0","-88,476.0","-80,914.0","-7,410.0","5,751.0","15,509.0","54,927.0","22,969.0","6,484.0","36,193.0","-1,663.0","38,794.0","21,749.0","13,029.0","31,885.0","9,724.0","9,681.0","2,701.0","28,562.0"
"27","8","  Durable goods industries","N661RX1","16,182.0","27,570.0","8,831.0","19,863.0","27,455.0","9,401.0","24,217.0","13,514.0","17,451.0","12,547.0","11,639.0","21,628.0","12,713.0","24,565.0","9,714.0","13,865.0","-7,433.0","-23,803.0","-24,566.0","-20,846.0","-9,969.0","1,641.0","8,710.0","-7,339.0","5,158.0","-1,643.0","-6,181.0","14,173.0","17,727.0","21,334.0","30,473.0","15,681.0","31,447.0","22,163.0","8,729.0","26,974.0","11,095.0","27,922.0","26,830.0","9,476.0","13,459.0","-6,578.0","-2,532.0","8,763.0","12,412.0","3,496.0","21,962.0","-3,698.0","-65,188.0","-62,041.0","-49,824.0","-21,254.0","7,374.0","1,137.0","19,817.0","13,140.0","22,499.0","35,715.0","29,862.0","24,790.0","22,591.0","24,458.0","22,008.0","14,528.0","11,173.0","5,731.0","22,042.0"
"28","9","  Nondurable goods industries","N664RX1","6,727.0","10,676.0","11,916.0","16,687.0","7,711.0","6,999.0","7,951.0","3,828.0","9,125.0","-4,985.0","15,634.0","8,427.0","6,987.0","3,458.0","7,056.0","12,224.0","1,037.0","20,043.0","-1,891.0","5,266.0","2,546.0","5,728.0","-4,229.0","5,863.0","-13,148.0","-3,668.0","7,359.0","4,538.0","-2,790.0","-2,251.0","2,762.0","10,607.0","15,940.0","3,134.0","4,866.0","8,810.0","12,607.0","2,594.0","4,069.0","-266.0","-971.0","22,719.0","25,162.0","3,191.0","2,943.0","26,573.0","-4,751.0","13,998.0","-5,141.0","-26,404.0","-31,170.0","13,455.0","-1,584.0","14,024.0","34,535.0","9,761.0","-13,793.0","2,665.0","-27,037.0","14,309.0","841.0","-8,743.0","10,628.0","-3,173.0","-495.0","-2,296.0","7,581.0"
"29","10","Retail trade","N153RX1","6,735.0","25,073.0","17,887.0","13,347.0","31,210.0","2,675.0","9,718.0","21,283.0","41,936.0","15,615.0","9,267.0","43,029.0","8,790.0","38,397.0","22,931.0","16,984.0","-23,796.0","7,299.0","11,540.0","-40,219.0","23,059.0","29,539.0","21,380.0","36,881.0","30,093.0","8,426.0","17,792.0","20,257.0","33,636.0","31,084.0","13,251.0","22,715.0","16,517.0","-11,028.0","-6,467.0","21,618.0","10,511.0","8,193.0","13,291.0","7,069.0","-8,069.0","13,280.0","17,329.0","3,705.0","-39,745.0","-21,743.0","-21,170.0","-37,936.0","-58,240.0","-59,155.0","-65,536.0","-15,923.0","12,509.0","27,017.0","33,419.0","743.0","5,297.0","-13,642.0","-1,652.0","3,860.0","27,136.0","28,729.0","26,160.0","24,696.0","17,219.0","19,499.0","31,111.0"
"30","11","  Motor vehicle and parts dealers","N631RX1","719.0","6,785.0","5,379.0","7,423.0","9,865.0","-6,211.0","-4,156.0","7,805.0","24,687.0","569.0","2,514.0","21,624.0","2,006.0","23,180.0","15,576.0","6,035.0","-25,780.0","9,057.0","8,483.0","-28,441.0","19,431.0","18,343.0","2,809.0","28,138.0","16,949.0","11,842.0","7,697.0","15,173.0","14,806.0","13,563.0","1,875.0","-37.0","3,077.0","-19,030.0","-7,644.0","11,954.0","814.0","92.0","558.0","-4,198.0","-8,978.0","3,115.0","18,531.0","-1,024.0","-13,090.0","-9,048.0","-15,581.0","-11,253.0","-42,652.0","-38,177.0","-44,008.0","-6,886.0","10,466.0","17,932.0","23,811.0","-5,451.0","55.0","-8,709.0","-1,576.0","3,136.0","25,735.0","21,038.0","22,197.0","13,703.0","5,985.0","14,574.0","14,081.0"
"31","12","  Food and beverage stores","N542RX1","421.0","595.0","1,828.0","-996.0","1,311.0","2,385.0","-179.0","1,527.0","2,426.0","2,015.0","2,702.0","922.0","-101.0","-2,462.0","499.0","-857.0","1,091.0","750.0","18.0","217.0","647.0","862.0","2,856.0","-70.0","-1,104.0","-3,571.0","1,707.0","-2,837.0","353.0","924.0","272.0","-118.0","232.0","-63.0","-2,165.0","983.0","1,749.0","1,405.0","503.0","319.0","-832.0","1,655.0","2,557.0","1,453.0","-608.0","298.0","-797.0","-674.0","2,513.0","-1,004.0","-388.0","-2,450.0","1,320.0","-881.0","688.0","204.0","-2,169.0","1,510.0","853.0","-12.0","1,616.0","-979.0","313.0","360.0","752.0","858.0","284.0"
"32","13","  General merchandise stores","N543RX1","-449.0","3,678.0","-1,378.0","-1,192.0","-207.0","-189.0","2,838.0","-781.0","3,452.0","2,452.0","2,274.0","4,102.0","433.0","2,924.0","-955.0","2,306.0","5,813.0","809.0","-167.0","-5,751.0","-1,407.0","283.0","4,976.0","5,380.0","955.0","1,365.0","2,446.0","958.0","6,758.0","3,630.0","1,143.0","8,166.0","6,830.0","1,020.0","2,630.0","1,871.0","-2,604.0","-1,910.0","5,452.0","3,385.0","582.0","666.0","-3,340.0","1,103.0","-7,277.0","-2,321.0","-712.0","-5,972.0","-3,145.0","-2,854.0","-5,300.0","-181.0","829.0","2,745.0","4,427.0","752.0","5,131.0","-2,152.0","159.0","1,034.0","-1,048.0","327.0","-1,121.0","5,520.0","5,684.0","875.0","4,828.0"
"33","14","  Other retail stores","N558RX1","6,067.0","13,793.0","11,917.0","7,218.0","19,841.0","7,940.0","12,078.0","12,502.0","9,468.0","11,285.0","2,087.0","14,766.0","6,386.0","12,335.0","6,352.0","9,040.0","-1,738.0","-4,355.0","2,356.0","-3,411.0","2,432.0","8,580.0","11,387.0","833.0","12,044.0","-2,754.0","5,784.0","5,911.0","11,158.0","12,558.0","10,133.0","15,228.0","6,456.0","8,393.0","1,058.0","6,341.0","10,703.0","8,739.0","6,980.0","7,874.0","1,394.0","7,855.0","-829.0","2,234.0","-18,712.0","-10,607.0","-4,124.0","-20,030.0","-15,055.0","-17,191.0","-15,757.0","-6,320.0","-105.0","7,162.0","4,263.0","5,423.0","2,421.0","-4,382.0","-1,113.0","-291.0","1,011.0","8,492.0","4,855.0","5,340.0","4,861.0","3,359.0","12,162.0"
"34","15","Other industries","N154RX1","9,585.0","5,364.0","3,931.0","5,989.0","3,951.0","6,503.0","6,204.0","9,733.0","8,682.0","10,311.0","8,086.0","6,391.0","12,576.0","15,493.0","21,207.0","7,919.0","1,980.0","-939.0","-874.0","-1,843.0","-3,252.0","2,051.0","-717.0","-1,123.0","-616.0","4,308.0","1,180.0","1,800.0","4,744.0","4,274.0","5,107.0","4,304.0","3,040.0","2,961.0","-84.0","4,125.0","2,327.0","6,613.0","4,990.0","3,202.0","1,015.0","1,325.0","-1,525.0","-1,487.0","768.0","-1,337.0","302.0","7,291.0","-5,211.0","-8,643.0","-5,925.0","-2,281.0","-964.0","-2,158.0","-753.0","-500.0","5,003.0","1,991.0","57.0","4,598.0","-811.0","14,356.0","7,326.0","6,585.0","-948.0","-352.0","2,962.0"
"35","16","Residual","N969RX1","1,400.0","1,700.0","-1,400.0","1,000.0","4,000.0","-1,700.0","1,300.0","2,300.0","7,500.0","1,800.0","2,400.0","8,300.0","3,800.0","8,400.0","5,200.0","3,300.0","-7,700.0","-2,900.0","-800.0","-11,800.0","4,100.0","5,400.0","1,900.0","5,900.0","4,100.0","2,300.0","300.0","1,800.0","3,300.0","3,000.0","600.0","-700.0","0.0","-900.0","-800.0","500.0","2,900.0","4,200.0","2,600.0","1,800.0","700.0","-300.0","-200.0","-1,200.0","1,300.0","1,000.0","-400.0","-3,600.0","1,200.0","-400.0","-900.0","200.0","-900.0","-100.0","300.0","-400.0","-4,600.0","-1,900.0","-6,700.0","-1,700.0","-6,400.0","-8,500.0","-6,600.0","-7,600.0","2,500.0","2,700.0","1,200.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Change in private inventories","A014RX1","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","115,728.0"
"38","18","    Durable goods industries","N355RX1","29,998.0","56,489.0","34,677.0","49,936.0","76,664.0","24,952.0","35,416.0","36,692.0","57,993.0","13,118.0","29,497.0","67,268.0","19,293.0","64,646.0","36,079.0","38,853.0","-49,499.0","-27,827.0","-37,972.0","-84,228.0","8,858.0","19,006.0","17,090.0","34,926.0","31,974.0","3,327.0","-8,546.0","38,753.0","38,435.0","53,977.0","41,396.0","34,856.0","70,675.0","22,124.0","21,115.0","64,787.0","27,234.0","45,990.0","53,403.0","15,599.0","17,143.0","4,212.0","14,523.0","28,343.0","-18,737.0","-45,136.0","-7,923.0","-25,265.0","-140,568.0","-145,493.0","-134,180.0","-47,754.0","22,255.0","34,820.0","64,624.0","29,227.0","45,442.0","45,340.0","36,905.0","43,938.0","64,990.0","65,768.0","72,126.0","36,303.0","20,375.0","28,512.0","59,362.0"
"39","19","    Nondurable goods industries","N357RX1","19,595.0","54,676.0","46,323.0","42,107.0","46,591.0","23,946.0","30,554.0","33,041.0","36,018.0","33,591.0","20,519.0","36,203.0","2,737.0","41,179.0","31,661.0","23,406.0","16,184.0","18,092.0","4,304.0","-6,599.0","-14,303.0","6,390.0","14,970.0","-2,112.0","2,738.0","-3,859.0","17,096.0","6,616.0","17,140.0","26,869.0","29,008.0","41,252.0","39,326.0","10,551.0","-3,345.0","29,687.0","51,682.0","38,202.0","27,908.0","26,045.0","2,096.0","45,261.0","35,501.0","-4,978.0","-1,583.0","16,433.0","-12,259.0","-41,213.0","-4,093.0","-44,558.0","-71,758.0","-1,872.0","-11,824.0","14,460.0","52,215.0","29,353.0","-20,402.0","286.0","-43,523.0","37,548.0","27,710.0","-3,960.0","9,887.0","-24,467.0","22,134.0","28,638.0","57,673.0"
"40","20","  Nonfarm industries","B015RX1","59,289.0","104,158.0","71,100.0","87,257.0","121,130.0","51,367.0","63,873.0","69,118.0","97,465.0","43,629.0","60,569.0","109,052.0","41,014.0","101,429.0","69,728.0","56,344.0","-43,460.0","-9,660.0","-38,035.0","-92,194.0","-6,054.0","35,797.0","35,459.0","36,752.0","33,034.0","674.0","7,365.0","48,632.0","50,748.0","65,941.0","62,794.0","70,302.0","115,839.0","32,128.0","14,929.0","92,554.0","76,925.0","90,756.0","87,661.0","46,175.0","16,396.0","53,233.0","52,302.0","24,124.0","-15,004.0","-28,808.0","-25,693.0","-70,361.0","-144,154.0","-189,265.0","-201,616.0","-48,832.0","12,907.0","54,642.0","126,789.0","69,103.0","28,722.0","51,073.0","-6,631.0","85,470.0","92,497.0","64,700.0","97,272.0","20,302.0","22,201.0","32,658.0","89,228.0"
"41","21","  Wholesale trade","N658RX1","23,851.0","40,004.0","19,840.0","36,263.0","37,339.0","16,398.0","33,891.0","18,381.0","27,199.0","9,789.0","26,236.0","31,123.0","20,020.0","29,820.0","16,789.0","25,888.0","-7,143.0","-7,674.0","-28,248.0","-17,905.0","-8,521.0","6,905.0","5,487.0","-2,416.0","-6,681.0","-5,123.0","275.0","19,096.0","15,904.0","20,183.0","34,503.0","26,363.0","47,811.0","25,991.0","13,674.0","36,112.0","23,480.0","31,062.0","31,387.0","9,385.0","12,951.0","15,868.0","22,563.0","12,110.0","15,044.0","31,368.0","16,092.0","10,520.0","-70,768.0","-88,476.0","-80,914.0","-7,410.0","5,751.0","15,509.0","54,927.0","22,969.0","6,484.0","36,193.0","-1,663.0","38,794.0","21,749.0","13,029.0","31,885.0","9,724.0","9,681.0","2,701.0","28,562.0"
