"","Table 2#2A# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Wages and salaries","A576RC1","118,864.0","121,260.0","123,988.0","128,267.0","131,665.0","133,378.0","138,057.0","139,101.0","136,742.0","135,005.0","133,983.0","133,202.0","136,870.0","143,042.0","151,025.0","158,074.0","165,333.0","170,993.0","173,494.0","176,605.0","181,006.0","182,120.0","185,952.0","193,466.0","197,069.0","200,027.0","200,146.0","198,715.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,011.0","260,556.0","260,899.0","263,902.0","270,749.0","273,398.0","273,964.0","273,308.0","273,789.0","277,633.0","282,252.0","288,403.0","293,276.0","298,747.0","301,175.0","304,234.0","307,962.0","312,356.0","316,845.0","322,240.0","328,222.0","334,833.0","341,409.0","346,687.0","352,814.0","358,877.0","366,215.0","377,121.0","385,763.0","395,903.0","406,132.0","413,485.0","418,841.0","423,604.0","432,009.0","441,583.0","454,210.0","465,923.0","478,330.0","489,423.0","499,068.0","511,382.0","526,431.0","536,451.0"
"21","2","Private industries","A132RC1","101,738.0","103,914.0","106,390.0","110,294.0","113,371.0","114,747.0","118,803.0","119,199.0","116,392.0","114,316.0","112,904.0","112,012.0","115,645.0","121,238.0","128,067.0","133,529.0","138,627.0","142,484.0","143,310.0","145,089.0","148,567.0","148,985.0","152,191.0","159,289.0","162,748.0","165,672.0","165,859.0","164,326.0","162,004.0","161,240.0","161,205.0","164,983.0","168,574.0","173,617.0","177,848.0","182,181.0","185,446.0","188,969.0","190,769.0","195,711.0","198,037.0","198,884.0","200,328.0","198,503.0","194,689.0","193,185.0","197,730.0","203,177.0","208,555.0","214,712.0","214,663.0","217,222.0","223,037.0","224,762.0","224,092.0","222,800.0","222,685.0","225,833.0","229,460.0","234,215.0","237,976.0","242,771.0","244,687.0","246,610.0","249,342.0","252,976.0","256,665.0","260,316.0","265,098.0","270,673.0","275,749.0","279,931.0","285,362.0","290,329.0","295,727.0","303,969.0","310,835.0","319,027.0","326,332.0","331,533.0","335,389.0","338,608.0","344,941.0","351,167.0","361,450.0","370,719.0","379,590.0","389,371.0","397,784.0","408,270.0","418,267.0","426,611.0"
"22","3","  Goods-producing industries","A206RC1","52,310.0","53,418.0","54,289.0","56,958.0","59,379.0","59,846.0","62,419.0","62,648.0","60,307.0","57,769.0","57,149.0","56,043.0","58,389.0","62,574.0","67,157.0","71,183.0","74,087.0","76,695.0","77,023.0","77,714.0","79,979.0","79,759.0","81,545.0","87,285.0","89,680.0","90,789.0","90,285.0","88,246.0","86,295.0","85,419.0","84,567.0","87,047.0","89,519.0","92,566.0","94,285.0","96,753.0","98,006.0","99,999.0","100,876.0","104,270.0","105,049.0","104,753.0","104,853.0","102,869.0","99,175.0","97,415.0","100,514.0","103,960.0","107,467.0","111,285.0","109,994.0","110,735.0","114,786.0","114,532.0","113,022.0","111,240.0","110,584.0","112,762.0","114,793.0","117,830.0","119,638.0","122,292.0","123,067.0","123,718.0","124,659.0","126,407.0","128,348.0","130,048.0","131,958.0","135,032.0","137,586.0","139,232.0","142,930.0","144,860.0","147,129.0","151,367.0","155,903.0","160,608.0","163,854.0","166,071.0","166,630.0","166,727.0","169,778.0","172,720.0","178,015.0","182,305.0","185,608.0","190,519.0","194,106.0","198,896.0","203,264.0","205,379.0"
"23","4","    Manufacturing","A552RC1","41,213.0","41,957.0","42,321.0","44,353.0","46,128.0","46,428.0","47,992.0","48,032.0","46,392.0","44,472.0","44,364.0","43,324.0","45,371.0","48,405.0","52,018.0","55,470.0","57,711.0","59,768.0","59,750.0","60,198.0","62,039.0","62,188.0","63,517.0","68,985.0","71,136.0","72,399.0","71,750.0","69,726.0","67,926.0","67,135.0","66,529.0","68,705.0","70,754.0","73,147.0","74,592.0","77,062.0","77,549.0","78,595.0","79,308.0","82,504.0","83,243.0","82,832.0","82,897.0","81,088.0","77,861.0","76,331.0","79,036.0","81,648.0","84,843.0","88,145.0","87,204.0","87,556.0","91,449.0","90,769.0","89,281.0","87,605.0","86,969.0","88,949.0","90,559.0","93,172.0","94,911.0","96,932.0","97,422.0","97,906.0","98,799.0","100,009.0","101,248.0","102,903.0","104,310.0","106,519.0","108,734.0","109,629.0","112,802.0","114,229.0","116,292.0","119,390.0","123,207.0","127,179.0","130,089.0","132,348.0","132,623.0","132,643.0","134,751.0","137,234.0","141,542.0","144,736.0","147,049.0","150,861.0","153,266.0","156,388.0","160,050.0","161,168.0"
"24","5","  Distributive industries","A212RC1","33,833.0","34,341.0","35,785.0","36,913.0","36,652.0","37,015.0","38,270.0","38,351.0","37,831.0","38,285.0","37,344.0","36,977.0","37,908.0","39,030.0","41,000.0","41,786.0","43,459.0","44,629.0","44,458.0","45,027.0","45,908.0","46,290.0","47,276.0","48,223.0","48,646.0","49,940.0","50,377.0","50,649.0","50,259.0","50,004.0","50,210.0","50,703.0","51,416.0","52,803.0","54,430.0","55,603.0","57,063.0","57,808.0","57,983.0","58,965.0","59,806.0","60,483.0","61,405.0","61,300.0","60,487.0","60,012.0","61,165.0","62,649.0","63,817.0","65,222.0","65,432.0","66,114.0","67,668.0","68,904.0","68,926.0","68,824.0","68,549.0","68,976.0","70,077.0","70,948.0","72,030.0","73,116.0","73,605.0","74,321.0","75,024.0","76,369.0","77,306.0","78,374.0","79,861.0","81,193.0","82,811.0","84,262.0","85,356.0","86,959.0","88,432.0","90,666.0","92,084.0","94,188.0","96,099.0","97,850.0","99,496.0","100,698.0","102,295.0","103,938.0","106,555.0","109,533.0","112,337.0","114,734.0","116,734.0","120,488.0","123,190.0","126,414.0"
"25","6","  Service industries","A218RC1","15,595.0","16,155.0","16,315.0","16,423.0","17,340.0","17,886.0","18,114.0","18,200.0","18,254.0","18,262.0","18,411.0","18,992.0","19,348.0","19,634.0","19,909.0","20,560.0","21,081.0","21,160.0","21,829.0","22,348.0","22,680.0","22,936.0","23,370.0","23,781.0","24,422.0","24,943.0","25,197.0","25,431.0","25,450.0","25,818.0","26,428.0","27,233.0","27,639.0","28,248.0","29,132.0","29,825.0","30,377.0","31,162.0","31,910.0","32,476.0","33,182.0","33,649.0","34,071.0","34,334.0","35,027.0","35,758.0","36,051.0","36,568.0","37,271.0","38,205.0","39,237.0","40,373.0","40,583.0","41,327.0","42,145.0","42,737.0","43,552.0","44,095.0","44,589.0","45,437.0","46,308.0","47,363.0","48,015.0","48,571.0","49,659.0","50,200.0","51,011.0","51,893.0","53,278.0","54,448.0","55,351.0","56,437.0","57,077.0","58,511.0","60,167.0","61,937.0","62,849.0","64,232.0","66,380.0","67,612.0","69,263.0","71,182.0","72,867.0","74,509.0","76,879.0","78,880.0","81,645.0","84,118.0","86,944.0","88,885.0","91,813.0","94,819.0"
"26","7","Government","B202RC1","17,126.0","17,346.0","17,598.0","17,973.0","18,294.0","18,631.0","19,254.0","19,902.0","20,350.0","20,689.0","21,079.0","21,190.0","21,225.0","21,804.0","22,958.0","24,545.0","26,706.0","28,509.0","30,184.0","31,516.0","32,439.0","33,135.0","33,761.0","34,177.0","34,321.0","34,355.0","34,287.0","34,389.0","34,397.0","34,717.0","35,129.0","35,377.0","35,482.0","36,234.0","37,398.0","37,270.0","37,836.0","38,532.0","39,184.0","39,656.0","40,229.0","40,733.0","41,501.0","41,589.0","42,035.0","43,091.0","46,107.0","45,255.0","45,456.0","45,844.0","46,236.0","46,680.0","47,712.0","48,636.0","49,872.0","50,508.0","51,104.0","51,800.0","52,792.0","54,188.0","55,300.0","55,976.0","56,488.0","57,624.0","58,620.0","59,380.0","60,180.0","61,924.0","63,124.0","64,160.0","65,660.0","66,756.0","67,452.0","68,548.0","70,488.0","73,152.0","74,928.0","76,876.0","79,800.0","81,952.0","83,452.0","84,996.0","87,068.0","90,416.0","92,760.0","95,204.0","98,740.0","100,052.0","101,284.0","103,112.0","108,164.0","109,840.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
