"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"21","2","       Final sales of domestic product","A190RX1","4,662,625.0","4,686,575.0","4,710,741.0","4,712,487.0","4,723,774.0","4,715,118.0","4,757,096.0","4,748,363.0","4,805,865.0","4,838,985.0","4,880,519.0","4,938,470.0","5,007,440.0","5,088,969.0","5,133,084.0","5,252,011.0","5,362,802.0","5,388,899.0","5,393,977.0","5,400,492.0","5,395,098.0","5,401,628.0","5,384,930.0","5,308,262.0","5,346,738.0","5,401,498.0","5,449,700.0","5,516,545.0","5,593,367.0","5,613,078.0","5,648,604.0","5,727,936.0","5,782,195.0","5,874,271.0","5,936,094.0","5,985,166.0","5,993,393.0","6,228,435.0","6,285,487.0","6,367,510.0","6,389,375.0","6,390,985.0","6,482,326.0","6,510,567.0","6,523,493.0","6,396,881.0","6,480,035.0","6,539,697.0","6,574,054.0","6,589,962.0","6,595,041.0","6,560,341.0","6,537,381.0","6,535,791.0","6,495,086.0","6,590,038.0","6,664,317.0","6,762,445.0","6,887,271.0","6,978,758.0","7,031,167.0","7,162,011.0","7,229,031.0","7,331,909.0","7,458,342.0","7,520,485.0","7,641,978.0","7,673,360.0","7,749,463.0","7,811,691.0","7,923,721.0","7,971,656.0","7,963,443.0","8,074,421.0","8,172,564.0","8,207,142.0","8,329,682.0","8,433,197.0","8,480,542.0","8,587,777.0","8,636,109.0","8,721,888.0","8,827,772.0","8,838,168.0","8,937,856.0","8,942,025.0","8,961,549.0","8,930,488.0","8,896,220.0","8,969,112.0","8,986,976.0","8,983,751.0","9,131,311.0","9,199,631.0","9,294,173.0","9,384,958.0","9,378,362.0","9,452,030.0","9,531,965.0","9,640,537.0","9,693,354.0","9,777,645.0","9,877,301.0","9,959,686.0","10,010,632.0","10,081,708.0","10,202,559.0","10,265,975.0","10,350,187.0","10,500,378.0","10,553,747.0","10,695,734.0","10,770,553.0","10,862,859.0","11,035,169.0","11,107,548.0","11,183,144.0","11,375,906.0","11,507,000.0","11,693,342.0","11,776,708.0","11,926,948.0","12,073,254.0","12,224,432.0","12,346,036.0","12,489,602.0","12,547,426.0","12,618,431.0","12,684,248.0","12,728,179.0","12,712,137.0","12,802,430.0","12,830,420.0","12,872,071.0","12,926,838.0","12,930,090.0","12,992,819.0","13,152,337.0","13,366,300.0","13,480,224.0","13,551,150.0","13,628,717.0","13,759,836.0","13,871,221.0","13,989,925.0","14,142,915.0","14,272,817.0","14,274,927.0","14,469,007.0","14,508,334.0","14,522,018.0","14,675,188.0","14,705,292.0","14,788,351.0","14,888,897.0","14,974,389.0","14,915,256.0","14,998,660.0","14,914,059.0","14,647,643.0","14,524,432.0","14,547,191.0","14,605,216.0","14,585,210.0","14,584,279.0","14,686,332.0","14,718,316.0","14,881,848.0","14,871,857.0","14,961,826.0","15,072,729.0","15,151,309.0","15,278,893.0","15,360,768.0","15,444,910.0","15,528,343.0","15,536,412.0","15,616,217.0","15,711,139.0"
"22","3","       Change in private inventories","A014RX1","40,124.0","33,530.0","38,746.0","20,985.0","3,820.0","17,783.0","17,873.0","-14,853.0","42,097.0","35,825.0","34,050.0","-1,967.0","12,299.0","40,281.0","43,105.0","17,313.0","28,392.0","55,489.0","26,456.0","61,393.0","29,940.0","39,262.0","12,562.0","46,331.0","-18,668.0","-32,740.0","-5,234.0","342.0","34,594.0","52,040.0","47,017.0","17,177.0","29,257.0","43,655.0","76,626.0","40,304.0","48,170.0","47,177.0","48,080.0","57,173.0","43,289.0","48,976.0","18,045.0","12,975.0","14,343.0","12,244.0","-52,882.0","-15,002.0","61,111.0","15,315.0","63,057.0","32,057.0","-30,124.0","-5,918.0","6,578.0","-57,453.0","-53,534.0","-8,420.0","-2,911.0","30,417.0","96,864.0","91,064.0","95,072.0","59,866.0","18,503.0","27,121.0","22,801.0","41,940.0","37,203.0","18,101.0","-10,395.0","-8,806.0","40,108.0","22,490.0","-1,938.0","84,489.0","18,574.0","25,770.0","21,441.0","29,454.0","58,217.0","44,586.0","12,321.0","17,880.0","16,403.0","41,086.0","26,899.0","-12,641.0","-19,973.0","-23,695.0","1,000.0","34,815.0","2,635.0","25,316.0","23,219.0","26,636.0","45,979.0","31,024.0","2,055.0","17,251.0","54,664.0","98,684.0","61,617.0","86,588.0","72,412.0","41,319.0","9,398.0","15,113.0","2,036.0","29,649.0","65,483.0","38,168.0","51,406.0","112,885.0","80,890.0","94,042.0","127,889.0","49,642.0","67,367.0","71,056.0","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","115,728.0"
"23","4","       Residual","A958RX1","-15,600.0","-18,000.0","-17,900.0","-22,500.0","-24,800.0","-21,800.0","-22,200.0","-29,600.0","-18,100.0","-17,400.0","-19,300.0","-27,000.0","-22,700.0","-16,600.0","-16,400.0","-23,800.0","-16,500.0","-8,800.0","-14,400.0","-5,400.0","-13,800.0","-15,500.0","-24,700.0","-3,200.0","-41,300.0","-41,400.0","-29,000.0","-28,300.0","-15,600.0","-10,300.0","-12,000.0","-18,900.0","-18,600.0","-11,400.0","-1,600.0","-13,800.0","-9,000.0","-8,400.0","-5,100.0","-11,400.0","-6,600.0","-6,100.0","-20,200.0","-26,800.0","-19,900.0","-23,400.0","-51,100.0","-30,600.0","-6,600.0","-25,100.0","-2,400.0","-14,400.0","-39,300.0","-26,600.0","-21,900.0","-46,300.0","-39,700.0","-32,900.0","-31,700.0","-15,200.0","4,800.0","5,100.0","5,500.0","-3,700.0","-15,300.0","-17,700.0","-17,800.0","-10,900.0","-10,900.0","-18,300.0","-23,200.0","-31,900.0","-17,100.0","-20,800.0","-21,300.0","-7,800.0","-17,900.0","-18,500.0","-12,700.0","-15,700.0","-5,900.0","-9,800.0","-18,000.0","-15,400.0","-16,800.0","-11,000.0","-14,100.0","-20,100.0","-20,100.0","-20,500.0","-20,300.0","-11,800.0","-20,700.0","-11,200.0","-14,100.0","-15,100.0","-10,400.0","-13,100.0","-18,000.0","-14,700.0","-10,500.0","-5,600.0","-10,000.0","-4,700.0","-7,100.0","-11,900.0","-14,300.0","-11,000.0","-14,800.0","-12,100.0","-4,000.0","-6,500.0","-12,900.0","-3,600.0","-4,100.0","-3,300.0","-2,000.0","-6,800.0","-6,300.0","-6,500.0","-6,400.0","-4,500.0","-4,700.0","-2,100.0","-4,400.0","400.0","-1,300.0","-300.0","-600.0","-2,600.0","-1,100.0","200.0","-2,000.0","-3,900.0","-2,500.0","-2,300.0","-500.0","-300.0","100.0","-1,100.0","-1,000.0","100.0","100.0","300.0","-1,000.0","1,300.0","1,900.0","2,300.0","-1,200.0","-1,100.0","500.0","1,800.0","3,200.0","3,700.0","2,400.0","-1,300.0","300.0","-3,100.0","1,700.0","-5,600.0","-7,800.0","-200.0","3,400.0","4,600.0","3,600.0","2,900.0","4,800.0","2,500.0","100.0","6,600.0","400.0","10,200.0","13,500.0","10,100.0","11,900.0","4,000.0","5,300.0","6,900.0","12,500.0"
"24","5","Goods","A353RX1","1,057,696.0","1,049,775.0","1,057,422.0","1,048,074.0","1,042,712.0","1,052,136.0","1,056,017.0","1,016,224.0","1,070,554.0","1,066,770.0","1,076,830.0","1,064,235.0","1,086,367.0","1,139,691.0","1,156,264.0","1,181,940.0","1,234,073.0","1,264,338.0","1,245,844.0","1,274,055.0","1,254,547.0","1,255,060.0","1,233,248.0","1,225,840.0","1,180,153.0","1,189,902.0","1,231,187.0","1,246,451.0","1,288,718.0","1,309,860.0","1,318,981.0","1,310,486.0","1,326,651.0","1,357,994.0","1,403,086.0","1,395,548.0","1,386,377.0","1,468,024.0","1,478,855.0","1,512,280.0","1,520,014.0","1,513,210.0","1,534,095.0","1,529,162.0","1,543,632.0","1,505,159.0","1,485,700.0","1,523,572.0","1,600,573.0","1,559,234.0","1,617,491.0","1,565,259.0","1,507,623.0","1,535,538.0","1,515,227.0","1,482,483.0","1,492,206.0","1,555,530.0","1,585,932.0","1,670,366.0","1,726,358.0","1,763,215.0","1,782,035.0","1,795,191.0","1,790,761.0","1,801,355.0","1,834,429.0","1,844,006.0","1,862,030.0","1,859,198.0","1,884,593.0","1,892,030.0","1,898,364.0","1,931,075.0","1,956,647.0","2,009,616.0","2,021,474.0","2,059,811.0","2,062,488.0","2,101,549.0","2,144,973.0","2,174,981.0","2,191,073.0","2,177,928.0","2,208,103.0","2,210,996.0","2,206,589.0","2,165,949.0","2,145,836.0","2,155,942.0","2,176,710.0","2,182,825.0","2,192,128.0","2,235,358.0","2,262,599.0","2,290,764.0","2,299,711.0","2,322,729.0","2,307,276.0","2,362,804.0","2,415,250.0","2,462,953.0","2,471,505.0","2,542,396.0","2,549,429.0","2,539,094.0","2,558,161.0","2,603,064.0","2,615,029.0","2,683,083.0","2,742,127.0","2,766,663.0","2,805,732.0","2,883,434.0","2,941,855.0","2,969,655.0","3,020,723.0","3,001,607.0","3,061,179.0","3,156,847.0","3,205,195.0","3,237,856.0","3,289,741.0","3,377,795.0","3,355,014.0","3,465,264.0","3,450,071.0","3,456,731.0","3,388,447.0","3,398,902.0","3,358,640.0","3,385,292.0","3,425,236.0","3,440,131.0","3,473,029.0","3,436,910.0","3,478,822.0","3,502,734.0","3,631,937.0","3,700,072.0","3,708,673.0","3,736,616.0","3,789,179.0","3,837,900.0","3,916,174.0","3,927,465.0","3,962,593.0","4,012,640.0","4,123,699.0","4,141,491.0","4,162,369.0","4,239,873.0","4,234,475.0","4,308,033.0","4,369,410.0","4,422,738.0","4,353,485.0","4,407,499.0","4,356,605.0","4,091,537.0","3,997,628.0","4,001,973.0","4,041,579.0","4,198,429.0","4,303,304.0","4,353,025.0","4,454,774.0","4,519,848.0","4,509,284.0","4,573,875.0","4,570,039.0","4,737,613.0","4,802,623.0","4,810,391.0","4,866,902.0","4,852,401.0","4,917,398.0","4,965,076.0","5,092,955.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,125,437.0","3,197,962.0","3,244,983.0","3,285,951.0","3,332,920.0","3,369,875.0","3,388,628.0","3,398,273.0","3,414,285.0","3,405,334.0","3,383,959.0","3,460,234.0","3,423,321.0","3,414,232.0","3,440,962.0","3,402,285.0","3,441,407.0","3,496,968.0","3,618,595.0","3,653,222.0","3,652,984.0","3,657,079.0","3,719,256.0","3,763,097.0","3,810,103.0","3,891,755.0","3,940,046.0","3,917,490.0","4,047,217.0","4,059,352.0","4,081,122.0","4,196,321.0","4,210,883.0","4,254,760.0","4,316,649.0","4,400,600.0","4,372,885.0","4,436,447.0","4,374,622.0","4,164,355.0","4,150,100.0","4,192,429.0","4,244,463.0","4,242,895.0","4,288,801.0","4,299,763.0","4,331,231.0","4,457,728.0","4,486,249.0","4,522,997.0","4,580,270.0","4,644,241.0","4,697,069.0","4,741,479.0","4,775,278.0","4,840,358.0","4,868,057.0","4,899,281.0","4,960,066.0"
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","97,514.0","45,272.0","51,503.0","107,510.0","23,616.0","108,714.0","68,704.0","63,867.0","-37,892.0","-12,804.0","-36,894.0","-97,393.0","-3,846.0","26,477.0","32,422.0","35,100.0","36,334.0","-198.0","7,576.0","46,557.0","56,399.0","81,882.0","71,081.0","76,228.0","111,300.0","33,028.0","18,198.0","94,779.0","78,616.0","84,439.0","81,949.0","41,423.0","19,613.0","49,431.0","50,181.0","22,956.0","-20,214.0","-26,403.0","-20,714.0","-67,354.0","-144,475.0","-190,116.0","-206,110.0","-49,574.0","9,843.0","48,758.0","116,226.0","58,074.0","22,027.0","42,894.0","-11,048.0","80,595.0","89,233.0","56,825.0","77,163.0","7,307.0","42,201.0","56,571.0","115,728.0"
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,729,811.0","1,746,669.0","1,806,001.0","1,845,480.0","1,871,061.0","1,921,004.0","1,909,380.0","1,914,567.0","1,872,936.0","1,869,131.0","1,833,778.0","1,852,985.0","1,884,216.0","1,892,985.0","1,922,605.0","1,896,586.0","1,909,095.0","1,946,681.0","2,018,259.0","2,077,622.0","2,080,428.0","2,102,904.0","2,137,682.0","2,160,444.0","2,223,194.0","2,240,452.0","2,287,046.0","2,297,136.0","2,339,452.0","2,371,302.0","2,402,186.0","2,410,147.0","2,438,532.0","2,476,376.0","2,521,087.0","2,601,391.0","2,520,294.0","2,512,134.0","2,505,919.0","2,339,490.0","2,184,009.0","2,178,169.0","2,220,639.0","2,284,459.0","2,400,640.0","2,443,748.0","2,495,760.0","2,524,106.0","2,570,268.0","2,608,916.0","2,640,460.0","2,692,423.0","2,742,211.0","2,755,328.0","2,784,639.0","2,788,502.0","2,793,502.0","2,821,957.0","2,867,973.0"
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,679,723.0","1,732,252.0","1,777,993.0","1,786,461.0","1,851,136.0","1,863,611.0","1,875,358.0","1,878,154.0","1,909,121.0","1,887,574.0","1,860,795.0","1,918,006.0","1,872,590.0","1,872,915.0","1,903,960.0","1,863,103.0","1,877,999.0","1,939,410.0","2,020,598.0","2,039,214.0","2,042,000.0","2,050,719.0","2,096,344.0","2,125,042.0","2,155,282.0","2,216,607.0","2,263,966.0","2,234,056.0","2,310,896.0","2,325,196.0","2,349,145.0","2,393,456.0","2,420,567.0","2,470,586.0","2,504,884.0","2,571,098.0","2,536,275.0","2,555,941.0","2,510,656.0","2,362,650.0","2,324,380.0","2,324,266.0","2,355,469.0","2,331,162.0","2,374,639.0","2,404,427.0","2,425,133.0","2,490,452.0","2,519,458.0","2,558,049.0","2,598,543.0","2,642,839.0","2,669,627.0","2,682,013.0","2,704,776.0","2,747,245.0","2,769,520.0","2,789,298.0","2,802,184.0"
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","57,993.0","13,118.0","29,497.0","67,268.0","19,293.0","64,646.0","36,079.0","38,853.0","-49,499.0","-27,827.0","-37,972.0","-84,228.0","8,858.0","19,006.0","17,090.0","34,926.0","31,974.0","3,327.0","-8,546.0","38,753.0","38,435.0","53,977.0","41,396.0","34,856.0","70,675.0","22,124.0","21,115.0","64,787.0","27,234.0","45,990.0","53,403.0","15,599.0","17,143.0","4,212.0","14,523.0","28,343.0","-18,737.0","-45,136.0","-7,923.0","-25,265.0","-140,568.0","-145,493.0","-134,180.0","-47,754.0","22,255.0","34,820.0","64,624.0","29,227.0","45,442.0","45,340.0","36,905.0","43,938.0","64,990.0","65,768.0","72,126.0","36,303.0","20,375.0","28,512.0","59,362.0"
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,491,426.0","1,507,572.0","1,492,403.0","1,543,519.0","1,485,677.0","1,548,914.0","1,546,150.0","1,547,339.0","1,521,472.0","1,537,682.0","1,535,075.0","1,541,738.0","1,548,857.0","1,554,874.0","1,556,218.0","1,546,973.0","1,578,056.0","1,560,633.0","1,618,447.0","1,624,806.0","1,630,907.0","1,635,770.0","1,653,126.0","1,679,568.0","1,693,305.0","1,686,177.0","1,672,063.0","1,713,822.0","1,784,712.0","1,768,496.0","1,756,922.0","1,829,147.0","1,792,978.0","1,828,873.0","1,844,992.0","1,815,693.0","1,829,816.0","1,893,779.0","1,847,897.0","1,749,576.0","1,812,682.0","1,823,660.0","1,821,317.0","1,914,674.0","1,903,132.0","1,909,791.0","1,959,462.0","1,995,937.0","1,940,713.0","1,966,620.0","1,932,545.0","2,046,259.0","2,062,111.0","2,057,207.0","2,084,296.0","2,066,780.0","2,124,653.0","2,143,967.0","2,224,221.0"
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,464,131.0","1,480,930.0","1,477,210.0","1,513,454.0","1,486,084.0","1,512,640.0","1,519,458.0","1,527,060.0","1,507,197.0","1,523,296.0","1,531,482.0","1,547,923.0","1,560,850.0","1,550,400.0","1,543,288.0","1,548,583.0","1,573,895.0","1,563,358.0","1,602,117.0","1,618,303.0","1,615,044.0","1,609,817.0","1,625,396.0","1,640,176.0","1,656,565.0","1,675,332.0","1,674,308.0","1,683,414.0","1,736,042.0","1,733,170.0","1,730,042.0","1,802,466.0","1,788,416.0","1,780,733.0","1,808,338.0","1,825,213.0","1,833,493.0","1,878,254.0","1,862,081.0","1,800,905.0","1,825,492.0","1,868,105.0","1,889,088.0","1,911,926.0","1,914,287.0","1,895,419.0","1,906,191.0","1,967,223.0","1,967,063.0","1,965,746.0","1,982,846.0","2,002,895.0","2,028,839.0","2,060,324.0","2,071,582.0","2,094,596.0","2,100,462.0","2,112,041.0","2,158,641.0"
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","36,018.0","33,591.0","20,519.0","36,203.0","2,737.0","41,179.0","31,661.0","23,406.0","16,184.0","18,092.0","4,304.0","-6,599.0","-14,303.0","6,390.0","14,970.0","-2,112.0","2,738.0","-3,859.0","17,096.0","6,616.0","17,140.0","26,869.0","29,008.0","41,252.0","39,326.0","10,551.0","-3,345.0","29,687.0","51,682.0","38,202.0","27,908.0","26,045.0","2,096.0","45,261.0","35,501.0","-4,978.0","-1,583.0","16,433.0","-12,259.0","-41,213.0","-4,093.0","-44,558.0","-71,758.0","-1,872.0","-11,824.0","14,460.0","52,215.0","29,353.0","-20,402.0","286.0","-43,523.0","37,548.0","27,710.0","-3,960.0","9,887.0","-24,467.0","22,134.0","28,638.0","57,673.0"
"33","14","Services \2\","A341RX1","2,982,172.0","3,026,113.0","3,044,424.0","3,072,997.0","3,080,418.0","3,087,794.0","3,112,107.0","3,126,426.0","3,149,820.0","3,168,022.0","3,182,941.0","3,218,413.0","3,255,791.0","3,282,253.0","3,304,198.0","3,334,405.0","3,359,734.0","3,388,305.0","3,403,448.0","3,422,266.0","3,432,707.0","3,460,131.0","3,475,602.0","3,515,076.0","3,554,273.0","3,603,022.0","3,597,605.0","3,634,425.0","3,655,713.0","3,673,019.0","3,704,104.0","3,744,574.0","3,778,135.0","3,799,189.0","3,838,158.0","3,863,236.0","3,910,925.0","3,957,629.0","3,981,178.0","4,004,437.0","4,038,691.0","4,055,346.0","4,051,229.0","4,087,667.0","4,106,729.0","4,116,592.0","4,143,556.0","4,174,327.0","4,182,844.0","4,222,178.0","4,224,061.0","4,229,556.0","4,248,665.0","4,262,392.0","4,298,833.0","4,356,650.0","4,415,579.0","4,458,519.0","4,512,225.0","4,498,692.0","4,524,104.0","4,576,710.0","4,615,892.0","4,656,109.0","4,734,435.0","4,784,913.0","4,862,939.0","4,904,360.0","4,941,257.0","4,999,191.0","5,051,193.0","5,090,370.0","5,146,116.0","5,188,908.0","5,219,231.0","5,276,175.0","5,338,719.0","5,382,231.0","5,444,008.0","5,504,617.0","5,535,898.0","5,582,089.0","5,620,057.0","5,671,060.0","5,712,243.0","5,771,211.0","5,805,315.0","5,818,020.0","5,833,144.0","5,891,784.0","5,912,400.0","5,939,386.0","6,021,211.0","6,060,424.0","6,125,793.0","6,168,734.0","6,179,261.0","6,198,724.0","6,257,365.0","6,282,712.0","6,319,158.0","6,364,523.0","6,418,470.0","6,438,410.0","6,468,500.0","6,529,115.0","6,582,502.0","6,590,589.0","6,630,035.0","6,693,800.0","6,705,319.0","6,771,878.0","6,794,545.0","6,863,043.0","6,918,910.0","6,977,507.0","7,021,241.0","7,119,958.0","7,171,435.0","7,234,625.0","7,282,322.0","7,343,514.0","7,432,267.0","7,522,685.0","7,574,010.0","7,674,976.0","7,705,930.0","7,765,805.0","7,820,539.0","7,846,890.0","7,872,244.0","7,898,786.0","7,968,647.0","8,031,581.0","8,068,680.0","8,107,521.0","8,117,280.0","8,198,629.0","8,228,620.0","8,288,636.0","8,361,779.0","8,406,993.0","8,468,454.0","8,531,022.0","8,576,439.0","8,628,090.0","8,701,554.0","8,724,677.0","8,779,837.0","8,835,292.0","8,873,564.0","8,953,283.0","8,988,366.0","9,028,827.0","9,092,346.0","9,138,626.0","9,156,782.0","9,187,005.0","9,191,569.0","9,197,902.0","9,174,197.0","9,210,703.0","9,228,225.0","9,254,799.0","9,256,380.0","9,303,383.0","9,342,908.0","9,380,159.0","9,383,901.0","9,417,991.0","9,449,224.0","9,444,045.0","9,500,616.0","9,527,038.0","9,565,232.0","9,551,959.0","9,560,140.0","9,577,553.0","9,582,636.0"
