"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"33","14","  Services","DSERRC1","60,695.0","61,908.0","63,249.0","64,344.0","65,406.0","67,084.0","68,461.0","69,404.0","69,799.0","70,300.0","70,376.0","71,085.0","72,265.0","74,365.0","76,665.0","78,147.0","81,751.0","82,908.0","84,395.0","85,889.0","87,556.0","89,621.0","91,774.0","93,802.0","95,761.0","97,649.0","99,529.0","99,770.0","101,274.0","103,224.0","105,199.0","106,940.0","108,825.0","110,017.0","111,686.0","114,593.0","116,369.0","118,163.0","120,405.0","122,723.0","124,320.0","125,971.0","127,961.0","130,283.0","131,073.0","133,429.0","135,885.0","137,450.0","140,144.0","143,267.0","146,560.0","149,630.0","151,668.0","154,193.0","155,030.0","157,351.0","159,338.0","162,374.0","163,661.0","167,261.0","169,849.0","173,223.0","175,350.0","178,126.0","179,672.0","182,164.0","185,972.0","189,487.0","193,473.0","197,153.0","200,732.0","204,398.0","207,614.0","211,656.0","215,654.0","220,701.0","224,380.0","228,899.0","232,884.0","237,741.0","241,592.0","245,693.0","250,961.0","255,436.0","262,472.0","269,738.0","276,340.0","282,794.0","288,967.0","296,506.0"
"34","15","    Household consumption expenditures (for services)","DHCERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","135,483.0","138,471.0","141,625.0","144,567.0","146,546.0","149,109.0","149,990.0","152,360.0","154,380.0","157,177.0","158,331.0","161,761.0","164,275.0","167,703.0","169,908.0","172,745.0","174,225.0","176,520.0","180,089.0","183,387.0","187,086.0","190,723.0","194,282.0","197,933.0","201,086.0","204,860.0","208,537.0","213,294.0","216,844.0","221,410.0","225,462.0","230,368.0","234,064.0","237,846.0","242,725.0","246,848.0","253,750.0","261,012.0","267,541.0","273,870.0","279,906.0","287,227.0"
"35","16","      Housing and utilities","DHUTRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","51,312.0","52,171.0","53,398.0","54,512.0","55,463.0","56,191.0","57,034.0","58,193.0","58,795.0","59,975.0","60,641.0","61,795.0","62,851.0","63,865.0","64,945.0","66,243.0","67,114.0","67,434.0","68,684.0","69,597.0","70,616.0","71,498.0","72,611.0","73,871.0","74,752.0","76,062.0","77,215.0","78,446.0","79,458.0","80,627.0","81,729.0","83,090.0","84,072.0","85,603.0","86,892.0","88,808.0","90,472.0","91,499.0","93,456.0","95,566.0","97,712.0","99,524.0"
"36","17","      Health care","DHLCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,464.0","14,728.0","14,939.0","15,195.0","15,547.0","16,089.0","15,987.0","16,497.0","16,641.0","17,051.0","17,222.0","17,567.0","18,138.0","18,817.0","19,483.0","20,105.0","20,469.0","20,759.0","21,096.0","21,583.0","22,672.0","23,735.0","24,726.0","25,464.0","26,061.0","26,194.0","25,869.0","26,027.0","26,731.0","28,059.0","29,307.0","30,616.0","31,193.0","31,664.0","32,136.0","32,722.0","34,128.0","35,947.0","37,326.0","38,902.0","40,259.0","41,601.0"
"37","18","      Transportation services","DTRSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,386.0","8,585.0","8,830.0","8,983.0","9,091.0","9,127.0","9,202.0","9,297.0","9,357.0","9,501.0","9,606.0","9,785.0","9,923.0","10,129.0","10,187.0","10,295.0","10,401.0","10,526.0","10,682.0","10,872.0","11,086.0","11,248.0","11,448.0","11,617.0","11,745.0","12,007.0","12,266.0","12,515.0","12,627.0","12,945.0","13,084.0","13,612.0","13,886.0","14,072.0","14,425.0","14,721.0","15,188.0","15,628.0","16,093.0","16,580.0","17,128.0","17,726.0"
"38","19","      Recreation services","DRCARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,642.0","5,875.0","6,010.0","6,156.0","6,341.0","6,443.0","6,521.0","6,615.0","6,743.0","6,855.0","6,980.0","7,202.0","7,247.0","7,556.0","7,429.0","7,587.0","7,708.0","7,786.0","8,220.0","7,990.0","8,353.0","8,315.0","8,459.0","8,789.0","8,868.0","8,903.0","8,968.0","9,163.0","9,288.0","9,629.0","9,882.0","10,273.0","10,418.0","10,261.0","10,812.0","10,314.0","11,085.0","11,583.0","11,874.0","12,268.0","12,577.0","12,950.0"
"39","20","      Food services and accommodations","DFSARC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,949.0","19,465.0","20,093.0","20,446.0","20,295.0","20,658.0","20,457.0","20,528.0","20,812.0","20,781.0","20,874.0","21,388.0","21,691.0","22,048.0","22,451.0","22,836.0","23,011.0","23,205.0","23,272.0","23,735.0","24,360.0","24,813.0","25,040.0","25,298.0","26,044.0","26,867.0","27,498.0","28,313.0","29,013.0","29,409.0","30,005.0","30,110.0","30,335.0","30,503.0","31,147.0","31,843.0","33,468.0","34,200.0","35,101.0","35,609.0","36,030.0","37,345.0"
"40","21","      Financial services and insurance","DIFSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,985.0","12,326.0","12,620.0","13,004.0","13,183.0","13,503.0","13,714.0","13,803.0","14,447.0","14,850.0","14,686.0","15,078.0","15,125.0","15,533.0","15,353.0","15,389.0","15,203.0","15,494.0","16,107.0","16,826.0","16,980.0","17,476.0","18,145.0","18,364.0","18,630.0","18,989.0","19,499.0","20,460.0","21,068.0","21,324.0","21,420.0","21,275.0","22,039.0","22,400.0","23,321.0","23,608.0","23,699.0","25,701.0","26,545.0","27,246.0","27,296.0","28,164.0"
"41","22","      Other services","DOTSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24,745.0","25,321.0","25,735.0","26,271.0","26,626.0","27,098.0","27,075.0","27,427.0","27,585.0","28,164.0","28,322.0","28,946.0","29,300.0","29,755.0","30,060.0","30,290.0","30,319.0","31,316.0","32,028.0","32,784.0","33,019.0","33,638.0","33,853.0","34,530.0","34,986.0","35,838.0","37,222.0","38,370.0","38,659.0","39,417.0","40,035.0","41,392.0","42,121.0","43,343.0","43,992.0","44,832.0","45,710.0","46,454.0","47,146.0","47,699.0","48,904.0","49,917.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,661.0","4,796.0","4,935.0","5,063.0","5,122.0","5,084.0","5,040.0","4,991.0","4,958.0","5,197.0","5,330.0","5,500.0","5,574.0","5,520.0","5,442.0","5,381.0","5,447.0","5,644.0","5,883.0","6,100.0","6,387.0","6,430.0","6,450.0","6,465.0","6,528.0","6,796.0","7,117.0","7,407.0","7,536.0","7,489.0","7,422.0","7,373.0","7,528.0","7,847.0","8,236.0","8,588.0","8,722.0","8,726.0","8,799.0","8,924.0","9,061.0","9,279.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13,473.0","13,779.0","14,048.0","14,333.0","14,629.0","14,953.0","14,720.0","15,034.0","15,051.0","15,806.0","15,961.0","16,316.0","16,639.0","16,843.0","17,022.0","17,225.0","17,569.0","18,075.0","18,598.0","19,114.0","19,880.0","20,171.0","20,398.0","20,552.0","21,106.0","21,775.0","22,400.0","23,033.0","23,630.0","24,206.0","24,532.0","24,990.0","25,547.0","26,496.0","27,485.0","28,385.0","29,133.0","30,071.0","30,626.0","31,562.0","32,473.0","33,540.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,812.0","8,983.0","9,113.0","9,270.0","9,507.0","9,869.0","9,680.0","10,043.0","10,093.0","10,609.0","10,631.0","10,816.0","11,065.0","11,323.0","11,580.0","11,844.0","12,122.0","12,431.0","12,715.0","13,014.0","13,493.0","13,741.0","13,948.0","14,087.0","14,578.0","14,979.0","15,283.0","15,626.0","16,094.0","16,717.0","17,110.0","17,617.0","18,019.0","18,649.0","19,249.0","19,797.0","20,411.0","21,345.0","21,827.0","22,638.0","23,412.0","24,261.0"
"45","26","Gross private domestic investment","A006RC1","35,856.0","34,504.0","34,909.0","43,249.0","47,200.0","50,333.0","52,513.0","51,332.0","43,137.0","36,239.0","39,547.0","37,462.0","46,747.0","52,288.0","58,643.0","68,438.0","64,583.0","67,379.0","61,976.0","57,081.0","58,130.0","53,000.0","57,216.0","60,738.0","61,659.0","62,117.0","61,433.0","56,445.0","55,712.0","55,446.0","58,967.0","62,138.0","68,720.0","72,685.0","74,746.0","78,881.0","78,303.0","77,018.0","78,264.0","77,146.0","77,728.0","77,906.0","79,337.0","71,046.0","66,731.0","65,062.0","71,998.0","80,002.0","83,165.0","89,380.0","83,606.0","86,525.0","96,473.0","87,094.0","86,373.0","75,963.0","78,377.0","84,108.0","90,914.0","92,931.0","98,075.0","96,704.0","98,160.0","94,970.0","99,686.0","101,648.0","104,607.0","107,188.0","110,473.0","110,522.0","112,631.0","114,982.0","126,538.0","127,048.0","131,236.0","133,750.0","144,197.0","143,500.0","143,191.0","145,855.0","142,809.0","137,493.0","142,836.0","147,654.0","152,288.0","158,942.0","155,684.0","160,757.0","172,388.0","172,720.0"
"46","27","  Fixed investment","A007RC1","35,361.0","35,744.0","37,826.0","41,793.0","43,574.0","44,474.0","45,361.0","45,335.0","42,749.0","41,387.0","40,854.0","42,161.0","44,723.0","49,455.0","54,466.0","54,394.0","54,197.0","52,587.0","52,236.0","52,362.0","53,398.0","54,523.0","51,642.0","55,464.0","57,769.0","58,540.0","59,102.0","58,451.0","57,678.0","58,824.0","61,058.0","62,454.0","64,916.0","68,065.0","70,451.0","71,648.0","71,905.0","73,433.0","74,695.0","74,902.0","75,566.0","75,249.0","76,529.0","75,564.0","70,740.0","69,297.0","70,451.0","74,767.0","79,289.0","82,092.0","83,222.0","82,405.0","85,273.0","83,870.0","82,053.0","81,775.0","80,925.0","82,316.0","84,258.0","86,935.0","88,667.0","91,260.0","91,972.0","91,606.0","92,818.0","96,812.0","98,891.0","102,124.0","105,349.0","106,066.0","107,939.0","109,966.0","114,994.0","118,480.0","121,944.0","126,166.0","130,325.0","131,184.0","131,339.0","129,351.0","127,386.0","131,152.0","133,573.0","139,221.0","143,850.0","144,860.0","148,003.0","154,750.0","160,899.0","163,498.0"
"47","28","    Nonresidential","A008RC1","24,820.0","25,171.0","25,360.0","26,539.0","28,229.0","28,047.0","29,078.0","30,158.0","28,580.0","27,474.0","26,110.0","25,623.0","26,384.0","28,852.0","31,911.0","32,916.0","33,140.0","34,120.0","34,838.0","34,639.0","35,129.0","35,760.0","32,888.0","35,817.0","37,787.0","38,467.0","39,612.0","39,200.0","38,327.0","38,156.0","38,875.0","38,889.0","39,497.0","42,060.0","44,825.0","47,083.0","47,773.0","49,059.0","50,743.0","51,411.0","52,465.0","52,639.0","54,065.0","53,215.0","49,370.0","47,828.0","47,434.0","49,333.0","50,941.0","52,734.0","54,421.0","54,399.0","56,319.0","57,186.0","56,161.0","55,882.0","55,011.0","56,198.0","56,708.0","58,473.0","59,657.0","61,354.0","62,101.0","61,821.0","61,970.0","63,882.0","65,707.0","67,668.0","69,112.0","71,078.0","73,406.0","75,322.0","80,226.0","83,378.0","86,686.0","90,643.0","94,379.0","96,822.0","98,321.0","99,163.0","97,997.0","98,295.0","98,787.0","101,745.0","105,582.0","105,297.0","107,609.0","112,178.0","115,993.0","118,368.0"
"48","29","      Structures","B009RC1","7,889.0","7,947.0","8,280.0","8,432.0","8,833.0","9,327.0","9,854.0","10,090.0","9,736.0","9,377.0","8,915.0","8,684.0","9,075.0","9,502.0","10,269.0","10,982.0","11,467.0","12,151.0","12,280.0","11,918.0","12,029.0","12,075.0","12,150.0","12,642.0","13,061.0","13,499.0","13,749.0","13,971.0","13,920.0","13,877.0","13,852.0","13,811.0","14,274.0","14,744.0","15,438.0","16,172.0","17,415.0","17,982.0","18,590.0","18,733.0","18,770.0","18,992.0","19,096.0","18,942.0","18,084.0","17,594.0","17,259.0","17,579.0","17,397.0","18,037.0","18,644.0","18,519.0","19,360.0","19,473.0","19,418.0","20,022.0","19,929.0","19,634.0","19,665.0","19,632.0","20,030.0","20,828.0","21,355.0","20,900.0","20,233.0","21,233.0","21,436.0","21,891.0","22,425.0","23,450.0","24,250.0","24,823.0","26,142.0","28,166.0","28,535.0","30,442.0","31,098.0","31,172.0","31,907.0","31,217.0","31,668.0","30,934.0","31,476.0","31,966.0","33,051.0","33,184.0","33,232.0","34,762.0","35,794.0","36,671.0"
"49","30","      Equipment","Y033RC1","14,927.0","15,226.0","15,044.0","16,067.0","17,334.0","16,658.0","17,130.0","17,998.0","16,826.0","16,090.0","15,176.0","14,836.0","15,130.0","17,114.0","19,343.0","19,609.0","19,383.0","19,672.0","20,198.0","20,242.0","20,418.0","20,821.0","17,671.0","19,867.0","21,245.0","21,306.0","22,125.0","21,446.0","20,570.0","20,424.0","21,131.0","21,123.0","21,144.0","23,119.0","25,010.0","26,280.0","25,442.0","25,920.0","26,822.0","27,188.0","28,203.0","28,112.0","29,334.0","28,595.0","25,526.0","24,365.0","24,136.0","25,482.0","27,077.0","28,059.0","29,118.0","29,127.0","30,089.0","30,749.0","29,471.0","28,407.0","27,408.0","28,635.0","28,944.0","30,628.0","31,401.0","32,197.0","32,321.0","32,304.0","32,872.0","33,467.0","34,894.0","36,238.0","37,146.0","37,940.0","39,264.0","40,390.0","43,542.0","44,296.0","46,825.0","48,457.0","51,069.0","53,024.0","53,418.0","54,581.0","52,712.0","53,577.0","53,193.0","55,286.0","57,601.0","56,698.0","58,582.0","61,233.0","63,690.0","64,691.0"
"50","31","        Information processing equipment","Y034RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,696.0","3,475.0","3,564.0","3,691.0","3,752.0","3,831.0","3,949.0","4,362.0","4,517.0","4,821.0","4,668.0","4,965.0","4,675.0","5,177.0","5,187.0","5,336.0","5,667.0","5,521.0","5,328.0","5,424.0","5,722.0","6,059.0","6,288.0","6,313.0","6,648.0","6,746.0","6,690.0","7,213.0","7,269.0","7,626.0","8,070.0","8,395.0","8,958.0","9,522.0","9,884.0","10,245.0","9,953.0","10,043.0","9,904.0","10,512.0","10,625.0","10,426.0","10,690.0","10,642.0","11,515.0","12,492.0"
"51","32","          Computers and peripheral equipment","B935RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5.0","2.0","17.0","56.0","118.0","176.0","215.0","259.0","225.0","260.0","273.0","286.0","293.0","298.0","350.0","447.0","576.0","717.0","806.0","841.0","950.0","947.0","888.0","927.0","1,020.0","1,076.0","1,219.0","1,341.0","1,439.0","1,621.0","1,766.0","1,966.0","1,860.0","1,859.0","1,818.0","1,935.0","1,871.0","1,908.0","1,979.0","1,938.0","2,096.0","2,408.0"
"52","33","          Other","A937RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,688.0","3,468.0","3,557.0","3,681.0","3,747.0","3,829.0","3,932.0","4,306.0","4,399.0","4,645.0","4,453.0","4,706.0","4,450.0","4,917.0","4,914.0","5,050.0","5,374.0","5,223.0","4,978.0","4,977.0","5,146.0","5,342.0","5,482.0","5,472.0","5,698.0","5,799.0","5,802.0","6,286.0","6,249.0","6,550.0","6,851.0","7,054.0","7,519.0","7,901.0","8,118.0","8,279.0","8,093.0","8,184.0","8,086.0","8,577.0","8,754.0","8,518.0","8,711.0","8,704.0","9,419.0","10,084.0"
"53","34","        Industrial equipment","A680RC1","4,718.0","4,585.0","4,710.0","4,384.0","4,714.0","4,503.0","4,396.0","4,825.0","4,427.0","3,761.0","3,469.0","3,236.0","3,544.0","4,292.0","4,566.0","5,507.0","5,073.0","5,550.0","6,088.0","5,964.0","5,964.0","6,539.0","5,517.0","5,696.0","6,261.0","6,656.0","6,944.0","6,999.0","6,983.0","6,957.0","7,326.0","6,935.0","6,466.0","6,890.0","7,391.0","8,261.0","8,087.0","8,552.0","9,363.0","9,374.0","9,581.0","9,544.0","9,791.0","9,584.0","8,675.0","8,200.0","7,838.0","8,132.0","8,403.0","8,294.0","8,407.0","8,992.0","9,234.0","9,935.0","9,339.0","8,993.0","8,397.0","8,685.0","8,735.0","9,386.0","9,404.0","9,529.0","9,182.0","8,895.0","9,385.0","9,833.0","10,288.0","10,599.0","10,828.0","10,885.0","11,502.0","12,520.0","12,732.0","13,332.0","14,161.0","14,496.0","15,061.0","16,117.0","16,519.0","16,903.0","17,266.0","17,077.0","16,410.0","16,925.0","17,332.0","17,095.0","17,058.0","17,628.0","18,349.0","18,799.0"
"54","35","        Transportation equipment","A681RC1","4,684.0","4,861.0","4,675.0","5,444.0","5,690.0","5,326.0","5,497.0","5,415.0","5,531.0","5,754.0","5,713.0","5,814.0","5,560.0","5,918.0","7,401.0","6,821.0","6,935.0","6,629.0","6,518.0","6,170.0","6,279.0","5,813.0","4,844.0","6,033.0","6,462.0","6,566.0","6,699.0","6,579.0","6,187.0","5,875.0","5,877.0","6,113.0","6,650.0","7,454.0","8,135.0","7,774.0","7,399.0","7,402.0","7,106.0","7,697.0","8,130.0","8,109.0","8,614.0","8,207.0","6,598.0","5,834.0","5,584.0","6,444.0","7,563.0","8,396.0","9,094.0","8,038.0","8,992.0","8,647.0","8,688.0","7,709.0","7,413.0","7,687.0","8,025.0","8,978.0","9,291.0","9,647.0","10,117.0","10,100.0","9,486.0","8,991.0","9,313.0","9,938.0","10,173.0","10,554.0","11,321.0","10,259.0","12,870.0","12,833.0","13,342.0","13,814.0","14,720.0","14,736.0","14,248.0","14,368.0","13,340.0","13,965.0","14,660.0","15,099.0","17,211.0","16,625.0","17,711.0","18,968.0","19,393.0","19,136.0"
"55","36","        Other equipment","A862RC1","3,815.0","4,117.0","3,890.0","4,490.0","5,100.0","5,071.0","5,498.0","5,849.0","5,058.0","4,941.0","4,451.0","4,261.0","4,418.0","5,082.0","5,498.0","5,225.0","5,396.0","5,388.0","5,341.0","5,847.0","5,776.0","5,828.0","5,069.0","5,699.0","5,896.0","5,403.0","5,671.0","5,321.0","4,943.0","5,243.0","5,527.0","5,587.0","5,631.0","6,156.0","6,460.0","7,014.0","6,833.0","6,576.0","6,921.0","6,641.0","6,847.0","6,491.0","6,644.0","6,773.0","6,557.0","6,856.0","7,150.0","7,215.0","7,359.0","7,538.0","7,668.0","7,735.0","7,346.0","7,346.0","6,776.0","6,740.0","6,923.0","7,086.0","6,997.0","6,928.0","7,039.0","7,500.0","7,694.0","7,885.0","8,279.0","8,584.0","9,005.0","9,388.0","9,497.0","9,755.0","9,751.0","10,398.0","10,671.0","10,505.0","11,252.0","11,752.0","12,330.0","12,649.0","12,767.0","13,065.0","12,153.0","12,492.0","12,219.0","12,750.0","12,433.0","12,552.0","13,123.0","13,995.0","14,433.0","14,264.0"
"56","37","      Intellectual property products","Y001RC1","2,004.0","1,998.0","2,036.0","2,040.0","2,062.0","2,062.0","2,094.0","2,070.0","2,018.0","2,007.0","2,019.0","2,103.0","2,179.0","2,236.0","2,299.0","2,325.0","2,290.0","2,297.0","2,360.0","2,479.0","2,682.0","2,864.0","3,067.0","3,308.0","3,481.0","3,662.0","3,738.0","3,783.0","3,837.0","3,855.0","3,892.0","3,955.0","4,079.0","4,197.0","4,377.0","4,631.0","4,916.0","5,157.0","5,331.0","5,490.0","5,492.0","5,535.0","5,635.0","5,678.0","5,760.0","5,869.0","6,039.0","6,272.0","6,467.0","6,638.0","6,659.0","6,753.0","6,870.0","6,964.0","7,272.0","7,453.0","7,674.0","7,929.0","8,099.0","8,213.0","8,226.0","8,329.0","8,425.0","8,617.0","8,865.0","9,182.0","9,377.0","9,539.0","9,541.0","9,688.0","9,892.0","10,109.0","10,542.0","10,916.0","11,326.0","11,744.0","12,212.0","12,626.0","12,996.0","13,365.0","13,617.0","13,784.0","14,118.0","14,493.0","14,930.0","15,415.0","15,795.0","16,183.0","16,509.0","17,006.0"
"57","38","        Software \4\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","5.0","11.0","32.0","76.0","119.0","149.0","164.0","158.0","161.0","166.0","183.0","188.0","201.0","225.0","270.0","321.0","402.0","479.0","531.0","547.0","550.0","539.0","528.0","576.0","629.0","708.0","795.0","873.0","964.0","1,054.0","1,153.0","1,171.0","1,179.0","1,155.0","1,183.0","1,229.0","1,285.0","1,343.0","1,414.0","1,516.0","1,679.0"
"58","39","        Research and development \5\","Y006RC1","1,011.0","1,033.0","1,060.0","1,103.0","1,142.0","1,144.0","1,154.0","1,108.0","1,011.0","963.0","950.0","972.0","1,069.0","1,163.0","1,247.0","1,286.0","1,295.0","1,329.0","1,381.0","1,490.0","1,666.0","1,793.0","1,944.0","2,136.0","2,261.0","2,384.0","2,458.0","2,505.0","2,528.0","2,541.0","2,530.0","2,541.0","2,507.0","2,572.0","2,719.0","2,961.0","3,294.0","3,544.0","3,676.0","3,770.0","3,711.0","3,682.0","3,727.0","3,771.0","3,840.0","3,904.0","4,050.0","4,171.0","4,244.0","4,366.0","4,399.0","4,518.0","4,732.0","4,857.0","4,915.0","4,951.0","4,993.0","5,098.0","5,206.0","5,338.0","5,440.0","5,567.0","5,640.0","5,720.0","5,820.0","5,936.0","6,040.0","6,141.0","6,254.0","6,406.0","6,561.0","6,718.0","6,925.0","7,113.0","7,296.0","7,530.0","7,713.0","7,959.0","8,209.0","8,447.0","8,681.0","8,868.0","9,101.0","9,295.0","9,553.0","9,793.0","10,035.0","10,312.0","10,574.0","10,870.0"
"59","40","        Entertainment, literary, and artistic originals","Y020RC1","993.0","965.0","976.0","937.0","920.0","918.0","940.0","962.0","1,007.0","1,044.0","1,069.0","1,131.0","1,110.0","1,073.0","1,052.0","1,039.0","995.0","968.0","979.0","989.0","1,016.0","1,071.0","1,123.0","1,172.0","1,220.0","1,278.0","1,280.0","1,278.0","1,309.0","1,314.0","1,362.0","1,414.0","1,572.0","1,625.0","1,658.0","1,670.0","1,622.0","1,613.0","1,655.0","1,720.0","1,781.0","1,853.0","1,908.0","1,907.0","1,920.0","1,965.0","1,989.0","2,101.0","2,216.0","2,267.0","2,249.0","2,203.0","2,062.0","1,988.0","2,208.0","2,338.0","2,523.0","2,670.0","2,727.0","2,692.0","2,598.0","2,561.0","2,560.0","2,627.0","2,724.0","2,844.0","2,858.0","2,867.0","2,740.0","2,732.0","2,792.0","2,863.0","3,041.0","3,174.0","3,322.0","3,419.0","3,626.0","3,703.0","3,733.0","3,765.0","3,765.0","3,737.0","3,862.0","4,015.0","4,148.0","4,337.0","4,417.0","4,457.0","4,419.0","4,457.0"
