"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic income","A261RC1","240,322.0","243,550.0","247,993.0","256,495.0","265,499.0","274,022.0","279,270.0","281,522.0","274,543.0","271,028.0","271,248.0","267,603.0","277,912.0","290,310.0","307,889.0","319,688.0","332,928.0","341,041.0","347,231.0","354,282.0","356,464.0","359,045.0","366,412.0","378,704.0","385,599.0","389,041.0","388,160.0","381,100.0","383,193.0","384,239.0","388,172.0","397,468.0","410,338.0","420,467.0","428,963.0","436,495.0","441,350.0","448,523.0","454,597.0","464,326.0","471,797.0","474,704.0","479,692.0","474,774.0","469,574.0","472,259.0","485,629.0","498,265.0","511,037.0","525,691.0","523,399.0","529,100.0","543,109.0","544,327.0","546,217.0","544,910.0","547,280.0","557,883.0","568,310.0","583,652.0","593,731.0","601,307.0","608,687.0","617,060.0","625,033.0","635,222.0","644,610.0","655,529.0","668,565.0","680,009.0","692,405.0","702,219.0","721,490.0","734,061.0","747,347.0","768,911.0","790,841.0","802,626.0","816,001.0","830,188.0","838,532.0","847,416.0","864,495.0","882,835.0","906,080.0","929,622.0","951,045.0","970,447.0","989,849.0","1,009,426.0"
"21","2","Compensation of employees, paid","A4002C1","129,049.0","130,847.0","132,842.0","136,938.0","140,477.0","142,142.0","146,919.0","148,001.0","146,387.0","144,800.0","143,728.0","142,900.0","147,122.0","153,735.0","162,421.0","170,269.0","178,775.0","185,109.0","188,063.0","191,703.0","196,348.0","197,677.0","201,754.0","209,577.0","213,406.0","216,492.0","216,806.0","215,412.0","213,473.0","213,045.0","213,585.0","217,897.0","222,294.0","228,482.0","234,309.0","238,790.0","243,274.0","247,937.0","250,866.0","256,809.0","260,704.0","262,539.0","265,206.0","263,783.0","260,287.0","259,946.0","267,748.0","272,783.0","280,305.0","287,017.0","287,485.0","290,751.0","299,431.0","302,434.0","303,310.0","302,848.0","303,884.0","308,104.0","313,149.0","319,794.0","326,291.0","332,235.0","335,039.0","338,462.0","343,464.0","348,379.0","353,481.0","359,639.0","366,051.0","373,518.0","380,914.0","387,019.0","393,825.0","400,842.0","409,287.0","421,409.0","434,062.0","445,392.0","456,698.0","464,893.0","471,091.0","476,749.0","486,414.0","497,401.0","512,138.0","525,303.0","539,183.0","551,730.0","564,204.0","578,215.0"
"22","3","  Wages and salaries","A4102C1","118,795.0","121,191.0","123,919.0","128,198.0","131,579.0","133,292.0","137,971.0","139,015.0","136,684.0","134,947.0","133,925.0","133,144.0","136,792.0","142,964.0","150,947.0","157,996.0","165,319.0","170,979.0","173,480.0","176,591.0","181,004.0","182,118.0","185,950.0","193,464.0","197,076.0","200,034.0","200,153.0","198,722.0","196,458.0","196,014.0","196,391.0","200,417.0","204,126.0","209,921.0","215,316.0","219,521.0","223,364.0","227,583.0","230,035.0","235,449.0","238,344.0","239,695.0","241,907.0","240,170.0","236,796.0","236,348.0","243,909.0","248,504.0","254,092.0","260,637.0","260,980.0","263,983.0","270,904.0","273,553.0","274,119.0","273,463.0","273,933.0","277,777.0","282,396.0","288,547.0","293,371.0","298,842.0","301,270.0","304,329.0","308,025.0","312,419.0","316,908.0","322,303.0","328,276.0","334,887.0","341,463.0","346,741.0","352,809.0","358,872.0","366,210.0","377,116.0","385,739.0","395,879.0","406,108.0","413,461.0","418,811.0","423,574.0","431,979.0","441,553.0","454,198.0","465,911.0","478,318.0","489,411.0","499,046.0","511,360.0"
"23","4","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"24","5","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","6","  Supplements to wages and salaries","A038RC1","10,254.0","9,656.0","8,923.0","8,740.0","8,898.0","8,850.0","8,948.0","8,986.0","9,703.0","9,853.0","9,803.0","9,756.0","10,330.0","10,771.0","11,474.0","12,273.0","13,456.0","14,130.0","14,583.0","15,112.0","15,344.0","15,559.0","15,804.0","16,113.0","16,330.0","16,458.0","16,653.0","16,690.0","17,015.0","17,031.0","17,194.0","17,480.0","18,168.0","18,561.0","18,993.0","19,269.0","19,910.0","20,354.0","20,831.0","21,360.0","22,360.0","22,844.0","23,299.0","23,613.0","23,491.0","23,598.0","23,839.0","24,279.0","26,213.0","26,380.0","26,505.0","26,768.0","28,527.0","28,881.0","29,191.0","29,385.0","29,951.0","30,327.0","30,753.0","31,247.0","32,920.0","33,393.0","33,769.0","34,133.0","35,439.0","35,960.0","36,573.0","37,336.0","37,775.0","38,631.0","39,451.0","40,278.0","41,016.0","41,970.0","43,077.0","44,293.0","48,323.0","49,513.0","50,590.0","51,432.0","52,280.0","53,175.0","54,435.0","55,848.0","57,940.0","59,392.0","60,865.0","62,319.0","65,158.0","66,855.0"
"26","7","Taxes on production and imports","W056RC1","17,679.0","17,740.0","18,031.0","18,974.0","18,963.0","19,665.0","20,006.0","20,270.0","20,369.0","20,822.0","21,253.0","21,172.0","21,554.0","22,462.0","24,380.0","23,404.0","25,094.0","24,069.0","24,481.0","25,336.0","26,087.0","26,918.0","27,334.0","28,145.0","28,746.0","29,178.0","29,319.0","29,161.0","28,681.0","28,812.0","28,744.0","29,319.0","30,248.0","31,228.0","31,941.0","32,451.0","33,031.0","33,596.0","34,597.0","35,724.0","36,144.0","36,561.0","37,012.0","36,746.0","36,823.0","37,331.0","37,795.0","38,929.0","39,770.0","40,292.0","41,722.0","42,424.0","43,696.0","44,347.0","44,861.0","45,284.0","45,776.0","46,463.0","47,256.0","48,377.0","49,396.0","49,906.0","50,888.0","51,338.0","52,005.0","52,938.0","53,919.0","54,682.0","55,671.0","56,746.0","57,881.0","58,778.0","60,184.0","60,340.0","60,516.0","61,796.0","61,365.0","62,827.0","63,748.0","64,904.0","65,564.0","66,832.0","68,746.0","70,606.0","73,367.0","75,424.0","77,693.0","79,144.0","80,589.0","82,901.0"
"27","8","Less: Subsidies \1\","A107RC1","506.0","414.0","361.0","299.0","382.0","290.0","611.0","866.0","581.0","395.0","524.0","477.0","686.0","804.0","768.0","1,099.0","1,152.0","1,124.0","868.0","1,033.0","809.0","787.0","793.0","690.0","722.0","447.0","671.0","197.0","125.0","686.0","323.0","155.0","259.0","322.0","26.0","176.0","294.0","549.0","893.0","1,207.0","1,280.0","1,211.0","1,053.0","954.0","1,089.0","1,283.0","1,467.0","1,603.0","1,148.0","928.0","1,088.0","1,068.0","1,024.0","1,280.0","1,048.0","1,232.0","1,572.0","2,008.0","2,172.0","2,304.0","2,284.0","2,384.0","2,216.0","2,208.0","2,032.0","2,176.0","2,296.0","2,432.0","2,728.0","2,880.0","2,648.0","2,660.0","2,924.0","2,972.0","2,988.0","3,144.0","3,564.0","3,928.0","4,064.0","4,240.0","3,992.0","3,872.0","3,684.0","3,696.0","4,036.0","4,204.0","4,220.0","4,236.0","4,340.0","4,464.0"
"28","9","Net operating surplus","W271RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","127,649.0","134,194.0","129,501.0","130,595.0","134,097.0","131,270.0","130,870.0","129,127.0","129,625.0","135,109.0","139,151.0","146,063.0","147,559.0","148,011.0","150,442.0","153,890.0","155,057.0","158,558.0","161,053.0","164,149.0","168,959.0","170,868.0","173,311.0","174,883.0","184,831.0","188,764.0","191,785.0","198,335.0","206,617.0","203,999.0","203,357.0","206,413.0","205,699.0","205,410.0","208,398.0","211,514.0","215,173.0","221,181.0","223,860.0","226,374.0","228,942.0","229,310.0"
"29","10","  Private enterprises","W260RC1","66,316.0","66,625.0","67,719.0","70,380.0","75,641.0","81,349.0","81,306.0","82,154.0","76,072.0","73,487.0","74,476.0","71,586.0","77,456.0","82,114.0","88,272.0","92,245.0","93,940.0","95,627.0","97,245.0","99,188.0","95,293.0","95,029.0","97,117.0","99,953.0","101,685.0","100,590.0","98,903.0","92,319.0","96,192.0","97,362.0","99,860.0","103,468.0","110,611.0","112,883.0","113,401.0","114,870.0","113,209.0","114,036.0","115,196.0","116,964.0","118,931.0","118,411.0","119,029.0","114,751.0","112,476.0","114,298.0","118,648.0","124,403.0","127,155.0","133,680.0","128,974.0","129,953.0","133,568.0","130,713.0","130,477.0","128,753.0","129,326.0","134,848.0","138,868.0","145,566.0","147,196.0","147,674.0","150,029.0","153,489.0","154,334.0","157,804.0","160,229.0","163,253.0","168,094.0","170,026.0","172,720.0","174,126.0","184,094.0","187,967.0","191,125.0","197,809.0","206,145.0","203,661.0","203,270.0","206,220.0","205,558.0","205,162.0","208,126.0","211,557.0","214,850.0","220,837.0","223,516.0","226,168.0","228,929.0","229,314.0"
"30","11","    Net interest and miscellaneous payments, domestic industries","W272RC1","2,217.0","2,360.0","2,505.0","2,513.0","2,436.0","2,473.0","2,568.0","2,562.0","2,686.0","2,743.0","2,845.0","2,911.0","3,112.0","3,047.0","3,101.0","3,200.0","3,408.0","3,485.0","3,645.0","3,752.0","3,864.0","3,955.0","4,100.0","4,162.0","4,489.0","4,542.0","4,798.0","4,884.0","5,093.0","5,377.0","5,613.0","5,881.0","5,942.0","6,113.0","6,182.0","6,306.0","6,476.0","6,675.0","7,026.0","7,375.0","7,688.0","7,901.0","8,176.0","8,515.0","8,958.0","9,419.0","9,709.0","9,771.0","8,732.0","9,719.0","9,764.0","10,111.0","10,314.0","10,263.0","10,594.0","10,998.0","11,376.0","11,944.0","12,442.0","13,133.0","12,918.0","13,770.0","14,318.0","14,706.0","14,328.0","14,523.0","14,976.0","15,467.0","16,126.0","16,730.0","17,398.0","17,892.0","18,490.0","18,913.0","19,523.0","19,801.0","20,641.0","21,440.0","22,440.0","23,452.0","24,278.0","25,009.0","25,290.0","25,676.0","26,262.0","26,824.0","27,153.0","28,198.0","31,120.0","33,166.0"
"31","12","    Business current transfer payments (net)","B029RC1","683.0","711.0","731.0","735.0","734.0","706.0","700.0","692.0","651.0","658.0","698.0","749.0","711.0","780.0","857.0","948.0","1,079.0","1,152.0","1,187.0","1,222.0","1,216.0","1,203.0","1,186.0","1,183.0","1,193.0","1,197.0","1,150.0","1,076.0","954.0","880.0","882.0","944.0","1,101.0","1,245.0","1,370.0","1,472.0","1,575.0","1,623.0","1,674.0","1,732.0","1,798.0","1,826.0","1,840.0","1,828.0","1,793.0","1,742.0","1,671.0","1,606.0","1,604.0","1,661.0","1,672.0","1,695.0","1,731.0","1,728.0","1,739.0","1,770.0","1,851.0","1,870.0","1,915.0","1,968.0","2,034.0","2,091.0","2,146.0","2,197.0","2,438.0","2,520.0","2,537.0","2,621.0","2,720.0","2,784.0","3,206.0","3,306.0","3,503.0","3,505.0","3,487.0","3,445.0","3,420.0","3,380.0","3,366.0","3,402.0","3,468.0","3,567.0","3,688.0","3,789.0","3,913.0","4,128.0","4,272.0","4,419.0","4,716.0","4,827.0"
"32","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","36,188.0","33,263.0","33,893.0","34,972.0","36,382.0","40,231.0","40,605.0","39,898.0","35,414.0","34,937.0","34,239.0","34,171.0","36,247.0","36,812.0","38,456.0","38,542.0","40,901.0","42,537.0","43,241.0","43,698.0","41,691.0","42,957.0","44,745.0","42,762.0","42,951.0","42,347.0","41,216.0","41,557.0","42,680.0","42,099.0","42,249.0","41,993.0","43,665.0","44,272.0","44,635.0","44,519.0","44,863.0","45,251.0","46,410.0","46,753.0","46,927.0","47,712.0","48,804.0","47,701.0","50,266.0","50,326.0","50,123.0","49,917.0","50,082.0","50,339.0","50,355.0","50,607.0","49,747.0","50,715.0","50,871.0","51,020.0","52,327.0","52,646.0","53,326.0","54,494.0","55,324.0","54,967.0","54,888.0","55,761.0","55,973.0","55,800.0","56,228.0","57,589.0","57,915.0","58,821.0","59,286.0","60,504.0","61,947.0","63,177.0","63,967.0","65,558.0","69,226.0","67,204.0","67,162.0","68,144.0","68,901.0","68,497.0","70,526.0","69,972.0","71,681.0","73,177.0","74,951.0","75,506.0","75,631.0","77,111.0"
"33","14","    Rental income of persons with capital consumption adjustment","A048RC1","6,657.0","6,768.0","6,973.0","7,157.0","7,318.0","7,465.0","7,535.0","7,616.0","7,542.0","7,653.0","7,887.0","8,107.0","8,458.0","8,669.0","8,841.0","9,148.0","9,319.0","9,576.0","9,858.0","10,123.0","10,400.0","10,665.0","10,931.0","11,266.0","11,584.0","11,894.0","12,161.0","12,473.0","12,797.0","13,015.0","13,145.0","13,288.0","13,334.0","13,387.0","13,442.0","13,527.0","13,595.0","13,605.0","13,682.0","13,790.0","13,872.0","13,971.0","14,081.0","14,292.0","14,572.0","14,751.0","14,890.0","14,976.0","14,972.0","15,433.0","15,785.0","16,044.0","16,226.0","16,379.0","16,543.0","16,703.0","16,918.0","17,083.0","17,286.0","17,511.0","17,740.0","17,950.0","18,150.0","18,343.0","18,543.0","18,688.0","18,843.0","18,837.0","18,840.0","18,779.0","18,863.0","18,841.0","19,082.0","19,271.0","19,503.0","19,491.0","19,835.0","19,757.0","20,022.0","20,029.0","20,254.0","20,372.0","20,428.0","20,326.0","20,091.0","20,087.0","20,226.0","20,039.0","20,247.0","20,314.0"
"34","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","20,571.0","23,523.0","23,617.0","25,003.0","28,771.0","30,474.0","29,898.0","31,386.0","29,779.0","27,496.0","28,807.0","25,648.0","28,928.0","32,806.0","37,017.0","40,407.0","39,233.0","38,877.0","39,314.0","40,393.0","38,122.0","36,249.0","36,155.0","40,580.0","41,468.0","40,610.0","39,578.0","32,329.0","34,668.0","35,991.0","37,971.0","41,362.0","46,569.0","47,866.0","47,772.0","49,046.0","46,700.0","46,882.0","46,404.0","47,314.0","48,646.0","47,001.0","46,128.0","42,415.0","36,887.0","38,060.0","42,255.0","48,133.0","51,765.0","56,528.0","51,398.0","51,496.0","55,550.0","51,628.0","50,730.0","48,262.0","46,854.0","51,305.0","53,899.0","58,460.0","59,180.0","58,896.0","60,527.0","62,482.0","63,052.0","66,273.0","67,645.0","68,739.0","72,493.0","72,912.0","73,967.0","73,583.0","81,072.0","83,101.0","84,645.0","89,514.0","93,023.0","91,880.0","90,280.0","91,193.0","88,657.0","87,717.0","88,194.0","91,794.0","92,903.0","96,621.0","96,914.0","98,006.0","97,215.0","93,896.0"
