"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RC1","243,080.0","246,267.0","250,115.0","260,309.0","266,173.0","272,897.0","279,497.0","280,656.0","275,370.0","271,692.0","273,262.0","270,984.0","281,209.0","290,735.0","308,510.0","320,320.0","336,372.0","344,455.0","351,774.0","356,579.0","360,195.0","361,414.0","368,084.0","381,241.0","388,472.0","392,259.0","391,696.0","386,521.0","385,924.0","386,716.0","391,596.0","400,348.0","413,753.0","422,226.0","430,925.0","437,787.0","440,491.0","446,771.0","451,983.0","461,278.0","470,578.0","472,835.0","480,315.0","475,681.0","468,353.0","472,786.0","486,653.0","500,380.0","511,063.0","524,241.0","525,196.0","529,322.0","543,347.0","542,697.0","546,012.0","541,063.0","545,949.0","557,430.0","568,228.0","581,624.0","595,176.0","602,580.0","609,575.0","613,131.0","622,680.0","631,835.0","644,960.0","654,840.0","671,150.0","680,758.0","692,806.0","698,424.0","719,247.0","732,368.0","750,184.0","773,105.0","797,327.0","807,153.0","820,799.0","834,864.0","846,046.0","851,058.0","866,614.0","883,201.0","911,135.0","936,297.0","952,347.0","970,129.0","995,419.0","1,011,361.0"
"21","2","Less: Exports of goods and services","B020RC1","18,394.0","19,497.0","19,433.0","17,636.0","16,917.0","15,241.0","15,405.0","14,625.0","16,082.0","15,647.0","14,115.0","12,091.0","11,704.0","11,872.0","12,293.0","13,531.0","15,043.0","17,121.0","18,052.0","18,180.0","18,679.0","16,581.0","15,246.0","15,329.0","15,128.0","15,196.0","15,755.0","15,172.0","14,424.0","16,438.0","15,878.0","16,605.0","17,273.0","16,942.0","18,145.0","18,349.0","19,365.0","20,882.0","21,822.0","23,068.0","24,919.0","24,369.0","23,759.0","23,022.0","20,534.0","20,546.0","20,595.0","20,563.0","21,801.0","22,556.0","23,466.0","23,078.0","26,005.0","27,614.0","27,044.0","27,516.0","27,455.0","27,432.0","27,235.0","28,286.0","28,264.0","30,684.0","28,950.0","28,363.0","29,069.0","32,423.0","30,619.0","32,187.0","34,242.0","34,797.0","34,805.0","36,233.0","33,057.0","39,135.0","36,931.0","39,461.0","39,406.0","41,472.0","40,377.0","42,425.0","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0"
"22","3","Plus: Imports of goods and services","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0"
"23","4","Equals: Gross domestic purchases","A712RC1","232,205.0","234,973.0","238,345.0","251,020.0","258,880.0","267,692.0","274,548.0","276,155.0","268,892.0","265,409.0","268,083.0","267,985.0","279,006.0","289,092.0","309,250.0","320,474.0","336,195.0","342,512.0","348,032.0","352,389.0","356,474.0","359,463.0","368,088.0","382,254.0","389,139.0","393,510.0","392,248.0","386,856.0","386,280.0","386,462.0","391,022.0","399,203.0","412,649.0","422,381.0","430,201.0","437,547.0","440,051.0","444,862.0","449,414.0","456,751.0","465,759.0","468,736.0","476,318.0","472,293.0","467,274.0","472,315.0","485,797.0","500,640.0","510,658.0","524,229.0","524,598.0","528,748.0","540,630.0","538,538.0","541,847.0","535,289.0","540,152.0","551,897.0","564,319.0","577,208.0","591,226.0","596,780.0","605,736.0","610,318.0","618,796.0","625,302.0","641,045.0","649,417.0","663,886.0","673,687.0","686,430.0","691,476.0","714,647.0","724,912.0","745,283.0","767,592.0","792,911.0","801,921.0","818,593.0","831,268.0","841,483.0","846,538.0","863,718.0","880,962.0","910,036.0","934,355.0","951,059.0","969,062.0","995,248.0","1,010,117.0"
"24","5","Less: Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0"
"25","6","Equals: Final sales to domestic purchasers","A713RC1","231,710.0","236,213.0","241,262.0","249,564.0","255,254.0","261,833.0","267,396.0","270,158.0","268,504.0","270,557.0","269,390.0","272,684.0","276,982.0","286,259.0","305,073.0","306,430.0","325,809.0","327,720.0","338,292.0","347,670.0","351,742.0","360,986.0","362,514.0","376,980.0","385,249.0","389,933.0","389,917.0","388,862.0","388,246.0","389,840.0","393,113.0","399,519.0","408,845.0","417,761.0","425,906.0","430,314.0","433,653.0","441,277.0","445,845.0","454,507.0","463,597.0","466,079.0","473,510.0","476,811.0","471,283.0","476,550.0","484,250.0","495,405.0","506,782.0","516,941.0","524,214.0","524,628.0","529,430.0","535,314.0","537,527.0","541,101.0","542,700.0","550,105.0","557,663.0","571,212.0","581,818.0","591,336.0","599,548.0","606,954.0","611,928.0","620,466.0","635,329.0","644,353.0","658,762.0","669,231.0","681,738.0","686,460.0","703,103.0","716,344.0","735,991.0","760,008.0","779,039.0","789,605.0","806,741.0","814,764.0","826,060.0","840,197.0","854,455.0","872,529.0","901,598.0","920,273.0","943,378.0","963,055.0","983,759.0","1,000,895.0"
"26",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","7","  Final sales of domestic product","A190RC1","242,585.0","247,507.0","253,032.0","258,853.0","262,547.0","267,038.0","272,345.0","274,659.0","274,982.0","276,840.0","274,569.0","275,683.0","279,185.0","287,902.0","304,333.0","306,276.0","325,986.0","329,663.0","342,034.0","351,860.0","355,463.0","362,937.0","362,510.0","375,967.0","384,582.0","388,682.0","389,365.0","388,527.0","387,890.0","390,094.0","393,687.0","400,664.0","409,949.0","417,606.0","426,630.0","430,554.0","434,093.0","443,186.0","448,414.0","459,034.0","468,416.0","470,178.0","477,507.0","480,199.0","472,362.0","477,021.0","485,106.0","495,145.0","507,187.0","516,953.0","524,812.0","525,202.0","532,147.0","539,473.0","541,692.0","546,875.0","548,497.0","555,638.0","561,572.0","575,628.0","585,768.0","597,136.0","603,387.0","609,767.0","615,812.0","626,999.0","639,244.0","649,776.0","666,026.0","676,302.0","688,114.0","693,408.0","707,703.0","723,800.0","740,892.0","765,521.0","783,455.0","794,837.0","808,947.0","818,360.0","830,623.0","844,717.0","857,351.0","874,768.0","902,697.0","922,215.0","944,666.0","964,122.0","983,930.0","1,002,139.0"
