"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:38:32 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Exports of goods and services","B020RG3",31.391,32.623,33.811,35.297,39.938,49.205,54.232,56.012,58.294,61.846,69.291,76.319,81.972,82.349,82.675,83.444,80.966,79.596,81.381,85.55,86.97,87.461,88.436,88.004,88.139,89.159,91.153,89.937,88.349,86.258,85.578,87.159,86.649,86.092,87.786,90.845,94.717,97.979,101.107,105.809,100,104.263,110.96,111.94,112.001
"9","2","Exports of goods \1\","B253RG3",35.778,37.396,38.397,39.422,45.62,57.426,63.736,65.464,67.894,71.805,81.112,88.878,95.193,94.393,93.829,94.669,89.955,86.838,88.821,94.299,95.509,94.667,94.624,93.145,92.675,93.728,95.954,93.514,90.918,88.051,86.859,88.365,87.85,87.205,88.991,92.248,95.469,98.828,102.186,107.204,100,105.033,113.048,113.547,113.009
"10","3","  Foods, feeds, and beverages","B638RG3",23.589,24.437,26.106,27.169,42.498,58.153,56.73,51.54,51.312,54.074,60.544,63.88,66.986,59.099,61.624,63.541,56.024,51.997,52.104,63.471,65.567,61.494,61.399,61.045,61.773,63.879,69.372,77.629,71.632,65.237,62.226,61.701,62.016,63.582,69.322,75.897,75.035,77.787,91.399,110.114,100,103.957,122.234,129.893,130.267
