"","Table 6#22D# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:51:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Corporate capital consumption allowances","A677RC0",779618,842632,895405,950212,1032624,1037977,1050912,908117,959318,1017582,1198788,1178340,1209198,1376939,1244724,1270347
"9","2","Agriculture, forestry, fishing, and hunting","N7722C0",5405,5824,5903,6160,7022,7218,8186,7153,7289,7643,9685,9405,10643,12097,11114,11533
"10","3","  Farms \1\","N7723C0",3730,4178,4279,4519,5033,5081,6046,5171,5227,5497,7149,7266,8362,9645,NA,NA
"11","4","  Forestry, fishing, and related activities","N7724C0",1675,1646,1624,1641,1989,2137,2140,1982,2063,2146,2536,2140,2281,2452,NA,NA
"12","5","Mining","N7725C0",12280,12700,13497,14820,17299,17941,19977,16662,21841,28699,42814,44235,44338,62372,61469,66690
"13","6","  Oil and gas extraction","N7726C0",4138,4175,5118,5611,7571,8227,9775,7742,10562,15259,23910,25080,25331,36986,NA,NA
"14","7","  Mining, except oil and gas","N7727C0",4971,5147,4879,5049,5620,5571,5991,5104,5990,6106,7423,8234,8700,10717,NA,NA
"15","8","  Support activities for mining","N7728C0",3171,3378,3500,4160,4107,4142,4211,3817,5289,7334,11482,10921,10307,14669,NA,NA
"16","9","Utilities","N7729C0",33156,33414,34327,34643,42393,47165,52487,39547,39663,42635,60110,74009,80607,98920,95358,96611
"17","10","Construction","N7730C0",15217,17485,19369,20208,22642,24221,24063,21029,23565,25203,28171,23019,20688,22765,18364,18760
"18","11","Manufacturing","N7731C0",316288,330227,344214,357140,381010,380296,384594,347268,360532,373661,414985,415733,421499,473969,442651,451630
"19","12","  Durable goods","N7732C0",196994,207721,220629,230025,250247,242630,246194,219529,229773,232126,250689,239968,239948,274574,249968,254794
"20","13","    Wood products","N7733C0",2894,3000,3182,3535,3754,3766,4137,3325,2876,3299,3425,3450,3255,3591,NA,NA
"21","14","    Nonmetallic mineral products","N7734C0",7118,7606,8200,9124,9833,9906,10367,9364,10310,11094,12369,12486,12450,12052,NA,NA
"22","15","    Primary metals","N7735C0",8850,9205,9094,9103,9955,9256,9097,8010,9153,10043,12393,12002,11716,12697,NA,NA
"23","16","    Fabricated metal products","N7736C0",11078,11833,12393,12660,13013,13140,13100,10449,10530,11036,12967,11465,11484,13515,NA,NA
"24","17","    Machinery","N7737C0",16330,16828,17466,19018,19713,19651,19897,17402,17929,18118,22270,22204,23329,27708,NA,NA
"25","18","    Computer and electronic products","N7738C0",50169,53765,57066,64638,68624,64754,64738,63209,65295,66724,72123,72413,71214,86031,NA,NA
"26","19","    Electrical equipment, appliances, and components","N7739C0",19820,20377,20963,23470,25513,22458,23267,21753,21781,22499,23495,21497,20125,21772,NA,NA
"27","20","    Motor vehicles, bodies and trailers, and parts","N7740C0",55637,57887,63655,58836,68866,67833,69688,56248,60529,55693,52764,45262,45631,55421,NA,NA
"28","21","    Other transportation equipment","N7741C0",14568,15612,16405,16825,17703,17715,17485,16746,17494,18566,21754,21945,22894,24291,NA,NA
"29","22","    Furniture and related products","N7742C0",1827,1987,2172,2356,2363,2372,2283,2057,2321,2176,2278,2248,2085,2205,NA,NA
