"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:48:15 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",44929,49718,56035,63699,66494,73344,88613,97091,113723,128127,145134,163867,180285,197033,216512,233451,258681,283640,301783
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",44929,49718,56035,63699,66494,73344,88613,97091,113723,128127,145134,163867,180285,197033,216512,233451,258681,283640,301783
"11","3","  Private industries","B4903C0",25475,28006,30109,34882,36710,40637,52144,59315,72351,82538,95063,108939,118963,130278,144003,155071,171382,192942,208178
"12","4","    Agriculture, forestry, and fishing","B4904C0",152,162,178,198,245,300,383,501,582,614,664,707,668,698,725,790,887,1026,1251
