"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:54:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Government consumption expenditures and gross investment","B822RA3",5.365,5.908,6.155,5.962,5.762,6.465,6.668,7.741,7.427,7.991,8.687,8.997,15.122,35.097,52.637,59.121,51.942,18.348,15.618,16.529,18.326,18.438,25.213,30.161,32.202,30.141,29.168,29.239,30.585,31.618,32.402,32.598,34.334,36.565,37.457,38.39,39.63,43.086,46.5,48.096,48.171
"9","2","      Consumption expenditures \1\","A955RA3",6.088,6.474,6.713,6.722,6.881,7.658,7.757,8.377,8.278,8.799,9.544,10.195,14.9,31.524,50.742,60.566,58.306,24.029,19.832,19.903,21.023,21.044,27.714,32.805,34.676,32.182,31.439,31.188,32.346,32.899,32.881,33.083,34.186,36.581,37.327,38.105,39.537,42.892,46.724,49.082,50.027
"10","3","      Gross investment \2\","A782RA3",3.913,4.659,4.907,4.357,3.513,4.047,4.406,6.127,5.498,6.084,6.649,6.392,14.188,37.574,51.218,52.07,37.137,6.346,6.712,9.268,12.336,12.627,19.385,23.861,26.161,25.044,23.612,24.358,26.05,28.058,30.539,30.717,33.811,35.618,36.82,38.09,38.84,42.454,44.745,44.373,42.219
