"","Table 1#1#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"1","; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:39:40 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","    Gross domestic product","A191RV1",NA,5.6,6.4,8.5,4.6,4.8,7.1,-0.2,-1.3,-2.5,-3,0.1,-1.3,1.7,8.6,6.5,14.1,2.3,1.3,5.4,0.5,1.6,3,1.4,0.5,0.9,1.5,1.2,1.7,0.8,-0.4,0.6,1.5,2.3,2.8,2.7,4,3.8,4.5,2.5,4.6,2.9,3.1,2.3,3.4,1.7,1,0.5,2,1.1,1.7,1.6,0.8,1.5,1.8,1.8,0.5,0.8,0.9,1,2,1.1,0.9,0.9,2,0.3,0.4,2.7,1.5,1.2,2,1.7,1.7,1.9,1.9,2.6,2.5,3.7,3.6,3.3,1.7,2.4,3.6,4.5,4.4,4.5,3.9,5.7,4.1,5.4
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Personal consumption expenditures","DPCERJ2",NA,2.09,4.87,6.53,2.83,2.66,4,-0.77,-1.93,-1.41,-1.22,0.13,0,1.56,5.67,4.6,8.09,1.87,0.3,3.22,1.17,0.04,1.64,0.42,0.92,0.41,1.39,1.18,1.41,-0.21,-0.72,-0.18,0.78,0.28,0.99,0.67,1.03,1.63,2.36,1.41,2.17,1.52,1.95,1.26,3.05,0.41,0.1,-0.2,1.49,0.82,1.36,1.29,0.34,1.28,0.95,1.1,0.44,-0.03,0.87,0.27,1.05,0.83,0.62,0.72,0.69,0.35,1.13,0.9,1.14,0.55,0.82,0.82,0.79,1.21,0.89,0.72,1.83,1.94,1.83,1.85,0.71,1.13,2.2,2.03,2.5,2.42,2.46,2.69,2.36,3.09
"13","3","  Goods","DGDSRJ2",NA,1.5,2.4,4.15,2.14,1.6,2.42,-1.17,-1.88,-1.66,-1.59,-0.61,-0.44,1.12,4.02,3.2,6.1,1.07,-0.28,1.71,0.47,-0.74,0.6,-0.34,-0.08,-0.34,0.09,0.19,0.8,-0.45,-0.94,-0.66,0.15,-0.1,0.49,0.07,0.45,1.05,1.5,0.79,1.21,1.01,1.01,0.41,2.14,0.04,-0.32,-0.56,0.99,0.25,0.46,0.34,-0.24,0.61,0.17,0.49,0.17,-0.53,0.32,-0.22,0.36,0.28,0.19,0.35,0.15,0.02,0.75,0.29,0.57,-0.04,0.23,0.3,0.28,0.72,0.3,0,1.11,0.89,0.77,0.71,-0.09,0.29,1.3,0.93,1.12,1.03,1.12,1.24,0.85,1.46
"14","4","    Durable goods","DDURRJ2",NA,0.31,0.19,0.46,0.25,0.42,1.18,-0.03,-0.23,-0.24,-0.35,0.22,0.29,0.54,0.7,0.6,1.27,0.07,-0.05,0.38,0.38,-0.31,0.43,-0.76,0.38,0.1,-0.15,0.17,0.4,-0.83,-0.54,-0.18,0.12,0.17,0.36,0.08,0.14,0.09,0.52,0.47,0.31,0.5,-0.01,0.05,0.57,-0.14,-0.02,-0.07,0.64,0.17,0.02,-0.01,-0.06,-0.05,-0.11,-0.06,0.01,0.15,0.14,-0.04,0,0.04,0.11,-0.13,0.01,0.1,0.1,0.11,0.05,-0.02,-0.04,-0.07,0.01,-0.11,-0.18,-0.2,-0.05,0.15,0.16,0.16,-0.07,0.15,0.39,0.35,0.23,0.22,0.3,0.34,0.21,0.28
