"","Table 3#10#1# Percent Change From Preceding Period in Real Gover","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 12:55:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government consumption expenditures \1\","A955RL1",6.3,3.7,0.1,2.4,11.3,1.3,8,-1.2,6.3,8.5,6.8,46.2,111.6,61,19.4,-3.7,-58.8,-17.5,0.4,5.6,0.1,31.7,18.4,5.7,-7.2,-2.3,-0.8,3.7,1.7,-0.1,0.6,3.3,7,2,2.1,3.8,8.5,8.9,5,1.9
"9","2","        Gross output of general government","W101RL1",7.4,4.1,-0.1,9.2,17.5,1.8,18.1,-6.1,10.8,4.6,2.3,35.9,95.3,57.1,19.9,-1.5,-55.7,-22.9,0.2,5.5,1,30.4,17.1,5.7,-6.5,-1,-1.1,4.3,2.1,0.5,0.8,3.5,7.2,2.8,2.6,4.3,8.7,8.4,5.1,2.2
"10","3","          Value added","W102RL1",4.9,1.8,-1.3,5.6,12.7,6.8,16.6,-4.3,7.8,2,5.7,27.6,56.2,66.4,20.2,0.8,-45.8,-21.7,-3.6,0.4,1.9,21.7,8.8,1.8,0.1,0.4,2.1,2.6,1.4,1.7,3.8,4,4.4,3.3,3.7,3.6,6.5,5.6,4.1,2.7
"11","4","            Compensation of general government employees","A194RL1",4.7,1.1,-2.3,5.8,14.2,7.1,18.3,-5.8,8.1,1.4,5.6,28.2,53.4,63.7,13.9,-3.9,-55.5,-25.4,1.5,5,5.3,29.5,8.8,-0.4,-2.1,-0.8,1.6,2,0.4,0.6,3.3,3.7,4,2.6,3.4,3.4,7.2,5.8,3.9,2.6
"12","5","            Consumption of general government fixed capital \2\","A265RL1",5.6,6.4,5,4.1,3.6,4.8,6.3,5.6,5.8,5.5,5.9,23.5,72.6,80.7,51.3,20.6,-3.1,-13.6,-12.7,-9.1,-6.5,0.5,8.7,9.4,7.2,4.1,3.5,4.3,4.3,4.9,5.3,5.1,5.6,5.3,4.7,4,4.2,5.1,4.7,3.4
"13","6","          Intermediate goods and services purchased \3\","W104RL1",14.7,10.4,3.2,19.2,29.2,-8.3,21.7,-10.2,18.2,10.5,-4.8,54.3,165,46.2,19.6,-5,-75.2,-28.5,19.8,26.5,-2.2,59.6,38.8,14,-19,-4.2,-8.9,9.3,3.9,-3,-8.3,1.8,17.5,1.2,-0.9,7,16.2,17.3,8,0.5
"14","7","            Durable goods","W105RL1",0,9.3,-9.7,50.9,45.3,20.2,40.9,-11,23,-1.4,-10.6,334.6,403.8,82.8,8.9,8.9,-95.8,-39.4,99.9,18.6,57,125.6,73.7,11.7,-26.4,-15,-6,7.9,2.3,-27.2,-11.6,-15.2,21.4,1.5,-12.1,5,39,-0.6,15,-12.5
"15","8","            Nondurable goods","W106RL1",19.5,15.5,8.3,11.1,18.8,-3.1,21.4,-14.6,22.5,18.7,-5.6,13.2,163.9,26.5,20,-28.8,-78.4,14.8,18.5,63.6,-20.5,13.4,30.9,65.6,-20.4,-16.1,-29.2,1.4,18.9,44,-22.2,-0.1,35.6,-6.4,5,10,5.5,37.3,16.5,1.5
"16","9","            Services","W107RL1",12,5.9,-0.5,24.6,37.4,-16.2,18.5,-5.8,13.7,5.8,-2.8,43.1,32.5,6.1,66.1,15.8,-20.2,-43.3,9,1.5,1,69.1,20.7,-15.1,-8.2,19.7,4.2,14.2,-1.5,-10.5,4.9,11.2,6.5,6,0.3,5.9,15.1,13.7,0.6,4.5
"17","10","        Less: Own-account investment \4\","W108RL1",20.3,1.1,-10.2,272.2,86.7,5.3,92.2,-24.9,31.5,-9.9,-17.8,-12.2,-28.8,-40.8,4.9,-6.9,-36.6,-10,22.2,8.1,8.7,21.6,22.7,8.7,-1.5,-2,8.1,6.8,7.4,17.9,2.2,6.1,6.9,9.7,7,7.4,6.5,1.6,1.3,5.1
"18","11","        Less: Sales to other sectors \5\","W109RL1",17.1,10.5,0.9,-0.9,6.3,0.9,-17,5.1,8,7.2,6.8,11.5,29.7,60.4,45.9,60.4,-4.4,-66.6,-10.7,0.7,16.2,9.2,-14.1,3.7,10.5,36.5,-11.9,16.9,7,0.6,2.7,5.3,11.9,11.6,9.2,11.2,12.6,4.9,7.9,4
"19","12","Federal consumption expenditures \1\","A957RL1",6.1,-2.9,-4.7,17.6,38.2,-9.3,73,-11.6,14,11.1,7.9,95.6,179.2,76.6,22.6,-4.5,-66.2,-25.6,0.1,4,-3.4,52.7,26,6.6,-11.3,-6,-2.9,2.9,-1.4,-2.1,-2.4,2,10.1,0.3,-0.9,1.8,10.4,12.3,4,-1.4
"20","13","      Gross output of general government","W110RL1",6.2,-2.7,-3.7,36.4,30.8,1.9,49.8,-12,11.1,10.8,7.6,88.5,171.9,76.2,23.7,-2,-63,-32.7,-0.6,3,-2.4,52.2,24.6,6.7,-10.9,-4.5,-3.6,3.8,-1.2,-2,-2.3,2,10,0.8,-0.4,2.2,10.5,11.2,3.7,-1.1
"21","14","        Value added","W111RL1",7.6,-3.5,-4.1,21.8,30.7,11.2,61.6,-12.6,12.7,2.1,11.5,61.1,101.1,94,25,0.6,-52.8,-29.5,-6.5,-3,1,33.8,11.6,0.6,-2.1,-1.9,-0.4,0.8,-1.5,0.1,2.8,3.2,4.9,1.8,1.9,1.5,6.9,6.8,2.5,1.1
"22","15","          Compensation of general government employees","B568RL1",8.9,-5.1,-5.4,24.7,34.4,11,68.1,-14.7,13.1,1.6,11.8,60.8,93,88.5,17.2,-5,-64.2,-37.3,0.7,3.2,6.9,52,12.2,-3,-6,-4.3,-1.9,-0.7,-4.3,-2.2,1.5,2.2,4.5,-0.1,0.6,0.5,8.7,8,1.6,0.3
"23","16","          Consumption of general government fixed capital \2\","B995RL1",1.2,5.8,3.2,6.4,7.8,12.7,14.9,9.8,9.5,6.8,9.3,62.8,162.1,125.9,64.7,24,-3.3,-15.4,-15.1,-11.6,-8.8,-0.4,10,10.8,7.8,3.7,3,3.9,3.9,4.6,5.2,4.9,5.6,5.2,4.4,3.3,3.6,4.7,4.3,2.7
"24","17","        Intermediate goods and services purchased \3\","W113RL1",2.5,-0.4,-2.3,85.2,31.3,-17.7,16.4,-9.5,4.8,45.2,-3,169,295.5,58.3,22.1,-5.7,-82.6,-51.3,48.6,33.8,-15,131.6,57.1,18,-24.5,-9.8,-10.9,11.2,-0.5,-7.1,-16.3,-2.2,28.5,-2.4,-7.9,4.6,22.9,23.9,6.9,-6.4
"25","18","          Durable goods","W114RL1",36.8,0.4,-13,201.7,48.8,66.9,-12.6,-3.6,2.6,8.5,13.8,795.8,456.7,84.9,9,8.9,-96.2,-48.5,121.3,20.6,65.8,137.5,76.7,11.9,-27.3,-15.5,-6.8,7.2,2.4,-29.4,-13.1,-17.4,23.4,0.9,-14.5,3.9,44.4,-1.3,14.8,-16.3
"26","19","          Nondurable goods","W115RL1",11.9,7.8,-0.8,69.7,-7.2,35,1.1,-23.2,0,166.5,-5.9,55.4,425.8,36.6,23.6,-32.2,-91.1,21.4,80,114.7,-46.1,63.8,64,110.3,-27.4,-28.8,-43.2,0.4,15,68.1,-46.3,-11.9,106.5,-19.5,1.6,14.5,6.8,84.7,23.6,-4.2
