"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:19:30 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","    Gross domestic product","B191RG3",21.691,22.836,23.996,25.035,26.396,28.76,31.431,33.157,35.209,37.68,40.79,44.48,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.89,83.755,85.04,86.735,89.118,91.985,94.812,97.34,99.218,100,101.226,103.315,105.174,106.739
"9","2","Business \1\","B195RG3",25.075,26.153,27.257,28.201,29.671,32.568,35.738,37.615,39.847,42.629,46.225,50.368,55.021,58.149,60.144,61.888,63.622,64.496,65.692,67.772,70.239,72.566,74.631,75.826,77.576,78.943,80.337,81.588,82.782,83.217,83.733,85.288,86.781,87.405,88.62,90.652,93.48,96.042,98.25,99.723,100,101.156,103.343,105.247,106.742
"10","3","  Nonfarm \2\","B358RG3",24.521,25.6,26.7,27.522,28.507,31.456,34.828,36.736,39.028,41.61,45.116,49.437,54.18,57.518,59.368,61.063,63.082,63.988,65.168,67.15,69.57,71.939,74.144,75.376,77.127,78.547,79.922,81.012,82.406,82.905,83.558,85.208,86.627,87.333,88.45,90.312,93.365,96.007,97.939,99.41,100,100.998,102.801,104.679,106.126
