"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:44:06 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","Gross domestic product","A191RL1",-8.5,-6.4,-12.9,-1.3,10.8,8.9,12.9,5.1,-3.3,8,8.8,17.7,18.9,17,8,-1,-11.6,-1.1,4.1,-0.5,8.7,8.1,4.1,4.7,-0.6,7.1,2.1,2.1,-0.7,6.9,2.6,2.6,6.1,4.4,5.8,6.5,6.6,2.7,4.9,3.1
"9","2","Plus: Income receipts from the rest of the world","B645RL1",-5.4,-18.9,-22.3,-15.3,-8.1,15.6,9.8,22.1,-9.3,7.9,-12.5,13.8,-7.9,-2.2,7.4,-5.4,14.2,30.6,19,-3.2,10.4,20.4,2.7,-2.5,5.8,11.7,8.8,5.2,-11.2,7,12.6,7.4,9.3,8.3,9,5.9,-1,4.4,11,11.1
"10","3","Less: Income payments to the rest of the world","A655RL1",-6.7,-17,-26.4,-10.7,5.8,9,63.7,5,-25.2,12.7,1.5,-8.8,-10.2,19.8,11.4,10.9,-22.1,2.6,9.5,13.7,9.8,9.5,1.8,5.9,0.7,9.7,4.1,3.1,2,17.6,15.9,0.4,1.1,10.4,11,9.2,11.2,6.5,16.4,33.3
"11","4","Equals: Gross national product","A001RL1",-8.5,-6.5,-12.9,-1.4,10.6,9,12.8,5.2,-3.3,8,8.7,17.8,18.8,17,8,-1,-11.5,-0.9,4.2,-0.6,8.7,8.1,4.1,4.6,-0.5,7.2,2.2,2.1,-0.8,6.9,2.6,2.6,6.2,4.4,5.8,6.5,6.5,2.7,4.9,3.1
"12","5","Less: Consumption of fixed capital","A262RL1",2.4,0.1,-2.2,-2.3,-1.7,0.5,1.8,3.2,1.7,1.4,2.6,6,11.8,16.3,16.2,9,1.4,-1.2,0.2,1.1,2,3.9,5.1,5.8,5.3,4.6,4.5,4.4,4.7,3.3,3.1,3.8,4.3,4.7,4.8,5.4,6,5.9,5.5,5.2
"13","6","  Private","A024RL1",2,-0.6,-3,-3.1,-2.3,-0.1,1.1,2.8,1.1,0.7,2,3.4,0.9,-2.3,-1.3,0.8,5.2,8.4,8,6,5.4,5,3.9,4.6,4.5,4.7,4.9,4.5,4.9,2.7,2.3,3.3,3.7,4.5,4.8,6.1,6.8,6.2,5.8,5.9
"14","7","  Government","A264RL1",5.8,6.6,5.3,4.1,3.3,4.4,5.9,5.5,5.7,5.5,5.8,20.6,63.5,74.4,48.9,19.9,-2.9,-13.2,-12.1,-8.5,-5.9,0.8,8.5,9.1,7.1,4.1,3.6,4.3,4.3,4.9,5.3,5.1,5.6,5.3,4.8,4,4.3,5.2,4.7,3.5
"15","8","    General government","A265RL1",5.6,6.4,5,4.1,3.6,4.8,6.3,5.6,5.8,5.5,5.9,23.5,72.6,80.7,51.3,20.6,-3.1,-13.6,-12.7,-9.1,-6.5,0.5,8.7,9.4,7.2,4.1,3.5,4.3,4.3,4.9,5.3,5.1,5.6,5.3,4.7,4,4.2,5.1,4.7,3.4
"16","9","    Government enterprises","A266RL1",7.5,7.5,6.9,3.8,2,2,4,5.3,5.1,5.2,5.4,4.5,2.2,0.6,0,-1.1,0.4,1.1,3.6,3.9,5.3,4.7,6.1,4.4,4.8,4.3,4.6,4.8,4.6,5.2,6,5.9,5.8,5.3,5.4,5.5,5.3,5.4,5.9,5.7
"17","10","Equals: Net national product","A027RL1",-9.7,-7.3,-14.4,-1.2,12.7,10.1,14.2,5.4,-3.9,8.8,9.4,19.1,19.5,17,7.2,-2,-12.9,-0.9,4.8,-0.8,9.6,8.7,3.9,4.5,-1.2,7.5,1.9,1.8,-1.6,7.4,2.5,2.4,6.4,4.3,5.9,6.6,6.6,2.3,4.9,2.8
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RL1",-7.4,-7.7,-12.5,-1.7,11.2,9.9,11,6.6,-4.1,7.3,9.2,18.6,19.8,17.5,5.8,-1.5,-10.6,-1.7,5.5,-1.3,9,7.4,4.4,4.4,-0.3,7.4,3.1,1.7,-0.9,7,2.9,2.5,5.9,4.6,5.5,6.4,6,3,5,3.3
"20","12","  Gross national income \2\","A023RL1",-7.4,-7.8,-12.5,-1.8,11,9.9,10.9,6.7,-4.1,7.3,9.1,18.7,19.8,17.4,5.8,-1.6,-10.4,-1.5,5.5,-1.3,9,7.5,4.4,4.4,-0.3,7.4,3.2,1.7,-1,7,2.9,2.5,6,4.6,5.5,6.4,5.9,3,5,3.3
"21","13","  Net domestic product","A362RL1",-9.7,-7.2,-14.4,-1.1,12.8,10.1,14.4,5.3,-3.9,8.8,9.6,19,19.6,17.1,7.2,-2,-13,-1.1,4.7,-0.8,9.6,8.6,3.9,4.6,-1.3,7.5,1.8,1.8,-1.5,7.4,2.5,2.4,6.4,4.3,5.9,6.6,6.7,2.3,4.8,2.9
"22","14","  Net domestic income \3\","W256RL1",-8.5,-8.7,-13.9,-1.6,13.3,11.2,12.2,7.1,-4.8,8.1,10,20.1,20.7,17.6,4.8,-2.6,-11.9,-1.8,6.2,-1.6,9.9,7.9,4.3,4.2,-1,7.8,2.9,1.3,-1.7,7.6,2.8,2.3,6.2,4.6,5.6,6.5,6,2.6,4.9,3.1
"23","15","  Net domestic purchases","W367RL1",-9.4,-7,-14.2,-1,12.5,11.1,14,4.8,-4.9,8.8,9.1,20.1,21.2,18.4,7.1,-2.7,-17,-2.4,7.5,-0.9,11.3,7.7,4.6,5.3,-1.7,7.5,1.4,1.5,-0.5,7.4,1.7,2.3,6.7,4.1,5.5,7.1,7.1,2.6,5.2,2.9
"24","16","  Gross national product, current dollars","A001RP1",-11.8,-16.1,-23.1,-4.1,16.8,11.2,14.1,9.7,-6,6.9,10,25.7,28.2,22.3,10.5,1.6,0,9.9,10,-0.8,10,15.8,5.9,5.9,0.4,9,5.7,5.5,1.4,8.4,4,3.7,7.5,5.6,7.4,8.4,9.5,5.7,9.4,8.2
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
