"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:45:57 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"8","1","      Compensation of employees","A033RC0",5077823,5410309,5856581,6046546,6141911,6364463,6739534,7086801,7502337,7898261,8078256,7786973,7961448,8269030,8606492,8844757
"9","2","Domestic industries","A4002C0",5082386,5417479,5863146,6053751,6149710,6372705,6748777,7097917,7513698,7908767,8089957,7795655,7969482,8277112,8614945,8853634
"10","3","  Private industries","A4003C0",4146921,4429103,4811250,4934348,4958067,5106160,5405910,5693783,6047461,6367782,6472467,6129492,6246007,6539969,6871902,7094310
"11","4","    Agriculture, forestry, fishing, and hunting","N4004C0",27922,29574,30274,31373,31656,31661,34954,34668,38033,41498,42180,42234,41352,41035,47401,50616
"12","5","      Farms \1\","N4005C0",18213,18908,19718,20877,20789,20488,22179,22033,21886,25013,25728,25616,24176,22845,27593,30475
"13","6","      Forestry, fishing, and related activities","N4006C0",9709,10666,10556,10496,10867,11173,12775,12635,16148,16486,16453,16618,17175,18190,19808,20141
"14","7","    Mining","N4007C0",35866,34789,35992,38611,35731,37080,41466,47133,56974,62673,72780,64690,69142,80257,90057,92833
"15","8","      Oil and gas extraction","N4008C0",12344,12338,13358,14096,13240,13640,15562,17181,20894,22573,27287,25873,27593,30643,34653,35971
"16","9","      Mining, except oil and gas","N4009C0",14066,13638,13117,13240,12355,12510,13451,14370,15759,16259,17524,16017,16777,18209,18804,18482
"17","10","      Support activities for mining","N4010C0",9456,8813,9517,11275,10135,10930,12453,15582,20321,23841,27968,22800,24772,31406,36600,38380
"18","11","    Utilities","N4011C0",43093,47188,50214,53904,54653,52916,55608,56111,60888,63089,66298,66840,67633,71193,70092,72568
"19","12","    Construction","N4012C0",252934,278146,307581,325403,327032,335721,357933,387464,421439,439767,433348,369137,344851,348942,368310,390384
"20","13","    Manufacturing","N4013C0",834443,870204,918025,881901,846949,847444,874045,895803,924685,944355,932602,836018,847866,883445,918056,932479
"21","14","      Durable goods","N4014C0",549537,576748,615870,582760,553159,549959,573406,590549,615633,628173,616226,540088,546967,579692,604743,613122
"22","15","        Wood products","N4015C0",20456,21716,22190,21577,21533,21748,23241,24822,24818,23600,21235,16317,15857,16268,16690,17737
"23","16","        Nonmetallic mineral products","N4016C0",23369,24557,26049,26171,25873,25902,26682,28176,29254,29683,27777,22712,22321,22696,23482,24198
"24","17","        Primary metals","N4017C0",33266,33678,34422,31666,29306,28556,30027,30685,31982,32497,33007,25598,26681,29689,31251,31206
"25","18","        Fabricated metal products","N4018C0",74259,76190,80195,77112,74062,73464,77141,81034,85399,88903,90489,77518,77956,83984,90090,91244
"26","19","        Machinery","N4019C0",74947,76056,80170,74924,69544,68656,71810,75417,79313,82795,84198,73950,75166,83266,87942,88151
"27","20","        Computer and electronic products","N4020C0",118402,128596,149631,136219,120011,115796,119584,123147,129609,131838,128174,118625,123453,128762,130819,128810
"28","21","        Electrical equipment, appliances, and components","N4021C0",28107,29501,31274,30044,28027,27693,28545,29087,30297,31037,30870,28569,29182,30625,31814,32497
"29","22","        Motor vehicles, bodies and trailers, and parts","N4022C0",71421,77205,80210,73361,74489,76389,76958,76104,76195,73253,64475,48767,49353,53411,57425,59843
