"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 07, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/27/2014 5:45:29 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","    National income without capital consumption adjustment","A422RC1",4050.6,4428.1,4724.5,5004,5166.3,5479.2,5730.1,6107.6,6443.3,6849.4,7311.3,7776.3,8225.5,8817.5
"9","2","Domestic industries","A423RC1",4033.1,4405.4,4699.7,4969.3,5134.7,5448.2,5698.1,6083.8,6414.6,6817.6,7287.2,7758.1,8198.4,8780.5
"10","3","  Private industries","A736RC1",3498.2,3828.3,4076.7,4299,4417.4,4684.6,4911.6,5268.8,5574.7,5953.3,6388,6818.3,7206,7729.4
"11","4","    Agriculture, forestry, and fishing","B424RC1",66.6,68.6,77.9,83.3,77.8,85.6,79.4,89.9,80.6,99.2,97.9,92.5,90.8,96.2
"12","5","    Mining","B734RC1",43,50.7,52.8,59.2,55.9,55.2,55.3,58.3,58.1,69.6,79.1,67.3,64.3,84.4
"13","6","    Construction","B735RC1",201.2,218.7,222.9,231.6,218.5,220.7,234.1,260.7,279.7,306.4,332.1,370,417.8,457.5
"14","7","    Manufacturing","A426RC1",790.8,881.1,889.5,923.4,920.8,937.8,964.7,1039.1,1098.1,1130.9,1199.1,1218.5,1264.8,1330.2
"15","8","      Durable goods","B428RC1",464.1,511.1,511.2,515.8,508.9,523.3,544.8,594,620.4,641.7,688.8,709.7,726.1,764.3
"16","9","      Nondurable goods","B427RC1",326.7,370,378.3,407.6,411.9,414.5,419.9,445.1,477.7,489.1,510.3,508.7,538.7,565.8
"17","10","    Transportation and public utilities","A737RC1",320.9,348.4,359.4,384.5,403.4,419.9,443.3,476.3,492.7,511.5,518.2,542.2,563.5,591
"18","11","      Transportation","B429RC1",127.6,139.6,138.5,147.1,155.7,162.5,173.9,188.5,196.1,205,224.6,242.6,255.1,269.2
"19","12","      Communications","B430RC1",98,105.4,107.6,117.1,121.7,127.6,136.7,146,149,155.4,144.1,153,152.7,165.2
"20","13","      Electric, gas, and sanitary services","B431RC1",95.3,103.5,113.2,120.3,126,129.8,132.7,141.8,147.6,151.1,149.6,146.6,155.8,156.6
"21","14","    Wholesale trade","B433RC1",286.1,318.1,334.4,351.5,367.2,384,393.6,431.1,448.4,480.9,519.1,558.6,577.1,614.5
"22","15","    Retail trade","B434RC1",402,428.8,452.8,474.9,489.2,503.6,537.3,580.2,610.6,650.5,699.7,753.7,798,839.9
"23","16","    Finance, insurance, and real estate","B435RC1",650.3,688.6,790.7,788.7,828.7,936.8,997.3,1050.2,1129.3,1218.4,1331.3,1462.3,1540.6,1675.8
"24","17","    Services","B437RC1",737.3,825.4,896.4,1001.8,1055.9,1140.9,1206.5,1283,1377,1485.9,1611.5,1753.3,1889.1,2039.9
"25","18","  Government","B436RC1",534.9,577.1,623,670.3,717.3,763.6,786.5,814.9,839.9,864.3,899.2,939.8,992.4,1051
"26","19","Rest of the world","A192RC1",17.5,22.7,24.8,34.7,31.6,31.1,32,23.9,28.8,31.8,24.1,18.2,27.1,37
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
