"","Table 1#1#3# Real Gross Domestic Product, Quantity Indexes      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2009=100]                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2014     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2014 1:38:41 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RA3",7.328,6.704,6.275,5.467,5.398,5.98,6.512,7.355,7.73,7.474,8.07,8.781,10.336,12.288,14.382,15.531,15.381,13.6,13.451,14.009,13.933,15.147,16.368,17.034,17.834,17.733,18.996,19.401,19.809,19.664,21.021,21.56,22.111,23.463,24.485,25.897,27.58,29.399,30.205,31.688,32.683
"9","2","Personal consumption expenditures","DPCERA3",7.931,7.506,7.272,6.621,6.475,6.937,7.358,8.107,8.407,8.272,8.735,9.188,9.837,9.604,9.871,10.152,10.78,12.121,12.353,12.632,12.983,13.816,14.032,14.475,15.165,15.484,16.627,17.113,17.536,17.688,18.691,19.203,19.599,20.569,21.416,22.691,24.13,25.496,26.257,27.765,28.803
"10","3","  Goods","DGDSRA3",8.646,7.962,7.673,6.777,6.728,7.343,7.941,8.996,9.263,9.059,9.688,10.289,11.102,10.245,10.144,10.22,10.918,12.938,13.314,13.582,13.993,15.078,14.898,15.233,16.022,16.194,17.686,17.951,18.259,18.072,19.209,19.547,19.67,20.682,21.508,22.79,24.405,25.952,26.46,28.098,28.957
