"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1930 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:21:10 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Government consumption expenditures and gross investment","A822RL1",10.2,4.2,-3.3,-3.3,12.8,2.7,16.7,-4.2,7.7,8.8,2.8,66.2,135.3,48.8,12.5,-12.7,-65.6,-15.1,7.3,11.9,0.1,36.6,20.4,7.2,-6.8,-3.7,0.1,4.5,3.2,3.4,0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","      Consumption expenditures \1\","A955RZ2",4.58,2.64,0.2,1.89,8.04,1.25,6.37,-0.84,4.4,5.96,3.81,29.31,69.66,32.42,12.38,-3.03,-44.35,-16.39,2.15,5.42,-0.46,23.48,14.24,4.74,-5.33,-1.48,0.03,4.03,1.05,0.94,0.96,2.49,4.97,2.63,1.75,2.67,6.79,6.51,3.67,1.15
"12","3","      Gross investment \2\","A782RZ2",5.62,1.52,-3.51,-5.2,4.75,1.49,10.34,-3.39,3.28,2.85,-1,36.93,65.64,16.34,0.15,-9.67,-21.27,1.33,5.15,6.52,0.57,13.13,6.16,2.43,-1.48,-2.17,0.05,0.43,2.16,2.45,-0.78,2.54,1.18,-0.05,0.46,0.34,2.02,1.16,-0.53,-1.38
"13","4","        Structures","A760RZ2",5.79,1.14,-3.22,-5.28,2.9,0.98,10.8,-3.68,2.53,2.5,-1.21,13.6,16.5,-9.2,-3.78,-0.75,-1.07,2.28,3.31,4.3,2.02,2.92,1.79,0.7,0.88,-0.12,0.26,0.9,1.77,0.29,-0.05,1.23,0.21,0.77,0.63,0.85,0.82,0.31,0.41,-0.75
"14","5","        Equipment and software","A871RZ2",-0.17,0.38,-0.3,0.08,1.85,0.52,-0.46,0.29,0.75,0.35,0.22,23.33,49.14,25.54,3.93,-8.92,-20.2,-0.95,1.83,2.22,-1.45,10.22,4.37,1.72,-2.35,-2.05,-0.21,-0.47,0.39,2.16,-0.73,1.32,0.97,-0.83,-0.17,-0.51,1.2,0.85,-0.94,-0.63
"15","6","Federal","A823RZ2",1.97,0.64,0.44,4.92,9.01,0.55,16.32,-4.22,4.17,2.99,4.79,69.88,138.4,50.04,12.85,-12.97,-66.52,-18.88,4.8,5.85,-3.24,36.26,19.84,5.71,-9.33,-6.05,-1.1,2.21,-0.03,1.87,-1.61,2.4,4.83,0.04,-0.75,-0.03,5.86,5.33,0.44,-1.82
"16","7","    Consumption expenditures","A957RZ2",1.08,-0.42,-0.62,2.81,6.61,-1.91,16.22,-3.83,4.18,3.64,1.64,27.92,69.07,32.52,12.54,-3.2,-44.61,-17.98,1.82,2.74,-2.3,23.58,13.92,4.04,-6.19,-2.98,-0.87,2.66,-0.97,-0.2,-0.66,0.83,4.09,1.16,-0.28,0.57,4.75,4.99,1.56,-0.99
"17","8","    Gross investment","A787RZ2",0.89,1.06,1.06,2.11,2.4,2.47,0.1,-0.39,-0.01,-0.65,3.14,41.95,69.32,17.52,0.31,-9.77,-21.91,-0.9,2.98,3.11,-0.94,12.68,5.92,1.67,-3.14,-3.07,-0.23,-0.45,0.94,2.07,-0.95,1.58,0.74,-1.12,-0.47,-0.6,1.1,0.34,-1.12,-0.83
"18","9","      Structures","A801RZ2",0.71,0.91,1.22,1.66,0.46,1.95,0.53,-0.37,-0.62,-0.78,2.63,18.29,20.04,-8.08,-3.62,-0.85,-1.66,0.29,1.37,0.95,0.52,2.51,1.61,-0.01,-0.71,-1.04,0.09,0.23,0.55,-0.01,-0.1,0.3,-0.16,-0.15,-0.15,0,0.03,-0.46,-0.13,-0.11
"19","10","      Equipment and software","A872RZ2",0.18,0.15,-0.16,0.45,1.94,0.52,-0.43,-0.02,0.62,0.13,0.51,23.66,49.28,25.6,3.93,-8.92,-20.26,-1.19,1.6,2.16,-1.47,10.17,4.3,1.68,-2.43,-2.03,-0.32,-0.68,0.39,2.09,-0.85,1.28,0.9,-0.98,-0.32,-0.6,1.07,0.8,-0.99,-0.72
"20","11","  National defense","A824RZ2",0.71,0.03,0.04,-0.32,-1.15,1.74,1.81,0.07,0.45,1,7.34,72.75,141.14,51.06,12.52,-12.4,-67.5,-20.5,0.43,2.27,-0.55,38.33,18.79,4,-8.89,-5.51,-0.4,2.28,-0.27,-1.04,-0.78,2.11,2.85,-1.12,-1.77,-0.88,5.72,5.44,0.7,-2.1
"21","12","    Consumption expenditures","A997RZ2",0.41,-0.29,0.14,-0.58,-1.3,1.86,0.4,-0.21,0.49,0.93,4.19,33.82,70.25,33.41,11.8,-2.45,-45.84,-18.66,-2.05,0.03,0.8,25.29,12.8,2.1,-5.9,-2.84,0.1,2.88,-0.96,-3.11,0.44,0.91,2.45,0.39,-0.93,0.12,4.7,4.57,1.55,-1.44
"22","13","    Gross investment","A788RZ2",0.3,0.32,-0.1,0.25,0.15,-0.12,1.4,0.28,-0.04,0.08,3.15,38.93,70.89,17.65,0.72,-9.94,-21.67,-1.84,2.49,2.23,-1.35,13.03,5.98,1.9,-2.99,-2.68,-0.51,-0.6,0.69,2.07,-1.22,1.2,0.4,-1.52,-0.85,-1,1.02,0.87,-0.85,-0.66
"23","14","      Structures","A808RZ2",0.17,0.19,0,0.01,0.2,-0.11,1.04,0.27,-0.21,-0.19,2.78,18.14,20.57,-7.99,-3.41,-0.81,-1.48,-0.47,0.53,-0.01,0.22,2.85,1.73,0.07,-0.56,-0.72,-0.17,0.05,0.26,-0.08,-0.27,0.13,-0.34,-0.27,-0.28,-0.1,0.04,-0.06,-0.01,0.05
"24","15","      Equipment and software","A873RZ2",0.13,0.13,-0.1,0.24,-0.06,-0.01,0.37,0.01,0.17,0.27,0.37,20.79,50.32,25.64,4.13,-9.13,-20.18,-1.36,1.96,2.25,-1.58,10.18,4.26,1.84,-2.43,-1.96,-0.34,-0.65,0.42,2.15,-0.96,1.08,0.74,-1.24,-0.57,-0.9,0.98,0.93,-0.84,-0.71
"25","16","  Nondefense","A825RZ2",1.26,0.61,0.4,5.24,10.16,-1.18,14.52,-4.29,3.72,1.98,-2.56,-2.87,-2.75,-1.03,0.33,-0.57,0.99,1.63,4.37,3.58,-2.69,-2.06,1.05,1.71,-0.44,-0.53,-0.7,-0.07,0.25,2.91,-0.83,0.29,1.98,1.16,1.03,0.86,0.13,-0.11,-0.26,0.28
"26","17","    Consumption expenditures","A542RZ2",0.67,-0.13,-0.76,3.39,7.91,-3.77,15.81,-3.62,3.68,2.71,-2.55,-5.9,-1.18,-0.89,0.74,-0.74,1.23,0.69,3.88,2.71,-3.1,-1.71,1.11,1.94,-0.3,-0.14,-0.98,-0.21,-0.01,2.9,-1.1,-0.08,1.64,0.77,0.65,0.45,0.05,0.42,0.01,0.45
"27","18","    Gross investment","A798RZ2",0.59,0.74,1.16,1.85,2.25,2.59,-1.3,-0.67,0.04,-0.72,-0.01,3.03,-1.57,-0.14,-0.41,0.17,-0.24,0.94,0.49,0.88,0.41,-0.35,-0.07,-0.23,-0.14,-0.39,0.27,0.15,0.25,0,0.27,0.37,0.34,0.39,0.38,0.4,0.09,-0.54,-0.27,-0.17
"28","19","      Structures","A830RZ2",0.54,0.72,1.22,1.65,0.26,2.06,-0.51,-0.64,-0.41,-0.59,-0.15,0.15,-0.53,-0.09,-0.21,-0.04,-0.17,0.76,0.84,0.96,0.3,-0.34,-0.11,-0.07,-0.15,-0.32,0.25,0.18,0.29,0.07,0.17,0.17,0.18,0.13,0.13,0.1,-0.01,-0.4,-0.12,-0.15
"29","20","      Equipment and software","B880RZ2",0.05,0.02,-0.06,0.21,1.99,0.54,-0.79,-0.03,0.45,-0.13,0.14,2.87,-1.04,-0.04,-0.2,0.21,-0.07,0.18,-0.35,-0.08,0.11,-0.01,0.05,-0.16,0,-0.07,0.02,-0.03,-0.03,-0.07,0.1,0.2,0.16,0.26,0.25,0.31,0.1,-0.13,-0.15,-0.02
"30","21","State and local","A829RZ2",8.22,3.52,-3.75,-8.23,3.78,2.19,0.38,-0.01,3.51,5.82,-1.97,-3.64,-3.1,-1.28,-0.32,0.28,0.9,3.82,2.5,6.09,3.35,0.35,0.57,1.45,2.52,2.39,1.19,2.25,3.24,1.52,1.78,2.63,1.33,2.54,2.95,3.03,2.96,2.35,2.7,1.59
"31","22","  Consumption expenditures","A991RZ2",3.5,3.06,0.82,-0.92,1.43,3.17,-9.85,2.98,0.22,2.33,2.17,1.38,0.59,-0.1,-0.16,0.17,0.25,1.59,0.33,2.68,1.84,-0.1,0.33,0.7,0.86,1.5,0.9,1.37,2.02,1.15,1.62,1.66,0.88,1.47,2.03,2.1,2.04,1.52,2.11,2.14
"32","23","  Gross investment","A799RZ2",4.72,0.46,-4.58,-7.31,2.35,-0.98,10.24,-3,3.29,3.5,-4.14,-5.03,-3.69,-1.17,-0.16,0.1,0.64,2.23,2.17,3.41,1.51,0.45,0.24,0.75,1.66,0.9,0.28,0.88,1.22,0.38,0.17,0.97,0.45,1.07,0.92,0.94,0.92,0.83,0.59,-0.55
