"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 29, 2011     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:19:23 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Personal consumption expenditures (PCE)","DPCERC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.7,331.8,342.2,363.3,382.7,411.5,443.8,480.9,507.8,558,605.1
"9","2","Goods","DGDSRC1",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36,38.4,36,37.9,40.6,47.4,51,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.8,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177,178.8,189,198.2,212.3,229.7,249.6,259,284.6,304.7
"10","3","  Durable goods","DDURRC1",9.8,7.7,5.9,4,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74,84.8,90.5
