"","Table 6#20C# Net Corporate Dividend Payments by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 20, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 10:00:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Net corporate dividends","B056RC0",112312,129919,157974,169062,180683,188027,202930,235723,254404,297722,331205,351454,337397,377873
"9","2","Domestic industries","A3302C0",95607,98025,126374,144088,156356,159993,182348,197557,221632,257331,283995,309184,295700,348456
"10","3","  Agriculture, forestry, and fishing","A3303C0",301,1024,862,1124,1052,1394,1167,1579,1826,1838,2526,3375,3725,3905
"11","4","    Farms","B3304C0",210,834,671,833,798,1159,749,978,1084,1014,1662,1446,1941,1821
"12","5","    Agricultural services, forestry, and fishing","B3305C0",91,190,191,291,254,234,418,601,742,824,863,1930,1784,2083
"13","6","  Mining","A3306C0",2290,2992,3717,3985,3887,2156,2889,2828,3593,3435,4202,4241,2403,4381
"14","7","    Metal mining","B3307C0",749,498,620,417,730,342,139,425,747,503,573,238,142,542
"15","8","    Coal mining","B3308C0",289,641,760,536,392,248,246,365,361,426,885,357,300,224
"16","9","    Oil and gas extraction","B3309C0",690,1323,1846,2575,2537,1287,2052,1808,1992,1893,2247,1865,1195,2618
"17","10","    Nonmetallic minerals, except fuels","B3310C0",562,530,491,457,228,279,453,229,493,613,496,1781,765,997
"18","11","  Construction","B3311C0",1141,1521,3126,3203,3922,3917,4611,5259,6807,7783,11152,12783,15450,17910
"19","12","  Manufacturing","A3312C0",27942,27383,40401,48201,50544,54171,58614,56806,61261,68339,75509,85823,68386,79199
"20","13","    Durable goods","A3313C0",10415,5654,12453,11885,13595,15886,17967,17869,21500,22171,25788,30950,25796,29606
"21","14","      Lumber and wood products","B3314C0",704,812,922,988,1252,1088,1069,1447,1678,1401,1690,1641,3087,3263
"22","15","      Furniture and fixtures","B3315C0",243,327,501,322,220,286,518,497,646,557,1178,668,837,800
"23","16","      Stone, clay, and glass products","B3316C0",269,367,802,430,599,1081,667,938,955,1293,1386,1042,1028,888
"24","17","      Primary metal industries","B3317C0",572,964,1789,1711,1266,2122,1145,1441,1803,1447,1455,741,1328,827
"25","18","      Fabricated metal products","B3318C0",283,1370,1669,1511,1868,1636,1721,2671,3676,4407,4741,5956,6138,5827
"26","19","      Industrial machinery and equipment","B3319C0",1420,-1577,-1065,-785,205,1283,2730,2821,1802,428,415,-1556,613,-2396
"27","20","      Electronic and other electric equipment","B3320C0",2862,1610,3134,3110,3490,4293,3859,4062,2995,5080,5906,6586,4508,8591
"28","21","      Motor vehicles and equipment","B3321C0",2492,399,2090,2806,2579,2545,2321,1768,4081,3185,4152,10498,3772,6206
"29","22","      Other transportation equipment","B3322C0",647,423,1376,530,395,-187,1670,444,843,1446,1151,1563,1223,1259
"30","23","      Instruments and related products","B3323C0",535,388,533,413,826,1098,1869,950,2217,1644,1500,1647,807,1972
"31","24","      Miscellaneous manufacturing industries","B3324C0",388,571,702,849,895,641,397,829,804,1282,2214,2163,2454,2369
"32","25","    Nondurable goods","A3325C0",17527,21729,27948,36316,36949,38285,40647,38937,39761,46168,49721,54873,42591,49593
"33","26","      Food and kindred products","B3326C0",4097,1500,4189,5012,7562,7322,8840,8970,9834,14796,17179,17540,9746,11250
"34","27","      Tobacco products","B3327C0",79,910,1921,905,1061,1088,-343,-339,-607,-1048,-1604,-1364,-2903,-661
"35","28","      Textile mill products","B3328C0",343,354,653,434,577,688,1031,814,940,991,793,1017,548,556
"36","29","      Apparel and other textile products","B3329C0",477,293,689,771,837,1405,992,854,1091,1068,847,1038,1066,931
"37","30","      Paper and allied products","B3330C0",1073,1381,2885,2930,2241,2559,2162,2385,2866,3666,3046,3360,2899,3430
"38","31","      Printing and publishing","B3331C0",2277,1992,3751,3895,3072,4360,3617,3750,3472,5621,4961,4650,4393,5888
"39","32","      Chemicals and allied products","B3332C0",5840,9817,11354,13759,13693,13471,14919,13216,14742,16326,16094,19892,16727,18889
"40","33","      Petroleum and coal products","B3333C0",3131,5005,2058,7400,6991,6438,8364,7412,5800,3244,6571,6630,7232,6815
"41","34","      Rubber and miscellaneous plastics products","B3334C0",109,379,335,1040,639,766,904,1725,1505,1409,1665,1986,2763,2330
"42","35","      Leather and leather products","B3335C0",101,98,113,170,276,187,162,151,119,94,168,123,119,167
"43","36","  Transportation and public utilities","A3336C0",27159,26920,29714,33778,34202,36697,39585,41455,45174,47307,44687,39119,39246,38919
"44","37","    Transportation","A3337C0",1991,2820,2812,3084,3294,4126,4283,4409,5409,5956,5536,5378,5372,5072
