"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:22:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","      Government","A822RC1",110,111.5,119.5,130.1,136.4,143.2,151.4,171.6,192.5,209.3,221.4
"9","2","General public service","W575RC1",5.1,5.6,6,6.4,6.9,7.4,8.4,8.8,9.4,10.7,13.2
"10","3","  Executive and legislative","W576RC1",2.4,2.7,2.7,3,3.1,3.3,3.7,3.7,3.5,2.5,3.1
"11","4","  Tax collection and financial management","W577RC1",1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,3.8,4.8
"12","5","  Other","W578RC1",1.5,1.6,1.9,2,2.2,2.5,2.9,3.2,3.7,4.5,5.3
"13","6","National defense","A824RC1",53.8,53.3,56.5,61.1,61,60.2,60.6,71.7,83.4,89.2,89.5
"14","7","Public order and safety","W579RC1",4.4,4.7,5.1,5.3,5.6,6.1,6.5,7.2,7.9,9.2,10.2
"15","8","  Police","W580RC1",2,2.2,2.3,2.5,2.6,2.8,3.1,3.4,3.8,4.5,5
"16","9","  Fire","W581RC1",1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1
"17","10","  Law courts","W582RC1",0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5
"18","11","  Prisons","W583RC1",0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6
"19","12","Economic affairs","W584RC1",20.5,19.5,20.6,23.3,26.2,29.1,31.4,33.2,35,37.6,39.5
"20","13","  Transportation","W589RC1",12.2,12.2,13.1,13.9,15.2,15.7,16.8,18.5,19.8,21.4,22.5
"21","14","    Highways","W590RC1",10.7,10.6,11.3,12.1,13.2,13.6,14.5,16,16.8,18.1,18.9
"22","15","    Air","W591RC1",0.6,0.7,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.6
"23","16","    Water","W592RC1",0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3
"24","17","    Transit and railroad","W593RC1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7
"25","18","  Space","W595RC1",0.3,0.6,0.9,1.9,3.5,4.9,5.9,6.4,5.5,5.3,4.7
"26","19","  Other economic affairs","W596RC1",8.1,6.7,6.5,7.5,7.5,8.5,8.7,8.3,9.7,10.9,12.3
"27","20","    General economic and labor affairs","W585RC1",0.9,1.1,1.2,1.3,1.5,1.6,1.8,2.1,2.6,2.9,3
"28","21","    Agriculture","W586RC1",4,2.2,1.4,2.2,1.6,1.8,1.5,0.5,0.9,2.4,3.4
"29","22","    Energy","W587RC1",1.2,1.4,1.7,1.6,1.7,2.2,2.2,2.1,2.5,2.5,2.7
"30","23","    Natural resources","W588RC1",1.7,1.7,2,2.1,2.3,2.4,2.8,3.1,3.4,2.8,2.9
"31","24","    Postal service","W594RC1",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3
"32","25","    Other","W684RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"33","26","Housing and community services","W597RC1",2.7,2.8,3.1,3.5,3.3,3.8,4,4.2,4.5,5.2,5.1
"34","27","Health","W598RC1",4.3,4.6,5,5.2,5.6,6,6.4,7,7.7,8.7,9.8
"35","28","Recreation and culture","W599RC1",0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.8,2.2
"36","29","Education","W600RC1",17.2,19.1,21,22.6,25,27.7,30.8,35.7,40.1,43.9,48.6
"37","30","  Elementary and secondary","W601RC1",14.2,15.7,17.2,18.3,19.9,22,24.2,27.6,30.5,33.5,36.9
"38","31","  Higher","W602RC1",2.3,2.6,3,3.4,4,4.4,5.1,6.2,7.4,8.1,9.1
"39","32","  Libraries and other","W682RC1",0.7,0.7,0.8,0.9,1.1,1.3,1.5,2,2.2,2.3,2.6
"40","33","    Libraries","W603RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7
"41","34","    Other","W604RC1",0.5,0.5,0.5,0.6,0.7,0.8,1,1.5,1.6,1.7,1.9
"42","35","Income security","W605RC1",1.1,1.1,1.4,1.6,1.6,1.7,2.1,2.5,2.9,2.9,3.4
"43","36","  Disability","W606RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
"44","37","  Retirement \1\","W607RC1",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"45","38","  Welfare and social services","W608RC1",0.8,0.7,0.9,1.2,1.2,1.2,1.6,2,2.3,2.2,2.7
