"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/8/2011 9:22:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Government","A822RL1",0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","General public service","W575RZ2",0.31,0.27,0.25,0.2,0.25,0.47,0.08,0.12,0.35,0.74
"12","3","National defense","A824RZ2",-0.78,2.11,2.85,-1.12,-1.77,-0.88,5.72,5.44,0.7,-2.1
"13","4","Public order and safety","W579RZ2",0.2,0.18,0.1,0.14,0.26,0.19,0.2,0.16,0.37,0.19
"14","5","Economic affairs","W584RZ2",-0.81,0.69,1.78,1.88,1.51,1.19,0.26,0.23,0.34,-0.11
"15","6","  Transportation","W589RZ2",0.2,0.64,0.39,0.7,0.17,0.39,0.59,0.24,0.27,-0.09
"16","7","  Space","W595RZ2",0.28,0.3,0.74,1.27,0.82,0.74,0.2,-0.69,-0.24,-0.39
"17","8","  Other economic affairs","W596RZ2",-1.29,-0.25,0.65,-0.09,0.52,0.06,-0.53,0.67,0.31,0.38
