"","Table 7#1# Selected Per Capita Product and Income Series in Curr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","2","  Gross national product","A791RC0",1663,1679,1700,1761,1795,1836,1873,1873,1830,1797,1798,1773,1832,1888,1996,2062,2155,2199,2234,2253,2264,2261,2291,2362,2397,2412,2394,2350,2338,2332,2352,2395,2466,2506,2547,2574,2579,2603,2621,2659,2704,2706,2735,2691,2637,2651,2718,2781,2829,2892,2886,2896,2949,2934,2938,2897,2910,2959,3003,3062,3124,3154,3178,3187,3223,3258,3314,3352,3428,3465,3514,3526,3624,3679,3753,3852,3963,3999,4054,4113,4157,4169,4234,4301,4428,4540,4605,4676,4789,4853
"12","3","  Personal income","A792RC0",1310,1290,1340,1357,1387,1422,1457,1451,1404,1389,1378,1377,1468,1468,1520,1575,1627,1668,1681,1708,1714,1732,1768,1798,1821,1839,1831,1818,1811,1801,1805,1830,1858,1898,1934,1955,1978,2005,2025,2060,2075,2093,2108,2096,2091,2096,2134,2150,2178,2218,2221,2243,2261,2279,2282,2279,2292,2316,2344,2382,2409,2441,2456,2477,2496,2514,2541,2580,2622,2661,2700,2736,2783,2823,2885,2942,2997,3038,3096,3153,3198,3226,3285,3333,3422,3511,3591,3656,3719,3799
"13","4","  Disposable personal income","A229RC0",1176,1155,1203,1213,1241,1293,1333,1326,1284,1275,1269,1272,1358,1352,1396,1427,1468,1497,1501,1517,1516,1529,1562,1589,1610,1629,1624,1613,1623,1616,1621,1644,1666,1701,1733,1749,1767,1789,1806,1836,1848,1865,1880,1871,1870,1879,1911,1926,1946,1980,1980,1998,2009,2024,2025,2023,2038,2060,2087,2121,2143,2167,2176,2192,2209,2226,2253,2290,2340,2402,2432,2460,2488,2522,2592,2644,2683,2704,2751,2795,2839,2868,2914,2952,3029,3104,3133,3181,3211,3277
"14","5","  Personal consumption expenditures","A794RC0",1092,1114,1133,1156,1170,1191,1206,1206,1193,1200,1190,1201,1214,1235,1320,1297,1366,1333,1344,1363,1366,1387,1397,1442,1459,1465,1463,1453,1459,1470,1479,1501,1533,1558,1576,1593,1595,1605,1616,1640,1659,1666,1685,1687,1678,1689,1710,1724,1761,1789,1810,1814,1819,1845,1837,1840,1835,1855,1863,1895,1916,1940,1953,1979,1991,2007,2036,2053,2097,2132,2170,2176,2225,2255,2295,2359,2406,2426,2465,2487,2503,2542,2572,2602,2687,2749,2822,2859,2914,2963
"15","6","    Goods","AGDSRC0",668,683,695,713,721,732,740,736,723,727,719,728,734,744,816,785,832,794,798,810,805,815,813,848,855,851,840,832,831,833,832,847,870,890,902,904,898,900,902,915,928,928,939,931,920,920,931,940,964,977,983,974,974,989,980,974,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495
"16","7","      Durable goods","A795RC0",145,148,151,162,162,164,172,169,165,177,183,189,194,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,240,228,222,226,232,248,257,261,247,253,257,254,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447
"17","8","      Nondurable goods","A796RC0",523,535,544,551,559,568,568,567,558,550,537,539,540,547,570,567,600,594,602,614,607,617,626,635,634,631,624,622,627,625,628,632,636,643,645,655,661,663,667,671,678,682,695,690,692,697,705,708,716,719,722,726,721,732,727,728,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034,1048
"18","9","    Services","A797RC0",424,431,438,443,449,459,466,470,471,472,471,473,479,491,505,512,533,539,546,553,561,572,584,594,604,614,623,621,628,637,647,654,663,668,675,689,697,704,715,725,731,738,746,756,758,769,779,784,797,812,827,840,845,856,857,866,874,887,890,906,917,931,939,950,955,966,982,997,1015,1031,1045,1061,1074,1092,1109,1131,1147,1168,1184,1206,1222,1240,1263,1282,1315,1348,1378,1406,1434,1468
"19",NA,"Chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","  Gross domestic product","A939RX0",12369,12294,12228,12356,12499,12678,12692,12652,12423,12328,12413,12241,12681,13021,13473,13648,13765,13938,14151,14108,14191,14151,14184,14586,14803,14860,14702,14402,14273,14233,14328,14544,14901,15086,15219,15230,15096,15153,15064,15234,15262,15164,15241,15013,14551,14584,14862,15138,15383,15710,15625,15610,15834,15704,15664,15393,15424,15652,15839,16092,16322,16445,16533,16506,16667,16822,17073,17137,17467,17612,17786,17773,18159,18356,18665,19054,19473,19487,19555,19654,19778,19733,19835,19931,20298,20596,20680,20714,20997,21010
"21","11","  Gross national product","A791RX0",12437,12365,12298,12430,12578,12762,12775,12735,12502,12405,12487,12308,12753,13097,13561,13736,13849,14036,14252,14214,14291,14251,14283,14683,14897,14959,14791,14491,14368,14327,14422,14649,15008,15192,15325,15338,15214,15270,15183,15339,15384,15293,15365,15112,14653,14687,14961,15236,15480,15807,15728,15719,15938,15810,15774,15508,15545,15767,15955,16211,16440,16573,16662,16653,16807,16956,17210,17277,17619,17758,17936,17912,18316,18517,18816,19191,19615,19628,19693,19797,19919,19871,19986,20076,20448,20748,20836,20869,21152,21159
"22","12","  Disposable personal income","A229RX0",8509,8289,8480,8342,8442,8701,8836,8820,8602,8594,8608,8630,9233,9151,9253,9296,9262,9369,9386,9359,9314,9394,9539,9683,9775,9873,9789,9681,9696,9663,9727,9872,9977,10176,10321,10390,10453,10514,10509,10624,10597,10624,10627,10519,10390,10419,10588,10673,10713,10857,10792,10828,10877,10898,10861,10805,10861,10982,11086,11256,11322,11408,11427,11475,11533,11604,11690,11838,12037,12326,12440,12539,12644,12750,13057,13278,13370,13366,13494,13606,13776,13855,13948,14011,14225,14428,14418,14474,14468,14581
"23","13","  Personal consumption expenditures","A794RX0",7900,7995,7984,7950,7955,8016,7993,8019,7997,8087,8071,8152,8252,8359,8750,8448,8618,8341,8400,8409,8393,8524,8529,8790,8861,8881,8821,8721,8716,8794,8872,9015,9179,9317,9390,9462,9437,9430,9407,9489,9514,9493,9525,9487,9323,9363,9475,9556,9694,9806,9866,9833,9849,9938,9857,9825,9784,9891,9898,10053,10124,10212,10255,10359,10395,10460,10562,10609,10785,10941,11101,11093,11309,11402,11559,11846,11991,11990,12091,12104,12145,12280,12308,12349,12617,12782,12987,13011,13130,13184
"24","14","    Goods","AGDSRX0",2838,2876,2881,2879,2871,2885,2870,2875,2859,2910,2912,2964,3008,3030,3242,3058,3113,2943,2962,2971,2945,2999,2983,3120,3149,3143,3103,3069,3055,3072,3090,3161,3244,3323,3354,3361,3332,3313,3284,3315,3332,3306,3319,3278,3188,3185,3231,3278,3341,3381,3393,3351,3358,3392,3356,3321,3277,3314,3321,3381,3408,3430,3443,3482,3503,3521,3543,3541,3612,3676,3748,3708,3818,3835,3900,4038,4103,4072,4118,4097,4098,4159,4135,4140,4262,4316,4410,4391,4441,4434
"25","15","      Durable goods","A795RX0",350,356,359,381,377,378,383,376,367,397,415,429,444,446,549,479,492,420,410,407,408,414,388,453,466,462,457,442,426,445,445,470,510,536,551,533,507,506,494,508,515,501,495,487,453,444,451,466,489,506,513,487,498,508,502,487,458,466,475,496,505,517,519,539,548,558,563,570,590,603,621,600,654,653,673,699,731,700,721,718,703,731,723,723,766,781,814,807,820,816
"26","16","      Nondurable goods","A796RX0",2964,3002,3002,2949,2946,2963,2932,2956,2955,2951,2912,2946,2971,2995,3034,2953,2996,2940,2988,3009,2972,3029,3069,3100,3107,3110,3067,3057,3074,3053,3077,3114,3133,3178,3185,3234,3257,3236,3223,3232,3238,3237,3267,3231,3190,3207,3251,3281,3310,3325,3323,3329,3311,3335,3302,3289,3296,3327,3316,3346,3362,3364,3377,3382,3389,3390,3408,3391,3438,3492,3548,3542,3566,3590,3632,3755,3772,3798,3814,3792,3825,3844,3830,3836,3903,3942,3994,3984,4020,4020
"27","17","    Services","A797RX0",4703,4750,4718,4672,4701,4756,4761,4787,4796,4801,4771,4764,4802,4907,4961,4970,5085,5100,5140,5128,5170,5231,5277,5328,5362,5406,5415,5349,5377,5448,5517,5557,5598,5617,5649,5734,5764,5796,5830,5876,5874,5900,5917,5955,5927,5989,6043,6052,6105,6172,6229,6276,6283,6330,6296,6328,6367,6435,6427,6512,6551,6626,6657,6714,6718,6770,6862,6929,7019,7094,7161,7233,7295,7385,7461,7564,7623,7686,7726,7786,7839,7896,7981,8026,8134,8243,8327,8397,8454,8538
"28","18","Population (midperiod, thousands)","B230RC0",143156,143803,144462,145135,145761,146341,146973,147659,148298,148891,149529,150211,150852,151385,152039,152724,153336,153947,154655,155389,156033,156644,157324,158043,158648,159234,159963,160713,161389,162044,162792,163585,164266,164926,165674,166481,167190,167869,168654,169497,170218,170915,171684,172463,173116,173781,174535,175340,176045,176727,177481,178268,179694,180335,181094,181915,182634,183337,184103,184894,185553,186203,186926,187680,188299,188906,189631,190362,190954,191560,192256,192938,193467,193994,194647,195279,195763,196277,196877,197481,197967,198455,199012,199572,199995,200452,200997,201538,201955,202419
