"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165"
"11","3","Manufacturing industries","X300",12720,6828,1896,25284,14700,7908,10392,14076,13020,29448,-5808,29916,25608,33048,18576,9528,6912,9588,-2496,-2076,-8448,13596,3708,-42648,-28152,-360,20148,-4104,18480,-5088,27396,4020,27648,19584,48948,39228,-3116,24736,-3548,36864,420,46812,26004,18336,72,32312,33632,-4948,44076,-41676,-38016,-3984,-29064,-42456,-39828,-31800,-34896,-32196,-45516,-47592,-35890,-61495,-30639,-7582,-23103,4614,4584,12438,18103,10720,1137,45343,-6660,62016,-11724,4836,-6468,-19344,-22752,-300,-15288,13200,1080,7440,-2400,32244,23688,19932,40212,47328,42072,40680,6792,48456,63288,6168,86748,61344,51048,21204,4344,19644,51888,4440,17304,60744,36168,48888,67212,-2124,50232,54684,42180,59304,53832,35520,40968,27012,17244,-3036,30516,30144,18756,52572,55176,22728,6888,2604,81012,32856,55128,73620,112044,49104,62856,25032,29436,67428,44976,32232,-42420,-55860,-75156,-190068,-62244,-112920,-91608,-73896,-58356,-95328,-47604,-47076,-38520,35400,15384,-2412,19836,65400,26808,30396,-19452,11760
"12","4","  Durable goods industries","X30D0",16020,8700,-3516,20616,9996,4596,17904,1968,2928,16884,-14760,25200,31320,28836,21768,14712,9096,13596,-3732,6948,-144,14124,-4116,-19752,-29448,5268,19692,-14016,5208,-4128,23784,-5868,14868,1176,27828,23688,-14096,11920,-7892,23460,-7932,30552,10356,21396,-5496,24920,28880,2516,21396,-15960,-37152,-3672,-20568,-25908,-31776,-20736,-31404,-24864,-37392,-40620,-24344,-23408,-29132,-12240,-18468,1692,-7164,-612,-804,-364,-8308,38420,-11508,32892,-11160,-4656,-4920,-27216,-19440,-9444,-14016,12408,-11508,23808,-5280,11640,12540,13740,20220,32220,28212,26904,10548,27804,36924,9912,50760,42252,26952,11220,18108,-1896,36528,1356,5820,27924,35124,13692,22872,432,31440,38040,26232,31764,46812,20568,39768,33912,11088,7536,30288,15924,8268,20316,22200,9300,756,4800,21660,11568,20436,44748,10020,11940,32376,22632,21372,19020,29820,24732,-5976,-3528,-15972,-21744,-39324,-62700,-90468,-45948,-51624,-72900,-41712,-49440,-26028,-14352,-7224,-6108,2952,27408,21948,27984,37260,43812
"13","5","  Nondurable goods industries","X30N0",-3300,-1872,5412,4668,4704,3312,-7512,12108,10092,12564,8952,4716,-5712,4212,-3192,-5184,-2184,-4008,1236,-9024,-8304,-528,7824,-22896,1296,-5628,456,9912,13272,-960,3612,9888,12780,18408,21120,15540,10980,12816,4344,13404,8352,16260,15648,-3060,5568,7392,4752,-7464,22680,-25716,-864,-312,-8496,-16548,-8052,-11064,-3492,-7332,-8124,-6972,-11546,-38087,-1507,4658,-4636,2922,11748,13050,18907,11084,9445,6923,4848,29124,-564,9492,-1548,7872,-3312,9144,-1272,792,12588,-16368,2880,20604,11148,6192,19992,15108,13860,13776,-3756,20652,26364,-3744,35988,19092,24096,9984,-13764,21540,15360,3084,11484,32820,1044,35196,44340,-2556,18792,16644,15948,27540,7020,14952,1200,-6900,6156,-10572,228,14220,10488,32256,32976,13428,6132,-2196,59352,21288,34692,28872,102024,37164,30480,2400,8064,48408,15156,7500,-36444,-52332,-59184,-168324,-22920,-50220,-1140,-27948,-6732,-22428,-5892,2364,-12492,49752,22608,3696,16884,37992,4860,2412,-56712,-32052
"14","6","Wholesale trade industries","XWT0",35971,231,9635,10701,14182,49633,-12708,11963,27350,19093,28335,31773,5490,34252,21597,-5577,19202,-11203,1927,29193,20230,12891,23358,6802,775,25271,15788,5635,6300,3719,34763,19393,18269,41682,45940,15151,39926,26195,30766,41310,14804,31824,18252,18866,4464,35308,25143,-4138,5976,-2354,-1292,18231,6459,-36448,-46744,-15126,-20120,-29008,-53264,-27207,-22796,-45968,6025,-10645,3616,11714,35973,4385,17954,2187,3073,36615,-12621,17913,9900,7936,-24902,-9458,1458,-7547,815,41108,13443,32094,8131,48355,28068,-1447,56355,37755,57865,45166,9387,52391,57999,6350,71718,26947,36564,39856,-1930,20768,13131,11176,5677,43796,32047,52990,29100,45924,15828,44136,37536,32196,34548,51588,31452,37764,61512,-34188,17489,36474,24515,22414,21753,16783,20363,3793,73050,-6764,55378,60615,80055,62297,29376,77563,27565,110161,69560,54640,-28834,-73417,-78467,-138540,-74472,-124366,-105827,-90752,-61138,-108180,-72131,-70068,-46653,45129,50788,-56446,22152,28992,31884,32496,42744,14580
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","XWTD0",17937,1798,9887,13692,15761,38152,-18931,2098,23599,2843,7797,29545,12409,25815,20282,-1149,10534,-12181,1164,26541,13492,14588,4433,15231,-497,13673,9314,-7479,16062,12330,14826,5169,15750,23540,33594,14430,17403,18613,17894,29728,11244,29777,10735,15360,-6862,14150,11811,-8800,12331,-8834,-11791,-3213,-12333,-43832,-27257,-23481,-22576,-14928,-54230,-27035,-23365,-29131,-2580,-3220,-828,4,22846,9488,5922,-6463,8279,10222,-9355,16877,4459,4922,-17714,-10176,-14439,-8746,-7347,11864,7452,41643,15581,28267,28178,5125,40632,37575,30409,50360,22184,21592,29041,10972,35800,26257,17689,13040,6735,16572,11249,1935,-18820,42765,30904,21613,15408,24240,2424,44496,17496,17664,28260,27264,38832,30288,15000,-31356,24346,16408,10429,-14945,12364,93,-17196,-1486,21322,-18625,13381,34285,39297,24552,32089,50536,33593,33040,44801,49182,25833,-27974,-36200,-63113,-49618,-110843,-92295,-79716,-60243,-64096,-50589,-56636,-31138,-3318,-6565,-41593,-7464,18132,33588,10596,27504,15780
"17","8","    Nondurable goods industries","XWTN0",18034,-1566,-252,-2991,-1579,11482,6223,9865,3752,16250,20538,2228,-6919,8437,1315,-4428,8668,977,763,2651,6738,-1698,18925,-8429,1272,11598,6474,13114,-9762,-8611,19938,14224,2519,18143,12347,721,22524,7582,12872,11582,3560,2047,7517,3506,11327,21158,13332,4663,-6355,6480,10498,21445,18791,7383,-19487,8355,2456,-14079,966,-172,569,-16837,8605,-7424,4444,11709,13128,-5103,12032,8650,-5206,26393,-3266,1036,5441,3014,-7187,718,15897,1198,8162,29244,5992,-9549,-7450,20088,-110,-6572,15723,180,27456,-5194,-12796,30799,28958,-4622,35918,690,18875,26816,-8665,4196,1882,9240,24497,1031,1143,31377,13692,21684,13404,-360,20040,14532,6288,24324,-7380,7476,46512,-2832,-6857,20066,14086,37358,9388,16690,37559,5279,51728,11861,41997,26331,40759,37744,-2713,27026,-6028,77122,24759,5459,-54667,-45443,-42267,-75427,-24854,-13522,-13532,-11035,-894,-44085,-21542,-13433,-15515,48447,57353,-14853,29616,10860,-1704,21900,15240,-1200
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","X42W0",29136,1608,16884,5700,12972,51696,-11724,11724,26388,12312,25044,28308,5508,31224,19464,-3960,18144,-11028,2580,29520,17484,8592,18156,13872,3240,24828,10380,2904,3048,-108,34188,8556,17676,35964,43800,13752,31248,18504,25776,32448,18600,21372,8484,12696,900,25260,23424,-3180,-588,3768,5160,16740,14100,-31644,-35740,-9244,-10876,-23928,-44328,-26988,-11628,-33156,2532,-14040,3516,9912,27984,8316,13488,-5472,3792,29424,-3984,9204,12228,6288,-20904,-11784,-108,-11964,10668,36600,10740,20796,468,44712,21960,-1200,38556,27120,60492,31908,-2844,57408,45000,9036,52812,15792,21576,31200,276,14064,6240,6816,12672,31344,17784,53256,8628,38532,20532,47268,33168,24960,32772,37044,21384,29220,54996,-18024,17304,26760,26304,15948,18996,15168,18036,16176,45528,5256,38964,58512,66588,52104,168,81300,35160,51060,76884,44676,-14064,-80724,-61332,-79620,-44520,-87672,-95088,-68280,-40248,-82008,-56916,-60372,-34464,27216,52452,-36024,3348,23088,26976,20544,21924,5604
"20","10","      Durable goods industries","X42WD0",10296,2412,17928,8628,14568,42108,-18336,3720,23220,-3348,7032,25740,9792,23160,18576,1332,9468,-13080,1116,25860,9240,11736,168,19356,2700,11556,6144,-10020,15408,9060,17340,-1572,15924,20100,33576,12588,12048,14532,13584,23748,17256,23124,3852,9180,-7056,6624,10116,-6504,8856,-4908,-4440,-4524,-6924,-41220,-20356,-20080,-15868,-9924,-48936,-27228,-15444,-25728,-4680,-6312,-2364,1632,16200,12480,4668,-8364,7128,8124,-7932,16716,8532,5976,-14172,-9708,-12672,-10968,1512,7356,4320,32220,6612,29544,25068,6804,35928,27624,36264,41868,9732,27384,25836,12576,31944,16800,6564,10380,4356,19452,8604,-5532,-7668,37920,17484,29160,5568,23784,14220,46596,18324,14676,26880,15060,29664,27096,7704,-14436,16032,9264,10344,-10584,15192,-2544,-10788,4284,11556,-5664,10404,24216,42420,20928,17976,50820,24876,19188,45012,40632,20100,-27840,-22308,-48552,-34404,-87660,-79032,-65172,-44160,-41964,-40656,-45060,-25140,-660,-6264,-34116,-7560,14532,27828,6792,18888,10680
"21","11","      Nondurable goods industries","X42WN0",18840,-804,-1044,-2928,-1596,9588,6612,8004,3168,15660,18012,2568,-4284,8064,888,-5292,8676,2052,1464,3660,8244,-3144,17988,-5484,540,13272,4236,12924,-12360,-9168,16848,10128,1752,15864,10224,1164,19200,3972,12192,8700,1344,-1752,4632,3516,7956,18636,13308,3324,-9444,8676,9600,21264,21024,9576,-15384,10836,4992,-14004,4608,240,3816,-7428,7212,-7728,5880,8280,11784,-4164,8820,2892,-3336,21300,3948,-7512,3696,312,-6732,-2076,12564,-996,9156,29244,6420,-11424,-6144,15168,-3108,-8004,2628,-504,24228,-9960,-12576,30024,19164,-3540,20868,-1008,15012,20820,-4080,-5388,-2364,12348,20340,-6576,300,24096,3060,14748,6312,672,14844,10284,5892,21984,-8280,2124,47292,-3588,1272,17496,15960,26532,3804,17712,28824,11892,33972,10920,28560,34296,24168,31176,-17808,30480,10284,31872,31872,4044,-34164,-52884,-39024,-31068,-10116,-12,-16056,-3108,3912,-40044,-16260,-15312,-9324,27876,58716,-1908,10908,8556,-852,13752,3036,-5076
"22","12","    Nonmerchant wholesale industries","X42N0",6835,-1377,-7249,5001,1210,-2063,-984,239,962,6781,3291,3465,-18,3028,2133,-1617,1058,-175,-653,-327,2746,4299,5202,-7070,-2465,443,5408,2731,3252,3827,575,10837,593,5718,2140,1399,8678,7691,4990,8862,-3796,10452,9768,6170,3564,10048,1719,-958,6564,-6122,-6452,1491,-7641,-4804,-11004,-5882,-9244,-5080,-8936,-219,-11168,-12812,3493,3395,100,1802,7989,-3931,4466,7659,-719,7191,-8637,8709,-2328,1648,-3998,2326,1566,4417,-9853,4508,2703,11298,7663,3643,6108,-247,17799,10635,-2627,13258,12231,-5017,12999,-2686,18906,11155,14988,8656,-2206,6704,6891,4360,-6995,12452,14263,-266,20472,7392,-4704,-3132,4368,7236,1776,14544,10068,8544,6516,-16164,185,9714,-1789,6466,2757,1615,2327,-12383,27522,-12020,16414,2103,13467,10193,29208,-3737,-7595,59101,-7324,9964,-14770,7307,-17135,-58920,-29952,-36694,-10739,-22472,-20890,-26172,-15215,-9696,-12189,17913,-1664,-20422,18804,5904,4908,11952,20820,8976
"23","13","      Durable goods industries","X42ND0",7641,-614,-8041,5064,1193,-3956,-595,-1622,379,6191,765,3805,2617,2655,1706,-2481,1066,899,48,681,4252,2852,4265,-4125,-3197,2117,3170,2541,654,3270,-2514,6741,-174,3440,18,1842,5355,4081,4310,5980,-6012,6653,6883,6180,194,7526,1695,-2296,3475,-3926,-7351,1311,-5409,-2612,-6901,-3401,-6708,-5004,-5294,193,-7921,-3403,2100,3092,1536,-1628,6646,-2992,1254,1901,1151,2098,-1423,161,-4073,-1054,-3542,-468,-1767,2222,-8859,4508,3132,9423,8969,-1277,3110,-1679,4704,9951,-5855,8492,12452,-5792,3205,-1604,3856,9457,11125,2660,2379,-2880,2645,7467,-11152,4845,13420,-7547,9840,456,-11796,-2100,-828,2988,1380,12204,9168,3192,7296,-16920,8314,7144,85,-4361,-2828,2637,-6408,-5770,9766,-12961,2977,10069,-3123,3624,14113,-284,8717,13852,-211,8550,5733,-134,-13892,-14561,-15214,-23183,-13263,-14544,-16083,-22132,-9933,-11576,-5998,-2658,-301,-7477,96,3600,5760,3804,8616,5100
"24","14","      Nondurable goods industries","X42NN0",-806,-762,792,-63,17,1894,-389,1861,584,590,2526,-340,-2635,373,427,864,-8,-1075,-701,-1009,-1506,1446,937,-2945,732,-1674,2238,190,2598,557,3090,4096,767,2279,2123,-443,3324,3610,680,2882,2216,3799,2885,-10,3371,2522,24,1339,3089,-2196,898,181,-2233,-2193,-4103,-2481,-2536,-75,-3642,-412,-3247,-9409,1393,304,-1436,3429,1344,-939,3212,5758,-1870,5093,-7214,8548,1745,2702,-455,2794,3333,2194,-994,0,-428,1875,-1306,4920,2998,1432,13095,684,3228,4766,-220,775,9794,-1082,15050,1698,3863,5996,-4585,9584,4246,-3108,4157,7607,843,7281,10632,6936,7092,-1032,5196,4248,396,2340,900,5352,-780,756,-8129,2570,-1874,10826,5584,-1022,8735,-6613,17756,941,13437,-7965,16591,6568,15095,-3454,-16312,45250,-7113,1415,-20503,7441,-3243,-44359,-14738,-13510,2524,-7927,-4806,-4041,-5282,1879,-6191,20571,-1363,-12945,18708,2304,-852,8148,12204,3876
