"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic product","A191RX1","4,244,100.0","4,256,460.0","4,283,378.0","4,263,261.0","4,256,573.0","4,264,289.0","4,302,259.0","4,256,637.0","4,374,016.0","4,398,829.0","4,433,943.0","4,446,264.0","4,525,769.0","4,633,101.0","4,677,503.0","4,754,546.0","4,876,166.0","4,932,571.0","4,906,252.0","4,953,050.0","4,909,617.0","4,922,188.0","4,873,520.0","4,854,340.0","4,795,295.0","4,831,942.0","4,913,328.0","4,977,511.0","5,090,663.0","5,128,947.0","5,154,072.0","5,191,499.0","5,251,762.0","5,356,131.0","5,451,921.0","5,450,793.0","5,469,405.0","5,684,569.0","5,740,300.0","5,816,222.0","5,825,949.0","5,831,418.0","5,873,335.0","5,889,495.0","5,908,467.0","5,787,373.0","5,776,617.0","5,883,460.0","6,005,717.0","5,957,795.0","6,030,184.0","5,955,062.0","5,857,333.0","5,889,074.0","5,866,370.0","5,871,001.0","5,944,020.0","6,077,619.0","6,197,468.0","6,325,574.0","6,448,264.0","6,559,594.0","6,623,343.0","6,677,264.0","6,740,275.0","6,797,344.0","6,903,523.0","6,955,918.0","7,022,757.0","7,050,969.0","7,118,950.0","7,153,359.0","7,193,019.0","7,269,510.0","7,332,558.0","7,458,022.0","7,496,600.0","7,592,881.0","7,632,082.0","7,733,991.0","7,806,603.0","7,865,016.0","7,927,393.0","7,944,697.0","8,027,693.0","8,059,598.0","8,059,476.0","7,988,864.0","7,950,164.0","8,003,822.0","8,037,538.0","8,069,046.0","8,157,616.0","8,244,294.0","8,329,361.0","8,417,016.0","8,432,485.0","8,486,435.0","8,531,108.0","8,643,769.0","8,727,919.0","8,847,303.0","8,904,289.0","9,003,180.0","9,025,267.0","9,044,668.0","9,120,684.0","9,184,275.0","9,247,188.0","9,407,052.0","9,488,879.0","9,592,458.0","9,666,235.0","9,809,551.0","9,932,672.0","10,008,874.0","10,103,425.0","10,194,277.0","10,328,787.0","10,507,575.0","10,601,179.0","10,684,049.0","10,819,914.0","11,014,254.0","11,043,044.0","11,258,454.0","11,267,867.0","11,334,544.0","11,297,171.0","11,371,251.0","11,340,075.0","11,380,128.0","11,477,868.0","11,538,770.0","11,596,430.0","11,598,824.0","11,645,819.0","11,738,706.0","11,935,461.0","12,042,817.0","12,127,623.0","12,213,818.0","12,303,533.0","12,410,282.0","12,534,113.0","12,587,535.0","12,683,153.0","12,748,699.0","12,915,938.0","12,962,462.0","12,965,916.0","13,060,679.0","13,089,316.0","13,194,148.0","13,268,458.0","13,363,488.0","13,339,175.0","13,359,046.0","13,223,507.0","12,993,665.0","12,832,619.0","12,810,012.0","12,860,800.0","13,019,012.0","13,138,832.0","13,216,538.0"
"21","2","Business \1\","A195RX1","2,928,214.0","2,931,564.0","2,948,868.0","2,927,276.0","2,924,511.0","2,930,920.0","2,961,389.0","2,916,253.0","3,015,775.0","3,035,980.0","3,062,911.0","3,069,250.0","3,138,087.0","3,232,483.0","3,267,325.0","3,330,701.0","3,439,414.0","3,486,995.0","3,458,361.0","3,492,688.0","3,443,095.0","3,449,286.0","3,400,502.0","3,377,284.0","3,315,954.0","3,344,158.0","3,413,386.0","3,468,855.0","3,569,150.0","3,600,900.0","3,618,761.0","3,648,001.0","3,702,538.0","3,795,041.0","3,874,327.0","3,868,367.0","3,872,910.0","4,062,384.0","4,103,701.0","4,161,571.0","4,163,622.0","4,167,608.0","4,201,317.0","4,205,773.0","4,209,571.0","4,088,887.0","4,077,875.0","4,173,295.0","4,278,115.0","4,230,660.0","4,288,404.0","4,212,822.0","4,118,217.0","4,141,779.0","4,116,627.0","4,118,348.0","4,178,893.0","4,296,001.0","4,399,900.0","4,508,555.0","4,616,271.0","4,715,048.0","4,760,954.0","4,800,513.0","4,854,879.0","4,899,668.0","4,988,644.0","5,026,991.0","5,080,169.0","5,099,164.0","5,153,110.0","5,175,306.0","5,202,628.0","5,266,588.0","5,306,004.0","5,407,579.0","5,427,822.0","5,512,490.0","5,536,460.0","5,614,174.0","5,670,641.0","5,712,392.0","5,759,889.0","5,766,358.0","5,826,963.0","5,843,915.0","5,832,394.0","5,758,020.0","5,708,896.0","5,757,506.0","5,784,035.0","5,806,770.0","5,884,779.0","5,954,771.0","6,024,158.0","6,103,419.0","6,102,341.0","6,150,490.0","6,190,012.0","6,297,216.0","6,370,269.0","6,471,873.0","6,510,541.0","6,600,163.0","6,610,191.0","6,621,818.0","6,694,305.0","6,756,769.0","6,814,208.0","6,950,028.0","7,021,411.0","7,112,763.0","7,172,086.0","7,298,596.0","7,404,703.0","7,467,329.0","7,545,312.0","7,621,776.0","7,738,210.0","7,904,443.0","7,982,528.0","8,048,946.0","8,166,039.0","8,333,750.0","8,344,314.0","8,535,765.0","8,538,189.0","8,585,382.0","8,540,903.0","8,598,043.0","8,549,052.0","8,588,411.0","8,673,062.0","8,712,836.0","8,776,198.0","8,784,253.0","8,814,277.0","8,906,659.0","9,117,654.0","9,184,990.0","9,265,867.0","9,340,872.0","9,411,506.0","9,501,178.0","9,607,470.0","9,648,095.0","9,735,964.0","9,790,388.0","9,944,730.0","9,980,324.0","9,971,250.0","10,070,560.0","10,074,940.0","10,173,174.0","10,229,639.0","10,302,090.0","10,250,238.0","10,236,087.0","10,077,605.0","9,834,272.0","9,678,535.0","9,671,505.0","9,709,417.0","9,863,633.0","9,984,075.0","10,049,202.0"
