"","Table 4#2#6# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 30, 2010     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/5/2010 11:40:22 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","    Exports of goods and services","A020RX1","845,737.0","915,967.0","1,025,126.0","1,048,517.0","1,094,277.0","1,188,310.0","1,121,643.0","1,099,176.0","1,116,790.0","1,222,814.0","1,305,057.0","1,422,020.0","1,554,404.0","1,647,699.0","1,490,742.0"
"20","2","Exports of goods \1\","A253RX1","575,414.0","626,164.0","716,187.0","732,165.0","760,023.0","844,313.0","792,047.0","763,543.0","777,180.0","842,890.0","906,086.0","991,400.0","1,088,090.0","1,156,612.0","1,018,236.0"
"21","3","  Foods, feeds, and beverages","B638RX1","54,483.0","53,615.0","53,950.0","53,400.0","54,960.0","58,161.0","59,754.0","58,548.0","59,546.0","55,856.0","58,956.0","63,645.0","69,181.0","73,904.0","70,507.0"
"22","4","  Industrial supplies and materials","A639RX1","168,467.0","177,013.0","192,441.0","190,327.0","191,984.0","210,809.0","202,377.0","202,975.0","208,134.0","221,642.0","227,508.0","244,602.0","269,182.0","298,540.0","278,100.0"
"23","5","    Durable goods","B686RX1","57,679.0","61,139.0","66,746.0","67,866.0","70,123.0","80,566.0","73,519.0","68,745.0","70,520.0","76,413.0","82,189.0","90,018.0","95,123.0","105,133.0","91,187.0"
"24","6","    Nondurable goods","B687RX1","111,066.0","116,130.0","125,955.0","122,572.0","121,840.0","130,118.0","128,772.0","134,305.0","137,689.0","145,282.0","145,320.0","154,542.0","174,167.0","193,506.0","186,779.0"
"25","7","  Capital goods, except automotive","A640RX1","193,840.0","224,659.0","275,392.0","287,097.0","302,979.0","349,144.0","314,628.0","287,325.0","294,074.0","328,580.0","358,425.0","401,116.0","433,569.0","460,612.0","392,871.0"
"26","8","    Civilian aircraft, engines, and parts","B688RX1","37,020.0","41,955.0","54,489.0","69,654.0","67,348.0","58,360.0","60,414.0","56,352.0","50,504.0","48,110.0","55,889.0","61,954.0","67,109.0","64,874.0","62,477.0"
"27","9","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Other","B689RX1","143,266.0","161,701.0","192,887.0","191,765.0","203,513.0","245,176.0","215,388.0","197,888.0","207,609.0","241,032.0","257,000.0","289,316.0","314,650.0","341,903.0","280,272.0"
"29","11","  Automotive vehicles, engines, and parts","B641RX1","65,779.0","68,207.0","77,206.0","76,155.0","78,554.0","83,187.0","77,826.0","81,035.0","82,187.0","90,221.0","98,407.0","105,971.0","118,435.0","117,186.0","78,433.0"
"30","12","  Consumer goods, except automotive","A642RX1","66,683.0","71,118.0","78,443.0","80,818.0","82,685.0","90,950.0","90,208.0","86,591.0","91,767.0","104,386.0","115,285.0","127,454.0","141,163.0","152,723.0","141,757.0"
"31","13","    Durable goods","B690RX1","33,677.0","35,845.0","40,094.0","41,463.0","42,771.0","47,459.0","47,071.0","44,708.0","46,690.0","54,460.0","62,085.0","70,438.0","81,111.0","87,217.0","72,574.0"
"32","14","    Nondurable goods","B691RX1","33,003.0","35,270.0","38,343.0","39,348.0","39,907.0","43,484.0","43,129.0","41,883.0","45,087.0","49,927.0","53,200.0","57,022.0","60,118.0","65,559.0","68,986.0"
"33","15","  Other","A643RX1","34,280.0","36,411.0","40,120.0","44,030.0","46,944.0","47,920.0","45,747.0","48,531.0","42,740.0","42,635.0","47,506.0","48,844.0","56,575.0","51,737.0","49,659.0"
"34","16","Exports of services \1\","A646RX1","272,560.0","291,652.0","308,946.0","316,397.0","334,564.0","343,522.0","329,288.0","335,595.0","339,553.0","379,968.0","398,971.0","430,629.0","466,339.0","491,114.0","471,995.0"
"35","17","  Transfers under U.S. military agency sales contracts","B267RX1","14,406.0","16,220.0","17,016.0","18,031.0","15,726.0","13,376.0","12,516.0","12,007.0","13,173.0","15,287.0","18,094.0","22,070.0","15,015.0","12,398.0","14,396.0"
"36","18","  Travel","B493RX1","79,433.0","85,428.0","87,871.0","84,389.0","86,190.0","90,681.0","78,693.0","73,500.0","69,606.0","77,888.0","81,799.0","82,200.0","89,591.0","97,253.0","86,652.0"
"37","19","  Passenger fares","B533RX1","27,068.0","29,223.0","31,360.0","30,729.0","28,056.0","28,561.0","24,546.0","22,667.0","18,897.0","20,325.0","20,969.0","21,937.0","23,446.0","25,944.0","24,935.0"
"38","20","  Other transportation","B683RX1","33,162.0","32,264.0","33,327.0","32,725.0","34,142.0","34,274.0","33,061.0","34,387.0","35,792.0","40,593.0","41,281.0","43,862.0","37,901.0","37,973.0","32,440.0"
"39","21","  Royalties and license fees","B684RX1","37,449.0","39,280.0","39,496.0","42,000.0","46,067.0","48,964.0","45,161.0","48,673.0","50,224.0","58,794.0","64,394.0","68,410.0","79,525.0","85,610.0","81,952.0"
"40","22","  Other private services","B720RX1","71,169.0","78,654.0","88,929.0","97,353.0","112,199.0","115,959.0","122,924.0","132,002.0","139,738.0","154,502.0","160,049.0","179,299.0","207,460.0","216,589.0","217,546.0"
"41","23","  Other","B980RX1","14,880.0","15,382.0","15,296.0","14,348.0","14,069.0","13,744.0","13,540.0","13,037.0","12,175.0","12,620.0","12,385.0","12,853.0","13,323.0","15,107.0","14,030.0"
"42","24","Residual","A977RX1","-19,800.0","-13,700.0","-8,200.0","-8,900.0","-3,900.0","3,200.0","0.0","-3,200.0","-1,600.0","-600.0","0.0","-100.0","100.0","1,500.0","7,800.0"
"43","25","    Imports of goods and services","A021RX1","944,539.0","1,026,688.0","1,164,967.0","1,301,126.0","1,450,891.0","1,639,889.0","1,593,762.0","1,647,993.0","1,720,728.0","1,910,804.0","2,027,790.0","2,151,204.0","2,209,290.0","2,151,749.0","1,853,766.0"
"44","26","Imports of goods \1\","A255RX1","766,119.0","837,933.0","958,692.0","1,072,278.0","1,205,980.0","1,367,857.0","1,324,203.0","1,373,370.0","1,440,905.0","1,599,695.0","1,707,980.0","1,808,826.0","1,862,177.0","1,796,606.0","1,513,522.0"
"45","27","  Foods, feeds, and beverages","B647RX1","34,504.0","37,951.0","41,794.0","44,855.0","49,016.0","52,369.0","54,766.0","57,654.0","62,124.0","65,711.0","68,094.0","72,219.0","73,141.0","72,171.0","68,263.0"
"46","28","  Industrial supplies and materials, except petroleum and products","A649RX1","150,463.0","159,023.0","172,145.0","191,178.0","200,455.0","213,999.0","206,607.0","212,498.0","215,881.0","249,451.0","266,032.0","277,397.0","266,524.0","246,548.0","186,699.0"
"47","29","    Durable goods","A820RX1","71,461.0","76,532.0","82,410.0","95,122.0","98,969.0","105,496.0","99,356.0","104,534.0","105,607.0","127,054.0","136,015.0","148,727.0","134,266.0","122,722.0","85,969.0"
"48","30","    Nondurable goods","B696RX1","79,505.0","82,913.0","90,249.0","96,069.0","101,628.0","108,664.0","107,560.0","108,130.0","110,460.0","122,421.0","130,016.0","128,344.0","132,979.0","124,633.0","101,808.0"
"49","31","  Petroleum and products","B648RX1","168,129.0","182,311.0","189,857.0","202,943.0","204,578.0","215,912.0","222,273.0","217,057.0","231,553.0","246,887.0","251,855.0","247,118.0","259,019.0","252,052.0","229,886.0"
"50","32","  Capital goods, except automotive","A650RX1","135,331.0","159,032.0","199,578.0","229,529.0","263,121.0","316,031.0","280,042.0","275,515.0","291,416.0","342,414.0","380,739.0","423,053.0","451,334.0","459,742.0","382,595.0"
"51","33","    Civilian aircraft, engines, and parts","B932RX1","14,438.0","16,364.0","20,658.0","26,695.0","28,581.0","30,717.0","35,161.0","27,965.0","25,823.0","25,198.0","25,751.0","27,314.0","31,490.0","30,540.0","25,017.0"
"52","34","    Computers, peripherals, and parts \2\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"53","35","    Other","B853RX1","109,842.0","125,556.0","154,267.0","169,382.0","186,342.0","229,206.0","194,128.0","188,471.0","200,482.0","235,756.0","261,679.0","286,828.0","300,385.0","307,786.0","242,021.0"
"54","36","  Automotive vehicles, engines, and parts","B651RX1","131,204.0","135,653.0","146,615.0","156,093.0","186,658.0","202,877.0","196,709.0","210,548.0","215,984.0","230,592.0","239,449.0","255,646.0","253,125.0","222,384.0","150,409.0"
"55","37","  Consumer goods, except automotive","A652RX1","152,905.0","164,646.0","188,593.0","214,011.0","240,242.0","282,315.0","286,939.0","314,482.0","342,567.0","380,555.0","411,533.0","444,449.0","470,066.0","464,847.0","414,588.0"
"56","38","    Durable goods","B697RX1","75,179.0","81,684.0","92,651.0","107,224.0","122,238.0","146,158.0","144,896.0","161,986.0","174,681.0","202,158.0","224,014.0","242,312.0","259,038.0","255,347.0","219,442.0"
"57","39","    Nondurable goods","B698RX1","78,080.0","83,241.0","96,374.0","107,075.0","118,187.0","136,199.0","142,316.0","152,629.0","168,100.0","178,435.0","187,519.0","202,136.0","211,017.0","209,485.0","194,990.0"
"58","40","  Other","A653RX1","46,379.0","48,088.0","55,464.0","64,633.0","76,051.0","85,559.0","87,365.0","90,134.0","85,911.0","85,779.0","90,278.0","91,272.0","91,841.0","83,007.0","77,188.0"
"59","41","Imports of services \1\","B656RX1","180,873.0","190,331.0","206,876.0","229,372.0","244,877.0","271,694.0","269,573.0","274,514.0","279,752.0","311,022.0","319,810.0","342,387.0","347,120.0","355,524.0","340,472.0"
"60","42","  Direct defense expenditures","B752RX1","13,018.0","14,397.0","16,597.0","17,784.0","19,138.0","20,014.0","21,864.0","27,148.0","30,831.0","32,186.0","30,075.0","29,485.0","23,964.0","22,725.0","25,332.0"
"61","43","  Travel","B768RX1","55,761.0","57,950.0","62,947.0","71,157.0","72,535.0","80,757.0","76,915.0","72,183.0","65,798.0","70,213.0","68,970.0","69,369.0","67,938.0","66,782.0","65,351.0"
"62","44","  Passenger fares","B769RX1","20,792.0","22,126.0","23,944.0","26,032.0","27,063.0","29,142.0","24,857.0","20,878.0","21,501.0","25,748.0","26,149.0","26,065.0","25,133.0","25,046.0","21,598.0"
"63","45","  Other transportation","B770RX1","40,257.0","39,676.0","42,846.0","45,779.0","45,991.0","51,054.0","48,407.0","49,967.0","51,849.0","57,895.0","61,937.0","65,697.0","55,561.0","51,383.0","43,215.0"
"64","46","  Royalties and license fees","B908RX1","8,553.0","9,481.0","10,889.0","13,247.0","15,218.0","18,646.0","18,353.0","21,168.0","20,344.0","24,115.0","24,612.0","22,755.0","23,459.0","23,495.0","23,030.0"
"65","47","  Other private services","B909RX1","37,332.0","40,886.0","43,862.0","49,004.0","57,269.0","63,723.0","69,906.0","74,393.0","80,294.0","90,673.0","97,819.0","118,776.0","140,035.0","155,206.0","149,676.0"
"66","48","  Other","B910RX1","8,042.0","8,196.0","8,516.0","8,844.0","8,841.0","9,330.0","9,661.0","9,616.0","9,656.0","10,341.0","10,248.0","10,122.0","10,213.0","9,935.0","10,647.0"
"67","49","Residual","A978RX1","-67,100.0","-60,800.0","-47,000.0","-40,700.0","-18,900.0","-6,300.0","-15,800.0","-6,900.0","-6,200.0","-2,000.0","100.0","-2,100.0","-3,200.0","-5,000.0","-200.0"
"68",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","50","  Exports of durable goods","A332RX1","363,588.0","405,442.0","478,729.0","494,200.0","517,798.0","584,583.0","535,919.0","505,559.0","514,502.0","570,954.0","624,858.0","691,891.0","756,118.0","796,008.0","660,213.0"
"70","51","  Exports of nondurable goods","A339RX1","216,209.0","223,427.0","237,928.0","237,559.0","240,818.0","256,465.0","255,195.0","259,092.0","263,811.0","272,155.0","281,228.0","299,622.0","331,895.0","359,334.0","350,921.0"
"71","52","  Exports of agricultural goods \3\","B181RX1","59,042.0","57,605.0","58,836.0","58,805.0","59,223.0","64,044.0","66,038.0","64,367.0","65,224.0","61,724.0","64,888.0","70,366.0","75,286.0","80,319.0","77,736.0"
"72","53","  Exports of nonagricultural goods","A182RX1","515,408.0","567,608.0","656,692.0","672,691.0","699,990.0","779,181.0","725,669.0","698,916.0","711,679.0","781,128.0","841,198.0","921,036.0","1,012,976.0","1,076,416.0","938,473.0"
"73","54","  Imports of durable goods","A333RX1","422,854.0","468,127.0","545,366.0","617,242.0","707,117.0","814,838.0","764,454.0","796,454.0","830,622.0","944,962.0","1,025,356.0","1,115,318.0","1,141,030.0","1,096,802.0","870,573.0"
"74","55","  Imports of nondurable goods","A340RX1","360,035.0","384,148.0","424,110.0","462,853.0","500,165.0","549,220.0","564,175.0","580,240.0","615,217.0","655,818.0","682,624.0","694,527.0","721,566.0","699,432.0","633,662.0"
"75","56","  Imports of nonpetroleum goods","A187RX1","630,072.0","689,616.0","795,956.0","893,197.0","1,011,612.0","1,154,690.0","1,110,843.0","1,158,764.0","1,213,622.0","1,354,239.0","1,456,125.0","1,563,709.0","1,604,039.0","1,544,303.0","1,276,037.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","2. The quantity index for computers can be used to accurately measure the real growth of this component. However, because ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","computers exhibit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","rapid changes in prices relative to other prices in the economy, the chained-dollar estimates should not be used to measure the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","component's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","relative importance or its contribution to the growth rate of more aggregate series; accurate estimates of these contributions ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","are shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","table 4.2.2 and real growth rates are shown in table 4.2.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","value of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
