"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"28","9","    Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,297.0","1,320,778.0","1,335,831.0","1,356,155.0","1,385,782.0","1,419,191.0","1,441,327.0","1,484,247.0","1,494,330.0","1,537,730.0","1,560,491.0","1,580,866.0","1,575,857.0","1,594,474.0","1,595,143.0","1,585,167.0","1,588,258.0","1,612,801.0","1,621,593.0","1,648,766.0","1,695,660.0","1,674,849.0","1,732,346.0","1,747,565.0","1,789,159.0","1,810,483.0","1,834,356.0","1,888,661.0","1,908,117.0","1,929,351.0","2,001,982.0","2,034,242.0","2,048,327.0","2,081,420.0","2,118,143.0","2,106,902.0","2,143,944.0","2,184,689.0","2,206,557.0","2,257,782.0","2,284,305.0","2,341,576.0","2,369,869.0","2,188,429.0","2,146,167.0","2,170,744.0","2,230,988.0","2,269,007.0","2,319,256.0","2,301,537.0"
"29","10","      Food and beverages purchased for off-premises consumption","DFXARC1","93,066.0","94,114.0","95,928.0","98,376.0","101,637.0","102,599.0","104,057.0","105,730.0","105,682.0","107,247.0","107,132.0","108,438.0","109,715.0","113,835.0","115,772.0","118,566.0","121,140.0","124,031.0","129,669.0","132,017.0","137,625.0","139,639.0","145,762.0","149,127.0","151,462.0","154,809.0","159,768.0","160,228.0","163,337.0","165,833.0","168,542.0","171,476.0","175,037.0","178,888.0","180,281.0","184,875.0","188,634.0","193,791.0","198,479.0","203,545.0","210,921.0","215,700.0","220,077.0","226,781.0","232,794.0","235,963.0","241,285.0","246,626.0","250,608.0","253,984.0","256,698.0","260,062.0","262,258.0","265,873.0","268,587.0","271,846.0","270,915.0","275,722.0","279,786.0","281,721.0","285,441.0","290,612.0","293,517.0","294,838.0","297,823.0","300,540.0","303,773.0","309,677.0","314,516.0","314,120.0","316,276.0","320,746.0","321,893.0","323,996.0","325,238.0","326,124.0","332,985.0","339,885.0","347,087.0","351,271.0","357,772.0","361,995.0","367,828.0","373,958.0","382,993.0","390,002.0","395,755.0","395,953.0","400,563.0","406,296.0","405,069.0","399,885.0","402,724.0","402,249.0","404,850.0","408,032.0","408,289.0","411,418.0","414,433.0","419,748.0","423,942.0","430,151.0","435,240.0","439,104.0","440,815.0","442,461.0","443,819.0","447,897.0","453,374.0","460,108.0","464,283.0","469,750.0","473,505.0","471,791.0","476,392.0","477,422.0","478,576.0","483,651.0","488,782.0","495,018.0","502,918.0","509,294.0","515,596.0","526,466.0","524,140.0","535,554.0","541,342.0","548,789.0","552,018.0","559,304.0","562,044.0","565,461.0","566,233.0","567,505.0","569,226.0","575,465.0","586,419.0","584,960.0","598,588.0","602,541.0","616,054.0","623,685.0","629,898.0","642,967.0","650,093.0","658,952.0","671,005.0","680,006.0","684,932.0","692,348.0","699,800.0","714,811.0","724,001.0","730,153.0","740,559.0","754,967.0","762,649.0","777,620.0","785,184.0","775,382.0","773,838.0","774,152.0","777,001.0","786,509.0","797,365.0","795,238.0"
"30","11","      Clothing and footwear","DCLORC1","43,367.0","44,046.0","44,841.0","45,073.0","44,879.0","45,017.0","45,288.0","46,616.0","47,357.0","48,986.0","49,500.0","50,344.0","51,049.0","52,479.0","54,150.0","56,287.0","58,311.0","58,964.0","59,392.0","60,305.0","61,630.0","62,714.0","63,568.0","61,777.0","64,118.0","66,474.0","68,077.0","68,801.0","70,258.0","71,015.0","73,007.0","74,484.0","75,696.0","77,390.0","79,847.0","84,288.0","84,709.0","89,074.0","90,498.0","92,989.0","93,176.0","94,669.0","98,109.0","99,530.0","100,218.0","100,590.0","103,933.0","107,268.0","110,921.0","112,453.0","114,727.0","114,610.0","116,065.0","114,873.0","117,179.0","118,863.0","120,499.0","125,300.0","127,905.0","132,079.0","134,380.0","138,195.0","137,287.0","140,626.0","143,070.0","145,660.0","148,005.0","150,646.0","153,434.0","156,979.0","158,876.0","159,512.0","164,184.0","166,687.0","169,457.0","170,581.0","172,747.0","175,026.0","179,295.0","185,788.0","186,202.0","189,582.0","191,482.0","194,322.0","195,670.0","195,682.0","195,928.0","193,698.0","196,226.0","200,294.0","201,335.0","198,537.0","205,755.0","208,875.0","213,453.0","216,853.0","215,434.0","217,917.0","220,185.0","222,674.0","224,881.0","225,452.0","227,681.0","231,727.0","228,497.0","229,680.0","233,430.0","233,373.0","234,990.0","239,775.0","240,423.0","242,979.0","243,688.0","244,403.0","249,883.0","252,009.0","254,621.0","257,668.0","257,448.0","261,484.0","267,506.0","271,455.0","272,167.0","273,260.0","275,940.0","280,083.0","282,522.0","284,781.0","280,641.0","278,398.0","275,289.0","277,146.0","279,184.0","278,670.0","275,506.0","281,979.0","279,194.0","283,946.0","292,500.0","292,443.0","298,709.0","296,618.0","299,621.0","305,150.0","309,667.0","315,648.0","313,887.0","322,966.0","326,335.0","327,176.0","330,706.0","336,028.0","340,147.0","337,939.0","338,227.0","339,321.0","336,354.0","342,010.0","335,625.0","322,289.0","321,816.0","319,106.0","322,370.0","325,476.0","333,759.0","335,553.0"
"31","12","      Gasoline and other energy goods","DGOERC1","24,261.0","25,029.0","25,057.0","25,525.0","25,858.0","26,098.0","26,333.0","26,854.0","27,385.0","27,354.0","27,742.0","28,106.0","28,337.0","28,366.0","29,506.0","31,364.0","32,524.0","33,454.0","34,235.0","37,087.0","39,208.0","44,174.0","45,647.0","46,369.0","45,652.0","46,948.0","49,400.0","50,079.0","51,134.0","51,593.0","53,228.0","56,097.0","56,562.0","57,323.0","57,900.0","59,482.0","60,205.0","60,596.0","61,166.0","63,846.0","68,799.0","75,076.0","86,106.0","91,569.0","101,649.0","102,881.0","100,975.0","102,086.0","113,447.0","114,406.0","112,599.0","113,319.0","111,964.0","106,083.0","108,679.0","106,674.0","102,964.0","105,309.0","109,281.0","108,270.0","108,041.0","109,584.0","106,991.0","108,186.0","108,140.0","111,509.0","111,049.0","111,428.0","106,606.0","89,533.0","84,804.0","83,822.0","91,653.0","96,230.0","97,925.0","99,667.0","98,420.0","99,618.0","100,873.0","100,492.0","103,503.0","116,218.0","110,673.0","111,361.0","116,415.0","113,800.0","125,454.0","141,128.0","124,728.0","119,582.0","119,775.0","120,428.0","120,106.0","124,100.0","126,849.0","128,976.0","128,645.0","126,443.0","125,055.0","127,385.0","127,371.0","124,823.0","132,233.0","132,495.0","134,528.0","135,756.0","132,615.0","130,719.0","139,096.0","147,835.0","143,460.0","148,590.0","152,162.0","144,325.0","146,479.0","147,678.0","136,557.0","132,637.0","133,311.0","130,931.0","127,937.0","146,216.0","155,862.0","165,228.0","178,420.0","187,700.0","193,987.0","195,235.0","191,103.0","196,164.0","185,702.0","161,363.0","154,060.0","174,708.0","180,368.0","189,112.0","219,051.0","191,828.0","211,414.0","216,123.0","234,938.0","241,070.0","247,885.0","275,839.0","276,868.0","275,841.0","332,024.0","334,561.0","324,465.0","343,286.0","363,286.0","316,743.0","332,637.0","365,110.0","369,515.0","399,063.0","419,701.0","444,430.0","467,045.0","314,433.0","264,792.0","279,881.0","326,166.0","344,093.0","364,079.0","338,113.0"
"32","13","      Other nondurable goods","DONGRC1","48,141.0","49,027.0","50,162.0","50,770.0","52,108.0","52,835.0","54,036.0","55,276.0","55,404.0","55,246.0","56,049.0","56,707.0","57,937.0","59,624.0","60,657.0","61,839.0","63,479.0","64,937.0","66,621.0","68,266.0","70,390.0","71,489.0","72,690.0","73,635.0","74,974.0","76,618.0","78,719.0","80,551.0","82,707.0","84,630.0","85,829.0","87,549.0","89,171.0","90,103.0","91,880.0","94,958.0","97,527.0","101,352.0","105,479.0","108,985.0","111,695.0","114,621.0","118,056.0","121,508.0","125,285.0","126,479.0","130,307.0","135,271.0","139,069.0","142,006.0","145,102.0","147,709.0","149,566.0","151,893.0","155,274.0","159,356.0","162,625.0","166,718.0","171,464.0","174,451.0","178,595.0","183,981.0","186,773.0","189,132.0","193,352.0","195,051.0","197,657.0","201,595.0","204,696.0","206,822.0","211,085.0","214,927.0","219,653.0","225,369.0","228,037.0","230,409.0","234,235.0","239,011.0","243,523.0","248,771.0","255,051.0","259,953.0","266,306.0","271,699.0","279,092.0","281,369.0","285,970.0","287,977.0","292,631.0","295,593.0","298,214.0","301,849.0","309,083.0","311,994.0","315,898.0","320,949.0","326,761.0","330,548.0","332,854.0","335,467.0","340,652.0","347,670.0","354,425.0","359,686.0","363,013.0","369,087.0","373,825.0","379,662.0","383,712.0","391,824.0","398,338.0","406,966.0","411,750.0","417,421.0","424,936.0","431,099.0","437,543.0","446,822.0","456,290.0","468,722.0","487,421.0","492,226.0","497,702.0","519,293.0","515,830.0","534,393.0","542,640.0","552,061.0","552,095.0","560,608.0","572,108.0","581,197.0","588,781.0","591,918.0","596,493.0","602,210.0","610,996.0","614,115.0","629,844.0","636,458.0","639,458.0","649,110.0","656,952.0","664,705.0","671,489.0","678,910.0","685,066.0","696,709.0","712,595.0","718,610.0","724,351.0","739,320.0","747,159.0","751,487.0","758,256.0","764,431.0","765,601.0","777,516.0","782,015.0","776,325.0","785,721.0","797,605.0","805,451.0","812,929.0","824,053.0","832,633.0"
"33","14","  Services","DSERRC1","289,598.0","297,146.0","303,512.0","311,540.0","319,111.0","325,588.0","333,359.0","339,985.0","346,928.0","355,040.0","363,414.0","372,604.0","383,133.0","391,037.0","400,258.0","411,237.0","420,036.0","430,227.0","440,637.0","450,594.0","459,157.0","474,606.0","488,010.0","503,782.0","520,086.0","535,303.0","547,879.0","566,539.0","582,642.0","594,073.0","611,976.0","631,109.0","651,265.0","666,740.0","686,969.0","704,790.0","729,833.0","755,706.0","775,375.0","795,297.0","814,716.0","841,029.0","864,400.0","892,762.0","915,954.0","932,209.0","966,858.0","1,009,110.0","1,032,308.0","1,060,166.0","1,082,372.0","1,105,677.0","1,129,879.0","1,154,730.0","1,188,869.0","1,231,332.0","1,266,329.0","1,293,744.0","1,335,729.0","1,363,370.0","1,387,589.0","1,420,485.0","1,456,115.0","1,485,349.0","1,533,047.0","1,561,409.0","1,598,916.0","1,626,636.0","1,656,357.0","1,684,440.0","1,713,886.0","1,749,774.0","1,788,870.0","1,820,494.0","1,857,066.0","1,896,222.0","1,944,679.0","1,986,257.0","2,039,227.0","2,080,833.0","2,118,747.0","2,148,898.0","2,184,824.0","2,230,283.0","2,269,154.0","2,332,588.0","2,378,531.0","2,396,322.0","2,423,904.0","2,466,279.0","2,499,967.0","2,540,422.0","2,606,300.0","2,645,308.0","2,694,510.0","2,748,371.0","2,777,927.0","2,817,945.0","2,867,112.0","2,901,986.0","2,944,735.0","2,983,032.0","3,027,427.0","3,061,824.0","3,100,551.0","3,153,605.0","3,196,654.0","3,236,177.0","3,285,533.0","3,332,896.0","3,378,544.0","3,426,765.0","3,480,353.0","3,529,467.0","3,592,859.0","3,652,757.0","3,712,300.0","3,779,642.0","3,846,212.0","3,895,703.0","3,950,339.0","4,014,342.0","4,084,444.0","4,162,053.0","4,265,110.0","4,332,911.0","4,406,193.0","4,480,738.0","4,551,353.0","4,600,311.0","4,627,255.0","4,680,285.0","4,739,418.0","4,804,143.0","4,859,229.0","4,914,139.0","4,971,788.0","5,041,685.0","5,112,642.0","5,180,314.0","5,270,314.0","5,346,593.0","5,431,280.0","5,523,110.0","5,612,278.0","5,699,941.0","5,784,379.0","5,883,731.0","5,967,379.0","6,060,118.0","6,141,280.0","6,234,990.0","6,339,037.0","6,409,831.0","6,481,069.0","6,564,615.0","6,650,347.0","6,724,317.0","6,751,938.0","6,773,255.0","6,754,583.0","6,744,708.0","6,764,604.0","6,818,561.0","6,850,851.0","6,896,302.0"
"34","15","    Household consumption expenditures (for services)","DHCERC1","279,905.0","287,226.0","293,307.0","301,026.0","308,365.0","314,643.0","322,061.0","328,620.0","335,234.0","342,998.0","350,901.0","359,540.0","369,963.0","377,636.0","386,787.0","396,818.0","405,956.0","415,593.0","425,913.0","435,517.0","443,461.0","458,133.0","471,443.0","486,787.0","502,819.0","517,709.0","529,469.0","547,610.0","562,724.0","574,166.0","592,012.0","610,620.0","630,189.0","645,672.0","665,045.0","681,692.0","706,340.0","731,597.0","750,599.0","769,781.0","787,774.0","813,450.0","836,793.0","863,696.0","885,845.0","900,905.0","934,491.0","975,336.0","997,759.0","1,024,555.0","1,045,690.0","1,067,463.0","1,090,912.0","1,115,170.0","1,148,286.0","1,190,086.0","1,224,672.0","1,251,573.0","1,292,485.0","1,318,809.0","1,342,275.0","1,373,430.0","1,407,897.0","1,435,569.0","1,483,957.0","1,511,640.0","1,548,150.0","1,574,878.0","1,602,830.0","1,628,911.0","1,657,866.0","1,693,381.0","1,731,828.0","1,763,005.0","1,797,767.0","1,835,923.0","1,881,147.0","1,920,452.0","1,971,154.0","2,011,197.0","2,049,428.0","2,077,717.0","2,112,121.0","2,156,624.0","2,193,973.0","2,254,184.0","2,296,655.0","2,313,329.0","2,341,391.0","2,382,748.0","2,415,165.0","2,454,285.0","2,517,393.0","2,553,826.0","2,600,559.0","2,653,337.0","2,684,531.0","2,724,151.0","2,772,096.0","2,805,705.0","2,846,400.0","2,882,129.0","2,923,350.0","2,955,658.0","2,995,387.0","3,047,098.0","3,089,086.0","3,126,737.0","3,172,163.0","3,216,747.0","3,260,869.0","3,311,099.0","3,369,584.0","3,419,386.0","3,480,916.0","3,536,562.0","3,590,154.0","3,651,187.0","3,711,852.0","3,756,682.0","3,809,984.0","3,871,034.0","3,937,677.0","4,010,857.0","4,108,442.0","4,171,351.0","4,238,355.0","4,305,334.0","4,371,527.0","4,415,395.0","4,438,390.0","4,489,078.0","4,543,119.0","4,601,333.0","4,650,488.0","4,701,971.0","4,759,992.0","4,829,477.0","4,900,375.0","4,969,324.0","5,060,767.0","5,136,833.0","5,220,933.0","5,312,708.0","5,402,826.0","5,489,216.0","5,569,634.0","5,662,350.0","5,740,170.0","5,822,875.0","5,893,143.0","5,986,177.0","6,089,837.0","6,164,221.0","6,224,345.0","6,299,468.0","6,378,940.0","6,449,791.0","6,469,313.0","6,486,524.0","6,489,566.0","6,493,802.0","6,507,488.0","6,556,167.0","6,589,557.0","6,631,864.0"
"35","16","      Housing and utilities","DHUTRC1","97,712.0","99,524.0","102,197.0","104,494.0","106,212.0","107,939.0","110,471.0","113,065.0","115,841.0","118,633.0","121,302.0","124,148.0","126,807.0","129,575.0","132,238.0","136,119.0","138,559.0","141,794.0","145,318.0","148,269.0","151,488.0","156,434.0","160,795.0","165,599.0","169,970.0","174,897.0","178,722.0","182,518.0","186,962.0","190,900.0","196,503.0","204,286.0","210,162.0","213,282.0","221,138.0","226,642.0","234,466.0","241,253.0","246,733.0","254,664.0","262,397.0","268,138.0","275,988.0","287,089.0","296,109.0","305,653.0","316,937.0","328,573.0","333,837.0","347,861.0","357,660.0","368,451.0","378,127.0","381,666.0","388,879.0","399,200.0","405,576.0","415,679.0","426,573.0","436,818.0","441,280.0","454,149.0","463,916.0","473,733.0","487,646.0","492,024.0","505,202.0","517,799.0","521,744.0","531,664.0","540,557.0","548,772.0","555,327.0","567,035.0","577,081.0","587,794.0","600,015.0","607,002.0","620,042.0","630,753.0","640,091.0","647,246.0","658,369.0","676,702.0","675,231.0","692,182.0","706,053.0","711,956.0","719,717.0","733,894.0","740,371.0","748,179.0","755,129.0","766,941.0","774,463.0","788,213.0","797,011.0","805,825.0","821,890.0","833,279.0","849,502.0","863,945.0","871,783.0","880,635.0","891,370.0","908,171.0","923,572.0","932,008.0","948,823.0","957,663.0","961,960.0","976,541.0","987,946.0","1,001,344.0","1,014,697.0","1,035,642.0","1,040,927.0","1,061,188.0","1,076,292.0","1,082,548.0","1,101,001.0","1,118,115.0","1,136,933.0","1,144,131.0","1,159,621.0","1,184,388.0","1,208,100.0","1,242,108.0","1,271,151.0","1,281,324.0","1,295,739.0","1,302,760.0","1,313,006.0","1,328,430.0","1,339,205.0","1,358,416.0","1,376,196.0","1,389,530.0","1,396,480.0","1,413,077.0","1,429,730.0","1,448,711.0","1,468,832.0","1,501,687.0","1,532,192.0","1,566,103.0","1,598,356.0","1,634,715.0","1,645,821.0","1,676,992.0","1,705,702.0","1,715,295.0","1,737,343.0","1,748,772.0","1,761,985.0","1,775,021.0","1,802,090.0","1,826,994.0","1,839,690.0","1,863,807.0","1,870,237.0","1,869,997.0","1,877,485.0","1,887,587.0","1,887,149.0","1,884,094.0"
"36","17","      Health care","DHLCRC1","40,259.0","41,601.0","42,540.0","43,831.0","45,474.0","46,654.0","48,272.0","50,256.0","51,257.0","52,882.0","54,632.0","56,129.0","57,619.0","59,037.0","60,637.0","62,079.0","64,445.0","66,479.0","68,055.0","69,722.0","71,857.0","74,612.0","77,426.0","80,434.0","84,534.0","87,718.0","89,522.0","94,225.0","97,328.0","100,338.0","103,356.0","106,376.0","109,719.0","114,804.0","117,979.0","120,260.0","125,249.0","129,524.0","132,784.0","137,249.0","141,661.0","146,077.0","151,006.0","156,614.0","162,440.0","165,681.0","174,674.0","183,848.0","191,413.0","199,026.0","206,166.0","211,047.0","215,362.0","221,097.0","228,279.0","235,991.0","243,577.0","250,173.0","256,245.0","262,505.0","269,178.0","273,638.0","278,739.0","284,352.0","290,984.0","297,707.0","306,086.0","314,004.0","320,589.0","325,844.0","332,633.0","341,572.0","350,593.0","360,978.0","371,927.0","380,547.0","392,680.0","404,418.0","416,734.0","426,373.0","437,112.0","444,815.0","454,494.0","468,414.0","483,084.0","499,376.0","515,239.0","527,102.0","536,322.0","548,092.0","561,328.0","577,295.0","593,101.0","607,776.0","620,468.0","629,794.0","638,783.0","644,977.0","652,806.0","658,668.0","667,116.0","675,466.0","684,685.0","694,578.0","707,806.0","715,580.0","723,568.0","732,589.0","736,339.0","748,009.0","754,783.0","769,130.0","776,346.0","785,383.0","796,489.0","805,572.0","820,166.0","829,312.0","836,745.0","841,958.0","848,878.0","856,132.0","867,807.0","881,542.0","893,835.0","910,022.0","926,690.0","943,151.0","966,200.0","985,031.0","1,006,119.0","1,028,907.0","1,052,407.0","1,074,898.0","1,094,207.0","1,109,978.0","1,123,775.0","1,140,298.0","1,157,390.0","1,175,612.0","1,195,633.0","1,218,621.0","1,242,804.0","1,261,858.0","1,289,802.0","1,305,672.0","1,324,744.0","1,343,589.0","1,360,587.0","1,374,392.0","1,383,572.0","1,404,374.0","1,441,028.0","1,455,028.0","1,470,271.0","1,495,349.0","1,524,025.0","1,543,508.0","1,552,786.0","1,568,517.0","1,594,393.0","1,618,901.0","1,629,526.0","1,650,075.0","1,657,540.0","1,670,852.0"
"37","18","      Transportation services","DTRSRC1","17,128.0","17,726.0","18,232.0","18,823.0","19,400.0","19,706.0","20,344.0","20,725.0","21,189.0","22,047.0","22,846.0","23,356.0","23,990.0","24,286.0","24,709.0","25,192.0","25,570.0","25,918.0","26,225.0","26,598.0","27,365.0","28,079.0","28,827.0","29,615.0","30,457.0","31,418.0","32,607.0","33,695.0","34,892.0","35,730.0","36,442.0","37,557.0","39,437.0","40,832.0","42,313.0","42,998.0","43,720.0","44,991.0","45,830.0","46,257.0","48,139.0","49,916.0","51,311.0","53,454.0","54,188.0","53,833.0","56,035.0","57,412.0","59,299.0","58,834.0","60,497.0","60,528.0","60,037.0","60,918.0","62,396.0","63,564.0","64,970.0","67,107.0","70,341.0","73,178.0","76,751.0","79,170.0","80,359.0","83,783.0","87,355.0","89,632.0","91,044.0","92,549.0","93,374.0","94,046.0","95,436.0","97,178.0","99,500.0","101,803.0","104,447.0","106,637.0","109,379.0","112,617.0","115,904.0","118,700.0","121,107.0","121,817.0","121,993.0","122,471.0","124,655.0","126,738.0","126,862.0","127,233.0","122,886.0","122,767.0","123,874.0","125,166.0","129,306.0","130,819.0","135,354.0","139,007.0","141,732.0","144,102.0","147,304.0","151,259.0","155,542.0","160,090.0","164,175.0","167,782.0","170,630.0","175,505.0","180,763.0","184,886.0","187,498.0","192,189.0","196,997.0","203,137.0","208,428.0","212,751.0","216,594.0","219,458.0","222,301.0","224,951.0","229,075.0","232,315.0","236,021.0","240,612.0","246,112.0","250,396.0","255,535.0","260,745.0","264,676.0","268,052.0","268,161.0","266,341.0","260,517.0","255,881.0","256,584.0","256,774.0","256,132.0","257,436.0","259,387.0","260,031.0","265,253.0","267,692.0","269,853.0","271,258.0","274,024.0","277,655.0","280,390.0","283,845.0","288,166.0","291,197.0","292,535.0","296,621.0","297,810.0","301,028.0","304,956.0","306,220.0","307,855.0","309,405.0","309,782.0","310,322.0","308,019.0","299,643.0","293,177.0","288,790.0","288,309.0","290,209.0","294,627.0","299,768.0"
"38","19","      Recreation services","DRCARC1","12,577.0","12,950.0","12,949.0","13,226.0","13,676.0","13,864.0","14,123.0","14,346.0","14,598.0","14,927.0","15,190.0","15,753.0","15,857.0","16,111.0","16,450.0","16,899.0","17,593.0","18,205.0","18,501.0","19,093.0","19,589.0","20,416.0","21,372.0","22,413.0","23,056.0","23,159.0","23,800.0","24,596.0","25,174.0","25,892.0","27,097.0","27,976.0","28,178.0","29,022.0","30,024.0","31,025.0","31,663.0","32,280.0","33,380.0","34,077.0","35,263.0","36,345.0","37,281.0","38,012.0","39,066.0","39,898.0","41,256.0","43,129.0","44,683.0","46,548.0","48,199.0","49,075.0","50,677.0","51,654.0","53,142.0","54,426.0","56,375.0","58,815.0","60,331.0","62,195.0","63,641.0","65,115.0","66,968.0","68,745.0","70,987.0","73,147.0","74,788.0","76,908.0","78,432.0","79,267.0","80,644.0","83,134.0","84,578.0","86,126.0","87,961.0","90,443.0","93,812.0","97,619.0","100,942.0","104,564.0","107,777.0","109,733.0","112,027.0","113,124.0","117,217.0","120,886.0","123,463.0","125,507.0","124,856.0","125,994.0","127,706.0","130,172.0","135,071.0","138,345.0","141,052.0","144,734.0","147,895.0","151,516.0","156,124.0","157,967.0","160,564.0","163,111.0","166,417.0","168,546.0","173,685.0","179,594.0","183,293.0","187,797.0","189,818.0","193,625.0","198,349.0","200,540.0","204,108.0","207,286.0","209,510.0","212,366.0","216,549.0","218,040.0","222,027.0","225,730.0","229,602.0","235,452.0","242,450.0","247,642.0","250,208.0","254,211.0","258,150.0","259,328.0","263,430.0","263,203.0","262,995.0","264,579.0","267,909.0","271,052.0","273,549.0","278,818.0","280,897.0","286,239.0","292,537.0","298,213.0","305,645.0","310,787.0","314,313.0","317,077.0","322,171.0","324,036.0","327,629.0","333,309.0","339,459.0","344,207.0","351,429.0","360,206.0","364,526.0","371,368.0","376,252.0","380,464.0","383,489.0","385,257.0","384,802.0","380,208.0","381,436.0","378,489.0","377,912.0","377,258.0","376,845.0","374,461.0"
"39","20","      Food services and accommodations","DFSARC1","36,030.0","37,345.0","37,727.0","38,742.0","40,284.0","41,662.0","42,262.0","42,287.0","42,529.0","43,237.0","44,176.0","45,246.0","47,025.0","48,245.0","49,599.0","50,674.0","52,731.0","53,504.0","55,530.0","57,566.0","57,850.0","59,723.0","61,404.0","63,477.0","65,539.0","68,028.0","68,957.0","72,760.0","75,095.0","76,754.0","79,297.0","80,061.0","84,800.0","85,598.0","85,665.0","86,595.0","90,232.0","95,187.0","99,992.0","103,005.0","107,068.0","108,528.0","111,431.0","116,658.0","118,460.0","119,475.0","122,103.0","126,847.0","131,637.0","133,861.0","134,590.0","135,573.0","137,129.0","141,017.0","144,565.0","147,322.0","150,098.0","151,971.0","155,080.0","157,049.0","161,618.0","162,685.0","167,010.0","168,351.0","170,546.0","174,569.0","175,366.0","176,715.0","181,356.0","185,258.0","187,811.0","192,323.0","198,093.0","202,182.0","205,120.0","212,123.0","214,895.0","222,439.0","230,327.0","235,726.0","237,496.0","239,795.0","244,803.0","248,292.0","257,001.0","262,063.0","266,674.0","265,200.0","266,442.0","274,091.0","275,802.0","277,246.0","285,059.0","280,601.0","284,249.0","295,341.0","293,500.0","297,763.0","301,743.0","301,418.0","302,128.0","307,896.0","311,225.0","313,426.0","312,686.0","316,180.0","318,504.0","319,492.0","321,033.0","325,591.0","328,522.0","334,446.0","340,022.0","342,081.0","347,750.0","348,388.0","354,175.0","360,828.0","364,286.0","372,747.0","373,129.0","377,865.0","381,999.0","393,332.0","402,915.0","408,979.0","413,740.0","414,870.0","421,157.0","420,286.0","421,091.0","422,379.0","431,725.0","436,972.0","440,380.0","443,654.0","448,365.0","457,432.0","469,307.0","476,217.0","483,266.0","488,480.0","495,749.0","504,195.0","511,603.0","522,845.0","527,828.0","538,956.0","555,863.0","554,978.0","558,936.0","569,195.0","574,865.0","586,561.0","598,141.0","608,267.0","605,852.0","613,333.0","616,052.0","609,998.0","605,970.0","602,553.0","601,194.0","604,652.0","615,202.0","623,600.0"
